,QUARTER,TIME_REMAINING,PHOENIX_ACTION,LA CLIPPERS_ACTION,PHOENIX_SCORE,LA CLIPPERS_SCORE
0,1,11:45.0,,J. Redick makes 2-pt jump shot from 17 ft (assist by B. Griffin),0,2
1,1,11:25.0,M. Morris misses 2-pt jump shot from 13 ft,,0,2
2,1,11:24.0,,Defensive rebound by D. Jordan,0,2
3,1,11:17.0,,J. Redick makes 3-pt jump shot from 23 ft (assist by B. Griffin),0,5
4,1,10:55.0,M. Morris misses 2-pt jump shot from 20 ft,,0,5
5,1,10:54.0,,Defensive rebound by M. Barnes,0,5
6,1,10:42.0,,Turnover by C. Paul (lost ball; steal by E. Bledsoe),0,5
7,1,10:36.0,G. Dragić makes 2-pt layup at rim (assist by E. Bledsoe),,2,5
8,1,10:18.0,,M. Barnes misses 3-pt jump shot from 24 ft,2,5
9,1,10:17.0,Defensive rebound by M. Morris,,2,5
10,1,10:09.0,M. Morris makes 3-pt jump shot from 24 ft (assist by E. Bledsoe),,5,5
11,1,9:41.0,,B. Griffin makes 2-pt jump shot from 9 ft,5,7
12,1,9:28.0,M. Morris misses 2-pt jump shot from 16 ft,,5,7
13,1,9:27.0,Offensive rebound by M. Morris,,5,7
14,1,9:23.0,M. Morris misses 2-pt jump shot from 12 ft,,5,7
15,1,9:22.0,Offensive rebound by M. Plumlee,,5,7
16,1,9:17.0,M. Plumlee makes 2-pt layup at rim,,7,7
17,1,9:07.0,,J. Redick misses 2-pt jump shot from 21 ft,7,7
18,1,9:06.0,Defensive rebound by E. Bledsoe,,7,7
19,1,8:49.0,G. Dragić makes 2-pt hook shot from 6 ft (assist by M. Plumlee),,9,7
20,1,8:31.0,,C. Paul makes 2-pt jump shot from 19 ft,9,9
21,1,8:10.0,E. Bledsoe misses 3-pt jump shot from 23 ft,,9,9
22,1,8:09.0,Offensive rebound by M. Plumlee,,9,9
23,1,8:06.0,M. Plumlee misses 2-pt hook shot at rim,,9,9
24,1,8:04.0,,Defensive rebound by B. Griffin,9,9
25,1,8:00.0,,M. Barnes misses 3-pt jump shot from 23 ft,9,9
26,1,7:57.0,Defensive rebound by E. Bledsoe,,9,9
27,1,7:46.0,M. Morris makes 2-pt jump shot from 8 ft,,11,9
28,1,7:41.0,,Turnover by D. Jordan (lost ball; steal by G. Dragić),11,9
29,1,7:37.0,G. Dragić makes 2-pt layup from 1 ft,,13,9
30,1,7:19.0,,J. Redick misses 3-pt jump shot from 23 ft,13,9
31,1,7:18.0,Defensive rebound by E. Bledsoe,,13,9
32,1,7:10.0,Offensive foul by E. Bledsoe (drawn by J. Redick),,13,9
33,1,7:10.0,Turnover by E. Bledsoe (offensive foul),,13,9
34,1,7:10.0,A. Len enters the game for M. Plumlee,,13,9
35,1,6:48.0,,B. Griffin makes 2-pt jump shot from 11 ft (assist by M. Barnes),13,11
36,1,6:40.0,Personal foul by J. Redick,,13,11
37,1,6:31.0,A. Len misses 2-pt layup at rim (block by D. Jordan),,13,11
38,1,6:31.0,,Defensive rebound by Team,13,11
39,1,6:17.0,,Shooting foul by M. Morris (drawn by M. Barnes),13,11
40,1,6:17.0,,M. Barnes makes free throw 1 of 2,13,12
41,1,6:17.0,,M. Barnes makes free throw 2 of 2,13,13
42,1,6:04.0,M. Morris misses 2-pt jump shot from 11 ft,,13,13
43,1,6:03.0,,Defensive rebound by D. Jordan,13,13
44,1,5:54.0,,D. Jordan makes 2-pt dunk from 1 ft (assist by C. Paul),13,15
45,1,5:38.0,G. Dragić makes 2-pt jump shot from 12 ft (assist by M. Morris),,15,15
46,1,5:27.0,,J. Redick misses 2-pt layup from 2 ft,15,15
47,1,5:26.0,Defensive rebound by A. Len,,15,15
48,1,5:18.0,G. Dragić misses 2-pt layup from 1 ft,,15,15
49,1,5:17.0,,Defensive rebound by B. Griffin,15,15
50,1,5:11.0,,Personal foul by A. Len,15,15
51,1,5:11.0,,LA Clippers full timeout,15,15
52,1,5:11.0,,J. Crawford enters the game for J. Redick,15,15
53,1,5:06.0,,C. Paul misses 2-pt jump shot from 14 ft,15,15
54,1,5:05.0,Defensive rebound by E. Bledsoe,,15,15
55,1,4:55.0,M. Morris misses 3-pt jump shot from 24 ft,,15,15
56,1,4:54.0,,Defensive rebound by D. Jordan,15,15
57,1,4:48.0,,B. Griffin misses 2-pt layup at rim,15,15
58,1,4:48.0,Defensive rebound by Team,,15,15
59,1,4:48.0,,Loose ball foul by B. Griffin,15,15
60,1,4:48.0,P. Tucker enters the game for M. Morris,,15,15
61,1,4:31.0,A. Len misses 2-pt jump shot from 12 ft,,15,15
62,1,4:30.0,,Defensive rebound by D. Jordan,15,15
63,1,4:21.0,,Shooting foul by A. Len (drawn by B. Griffin),15,15
64,1,4:21.0,,B. Griffin makes free throw 1 of 2,15,16
65,1,4:21.0,,S. Hawes enters the game for D. Jordan,15,16
66,1,4:21.0,,B. Griffin misses free throw 2 of 2,15,16
67,1,4:19.0,Defensive rebound by M. Morris,,15,16
68,1,3:55.0,M. Morris misses 3-pt jump shot from 26 ft,,15,16
69,1,3:53.0,,Defensive rebound by S. Hawes,15,16
70,1,3:44.0,,Def 3 sec tech foul by A. Len,15,16
71,1,3:44.0,,C. Paul makes technical free throw,15,17
72,1,3:44.0,A. Tolliver enters the game for A. Len,,15,17
73,1,3:37.0,,M. Barnes makes 2-pt layup at rim (assist by B. Griffin),15,19
74,1,3:27.0,Def 3 sec tech foul by B. Griffin,,15,19
75,1,3:27.0,E. Bledsoe makes technical free throw,,16,19
76,1,3:17.0,Turnover by P. Tucker (lost ball; steal by C. Paul),,16,19
77,1,3:02.0,,Turnover by S. Hawes (traveling),16,19
78,1,2:50.0,Turnover by G. Dragić (traveling),,16,19
79,1,2:50.0,Phoenix full timeout,,16,19
80,1,2:28.0,,M. Barnes makes 3-pt jump shot from 23 ft (assist by C. Paul),16,22
81,1,2:12.0,G. Dragić misses 3-pt jump shot from 25 ft,,16,22
82,1,2:10.0,,Defensive rebound by S. Hawes,16,22
83,1,2:06.0,,Personal foul by G. Dragić,16,22
84,1,2:06.0,,J. Farmar enters the game for C. Paul,16,22
85,1,2:06.0,,D. Jordan enters the game for B. Griffin,16,22
86,1,2:06.0,I. Thomas enters the game for E. Bledsoe,,16,22
87,1,2:06.0,,Technical foul by M. Barnes,16,22
88,1,2:06.0,G. Dragić misses technical free throw,,16,22
89,1,2:06.0,,Offensive rebound by Team,16,22
90,1,2:06.0,M. Plumlee enters the game for A. Tolliver,,16,22
91,1,1:58.0,,J. Crawford misses 2-pt jump shot from 14 ft,16,22
92,1,1:55.0,Defensive rebound by M. Plumlee,,16,22
93,1,1:49.0,I. Thomas misses 3-pt jump shot from 24 ft,,16,22
94,1,1:47.0,Offensive rebound by I. Thomas,,16,22
95,1,1:44.0,Turnover by I. Thomas (lost ball; steal by J. Crawford),,16,22
96,1,1:26.0,,J. Farmar makes 3-pt jump shot from 23 ft,16,25
97,1,1:11.0,Shooting foul by J. Farmar (drawn by G. Dragić),,16,25
98,1,1:11.0,G. Dragić makes free throw 1 of 2,,17,25
99,1,1:11.0,,R. Bullock enters the game for M. Barnes,17,25
100,1,1:11.0,G. Dragić makes free throw 2 of 2,,18,25
101,1,0:52.0,,S. Hawes misses 2-pt jump shot from 3 ft (block by M. Morris),18,25
102,1,0:49.0,Defensive rebound by P. Tucker,,18,25
103,1,0:48.0,G. Dragić makes 2-pt layup at rim (assist by P. Tucker),,20,25
104,1,0:41.0,,Turnover by D. Jordan (dbl dribble),20,25
105,1,0:29.0,I. Thomas misses 3-pt jump shot from 26 ft,,20,25
106,1,0:28.0,,Defensive rebound by D. Jordan,20,25
107,1,0:06.0,,S. Hawes makes 2-pt hook shot from 2 ft (assist by J. Crawford),20,27
108,1,0:01.0,P. Tucker makes 3-pt jump shot from 25 ft (assist by G. Dragić),,23,27
109,2,11:46.0,M. Morris misses 2-pt layup from 1 ft,,23,27
110,2,11:44.0,,Defensive rebound by R. Bullock,23,27
111,2,11:28.0,,J. Farmar misses 3-pt jump shot from 24 ft,23,27
112,2,11:26.0,Defensive rebound by M. Morris,,23,27
113,2,11:16.0,G. Green misses 2-pt jump shot from 18 ft,,23,27
114,2,11:14.0,,Defensive rebound by J. Farmar,23,27
115,2,11:05.0,,Turnover by J. Farmar (bad pass),23,27
116,2,10:53.0,M. Morris misses 2-pt layup from 1 ft (block by D. Jordan),,23,27
117,2,10:51.0,,Defensive rebound by S. Hawes,23,27
118,2,10:41.0,,Turnover by S. Hawes (lost ball; steal by G. Green),23,27
119,2,10:39.0,Personal take foul by J. Crawford,,23,27
120,2,10:28.0,M. Morris misses 2-pt layup from 1 ft (block by D. Jordan),,23,27
121,2,10:28.0,Offensive rebound by Team,,23,27
122,2,10:22.0,P. Tucker makes 2-pt layup from 1 ft,,25,27
123,2,10:11.0,,S. Hawes makes 3-pt jump shot from 25 ft (assist by J. Crawford),25,30
124,2,9:51.0,M. Plumlee misses 2-pt hook shot from 4 ft,,25,30
125,2,9:50.0,,Defensive rebound by S. Hawes,25,30
126,2,9:42.0,,S. Hawes misses 3-pt jump shot from 25 ft,25,30
127,2,9:40.0,Defensive rebound by P. Tucker,,25,30
128,2,9:30.0,G. Green misses 2-pt jump shot from 3 ft (block by S. Hawes),,25,30
129,2,9:28.0,Offensive rebound by M. Plumlee,,25,30
