,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,NEW YORK_ACTION,MINNESOTA_SCORE,NEW YORK_SCORE
0,1,11:52.0,A. Wiggins misses 2-pt jump shot from 18 ft,,0,0
1,1,11:50.0,,Defensive rebound by L. Galloway,0,0
2,1,11:35.0,,A. Shved misses 3-pt jump shot from 24 ft,0,0
3,1,11:34.0,Defensive rebound by Z. LaVine,,0,0
4,1,11:19.0,G. Dieng makes 2-pt hook shot from 4 ft (assist by A. Payne),,2,0
5,1,10:58.0,,A. Bargnani misses 2-pt jump shot from 16 ft,2,0
6,1,10:57.0,Defensive rebound by Team,,2,0
7,1,10:45.0,K. Martin misses 2-pt jump shot from 17 ft,,2,0
8,1,10:43.0,,Defensive rebound by L. Amundson,2,0
9,1,10:28.0,,A. Bargnani makes 2-pt layup from 2 ft,2,2
10,1,10:12.0,G. Dieng makes 2-pt dunk at rim,,4,2
11,1,9:44.0,,A. Shved makes 2-pt layup from 1 ft,4,4
12,1,9:31.0,Shooting foul by L. Thomas (drawn by G. Dieng),,4,4
13,1,9:31.0,G. Dieng misses free throw 1 of 2,,4,4
14,1,9:31.0,Offensive rebound by Team,,4,4
15,1,9:31.0,G. Dieng misses free throw 2 of 2,,4,4
16,1,9:30.0,,Defensive rebound by L. Galloway,4,4
17,1,9:16.0,,A. Bargnani makes 2-pt jump shot from 15 ft (assist by A. Shved),4,6
18,1,8:55.0,K. Martin misses 2-pt jump shot from 18 ft,,4,6
19,1,8:53.0,,Defensive rebound by A. Bargnani,4,6
20,1,8:50.0,,Turnover by A. Shved (bad pass; steal by A. Wiggins),4,6
21,1,8:48.0,Turnover by A. Wiggins (bad pass),,4,6
22,1,8:44.0,,Personal foul by Z. LaVine (drawn by A. Bargnani),4,6
23,1,8:40.0,,Personal foul by A. Payne (drawn by A. Bargnani),4,6
24,1,8:28.0,,A. Bargnani makes 2-pt jump shot from 15 ft (assist by L. Amundson),4,8
25,1,8:11.0,Z. LaVine makes 3-pt jump shot from 24 ft (assist by G. Dieng),,7,8
26,1,7:53.0,,L. Thomas misses 3-pt jump shot from 23 ft,7,8
27,1,7:51.0,Defensive rebound by A. Payne,,7,8
28,1,7:46.0,A. Wiggins misses 2-pt layup from 1 ft,,7,8
29,1,7:44.0,,Defensive rebound by L. Thomas,7,8
30,1,7:35.0,,A. Shved misses 2-pt layup from 1 ft (block by G. Dieng),7,8
31,1,7:34.0,,Offensive rebound by Team,7,8
32,1,7:34.0,Loose ball foul by A. Payne (drawn by L. Amundson),,7,8
33,1,7:34.0,C. Budinger enters the game for A. Payne,,7,8
34,1,7:29.0,,A. Shved misses 2-pt layup from 2 ft (block by G. Dieng),7,8
35,1,7:28.0,,Offensive rebound by L. Amundson,7,8
36,1,7:26.0,,L. Amundson misses 2-pt layup from 1 ft,7,8
37,1,7:25.0,,Offensive rebound by L. Thomas,7,8
38,1,7:15.0,,L. Amundson misses 2-pt layup from 1 ft (block by G. Dieng),7,8
39,1,7:14.0,Defensive rebound by Z. LaVine,,7,8
40,1,7:06.0,K. Martin misses 2-pt jump shot from 4 ft,,7,8
41,1,7:05.0,Offensive rebound by A. Wiggins,,7,8
42,1,7:05.0,A. Wiggins misses 2-pt layup at rim,,7,8
43,1,7:04.0,,Defensive rebound by A. Shved,7,8
44,1,6:59.0,,L. Galloway misses 3-pt jump shot from 24 ft,7,8
45,1,6:57.0,Defensive rebound by G. Dieng,,7,8
46,1,6:52.0,Personal foul by L. Galloway (drawn by A. Wiggins),,7,8
47,1,6:52.0,A. Wiggins makes free throw 1 of 2,,8,8
48,1,6:52.0,,New York full timeout,8,8
49,1,6:52.0,A. Wiggins makes free throw 2 of 2,,9,8
50,1,6:36.0,,L. Galloway misses 3-pt jump shot from 25 ft,9,8
51,1,6:35.0,Defensive rebound by Team,,9,8
52,1,6:27.0,G. Dieng makes 2-pt jump shot from 4 ft (assist by Z. LaVine),,11,8
53,1,6:17.0,,Turnover by A. Shved (traveling),11,8
54,1,6:17.0,,J. Smith enters the game for L. Amundson,11,8
55,1,6:08.0,Z. LaVine misses 2-pt jump shot from 22 ft,,11,8
56,1,6:06.0,Offensive rebound by G. Dieng,,11,8
57,1,6:06.0,G. Dieng makes 2-pt tip-in at rim,,13,8
58,1,5:51.0,,A. Shved misses 3-pt jump shot from 25 ft,13,8
59,1,5:49.0,Defensive rebound by G. Dieng,,13,8
60,1,5:46.0,,S. Larkin enters the game for L. Galloway,13,8
61,1,5:43.0,K. Martin misses 2-pt jump shot from 16 ft,,13,8
62,1,5:42.0,Offensive rebound by G. Dieng,,13,8
63,1,5:37.0,C. Budinger misses 3-pt jump shot from 23 ft,,13,8
64,1,5:35.0,,Defensive rebound by J. Smith,13,8
65,1,5:13.0,,J. Smith misses 2-pt jump shot from 5 ft,13,8
66,1,5:11.0,,Offensive rebound by A. Shved,13,8
67,1,5:10.0,,A. Shved makes 2-pt layup from 2 ft,13,10
68,1,4:53.0,A. Wiggins makes 2-pt jump shot from 17 ft,,15,10
69,1,4:39.0,,Personal foul by G. Dieng (drawn by A. Bargnani),15,10
70,1,4:39.0,,T. Wear enters the game for L. Thomas,15,10
71,1,4:31.0,,J. Smith makes 2-pt jump shot from 16 ft (assist by S. Larkin),15,12
72,1,4:17.0,Shooting foul by T. Wear (drawn by A. Wiggins),,15,12
73,1,4:17.0,A. Wiggins makes free throw 1 of 2,,16,12
74,1,4:17.0,A. Wiggins makes free throw 2 of 2,,17,12
75,1,3:56.0,,A. Bargnani misses 2-pt jump shot from 18 ft,17,12
76,1,3:54.0,Defensive rebound by G. Dieng,,17,12
77,1,3:44.0,A. Wiggins misses 2-pt jump shot from 3 ft,,17,12
78,1,3:42.0,,Defensive rebound by S. Larkin,17,12
79,1,3:27.0,,S. Larkin makes 2-pt layup from 1 ft (assist by A. Shved),17,14
80,1,3:13.0,,Violation by J. Smith (def goaltending),17,14
81,1,3:13.0,K. Martin makes 2-pt jump shot from 4 ft,,19,14
82,1,3:13.0,Shooting foul by A. Shved (drawn by K. Martin),,19,14
83,1,3:13.0,,L. Galloway enters the game for A. Shved,19,14
84,1,3:13.0,,C. Aldrich enters the game for A. Bargnani,19,14
85,1,3:13.0,L. Brown enters the game for Z. LaVine,,19,14
86,1,3:13.0,K. Martin makes free throw 1 of 1,,20,14
87,1,2:59.0,,S. Larkin misses 3-pt jump shot from 24 ft,20,14
88,1,2:58.0,Defensive rebound by A. Wiggins,,20,14
89,1,2:47.0,K. Martin misses 3-pt jump shot from 25 ft,,20,14
90,1,2:45.0,,Defensive rebound by C. Aldrich,20,14
91,1,2:39.0,,Shooting foul by A. Wiggins (drawn by S. Larkin),20,14
92,1,2:39.0,Minnesota full timeout,,20,14
93,1,2:39.0,,S. Larkin misses free throw 1 of 2,20,14
94,1,2:39.0,,Offensive rebound by Team,20,14
95,1,2:39.0,,S. Larkin makes free throw 2 of 2,20,15
96,1,2:26.0,A. Wiggins misses 2-pt jump shot from 3 ft (block by C. Aldrich),,20,15
97,1,2:25.0,Offensive rebound by C. Budinger,,20,15
98,1,2:24.0,C. Budinger misses 3-pt jump shot from 25 ft,,20,15
99,1,2:23.0,,Defensive rebound by Team,20,15
100,1,2:01.0,Violation by G. Dieng (def goaltending),,20,15
101,1,2:01.0,,L. Galloway makes 2-pt layup from 1 ft,20,17
102,1,1:48.0,L. Brown makes 2-pt layup from 1 ft,,22,17
103,1,1:33.0,,L. Galloway makes 2-pt layup from 1 ft (assist by C. Aldrich),22,19
104,1,1:15.0,Turnover by A. Wiggins (lost ball; steal by T. Wear),,22,19
105,1,0:59.0,,T. Wear makes 2-pt jump shot from 22 ft (assist by C. Aldrich),22,21
106,1,0:50.0,Personal foul by C. Aldrich (drawn by K. Martin),,22,21
107,1,0:50.0,K. Martin makes free throw 1 of 2,,23,21
108,1,0:50.0,K. Martin makes free throw 2 of 2,,24,21
109,1,0:38.0,,L. Galloway makes 3-pt jump shot from 24 ft (assist by S. Larkin),24,24
110,1,0:29.0,K. Martin makes 3-pt jump shot from 22 ft (assist by L. Brown),,27,24
111,1,0:11.0,,C. Aldrich makes 2-pt hook shot from 10 ft,27,26
112,1,0:01.0,K. Martin makes 2-pt jump shot from 7 ft,,29,26
113,1,0:00.0,,L. Galloway misses 3-pt jump shot from 56 ft,29,26
114,1,0:00.0,,Offensive rebound by Team,29,26
115,2,11:42.0,,C. Aldrich makes 2-pt layup from 1 ft (assist by T. Wear),29,28
116,2,11:28.0,C. Budinger makes 2-pt dunk at rim (assist by L. Brown),,31,28
117,2,11:09.0,,J. Smith misses 2-pt jump shot from 14 ft,31,28
118,2,11:07.0,Defensive rebound by G. Dieng,,31,28
119,2,10:59.0,Offensive foul by K. Martin (drawn by S. Larkin),,31,28
120,2,10:59.0,Turnover by K. Martin (offensive foul),,31,28
121,2,10:39.0,,J. Smith makes 2-pt jump shot from 9 ft,31,30
122,2,10:22.0,G. Dieng makes 2-pt jump shot from 13 ft,,33,30
123,2,9:58.0,,Turnover by T. Wear (bad pass; steal by C. Budinger),33,30
124,2,9:53.0,Shooting foul by T. Wear (drawn by C. Budinger),,33,30
125,2,9:53.0,C. Budinger makes free throw 1 of 2,,34,30
126,2,9:53.0,Z. LaVine enters the game for K. Martin,,34,30
127,2,9:53.0,,L. Thomas enters the game for T. Wear,34,30
128,2,9:53.0,C. Budinger makes free throw 2 of 2,,35,30
129,2,9:38.0,,Turnover by J. Smith (bad pass; steal by L. Brown),35,30
130,2,9:31.0,Z. LaVine misses 2-pt layup from 2 ft,,35,30
131,2,9:30.0,,Defensive rebound by C. Aldrich,35,30
132,2,9:11.0,,Turnover by L. Thomas (bad pass; steal by G. Dieng),35,30
133,2,9:08.0,Turnover by G. Dieng (bad pass; steal by S. Larkin),,35,30
134,2,9:04.0,,Turnover by J. Smith (step out of bounds),35,30
135,2,8:44.0,G. Dieng makes 2-pt dunk at rim,,37,30
136,2,8:27.0,,L. Thomas misses 2-pt jump shot from 18 ft,37,30
137,2,8:25.0,Defensive rebound by L. Brown,,37,30
138,2,8:11.0,Official timeout,,37,30
139,2,8:11.0,,L. Amundson enters the game for J. Smith,37,30
140,2,8:11.0,,A. Bargnani enters the game for S. Larkin,37,30
141,2,8:11.0,,A. Shved enters the game for C. Aldrich,37,30
142,2,8:05.0,Z. LaVine misses 3-pt jump shot from 25 ft,,37,30
143,2,8:03.0,,Defensive rebound by A. Shved,37,30
144,2,7:46.0,,Turnover by L. Amundson (bad pass; steal by C. Budinger),37,30
145,2,7:40.0,Z. LaVine makes 2-pt layup from 1 ft (assist by C. Budinger),,39,30
146,2,7:40.0,Shooting foul by L. Amundson (drawn by Z. LaVine),,39,30
147,2,7:40.0,Z. LaVine makes free throw 1 of 1,,40,30
148,2,7:22.0,,A. Bargnani makes 2-pt jump shot from 3 ft,40,32
149,2,7:15.0,Z. LaVine misses 2-pt layup from 1 ft,,40,32
150,2,7:14.0,Offensive rebound by Team,,40,32
