,QUARTER,TIME_REMAINING,ORLANDO_ACTION,MEMPHIS_ACTION,ORLANDO_SCORE,MEMPHIS_SCORE
0,1,11:41.0,,C. Lee makes 3-pt jump shot from 22 ft (assist by J. Green),0,3
1,1,11:23.0,A. Gordon misses 2-pt jump shot from 10 ft,,0,3
2,1,11:20.0,,Defensive rebound by Z. Randolph,0,3
3,1,11:05.0,,M. Gasol misses 2-pt jump shot from 9 ft,0,3
4,1,11:03.0,Defensive rebound by A. Gordon,,0,3
5,1,10:51.0,C. Frye misses 3-pt jump shot from 24 ft,,0,3
6,1,10:51.0,,Defensive rebound by M. Conley,0,3
7,1,10:41.0,,Shooting foul by A. Gordon (drawn by J. Green),0,3
8,1,10:41.0,,J. Green makes free throw 1 of 2,0,4
9,1,10:41.0,,J. Green makes free throw 2 of 2,0,5
10,1,10:21.0,E. Payton misses 2-pt jump shot from 9 ft,,0,5
11,1,10:21.0,,Defensive rebound by Z. Randolph,0,5
12,1,10:13.0,,M. Conley misses 2-pt layup from 1 ft,0,5
13,1,10:12.0,Defensive rebound by C. Frye,,0,5
14,1,9:58.0,A. Gordon makes 2-pt layup from 3 ft,,2,5
15,1,9:32.0,,J. Green misses 2-pt jump shot from 15 ft,2,5
16,1,9:30.0,Defensive rebound by V. Oladipo,,2,5
17,1,9:24.0,V. Oladipo makes 3-pt jump shot from 24 ft,,5,5
18,1,9:05.0,,M. Gasol makes 2-pt jump shot from 4 ft (assist by Z. Randolph),5,7
19,1,8:48.0,Turnover by N. Vučević (traveling),,5,7
20,1,8:28.0,,Shooting foul by A. Gordon (drawn by Z. Randolph),5,7
21,1,8:28.0,,Z. Randolph makes free throw 1 of 2,5,8
22,1,8:28.0,D. Dedmon enters the game for N. Vučević,,5,8
23,1,8:28.0,,Z. Randolph makes free throw 2 of 2,5,9
24,1,8:18.0,V. Oladipo makes 2-pt jump shot from 7 ft,,7,9
25,1,7:58.0,,M. Gasol makes 2-pt hook shot from 7 ft,7,11
26,1,7:43.0,Shooting foul by J. Green (drawn by D. Dedmon),,7,11
27,1,7:43.0,D. Dedmon misses free throw 1 of 2,,7,11
28,1,7:43.0,Offensive rebound by Team,,7,11
29,1,7:43.0,D. Dedmon misses free throw 2 of 2,,7,11
30,1,7:43.0,Offensive rebound by D. Dedmon,,7,11
31,1,7:40.0,D. Dedmon makes 2-pt dunk at rim,,9,11
32,1,7:08.0,,Z. Randolph makes 2-pt jump shot from 17 ft,9,13
33,1,6:54.0,C. Frye makes 3-pt jump shot from 24 ft (assist by E. Payton),,12,13
34,1,6:38.0,,Z. Randolph makes 2-pt jump shot from 4 ft,12,15
35,1,6:29.0,C. Frye misses 3-pt jump shot from 25 ft,,12,15
36,1,6:28.0,,Defensive rebound by J. Green,12,15
37,1,6:21.0,,Shooting foul by D. Dedmon (drawn by Z. Randolph),12,15
