,QUARTER,TIME_REMAINING,NEW YORK_ACTION,MEMPHIS_ACTION,NEW YORK_SCORE,MEMPHIS_SCORE
0,1,11:49.0,,M. Conley misses 2-pt layup from 3 ft,0,0
1,1,11:48.0,,Offensive rebound by M. Gasol,0,0
2,1,11:48.0,,M. Gasol misses 2-pt tip-in at rim (block by J. Smith),0,0
3,1,11:46.0,,Offensive rebound by M. Conley,0,0
4,1,11:35.0,,J. Stokes misses 2-pt hook shot from 5 ft,0,0
5,1,11:32.0,Defensive rebound by C. Aldrich,,0,0
6,1,11:17.0,Turnover by C. Aldrich (bad pass; steal by M. Conley),,0,0
7,1,11:14.0,,M. Conley makes 2-pt layup at rim,0,2
8,1,10:56.0,J. Smith misses 2-pt jump shot from 17 ft,,0,2
9,1,10:56.0,,Defensive rebound by C. Lee,0,2
10,1,10:48.0,,J. Stokes misses 2-pt dunk at rim (block by C. Aldrich),0,2
11,1,10:45.0,Defensive rebound by J. Smith,,0,2
12,1,10:41.0,T. Hardaway makes 2-pt layup from 1 ft (assist by J. Calderón),,2,2
13,1,10:29.0,,T. Allen makes 2-pt layup from 2 ft (assist by M. Conley),2,4
14,1,10:18.0,T. Hardaway misses 3-pt jump shot from 23 ft (block by T. Allen),,2,4
15,1,10:16.0,,Defensive rebound by M. Gasol,2,4
16,1,10:11.0,,Shooting foul by C. Aldrich (drawn by M. Conley),2,4
17,1,10:11.0,,M. Conley makes free throw 1 of 2,2,5
18,1,10:11.0,Q. Acy enters the game for C. Aldrich,,2,5
19,1,10:11.0,,M. Conley makes free throw 2 of 2,2,6
20,1,9:55.0,J. Smith misses 2-pt jump shot from 17 ft,,2,6
21,1,9:53.0,,Defensive rebound by T. Allen,2,6
22,1,9:42.0,,M. Conley makes 2-pt jump shot from 10 ft,2,8
23,1,9:27.0,Turnover by J. Smith (lost ball; steal by T. Allen),,2,8
24,1,9:11.0,,M. Gasol makes 2-pt jump shot from 7 ft (assist by M. Conley),2,10
25,1,9:04.0,T. Hardaway misses 2-pt layup from 2 ft (block by M. Gasol),,2,10
26,1,9:01.0,,Defensive rebound by M. Conley,2,10
27,1,8:52.0,,M. Gasol misses 2-pt layup from 2 ft,2,10
28,1,8:50.0,Defensive rebound by J. Smith,,2,10
29,1,8:43.0,J. Smith misses 2-pt jump shot from 9 ft,,2,10
30,1,8:42.0,,Defensive rebound by M. Gasol,2,10
31,1,8:31.0,,Shooting foul by Q. Acy (drawn by M. Gasol),2,10
32,1,8:31.0,,M. Gasol makes free throw 1 of 2,2,11
33,1,8:31.0,New York full timeout,,2,11
