,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,GOLDEN STATE_ACTION,MILWAUKEE_SCORE,GOLDEN STATE_SCORE
44,1,6:28.0,K. Middleton makes 2-pt jump shot from 8 ft (assist by M. Carter-Williams),,10,11
45,1,6:14.0,,Golden State full timeout,10,11
46,1,6:14.0,E. İlyasova enters the game for J. Dudley,,10,11
47,1,6:10.0,,H. Barnes makes 2-pt dunk at rim (assist by S. Curry),10,13
48,1,5:46.0,E. İlyasova misses 2-pt jump shot from 22 ft,,10,13
49,1,5:45.0,,Defensive rebound by A. Bogut,10,13
50,1,5:32.0,,S. Curry makes 3-pt jump shot from 24 ft (assist by H. Barnes),10,16
51,1,5:16.0,Z. Pachulia misses 2-pt jump shot from 22 ft,,10,16
52,1,5:15.0,Offensive rebound by M. Carter-Williams,,10,16
53,1,5:04.0,K. Middleton misses 2-pt layup from 1 ft,,10,16
54,1,5:04.0,,Defensive rebound by A. Bogut,10,16
55,1,4:58.0,,S. Curry makes 3-pt jump shot from 28 ft,10,19
56,1,4:46.0,Shooting foul by S. Curry (drawn by M. Carter-Williams),,10,19
57,1,4:46.0,M. Carter-Williams makes free throw 1 of 2,,11,19
58,1,4:46.0,M. Carter-Williams makes free throw 2 of 2,,12,19
59,1,4:35.0,Violation by E. İlyasova (kicked ball),,12,19
60,1,4:27.0,,D. Green makes 3-pt jump shot from 24 ft (assist by S. Curry),12,22
61,1,4:08.0,E. İlyasova makes 3-pt jump shot from 24 ft (assist by Z. Pachulia),,15,22
62,1,3:57.0,Offensive charge foul by A. Bogut (drawn by E. İlyasova),,15,22
63,1,3:57.0,,Turnover by A. Bogut (offensive foul),15,22
64,1,3:57.0,,A. Iguodala enters the game for H. Barnes,15,22
65,1,3:57.0,,J. Holiday enters the game for K. Thompson,15,22
66,1,3:37.0,M. Carter-Williams misses 2-pt layup from 2 ft (block by D. Green),,15,22
67,1,3:36.0,,Defensive rebound by D. Green,15,22
68,1,3:31.0,,S. Curry misses 3-pt jump shot from 29 ft,15,22
69,1,3:30.0,Defensive rebound by K. Middleton,,15,22
70,1,3:18.0,K. Middleton makes 2-pt jump shot from 13 ft (assist by Z. Pachulia),,17,22
71,1,2:53.0,,D. Green makes 3-pt jump shot from 25 ft (assist by S. Curry),17,25
72,1,2:47.0,Milwaukee full timeout,,17,25
73,1,2:47.0,J. Henson enters the game for Z. Pachulia,,17,25
74,1,2:47.0,J. Bayless enters the game for M. Carter-Williams,,17,25
75,1,2:47.0,,D. Lee enters the game for A. Bogut,17,25
76,1,2:36.0,E. İlyasova misses 2-pt jump shot from 18 ft,,17,25
77,1,2:35.0,,Defensive rebound by D. Lee,17,25
78,1,2:16.0,,A. Iguodala misses 2-pt jump shot from 4 ft,17,25
79,1,2:15.0,Defensive rebound by E. İlyasova,,17,25
80,1,1:58.0,J. Henson misses 2-pt layup from 2 ft,,17,25
81,1,1:57.0,Offensive rebound by J. Henson,,17,25
82,1,1:52.0,J. Henson misses 2-pt jump shot from 5 ft,,17,25
83,1,1:51.0,Offensive rebound by E. İlyasova,,17,25
84,1,1:51.0,E. İlyasova misses 2-pt tip-in at rim,,17,25
85,1,1:50.0,,Defensive rebound by D. Lee,17,25
86,1,1:41.0,,A. Iguodala misses 3-pt jump shot from 23 ft,17,25
87,1,1:39.0,Defensive rebound by K. Middleton,,17,25
88,1,1:23.0,E. İlyasova misses 2-pt jump shot from 7 ft,,17,25
89,1,1:22.0,,Defensive rebound by J. Holiday,17,25
90,1,1:17.0,,Shooting foul by G. Antetokounmpo (drawn by D. Lee),17,25
91,1,1:17.0,,D. Lee misses free throw 1 of 2,17,25
92,1,1:17.0,,Offensive rebound by Team,17,25
93,1,1:17.0,,D. Lee misses free throw 2 of 2,17,25
94,1,1:14.0,Defensive rebound by J. Henson,,17,25
95,1,1:07.0,Turnover by K. Middleton (bad pass),,17,25
96,1,1:07.0,J. Dudley enters the game for K. Middleton,,17,25
97,1,0:43.0,,D. Green misses 3-pt jump shot from 25 ft,17,25
98,1,0:41.0,Defensive rebound by G. Antetokounmpo,,17,25
