,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,DENVER_ACTION,CHARLOTTE_SCORE,DENVER_SCORE
0,1,11:45.0,Turnover by G. Henderson (bad pass; steal by J. Nurkić),,0,0
1,1,11:35.0,,D. Gallinari makes 2-pt dunk at rim,0,2
2,1,11:24.0,A. Jefferson misses 2-pt jump shot from 11 ft,,0,2
3,1,11:23.0,,Defensive rebound by Team,0,2
4,1,11:09.0,,D. Gallinari misses 2-pt jump shot from 18 ft,0,2
5,1,11:07.0,,Offensive rebound by J. Nurkić,0,2
6,1,10:57.0,,D. Gallinari misses 2-pt jump shot from 18 ft,0,2
7,1,10:55.0,Defensive rebound by M. Kidd-Gilchrist,,0,2
8,1,10:52.0,Offensive foul by M. Kidd-Gilchrist (drawn by D. Gallinari),,0,2
9,1,10:52.0,Turnover by M. Kidd-Gilchrist (offensive foul),,0,2
10,1,10:37.0,,J. Nurkić makes 2-pt layup from 2 ft (assist by A. Afflalo),0,4
11,1,10:23.0,M. Kidd-Gilchrist misses 2-pt jump shot from 16 ft,,0,4
12,1,10:21.0,,Defensive rebound by D. Gallinari,0,4
13,1,10:08.0,,D. Gallinari misses 2-pt jump shot from 6 ft,0,4
14,1,10:06.0,Defensive rebound by B. Roberts,,0,4
15,1,9:56.0,B. Roberts misses 2-pt jump shot from 11 ft,,0,4
16,1,9:54.0,,Defensive rebound by A. Afflalo,0,4
17,1,9:50.0,,Turnover by D. Gallinari (lost ball),0,4
18,1,9:33.0,A. Jefferson misses 2-pt jump shot from 4 ft (block by J. Nurkić),,0,4
19,1,9:29.0,,Defensive rebound by W. Chandler,0,4
20,1,9:27.0,,D. Gallinari misses 2-pt layup from 2 ft (block by M. Kidd-Gilchrist),0,4
21,1,9:25.0,Defensive rebound by M. Kidd-Gilchrist,,0,4
22,1,9:21.0,B. Roberts misses 3-pt jump shot from 26 ft,,0,4
23,1,9:21.0,Offensive rebound by M. Kidd-Gilchrist,,0,4
24,1,9:21.0,M. Kidd-Gilchrist makes 2-pt layup from 2 ft,,2,4
25,1,9:21.0,Shooting foul by W. Chandler (drawn by M. Kidd-Gilchrist),,2,4
26,1,9:21.0,M. Kidd-Gilchrist makes free throw 1 of 1,,3,4
27,1,8:58.0,,J. Nurkić misses 2-pt jump shot from 17 ft,3,4
28,1,8:57.0,Defensive rebound by M. Kidd-Gilchrist,,3,4
29,1,8:49.0,G. Henderson makes 2-pt jump shot from 15 ft (assist by B. Roberts),,5,4
30,1,8:32.0,,T. Lawson makes 3-pt jump shot from 25 ft (assist by W. Chandler),5,7
31,1,8:15.0,C. Zeller makes 2-pt layup from 1 ft (assist by A. Jefferson),,7,7
32,1,7:57.0,,D. Gallinari misses 3-pt jump shot from 25 ft,7,7
33,1,7:55.0,Defensive rebound by B. Roberts,,7,7
34,1,7:42.0,M. Kidd-Gilchrist misses 2-pt jump shot from 5 ft,,7,7
35,1,7:41.0,,Defensive rebound by W. Chandler,7,7
36,1,7:38.0,,W. Chandler makes 2-pt layup from 3 ft,7,9
37,1,7:38.0,,Shooting foul by G. Henderson (drawn by W. Chandler),7,9
38,1,7:38.0,,W. Chandler makes free throw 1 of 1,7,10
39,1,7:23.0,C. Zeller misses 2-pt jump shot from 22 ft,,7,10
40,1,7:21.0,,Defensive rebound by T. Lawson,7,10
41,1,7:02.0,,A. Afflalo misses 2-pt jump shot from 20 ft,7,10
42,1,7:01.0,Defensive rebound by G. Henderson,,7,10
43,1,6:55.0,G. Henderson makes 2-pt layup from 1 ft,,9,10
44,1,6:39.0,,Shooting foul by B. Roberts (drawn by T. Lawson),9,10
45,1,6:39.0,,T. Lawson makes free throw 1 of 3,9,11
46,1,6:39.0,,T. Lawson misses free throw 2 of 3,9,11
47,1,6:39.0,,Offensive rebound by Team,9,11
48,1,6:39.0,,A. Gee enters the game for W. Chandler,9,11
49,1,6:39.0,,T. Lawson misses free throw 3 of 3,9,11
50,1,6:38.0,Defensive rebound by M. Kidd-Gilchrist,,9,11
51,1,6:21.0,Charlotte full timeout,,9,11
52,1,6:16.0,G. Henderson makes 2-pt dunk at rim (assist by C. Zeller),,11,11
53,1,6:00.0,,Turnover by A. Afflalo (traveling),11,11
54,1,5:41.0,B. Roberts misses 3-pt jump shot from 26 ft,,11,11
55,1,5:40.0,Offensive rebound by Team,,11,11
56,1,5:40.0,,J. Hickson enters the game for D. Gallinari,11,11
57,1,5:33.0,Shooting foul by A. Gee (drawn by M. Kidd-Gilchrist),,11,11
58,1,5:33.0,M. Kidd-Gilchrist misses free throw 1 of 2,,11,11
59,1,5:33.0,Offensive rebound by Team,,11,11
60,1,5:33.0,M. Kidd-Gilchrist makes free throw 2 of 2,,12,11
61,1,5:19.0,,A. Afflalo makes 2-pt jump shot from 14 ft (assist by T. Lawson),12,13
62,1,5:02.0,M. Kidd-Gilchrist makes 2-pt jump shot from 20 ft (assist by B. Roberts),,14,13
63,1,4:35.0,,J. Nurkić misses 2-pt jump shot from 20 ft,14,13
64,1,4:33.0,Defensive rebound by G. Henderson,,14,13
65,1,4:29.0,C. Zeller makes 2-pt dunk at rim (assist by M. Kidd-Gilchrist),,16,13
66,1,4:25.0,,Denver full timeout,16,13
67,1,4:25.0,L. Stephenson enters the game for M. Kidd-Gilchrist,,16,13
68,1,4:25.0,,J. McGee enters the game for J. Nurkić,16,13
69,1,4:11.0,,A. Afflalo misses 2-pt jump shot from 9 ft,16,13
70,1,4:10.0,Defensive rebound by C. Zeller,,16,13
71,1,4:02.0,A. Jefferson misses 2-pt jump shot from 16 ft,,16,13
72,1,4:00.0,,Defensive rebound by J. Hickson,16,13
73,1,3:52.0,,Turnover by T. Lawson (lost ball; steal by L. Stephenson),16,13
74,1,3:46.0,B. Roberts misses 2-pt layup from 2 ft (block by J. Hickson),,16,13
75,1,3:37.0,Offensive rebound by C. Zeller,,16,13
76,1,3:37.0,C. Zeller makes 2-pt layup at rim,,18,13
77,1,3:23.0,,Shooting foul by B. Roberts (drawn by T. Lawson),18,13
78,1,3:23.0,,T. Lawson makes free throw 1 of 2,18,14
79,1,3:23.0,J. Maxiell enters the game for A. Jefferson,,18,14
80,1,3:23.0,G. Neal enters the game for B. Roberts,,18,14
81,1,3:23.0,,R. Foye enters the game for A. Afflalo,18,14
82,1,3:23.0,,T. Lawson makes free throw 2 of 2,18,15
83,1,3:05.0,C. Zeller makes 2-pt dunk at rim (assist by L. Stephenson),,20,15
84,1,2:55.0,,J. McGee misses 2-pt dunk at rim,20,15
85,1,2:53.0,Defensive rebound by J. Maxiell,,20,15
86,1,2:47.0,C. Zeller makes 2-pt layup at rim (assist by L. Stephenson),,22,15
87,1,2:32.0,,R. Foye misses 3-pt jump shot from 25 ft,22,15
88,1,2:31.0,Defensive rebound by C. Zeller,,22,15
89,1,2:26.0,Shooting foul by J. Hickson (drawn by G. Neal),,22,15
90,1,2:26.0,G. Neal makes free throw 1 of 2,,23,15
91,1,2:26.0,,J. Nelson enters the game for T. Lawson,23,15
92,1,2:26.0,G. Neal makes free throw 2 of 2,,24,15
93,1,2:06.0,,R. Foye misses 3-pt jump shot from 25 ft,24,15
94,1,2:04.0,Defensive rebound by C. Zeller,,24,15
95,1,1:50.0,G. Henderson misses 2-pt jump shot from 11 ft,,24,15
96,1,1:49.0,Offensive rebound by J. Maxiell,,24,15
97,1,1:48.0,J. Maxiell makes 2-pt layup from 1 ft,,26,15
98,1,1:36.0,,J. Nelson misses 2-pt jump shot from 14 ft,26,15
99,1,1:34.0,Defensive rebound by C. Zeller,,26,15
100,1,1:16.0,C. Zeller makes 2-pt layup from 1 ft (assist by G. Neal),,28,15
101,1,0:58.0,,J. McGee misses 2-pt dunk at rim (block by J. Maxiell),28,15
102,1,0:57.0,,Offensive rebound by Team,28,15
103,1,0:57.0,M. Kidd-Gilchrist enters the game for G. Henderson,,28,15
104,1,0:50.0,,J. McGee misses 2-pt jump shot from 7 ft,28,15
105,1,0:49.0,Defensive rebound by C. Zeller,,28,15
106,1,0:45.0,Shooting foul by J. Nelson (drawn by L. Stephenson),,28,15
107,1,0:45.0,L. Stephenson misses free throw 1 of 2,,28,15
108,1,0:45.0,Offensive rebound by Team,,28,15
109,1,0:45.0,L. Stephenson misses free throw 2 of 2,,28,15
110,1,0:43.0,,Defensive rebound by J. Hickson,28,15
111,1,0:24.0,,J. Nelson misses 3-pt jump shot from 25 ft,28,15
112,1,0:22.0,Defensive rebound by L. Stephenson,,28,15
113,1,0:05.0,C. Zeller makes 2-pt dunk at rim (assist by L. Stephenson),,30,15
114,2,11:45.0,,J. Nelson makes 2-pt jump shot from 5 ft (assist by T. Lawson),30,17
115,2,11:27.0,G. Neal makes 2-pt jump shot from 21 ft (assist by L. Stephenson),,32,17
116,2,11:14.0,,Shooting foul by L. Stephenson (drawn by J. Nelson),32,17
117,2,11:14.0,,J. Nelson misses free throw 1 of 2,32,17
118,2,11:14.0,,Offensive rebound by Team,32,17
119,2,11:14.0,,J. Nelson makes free throw 2 of 2,32,18
120,2,10:58.0,J. Maxiell misses 2-pt jump shot from 4 ft (block by J. Nurkić),,32,18
121,2,10:57.0,Offensive rebound by Team,,32,18
122,2,10:52.0,J. Maxiell makes 2-pt hook shot from 5 ft (assist by G. Neal),,34,18
