,QUARTER,TIME_REMAINING,DENVER_ACTION,OKLAHOMA CITY_ACTION,DENVER_SCORE,OKLAHOMA CITY_SCORE
0,1,11:48.0,,S. Ibaka misses 2-pt jump shot from 16 ft,0,0
1,1,11:47.0,,Offensive rebound by A. Roberson,0,0
2,1,11:42.0,,R. Westbrook misses 3-pt jump shot from 24 ft,0,0
3,1,11:41.0,,Offensive rebound by A. Roberson,0,0
4,1,11:37.0,,R. Westbrook makes 2-pt layup from 1 ft (assist by A. Roberson),0,2
5,1,11:16.0,W. Chandler misses 3-pt jump shot from 22 ft,,0,2
6,1,11:14.0,,Defensive rebound by S. Ibaka,0,2
7,1,11:02.0,,Shooting foul by J. Nurkić (drawn by E. Freedom),0,2
8,1,11:02.0,,E. Freedom makes free throw 1 of 2,0,3
9,1,11:02.0,,E. Freedom makes free throw 2 of 2,0,4
10,1,10:52.0,J. Nurkić misses 2-pt jump shot from 4 ft (block by S. Ibaka),,0,4
11,1,10:51.0,Offensive rebound by J. Nurkić,,0,4
12,1,10:50.0,Personal foul by K. Singler (drawn by J. Nurkić),,0,4
13,1,10:37.0,T. Lawson misses 2-pt jump shot from 15 ft,,0,4
14,1,10:36.0,Offensive rebound by J. Nurkić,,0,4
15,1,10:36.0,J. Nurkić makes 2-pt tip-in from 1 ft,,2,4
16,1,10:13.0,,R. Westbrook misses 2-pt jump shot from 15 ft,2,4
17,1,10:12.0,Defensive rebound by W. Chandler,,2,4
18,1,10:05.0,D. Gallinari makes 3-pt jump shot from 25 ft (assist by W. Chandler),,5,4
19,1,9:46.0,,K. Singler makes 2-pt jump shot from 15 ft (assist by E. Freedom),5,6
20,1,9:38.0,Turnover by D. Gallinari (lost ball; steal by A. Roberson),,5,6
21,1,9:35.0,,Turnover by A. Roberson (lost ball; steal by W. Chandler),5,6
22,1,9:31.0,W. Chandler misses 2-pt jump shot from 8 ft,,5,6
23,1,9:29.0,Offensive rebound by K. Faried,,5,6
24,1,9:29.0,K. Faried misses 2-pt layup from 1 ft,,5,6
25,1,9:27.0,,Defensive rebound by K. Singler,5,6
26,1,9:24.0,,Oklahoma City full timeout,5,6
27,1,9:24.0,,D. Waiters enters the game for A. Roberson,5,6
28,1,9:16.0,,E. Freedom misses 2-pt layup from 1 ft (block by K. Faried),5,6
29,1,9:16.0,Defensive rebound by Team,,5,6
30,1,9:05.0,T. Lawson makes 2-pt jump shot from 11 ft,,7,6
31,1,8:49.0,,E. Freedom makes 2-pt hook shot from 5 ft (assist by R. Westbrook),7,8
32,1,8:37.0,D. Gallinari makes 3-pt jump shot from 22 ft (assist by T. Lawson),,10,8
33,1,8:25.0,,R. Westbrook misses 2-pt layup from 2 ft (block by W. Chandler),10,8
34,1,8:25.0,,Offensive rebound by Team,10,8
35,1,8:17.0,,K. Singler makes 2-pt layup from 1 ft,10,10
36,1,7:58.0,J. Nurkić misses 2-pt hook shot from 4 ft,,10,10
37,1,7:57.0,,Defensive rebound by S. Ibaka,10,10
38,1,7:51.0,,D. Waiters makes 2-pt jump shot from 17 ft,10,12
39,1,7:30.0,W. Chandler misses 2-pt jump shot from 2 ft,,10,12
40,1,7:29.0,Offensive rebound by W. Chandler,,10,12
41,1,7:29.0,W. Chandler makes 2-pt tip-in from 2 ft,,12,12
42,1,7:12.0,,S. Ibaka misses 2-pt jump shot from 3 ft,12,12
43,1,7:12.0,Defensive rebound by K. Faried,,12,12
44,1,6:54.0,K. Faried misses 2-pt layup from 1 ft (block by S. Ibaka),,12,12
45,1,6:53.0,,Defensive rebound by R. Westbrook,12,12
46,1,6:48.0,,R. Westbrook makes 2-pt layup from 1 ft,12,14
47,1,6:33.0,D. Gallinari misses 2-pt jump shot from 22 ft,,12,14
48,1,6:32.0,Offensive rebound by J. Nurkić,,12,14
49,1,6:30.0,J. Nurkić misses 2-pt hook shot from 3 ft,,12,14
50,1,6:28.0,,Defensive rebound by R. Westbrook,12,14
51,1,6:26.0,,Shooting foul by T. Lawson (drawn by R. Westbrook),12,14
52,1,6:26.0,,R. Westbrook makes free throw 1 of 2,12,15
53,1,6:26.0,R. Foye enters the game for W. Chandler,,12,15
54,1,6:26.0,,R. Westbrook makes free throw 2 of 2,12,16
55,1,6:15.0,R. Foye misses 3-pt jump shot from 24 ft,,12,16
56,1,6:13.0,,Defensive rebound by D. Waiters,12,16
57,1,6:05.0,,D. Waiters makes 2-pt jump shot from 19 ft,12,18
58,1,5:49.0,Turnover by T. Lawson (bad pass; steal by S. Ibaka),,12,18
59,1,5:46.0,,Personal foul by D. Gallinari (drawn by R. Westbrook),12,18
60,1,5:46.0,,Oklahoma City full timeout,12,18
61,1,5:36.0,,R. Westbrook makes 2-pt layup from 1 ft (assist by E. Freedom),12,20
62,1,5:14.0,T. Lawson misses 2-pt jump shot from 13 ft,,12,20
63,1,5:13.0,,Defensive rebound by E. Freedom,12,20
64,1,5:03.0,,D. Waiters misses 2-pt layup at rim,12,20
65,1,5:02.0,,Offensive rebound by E. Freedom,12,20
66,1,5:01.0,,E. Freedom makes 2-pt dunk at rim,12,22
67,1,4:52.0,D. Gallinari misses 2-pt dunk from 2 ft (block by S. Ibaka),,12,22
68,1,4:48.0,Offensive rebound by D. Gallinari,,12,22
