,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,LA LAKERS_ACTION,BROOKLYN_SCORE,LA LAKERS_SCORE
0,1,11:43.0,,R. Kelly misses 3-pt jump shot from 26 ft,0,0
1,1,11:41.0,,Offensive rebound by R. Sacre,0,0
2,1,11:38.0,,R. Sacre makes 2-pt hook shot from 1 ft,0,2
3,1,11:27.0,Shooting foul by R. Kelly (drawn by J. Johnson),,0,2
4,1,11:27.0,J. Johnson makes 2-pt jump shot from 4 ft (assist by D. Williams),,2,2
5,1,11:27.0,J. Johnson makes free throw 1 of 1,,3,2
6,1,11:11.0,,J. Clarkson misses 3-pt jump shot from 24 ft,3,2
7,1,11:09.0,,Offensive rebound by T. Black,3,2
8,1,10:58.0,,W. Ellington misses 3-pt jump shot from 24 ft,3,2
9,1,10:57.0,Defensive rebound by B. Bogdanović,,3,2
10,1,10:50.0,J. Johnson makes 3-pt jump shot from 25 ft (assist by D. Williams),,6,2
11,1,10:26.0,,Shooting foul by B. Bogdanović (drawn by R. Kelly),6,2
12,1,10:26.0,,R. Kelly makes free throw 1 of 3,6,3
13,1,10:26.0,,R. Kelly makes free throw 2 of 3,6,4
14,1,10:26.0,,R. Kelly makes free throw 3 of 3,6,5
15,1,10:14.0,J. Johnson misses 3-pt jump shot from 22 ft,,6,5
16,1,10:12.0,,Defensive rebound by T. Black,6,5
17,1,10:04.0,,W. Ellington misses 3-pt jump shot from 22 ft,6,5
18,1,10:03.0,Defensive rebound by M. Plumlee,,6,5
19,1,9:53.0,D. Williams makes 2-pt jump shot from 19 ft,,8,5
20,1,9:27.0,,R. Kelly misses 2-pt jump shot from 16 ft,8,5
21,1,9:25.0,,Offensive rebound by R. Kelly,8,5
22,1,9:22.0,,R. Kelly makes 2-pt tip-in from 1 ft,8,7
23,1,9:06.0,D. Williams misses 3-pt jump shot from 24 ft,,8,7
24,1,9:04.0,,Defensive rebound by T. Black,8,7
25,1,8:55.0,,R. Sacre makes 2-pt layup from 1 ft (assist by W. Ellington),8,9
26,1,8:43.0,M. Plumlee misses 2-pt jump shot from 3 ft,,8,9
27,1,8:42.0,,Defensive rebound by R. Sacre,8,9
28,1,8:35.0,,Personal foul by M. Plumlee (drawn by T. Black),8,9
29,1,8:35.0,B. Lopez enters the game for M. Plumlee,,8,9
30,1,8:29.0,,R. Kelly makes 2-pt jump shot from 16 ft (assist by R. Sacre),8,11
31,1,8:05.0,B. Bogdanović misses 3-pt jump shot from 24 ft,,8,11
32,1,8:04.0,Offensive rebound by Team,,8,11
33,1,8:04.0,,Loose ball foul by J. Clarkson (drawn by J. Johnson),8,11
34,1,8:00.0,B. Bogdanović misses 2-pt jump shot from 14 ft,,8,11
35,1,7:57.0,,Defensive rebound by J. Clarkson,8,11
36,1,7:50.0,,T. Black misses 2-pt layup from 2 ft,8,11
37,1,7:50.0,Defensive rebound by Team,,8,11
38,1,7:50.0,,Loose ball foul by R. Sacre (drawn by B. Lopez),8,11
39,1,7:43.0,B. Bogdanović makes 2-pt dunk at rim (assist by D. Williams),,10,11
40,1,7:32.0,,J. Clarkson makes 3-pt jump shot from 25 ft,10,14
41,1,7:23.0,D. Williams makes 2-pt jump shot from 7 ft,,12,14
42,1,7:09.0,,T. Black makes 2-pt jump shot from 4 ft (assist by J. Clarkson),12,16
43,1,6:47.0,J. Johnson misses 2-pt jump shot from 14 ft,,12,16
44,1,6:46.0,,Defensive rebound by Team,12,16
45,1,6:34.0,,Turnover by T. Black (lost ball),12,16
46,1,6:20.0,B. Bogdanović makes 2-pt layup from 2 ft (assist by D. Williams),,14,16
47,1,6:12.0,,J. Clarkson makes 2-pt jump shot from 15 ft,14,18
48,1,6:03.0,B. Bogdanović makes 2-pt layup from 1 ft (assist by D. Williams),,16,18
49,1,5:43.0,,J. Clarkson makes 2-pt jump shot from 9 ft (assist by R. Sacre),16,20
50,1,5:43.0,,Shooting foul by J. Johnson (drawn by J. Clarkson),16,20
51,1,5:43.0,,LA Lakers full timeout,16,20
52,1,5:43.0,,J. Clarkson makes free throw 1 of 1,16,21
53,1,5:28.0,A. Anderson makes 2-pt layup from 1 ft (assist by B. Bogdanović),,18,21
54,1,5:11.0,,T. Black misses 2-pt layup from 2 ft,18,21
55,1,5:11.0,,Offensive rebound by R. Sacre,18,21
56,1,5:11.0,,Shooting foul by B. Lopez (drawn by R. Sacre),18,21
57,1,5:11.0,,R. Sacre misses free throw 1 of 2,18,21
58,1,5:11.0,,Offensive rebound by Team,18,21
59,1,5:11.0,,R. Sacre makes free throw 2 of 2,18,22
60,1,4:59.0,Turnover by D. Williams (bad pass; steal by R. Sacre),,18,22
61,1,4:49.0,,W. Ellington makes 2-pt layup from 2 ft (assist by J. Clarkson),18,24
62,1,4:37.0,Shooting foul by T. Black (drawn by J. Johnson),,18,24
63,1,4:37.0,J. Johnson makes free throw 1 of 2,,19,24
64,1,4:37.0,,J. Hill enters the game for R. Sacre,19,24
65,1,4:37.0,,E. Davis enters the game for T. Black,19,24
66,1,4:37.0,J. Johnson makes free throw 2 of 2,,20,24
67,1,4:23.0,,W. Ellington misses 3-pt jump shot from 22 ft,20,24
68,1,4:22.0,Defensive rebound by J. Johnson,,20,24
69,1,4:09.0,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by A. Anderson),,23,24
70,1,3:54.0,,J. Clarkson misses 3-pt jump shot from 25 ft,23,24
71,1,3:53.0,Defensive rebound by A. Anderson,,23,24
72,1,3:46.0,D. Williams misses 2-pt jump shot from 13 ft,,23,24
73,1,3:44.0,Offensive rebound by B. Lopez,,23,24
74,1,3:44.0,B. Lopez misses 2-pt tip-in at rim,,23,24
75,1,3:40.0,Offensive rebound by B. Lopez,,23,24
76,1,3:40.0,B. Lopez makes 2-pt layup at rim,,25,24
77,1,3:20.0,,N. Young enters the game for R. Kelly,25,24
78,1,3:20.0,,R. Price enters the game for W. Ellington,25,24
79,1,3:20.0,,J. Lin enters the game for J. Clarkson,25,24
80,1,3:17.0,,J. Hill misses 2-pt jump shot from 17 ft,25,24
81,1,3:16.0,Defensive rebound by B. Bogdanović,,25,24
82,1,3:05.0,B. Lopez misses 2-pt hook shot from 3 ft,,25,24
83,1,3:03.0,,Defensive rebound by E. Davis,25,24
84,1,2:53.0,,E. Davis makes 2-pt layup from 1 ft (assist by R. Price),25,26
85,1,2:47.0,Brooklyn full timeout,,25,26
86,1,2:47.0,M. Plumlee enters the game for J. Johnson,,25,26
87,1,2:47.0,D. Morris enters the game for A. Anderson,,25,26
88,1,2:47.0,M. Brown enters the game for D. Williams,,25,26
89,1,2:35.0,B. Lopez makes 2-pt layup from 1 ft (assist by M. Brown),,27,26
90,1,2:15.0,,J. Hill misses 2-pt layup from 1 ft,27,26
91,1,2:14.0,Defensive rebound by M. Plumlee,,27,26
92,1,2:07.0,B. Lopez makes 2-pt layup from 2 ft (assist by D. Morris),,29,26
93,1,1:45.0,,J. Lin makes 2-pt jump shot from 22 ft (assist by R. Price),29,28
94,1,1:32.0,B. Lopez misses 2-pt jump shot from 21 ft,,29,28
95,1,1:31.0,,Defensive rebound by E. Davis,29,28
96,1,1:21.0,,E. Davis makes 2-pt dunk at rim (assist by R. Price),29,30
97,1,0:58.0,Shooting foul by J. Lin (drawn by B. Lopez),,29,30
98,1,0:58.0,B. Lopez makes free throw 1 of 2,,30,30
99,1,0:58.0,B. Lopez misses free throw 2 of 2,,30,30
100,1,0:57.0,,Defensive rebound by J. Hill,30,30
101,1,0:39.0,,N. Young misses 3-pt jump shot from 25 ft,30,30
102,1,0:37.0,Defensive rebound by M. Plumlee,,30,30
103,1,0:32.0,M. Brown makes 2-pt layup from 1 ft (assist by M. Plumlee),,32,30
104,1,0:14.0,,R. Price makes 2-pt layup from 2 ft,32,32
105,1,0:00.0,D. Morris makes 2-pt jump shot from 7 ft,,34,32
106,2,11:47.0,M. Brown misses 3-pt jump shot from 25 ft,,34,32
107,2,11:44.0,Offensive rebound by B. Lopez,,34,32
108,2,11:43.0,Shooting foul by E. Davis (drawn by B. Lopez),,34,32
109,2,11:43.0,B. Lopez makes free throw 1 of 2,,35,32
110,2,11:43.0,B. Lopez makes free throw 2 of 2,,36,32
111,2,11:30.0,,N. Young misses 2-pt jump shot from 15 ft,36,32
112,2,11:27.0,,Offensive rebound by J. Hill,36,32
113,2,11:21.0,,Turnover by N. Young (bad pass; steal by M. Plumlee),36,32
114,2,11:06.0,Turnover by B. Bogdanović (bad pass; steal by J. Hill),,36,32
115,2,10:58.0,,J. Hill makes 2-pt layup from 2 ft (assist by E. Davis),36,34
116,2,10:40.0,B. Bogdanović makes 3-pt jump shot from 24 ft (assist by D. Morris),,39,34
117,2,10:15.0,,J. Hill misses 2-pt jump shot from 11 ft,39,34
118,2,10:13.0,,Offensive rebound by E. Davis,39,34
119,2,10:09.0,,E. Davis makes 2-pt layup from 1 ft,39,36
120,2,10:03.0,Turnover by D. Morris (lost ball; steal by R. Price),,39,36
121,2,9:59.0,,R. Price makes 2-pt dunk at rim,39,38
122,2,9:58.0,Brooklyn full timeout,,39,38
123,2,9:58.0,D. Williams enters the game for M. Plumlee,,39,38
124,2,9:58.0,T. Young enters the game for D. Morris,,39,38
125,2,9:49.0,T. Young makes 2-pt jump shot from 7 ft (assist by D. Williams),,41,38
126,2,9:22.0,,J. Hill misses 2-pt jump shot from 19 ft,41,38
127,2,9:21.0,Defensive rebound by B. Bogdanović,,41,38
128,2,9:13.0,B. Lopez misses 2-pt hook shot from 6 ft,,41,38
129,2,9:10.0,,Defensive rebound by E. Davis,41,38
130,2,9:01.0,,N. Young misses 2-pt jump shot from 19 ft,41,38
131,2,8:54.0,Defensive rebound by D. Williams,,41,38
132,2,8:50.0,M. Brown makes 2-pt dunk at rim (assist by T. Young),,43,38
133,2,8:37.0,,Turnover by J. Lin (lost ball; steal by M. Brown),43,38
134,2,8:30.0,T. Young misses 2-pt layup from 2 ft (block by E. Davis),,43,38
135,2,8:27.0,Offensive rebound by T. Young,,43,38
136,2,8:22.0,B. Lopez makes 2-pt hook shot from 10 ft (assist by B. Bogdanović),,45,38
137,2,8:03.0,,J. Hill misses 2-pt jump shot from 6 ft,45,38
138,2,7:59.0,Defensive rebound by D. Williams,,45,38
139,2,7:56.0,Turnover by D. Williams (bad pass; steal by R. Price),,45,38
140,2,7:42.0,,E. Davis misses 2-pt jump shot from 4 ft,45,38
141,2,7:41.0,Defensive rebound by B. Lopez,,45,38
