,QUARTER,TIME_REMAINING,PORTLAND_ACTION,HOUSTON_ACTION,PORTLAND_SCORE,HOUSTON_SCORE
0,1,11:43.0,,P. Beverley misses 3-pt jump shot from 24 ft,0,0
1,1,11:41.0,Defensive rebound by W. Matthews,,0,0
2,1,11:30.0,Turnover by N. Batum (lost ball),,0,0
3,1,11:25.0,,T. Ariza misses 2-pt jump shot from 22 ft,0,0
4,1,11:23.0,Defensive rebound by R. Lopez,,0,0
5,1,11:09.0,W. Matthews misses 2-pt jump shot from 9 ft,,0,0
6,1,11:08.0,Offensive rebound by Team,,0,0
7,1,10:55.0,L. Aldridge misses 3-pt jump shot from 24 ft,,0,0
8,1,10:53.0,,Defensive rebound by T. Ariza,0,0
9,1,10:42.0,,D. Motiejūnas misses 2-pt hook shot from 6 ft,0,0
10,1,10:40.0,Defensive rebound by R. Lopez,,0,0
11,1,10:16.0,W. Matthews makes 3-pt jump shot from 24 ft (assist by L. Aldridge),,3,0
12,1,10:00.0,,J. Harden misses 3-pt jump shot from 25 ft,3,0
13,1,9:59.0,Defensive rebound by L. Aldridge,,3,0
14,1,9:43.0,L. Aldridge misses 2-pt jump shot from 12 ft,,3,0
15,1,9:40.0,,Defensive rebound by Team,3,0
16,1,9:28.0,,J. Dorsey misses 2-pt layup from 1 ft (block by L. Aldridge),3,0
17,1,9:26.0,,Offensive rebound by J. Dorsey,3,0
18,1,9:22.0,,D. Motiejūnas makes 3-pt jump shot from 24 ft (assist by J. Harden),3,3
19,1,8:58.0,L. Aldridge makes 2-pt layup from 2 ft,,5,3
20,1,8:41.0,,J. Harden makes 2-pt jump shot from 17 ft,5,5
21,1,8:29.0,D. Lillard makes 2-pt jump shot from 19 ft,,7,5
22,1,8:16.0,,Shooting foul by L. Aldridge (drawn by D. Motiejūnas),7,5
23,1,8:16.0,,D. Motiejūnas misses free throw 1 of 2,7,5
24,1,8:16.0,,Offensive rebound by Team,7,5
25,1,8:16.0,,D. Motiejūnas misses free throw 2 of 2,7,5
26,1,8:16.0,,Offensive rebound by T. Ariza,7,5
27,1,8:06.0,,J. Harden misses 2-pt layup from 1 ft (block by L. Aldridge),7,5
28,1,8:04.0,Defensive rebound by W. Matthews,,7,5
29,1,7:52.0,W. Matthews misses 3-pt jump shot from 24 ft,,7,5
30,1,7:51.0,,Defensive rebound by T. Ariza,7,5
31,1,7:39.0,,Turnover by J. Harden (bad pass; steal by W. Matthews),7,5
32,1,7:21.0,R. Lopez makes 2-pt hook shot from 6 ft (assist by D. Lillard),,9,5
33,1,7:12.0,,P. Beverley makes 2-pt jump shot from 8 ft,9,7
34,1,6:54.0,N. Batum misses 3-pt jump shot from 26 ft,,9,7
35,1,6:53.0,,Defensive rebound by J. Harden,9,7
36,1,6:48.0,,Shooting foul by D. Lillard (drawn by J. Harden),9,7
37,1,6:48.0,,J. Harden makes free throw 1 of 2,9,8
38,1,6:48.0,,J. Harden makes free throw 2 of 2,9,9
39,1,6:38.0,Personal foul by P. Beverley (drawn by D. Lillard),,9,9
40,1,6:32.0,Turnover by N. Batum (lost ball; steal by T. Ariza),,9,9
41,1,6:26.0,,J. Dorsey makes 2-pt dunk at rim (assist by D. Motiejūnas),9,11
42,1,6:01.0,L. Aldridge makes 2-pt tip-in from 2 ft,,11,11
43,1,6:01.0,L. Aldridge misses 2-pt jump shot from 2 ft,,11,11
44,1,6:01.0,Offensive rebound by L. Aldridge,,11,11
45,1,5:47.0,,J. Harden makes 2-pt jump shot from 13 ft,11,13
46,1,5:35.0,N. Batum misses 3-pt jump shot from 22 ft,,11,13
47,1,5:34.0,,Defensive rebound by J. Dorsey,11,13
48,1,5:30.0,,Clear path foul by R. Lopez,11,13
49,1,5:30.0,,Houston full timeout,11,13
50,1,5:30.0,,J. Smith enters the game for J. Dorsey,11,13
51,1,5:30.0,C. Kaman enters the game for R. Lopez,,11,13
52,1,5:30.0,S. Blake enters the game for W. Matthews,,11,13
53,1,5:30.0,,D. Motiejūnas makes clear path free throw 1 of 2,11,14
54,1,5:30.0,,D. Motiejūnas misses clear path free throw 2 of 2,11,14
55,1,5:30.0,,Offensive rebound by Team,11,14
56,1,5:19.0,,J. Harden misses 2-pt jump shot from 17 ft,11,14
57,1,5:15.0,,Offensive rebound by P. Beverley,11,14
58,1,5:12.0,,J. Smith makes 3-pt jump shot from 24 ft (assist by T. Ariza),11,17
59,1,4:57.0,Personal foul by T. Ariza (drawn by N. Batum),,11,17
60,1,4:49.0,Turnover by S. Blake (bad pass; steal by J. Harden),,11,17
61,1,4:45.0,,J. Smith makes 2-pt dunk at rim (assist by J. Harden),11,19
62,1,4:44.0,Portland full timeout,,11,19
63,1,4:44.0,W. Barton enters the game for N. Batum,,11,19
64,1,4:22.0,L. Aldridge misses 2-pt jump shot from 17 ft,,11,19
65,1,4:20.0,Offensive rebound by S. Blake,,11,19
66,1,4:03.0,Personal foul by J. Smith (drawn by L. Aldridge),,11,19
67,1,4:03.0,,C. Brewer enters the game for T. Ariza,11,19
68,1,4:03.0,,T. Jones enters the game for D. Motiejūnas,11,19
69,1,3:59.0,D. Lillard makes 2-pt layup at rim,,13,19
70,1,3:59.0,Shooting foul by T. Jones (drawn by D. Lillard),,13,19
71,1,3:59.0,D. Lillard makes free throw 1 of 1,,14,19
72,1,3:40.0,,J. Harden misses 2-pt jump shot from 8 ft,14,19
73,1,3:37.0,,Offensive rebound by P. Beverley,14,19
74,1,3:32.0,,J. Harden makes 2-pt layup from 2 ft (assist by P. Beverley),14,21
75,1,3:19.0,L. Aldridge misses 2-pt jump shot from 3 ft,,14,21
76,1,3:17.0,Offensive rebound by Team,,14,21
77,1,3:09.0,S. Blake makes 3-pt jump shot from 23 ft (assist by D. Lillard),,17,21
78,1,2:56.0,,T. Jones makes 2-pt layup from 1 ft (assist by J. Harden),17,23
79,1,2:37.0,S. Blake makes 2-pt layup from 3 ft,,19,23
80,1,2:37.0,Shooting foul by T. Jones (drawn by S. Blake),,19,23
81,1,2:37.0,,J. Terry enters the game for P. Beverley,19,23
82,1,2:37.0,S. Blake misses free throw 1 of 1,,19,23
83,1,2:37.0,,Defensive rebound by J. Smith,19,23
84,1,2:22.0,,Shooting foul by C. Kaman (drawn by J. Harden),19,23
85,1,2:22.0,,J. Harden makes free throw 1 of 2,19,24
86,1,2:22.0,C. McCollum enters the game for D. Lillard,,19,24
87,1,2:22.0,,J. Harden makes free throw 2 of 2,19,25
88,1,2:07.0,Shooting foul by C. Brewer (drawn by L. Aldridge),,19,25
89,1,2:07.0,L. Aldridge makes free throw 1 of 2,,20,25
90,1,2:07.0,L. Aldridge makes free throw 2 of 2,,21,25
91,1,1:45.0,,J. Harden misses 2-pt jump shot from 16 ft,21,25
92,1,1:43.0,Defensive rebound by C. Kaman,,21,25
93,1,1:28.0,L. Aldridge makes 2-pt hook shot from 4 ft (assist by W. Barton),,23,25
94,1,1:07.0,,Personal foul by W. Barton (drawn by J. Harden),23,25
95,1,1:07.0,,J. Harden makes free throw 1 of 2,23,26
96,1,1:07.0,,J. Harden makes free throw 2 of 2,23,27
97,1,0:46.0,W. Barton misses 3-pt jump shot from 23 ft,,23,27
98,1,0:42.0,,Defensive rebound by J. Harden,23,27
99,1,0:37.0,,Turnover by J. Smith (traveling),23,27
100,1,0:19.0,C. McCollum makes 3-pt jump shot from 26 ft (assist by L. Aldridge),,26,27
101,1,0:03.0,,Turnover by J. Harden (lost ball; steal by L. Aldridge),26,27
102,1,0:00.0,W. Barton misses 2-pt jump shot from 14 ft,,26,27
103,1,0:00.0,Offensive rebound by Team,,26,27
104,2,11:44.0,Personal foul by J. Terry (drawn by S. Blake),,26,27
105,2,11:35.0,Personal foul by J. Smith (drawn by C. Kaman),,26,27
106,2,11:26.0,C. Kaman makes 2-pt jump shot from 8 ft,,28,27
