,QUARTER,TIME_REMAINING,ORLANDO_ACTION,CHICAGO_ACTION,ORLANDO_SCORE,CHICAGO_SCORE
0,1,11:42.0,E. Payton makes 2-pt layup from 2 ft (assist by N. Vučević),,2,0
1,1,11:22.0,,P. Gasol misses 2-pt jump shot from 16 ft,2,0
2,1,11:21.0,,Offensive rebound by J. Noah,2,0
3,1,11:15.0,,D. Rose makes 2-pt jump shot from 10 ft,2,2
4,1,11:15.0,,Shooting foul by E. Payton (drawn by D. Rose),2,2
5,1,11:15.0,,D. Rose misses free throw 1 of 1,2,2
6,1,11:13.0,Defensive rebound by N. Vučević,,2,2
7,1,11:05.0,N. Vučević makes 2-pt jump shot from 19 ft (assist by E. Payton),,4,2
8,1,10:51.0,,Turnover by P. Gasol (bad pass; steal by D. Marble),4,2
9,1,10:43.0,C. Frye misses 3-pt jump shot from 24 ft,,4,2
10,1,10:43.0,,Defensive rebound by Team,4,2
11,1,10:30.0,,D. Rose misses 3-pt jump shot from 24 ft,4,2
12,1,10:30.0,,Offensive rebound by Team,4,2
13,1,10:30.0,Loose ball foul by C. Frye (drawn by J. Noah),,4,2
14,1,10:19.0,Violation by V. Oladipo (kicked ball),,4,2
15,1,10:13.0,,P. Gasol misses 3-pt jump shot from 22 ft,4,2
16,1,10:12.0,Defensive rebound by D. Marble,,4,2
17,1,10:04.0,C. Frye misses 3-pt jump shot from 25 ft,,4,2
18,1,10:03.0,,Defensive rebound by P. Gasol,4,2
19,1,9:40.0,,J. Butler makes 3-pt jump shot from 22 ft (assist by T. Snell),4,5
20,1,9:28.0,V. Oladipo makes 2-pt layup from 1 ft (assist by C. Frye),,6,5
21,1,9:16.0,,D. Rose makes 2-pt jump shot from 6 ft,6,7
22,1,9:11.0,N. Vučević makes 2-pt layup from 2 ft (assist by E. Payton),,8,7
23,1,9:11.0,Shooting foul by J. Noah (drawn by N. Vučević),,8,7
24,1,9:11.0,N. Vučević misses free throw 1 of 1,,8,7
25,1,9:09.0,Offensive rebound by Team,,8,7
26,1,9:02.0,E. Payton makes 2-pt jump shot from 14 ft,,10,7
27,1,8:39.0,,T. Snell makes 2-pt jump shot from 16 ft (assist by D. Rose),10,9
28,1,8:31.0,N. Vučević makes 2-pt dunk at rim (assist by D. Marble),,12,9
29,1,8:10.0,,Turnover by J. Butler (bad pass; steal by C. Frye),12,9
30,1,7:58.0,V. Oladipo misses 2-pt jump shot from 3 ft (block by J. Noah),,12,9
31,1,7:57.0,,Defensive rebound by J. Noah,12,9
32,1,7:48.0,,J. Butler misses 2-pt jump shot from 13 ft,12,9
33,1,7:47.0,Defensive rebound by N. Vučević,,12,9
34,1,7:39.0,N. Vučević makes 2-pt jump shot from 9 ft (assist by E. Payton),,14,9
35,1,7:21.0,,P. Gasol misses 2-pt hook shot from 6 ft,14,9
36,1,7:20.0,Defensive rebound by N. Vučević,,14,9
37,1,7:16.0,Offensive foul by C. Frye (drawn by T. Snell),,14,9
38,1,7:16.0,Turnover by C. Frye (offensive foul),,14,9
39,1,7:04.0,,Turnover by D. Rose (step out of bounds),14,9
40,1,6:57.0,Personal foul by D. Rose (drawn by E. Payton),,14,9
41,1,6:50.0,N. Vučević misses 2-pt jump shot from 16 ft,,14,9
42,1,6:49.0,,Defensive rebound by P. Gasol,14,9
43,1,6:40.0,,D. Rose makes 2-pt jump shot from 6 ft,14,11
44,1,6:26.0,C. Frye makes 3-pt jump shot from 25 ft (assist by N. Vučević),,17,11
45,1,6:05.0,,J. Noah makes 2-pt jump shot from 15 ft (assist by T. Snell),17,13
46,1,5:48.0,N. Vučević makes 2-pt hook shot from 4 ft,,19,13
47,1,5:24.0,,Turnover by J. Noah (traveling),19,13
48,1,5:24.0,,Chicago full timeout,19,13
49,1,5:04.0,Turnover by D. Marble (traveling),,19,13
50,1,4:47.0,,D. Rose misses 2-pt jump shot from 11 ft,19,13
51,1,4:46.0,Defensive rebound by V. Oladipo,,19,13
52,1,4:40.0,D. Marble misses 3-pt jump shot from 23 ft,,19,13
53,1,4:39.0,,Defensive rebound by P. Gasol,19,13
54,1,4:19.0,,P. Gasol makes 2-pt jump shot from 10 ft,19,15
55,1,4:05.0,V. Oladipo misses 2-pt jump shot from 21 ft,,19,15
56,1,4:04.0,,Defensive rebound by T. Snell,19,15
57,1,3:49.0,,J. Noah misses 2-pt layup from 3 ft (block by C. Frye),19,15
58,1,3:47.0,Defensive rebound by N. Vučević,,19,15
59,1,3:42.0,D. Marble makes 2-pt jump shot from 5 ft,,21,15
60,1,3:42.0,Shooting foul by J. Butler (drawn by D. Marble),,21,15
61,1,3:42.0,,T. Gibson enters the game for J. Noah,21,15
62,1,3:42.0,,K. Hinrich enters the game for D. Rose,21,15
63,1,3:42.0,D. Marble misses free throw 1 of 1,,21,15
64,1,3:40.0,,Defensive rebound by P. Gasol,21,15
65,1,3:30.0,,J. Butler misses 2-pt jump shot from 11 ft,21,15
66,1,3:28.0,Defensive rebound by N. Vučević,,21,15
67,1,3:22.0,V. Oladipo makes 2-pt layup at rim,,23,15
