,QUARTER,TIME_REMAINING,ORLANDO_ACTION,WASHINGTON_ACTION,ORLANDO_SCORE,WASHINGTON_SCORE
0,1,11:41.0,C. Frye misses 3-pt jump shot from 26 ft,,0,0
1,1,11:39.0,,Defensive rebound by M. Gortat,0,0
2,1,11:15.0,,M. Gortat makes 2-pt jump shot from 4 ft (assist by N. Hilário),0,2
3,1,10:50.0,A. Gordon misses 2-pt jump shot from 8 ft,,0,2
4,1,10:49.0,,Defensive rebound by M. Gortat,0,2
5,1,10:45.0,,P. Pierce misses 2-pt layup from 1 ft,0,2
6,1,10:43.0,Defensive rebound by E. Payton,,0,2
7,1,10:33.0,E. Payton misses 2-pt jump shot from 6 ft,,0,2
8,1,10:32.0,,Defensive rebound by J. Wall,0,2
9,1,10:26.0,,N. Hilário makes 2-pt dunk at rim (assist by J. Wall),0,4
10,1,10:05.0,C. Frye misses 2-pt jump shot from 21 ft,,0,4
11,1,10:04.0,,Defensive rebound by J. Wall,0,4
12,1,9:50.0,,N. Hilário makes 2-pt dunk at rim (assist by M. Gortat),0,6
13,1,9:49.0,Orlando full timeout,,0,6
14,1,9:30.0,A. Gordon misses 2-pt layup from 1 ft,,0,6
15,1,9:29.0,Offensive rebound by E. Payton,,0,6
16,1,9:25.0,Turnover by E. Payton (lost ball; steal by P. Pierce),,0,6
17,1,9:20.0,,P. Pierce misses 3-pt jump shot from 26 ft,0,6
18,1,9:18.0,,Offensive rebound by G. Temple,0,6
19,1,9:06.0,,Shooting foul by A. Gordon (drawn by P. Pierce),0,6
20,1,9:06.0,,P. Pierce makes free throw 1 of 2,0,7
21,1,9:06.0,,P. Pierce misses free throw 2 of 2,0,7
22,1,9:04.0,Defensive rebound by N. Vučević,,0,7
23,1,8:51.0,Turnover by E. Payton (bad pass; steal by G. Temple),,0,7
24,1,8:45.0,,N. Hilário makes 2-pt dunk at rim (assist by J. Wall),0,9
25,1,8:28.0,V. Oladipo makes 2-pt jump shot from 19 ft,,2,9
26,1,8:09.0,,Turnover by M. Gortat (traveling),2,9
27,1,7:48.0,N. Vučević misses 2-pt jump shot from 17 ft,,2,9
28,1,7:47.0,,Defensive rebound by J. Wall,2,9
29,1,7:39.0,,Turnover by N. Hilário (lost ball; steal by A. Gordon),2,9
30,1,7:35.0,Shooting foul by P. Pierce (drawn by A. Gordon),,2,9
31,1,7:35.0,A. Gordon makes 2-pt layup from 1 ft,,4,9
32,1,7:35.0,A. Gordon makes free throw 1 of 1,,5,9
33,1,7:23.0,,J. Wall misses 2-pt jump shot from 20 ft,5,9
34,1,7:22.0,Defensive rebound by C. Frye,,5,9
35,1,7:15.0,E. Payton misses 2-pt layup from 2 ft,,5,9
36,1,7:14.0,,Defensive rebound by M. Gortat,5,9
37,1,7:08.0,,Turnover by P. Pierce (bad pass; steal by E. Payton),5,9
38,1,7:03.0,V. Oladipo misses 2-pt layup at rim (block by M. Gortat),,5,9
39,1,7:00.0,,Defensive rebound by G. Temple,5,9
40,1,6:52.0,,P. Pierce makes 2-pt layup at rim (assist by J. Wall),5,11
41,1,6:30.0,C. Frye misses 3-pt jump shot from 26 ft,,5,11
42,1,6:29.0,,Defensive rebound by M. Gortat,5,11
43,1,6:22.0,,Offensive foul by N. Hilário (drawn by V. Oladipo),5,11
44,1,6:22.0,,Turnover by N. Hilário (offensive foul),5,11
45,1,6:22.0,W. Green enters the game for V. Oladipo,,5,11
46,1,6:12.0,E. Payton misses 2-pt jump shot from 20 ft,,5,11
47,1,6:11.0,,Defensive rebound by G. Temple,5,11
48,1,6:01.0,,Turnover by J. Wall (bad pass),5,11
49,1,6:01.0,,O. Porter enters the game for G. Temple,5,11
50,1,5:42.0,N. Vučević makes 2-pt jump shot from 17 ft (assist by W. Green),,7,11
51,1,5:27.0,E. Fournier enters the game for E. Payton,,7,11
52,1,5:21.0,,Personal foul by N. Vučević (drawn by N. Hilário),7,11
53,1,5:16.0,,Shooting foul by C. Frye (drawn by N. Hilário),7,11
54,1,5:16.0,,N. Hilário makes free throw 1 of 2,7,12
55,1,5:16.0,,N. Hilário makes free throw 2 of 2,7,13
56,1,4:58.0,W. Green misses 2-pt jump shot from 16 ft,,7,13
57,1,4:57.0,,Defensive rebound by M. Gortat,7,13
58,1,4:45.0,,Personal foul by C. Frye (drawn by N. Hilário),7,13
59,1,4:45.0,K. O'Quinn enters the game for C. Frye,,7,13
60,1,4:39.0,,N. Hilário misses 2-pt jump shot from 4 ft,7,13
61,1,4:37.0,Defensive rebound by K. O'Quinn,,7,13
62,1,4:26.0,Turnover by A. Gordon (lost ball; steal by P. Pierce),,7,13
63,1,4:11.0,,N. Hilário makes 2-pt dunk at rim,7,15
64,1,3:56.0,K. O'Quinn misses 3-pt jump shot from 27 ft,,7,15
65,1,3:55.0,,Defensive rebound by J. Wall,7,15
66,1,3:46.0,,P. Pierce misses 3-pt jump shot from 26 ft,7,15
67,1,3:45.0,Defensive rebound by E. Fournier,,7,15
68,1,3:38.0,E. Fournier misses 3-pt jump shot from 29 ft,,7,15
69,1,3:37.0,,Defensive rebound by Team,7,15
70,1,3:36.0,V. Oladipo enters the game for A. Gordon,,7,15
71,1,3:36.0,,K. Humphries enters the game for N. Hilário,7,15
72,1,3:36.0,,R. Butler enters the game for P. Pierce,7,15
73,1,3:14.0,,O. Porter misses 2-pt jump shot from 18 ft,7,15
74,1,3:13.0,,Offensive rebound by K. Humphries,7,15
75,1,3:12.0,,K. Humphries makes 2-pt tip-in from 1 ft,7,17
76,1,2:57.0,W. Green makes 2-pt layup from 1 ft (assist by K. O'Quinn),,9,17
77,1,2:41.0,,Turnover by K. Humphries (bad pass),9,17
78,1,2:41.0,,Washington full timeout,9,17
79,1,2:30.0,E. Fournier makes 2-pt layup from 2 ft (assist by K. O'Quinn),,11,17
80,1,2:12.0,,R. Butler misses 2-pt jump shot from 14 ft,11,17
81,1,2:11.0,Defensive rebound by K. O'Quinn,,11,17
82,1,1:59.0,N. Vučević misses 2-pt jump shot from 11 ft,,11,17
83,1,1:57.0,,Defensive rebound by K. Humphries,11,17
84,1,1:51.0,,Shooting foul by N. Vučević (drawn by J. Wall),11,17
85,1,1:51.0,,J. Wall misses free throw 1 of 2,11,17
