,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,MILWAUKEE_ACTION,BROOKLYN_SCORE,MILWAUKEE_SCORE
0,1,11:40.0,,G. Antetokounmpo misses 2-pt hook shot from 4 ft,0,0
1,1,11:39.0,,Offensive rebound by J. Henson,0,0
2,1,11:34.0,,J. Henson misses 2-pt jump shot from 7 ft,0,0
3,1,11:34.0,,Offensive rebound by Team,0,0
4,1,11:34.0,,Turnover by Team (shot clock),0,0
5,1,11:10.0,J. Jack makes 2-pt layup at rim,,2,0
6,1,10:56.0,,B. Knight misses 3-pt jump shot from 26 ft,2,0
7,1,10:55.0,,Offensive rebound by Team,2,0
8,1,10:52.0,,K. Middleton misses 3-pt jump shot from 23 ft,2,0
9,1,10:51.0,,Offensive rebound by G. Antetokounmpo,2,0
10,1,10:37.0,,J. Dudley makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo),2,3
11,1,10:16.0,K. Garnett makes 2-pt layup at rim (assist by M. Plumlee),,4,3
12,1,10:02.0,,B. Knight misses 2-pt jump shot from 20 ft,4,3
13,1,10:01.0,Defensive rebound by K. Garnett,,4,3
14,1,9:59.0,Personal block foul by J. Dudley (drawn by M. Plumlee),,4,3
15,1,9:49.0,J. Johnson misses 3-pt jump shot from 23 ft,,4,3
16,1,9:48.0,Offensive rebound by M. Plumlee,,4,3
17,1,9:47.0,Shooting foul by J. Henson (drawn by M. Plumlee),,4,3
18,1,9:47.0,M. Plumlee misses free throw 1 of 2,,4,3
19,1,9:47.0,Offensive rebound by Team,,4,3
20,1,9:47.0,M. Plumlee makes free throw 2 of 2,,5,3
21,1,9:26.0,,G. Antetokounmpo misses 2-pt jump shot from 17 ft,5,3
22,1,9:25.0,Defensive rebound by J. Johnson,,5,3
23,1,9:09.0,J. Jack makes 3-pt jump shot from 23 ft (assist by A. Anderson),,8,3
24,1,9:00.0,,K. Middleton misses 2-pt jump shot from 15 ft,8,3
25,1,8:59.0,,Offensive rebound by G. Antetokounmpo,8,3
26,1,8:52.0,,G. Antetokounmpo makes 2-pt dunk at rim (assist by B. Knight),8,5
27,1,8:42.0,Turnover by J. Johnson (bad pass; steal by K. Middleton),,8,5
28,1,8:38.0,,K. Middleton makes 2-pt dunk at rim (assist by B. Knight),8,7
29,1,8:15.0,K. Garnett makes 2-pt jump shot from 16 ft (assist by J. Johnson),,10,7
30,1,8:05.0,,B. Knight misses 2-pt layup at rim,10,7
31,1,8:03.0,Defensive rebound by K. Garnett,,10,7
32,1,7:44.0,A. Anderson makes 3-pt jump shot from 23 ft (assist by M. Plumlee),,13,7
33,1,7:22.0,,J. Henson makes 2-pt hook shot from 4 ft,13,9
34,1,7:05.0,J. Jack makes 2-pt jump shot from 10 ft (assist by J. Johnson),,15,9
35,1,6:50.0,,B. Knight makes 3-pt jump shot from 25 ft (assist by K. Middleton),15,12
36,1,6:28.0,J. Johnson misses 2-pt jump shot from 16 ft,,15,12
37,1,6:26.0,,Defensive rebound by G. Antetokounmpo,15,12
38,1,6:17.0,,K. Middleton misses 2-pt layup at rim,15,12
39,1,6:15.0,Defensive rebound by M. Plumlee,,15,12
40,1,6:01.0,Turnover by J. Jack (bad pass; steal by G. Antetokounmpo),,15,12
41,1,5:58.0,,B. Knight misses 2-pt layup at rim,15,12
42,1,5:56.0,,Offensive rebound by J. Henson,15,12
43,1,5:56.0,,J. Henson misses 2-pt layup from 1 ft,15,12
44,1,5:55.0,Defensive rebound by K. Garnett,,15,12
45,1,5:53.0,Turnover by K. Garnett (bad pass; steal by J. Dudley),,15,12
46,1,5:48.0,,B. Knight misses 3-pt jump shot from 23 ft,15,12
47,1,5:46.0,Defensive rebound by J. Jack,,15,12
48,1,5:26.0,J. Johnson makes 2-pt jump shot from 15 ft,,17,12
49,1,5:05.0,,J. Henson misses 2-pt hook shot from 5 ft,17,12
50,1,5:04.0,,Offensive rebound by J. Henson,17,12
51,1,5:02.0,,J. Henson makes 2-pt layup at rim,17,14
52,1,4:40.0,M. Plumlee misses 2-pt hook shot from 4 ft (block by J. Henson),,17,14
53,1,4:38.0,,Defensive rebound by K. Middleton,17,14
54,1,4:25.0,,B. Knight misses 3-pt jump shot from 25 ft,17,14
55,1,4:19.0,,Offensive rebound by Team,17,14
56,1,4:19.0,,Milwaukee full timeout,17,14
57,1,4:19.0,D. Williams enters the game for K. Garnett,,17,14
