,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,HOUSTON_ACTION,MINNESOTA_SCORE,HOUSTON_SCORE
0,1,11:41.0,,Turnover by J. Smith (bad pass),0,0
1,1,11:24.0,A. Wiggins misses 2-pt jump shot from 20 ft,,0,0
2,1,11:23.0,,Defensive rebound by Team,0,0
3,1,11:16.0,,Shooting foul by A. Payne (drawn by J. Harden),0,0
4,1,11:16.0,,J. Harden makes free throw 1 of 2,0,1
5,1,11:16.0,,J. Harden makes free throw 2 of 2,0,2
6,1,11:00.0,A. Payne makes 2-pt jump shot from 9 ft,,2,2
7,1,10:53.0,,T. Ariza makes 2-pt jump shot from 21 ft (assist by J. Harden),2,4
8,1,10:28.0,G. Dieng misses 2-pt jump shot from 19 ft,,2,4
9,1,10:27.0,,Defensive rebound by D. Howard,2,4
10,1,10:19.0,,D. Howard makes 2-pt dunk at rim (assist by J. Harden),2,6
11,1,10:04.0,A. Payne misses 2-pt jump shot from 12 ft,,2,6
12,1,10:02.0,,Defensive rebound by J. Harden,2,6
13,1,9:55.0,,J. Terry makes 3-pt jump shot from 24 ft (assist by J. Smith),2,9
14,1,9:31.0,Z. LaVine misses 2-pt jump shot from 22 ft,,2,9
15,1,9:29.0,,Defensive rebound by T. Ariza,2,9
16,1,9:24.0,,J. Smith makes 2-pt layup from 2 ft (assist by T. Ariza),2,11
17,1,9:23.0,Minnesota full timeout,,2,11
18,1,8:59.0,Turnover by Team (shot clock),,2,11
19,1,8:48.0,,D. Howard makes 2-pt dunk at rim (assist by J. Harden),2,13
20,1,8:23.0,G. Dieng makes 2-pt jump shot from 16 ft (assist by A. Payne),,4,13
21,1,8:13.0,,T. Ariza misses 3-pt jump shot from 25 ft,4,13
22,1,8:12.0,Defensive rebound by Z. LaVine,,4,13
23,1,8:03.0,Shooting foul by D. Howard (drawn by A. Wiggins),,4,13
24,1,8:03.0,A. Wiggins makes free throw 1 of 2,,5,13
25,1,8:03.0,,J. Dorsey enters the game for D. Howard,5,13
26,1,8:03.0,A. Wiggins makes free throw 2 of 2,,6,13
27,1,7:51.0,,J. Harden misses 3-pt jump shot from 24 ft,6,13
28,1,7:50.0,Defensive rebound by A. Payne,,6,13
29,1,7:47.0,Turnover by A. Payne (bad pass; steal by J. Harden),,6,13
30,1,7:46.0,Offensive charge foul by J. Harden (drawn by G. Dieng),,6,13
31,1,7:46.0,,Turnover by J. Harden (offensive foul),6,13
32,1,7:33.0,A. Payne makes 2-pt jump shot from 5 ft (assist by Z. LaVine),,8,13
33,1,7:15.0,,J. Terry makes 3-pt jump shot from 24 ft (assist by T. Ariza),8,16
34,1,6:57.0,A. Wiggins makes 2-pt jump shot from 4 ft (assist by A. Payne),,10,16
35,1,6:40.0,,J. Smith makes 3-pt jump shot from 23 ft (assist by T. Ariza),10,19
36,1,6:24.0,A. Payne misses 2-pt jump shot from 7 ft,,10,19
37,1,6:22.0,,Defensive rebound by J. Smith,10,19
38,1,6:16.0,,J. Harden misses 2-pt jump shot from 8 ft,10,19
39,1,6:15.0,Defensive rebound by G. Dieng,,10,19
40,1,6:07.0,Personal foul by J. Terry (drawn by G. Dieng),,10,19
41,1,5:57.0,A. Wiggins makes 2-pt layup from 3 ft,,12,19
42,1,5:36.0,,Turnover by J. Smith (lost ball),12,19
43,1,5:24.0,L. Brown misses 3-pt jump shot from 25 ft,,12,19
44,1,5:23.0,Offensive rebound by G. Dieng,,12,19
45,1,5:19.0,L. Brown makes 2-pt jump shot from 3 ft (assist by G. Dieng),,14,19
46,1,5:03.0,,J. Dorsey misses 2-pt layup from 2 ft,14,19
47,1,5:02.0,Defensive rebound by A. Payne,,14,19
48,1,4:56.0,Shooting foul by T. Ariza (drawn by A. Wiggins),,14,19
49,1,4:56.0,A. Wiggins makes free throw 1 of 2,,15,19
50,1,4:56.0,C. Budinger enters the game for A. Payne,,15,19
51,1,4:56.0,,C. Brewer enters the game for J. Smith,15,19
52,1,4:56.0,,P. Prigioni enters the game for J. Terry,15,19
53,1,4:56.0,A. Wiggins misses free throw 2 of 2,,15,19
54,1,4:55.0,,Defensive rebound by J. Dorsey,15,19
55,1,4:43.0,,J. Harden misses 3-pt jump shot from 25 ft,15,19
