,QUARTER,TIME_REMAINING,ORLANDO_ACTION,OKLAHOMA CITY_ACTION,ORLANDO_SCORE,OKLAHOMA CITY_SCORE
0,1,11:49.0,,D. Waiters makes 2-pt layup at rim,0,2
1,1,11:30.0,A. Gordon misses 2-pt layup from 2 ft,,0,2
2,1,11:29.0,,Defensive rebound by S. Adams,0,2
3,1,11:19.0,,Personal foul by N. Vučević (drawn by S. Adams),0,2
4,1,11:13.0,,R. Westbrook misses 2-pt jump shot from 10 ft,0,2
5,1,11:13.0,Defensive rebound by A. Gordon,,0,2
6,1,11:02.0,E. Payton misses 2-pt layup at rim,,0,2
7,1,11:02.0,,Defensive rebound by S. Ibaka,0,2
8,1,10:46.0,,D. Waiters misses 2-pt jump shot from 8 ft,0,2
9,1,10:46.0,Defensive rebound by V. Oladipo,,0,2
10,1,10:37.0,T. Harris makes 2-pt layup at rim,,2,2
11,1,10:23.0,,S. Adams misses 2-pt hook shot from 4 ft,2,2
12,1,10:21.0,Defensive rebound by T. Harris,,2,2
13,1,10:14.0,V. Oladipo makes 2-pt layup from 1 ft,,4,2
14,1,10:01.0,,R. Westbrook makes 2-pt layup from 1 ft,4,4
15,1,9:52.0,T. Harris misses 2-pt jump shot from 3 ft (block by R. Westbrook),,4,4
16,1,9:50.0,,Defensive rebound by R. Westbrook,4,4
17,1,9:44.0,,S. Adams makes 2-pt layup from 2 ft (assist by A. Roberson),4,6
18,1,9:18.0,A. Gordon misses 2-pt jump shot from 8 ft,,4,6
19,1,9:18.0,,Defensive rebound by S. Adams,4,6
20,1,9:13.0,,S. Ibaka misses 2-pt jump shot from 12 ft,4,6
21,1,9:12.0,Defensive rebound by A. Gordon,,4,6
22,1,9:09.0,Personal foul by D. Waiters (drawn by A. Gordon),,4,6
23,1,9:04.0,Turnover by V. Oladipo (lost ball; steal by R. Westbrook),,4,6
24,1,9:00.0,,D. Waiters makes 2-pt dunk at rim (assist by R. Westbrook),4,8
25,1,8:36.0,V. Oladipo makes 2-pt jump shot from 8 ft (assist by T. Harris),,6,8
26,1,8:23.0,,S. Ibaka makes 2-pt jump shot from 18 ft (assist by R. Westbrook),6,10
27,1,7:53.0,A. Gordon misses 2-pt jump shot from 3 ft,,6,10
28,1,7:52.0,,Defensive rebound by S. Ibaka,6,10
29,1,7:37.0,,S. Ibaka makes 3-pt jump shot from 22 ft (assist by R. Westbrook),6,13
30,1,7:27.0,N. Vučević makes 2-pt jump shot from 18 ft (assist by E. Payton),,8,13
31,1,7:13.0,,S. Ibaka makes 2-pt jump shot from 6 ft (assist by R. Westbrook),8,15
32,1,6:45.0,E. Payton misses 2-pt jump shot from 3 ft (block by S. Ibaka),,8,15
33,1,6:44.0,Offensive rebound by V. Oladipo,,8,15
34,1,6:43.0,V. Oladipo misses 3-pt jump shot from 24 ft,,8,15
35,1,6:41.0,,Defensive rebound by R. Westbrook,8,15
