,QUARTER,TIME_REMAINING,ATLANTA_ACTION,OKLAHOMA CITY_ACTION,ATLANTA_SCORE,OKLAHOMA CITY_SCORE
0,1,11:42.0,,D. Waiters misses 3-pt jump shot from 24 ft,0,0
1,1,11:41.0,Defensive rebound by A. Horford,,0,0
2,1,11:24.0,K. Bazemore misses 2-pt jump shot from 6 ft (block by S. Adams),,0,0
3,1,11:22.0,,Defensive rebound by R. Westbrook,0,0
4,1,11:17.0,,R. Westbrook misses 2-pt jump shot from 17 ft,0,0
5,1,11:16.0,Defensive rebound by D. Carroll,,0,0
6,1,11:04.0,A. Horford makes 2-pt hook shot from 4 ft,,2,0
7,1,10:48.0,,A. Roberson misses 3-pt jump shot from 22 ft,2,0
8,1,10:47.0,,Offensive rebound by Team,2,0
9,1,10:43.0,,D. Waiters makes 2-pt layup from 2 ft (assist by A. Roberson),2,2
10,1,10:35.0,D. Carroll misses 3-pt jump shot from 23 ft,,2,2
11,1,10:34.0,Offensive rebound by A. Horford,,2,2
12,1,10:17.0,K. Bazemore makes 2-pt layup from 1 ft (assist by P. Millsap),,4,2
13,1,10:06.0,,Turnover by M. McGary (lost ball; steal by P. Millsap),4,2
14,1,10:02.0,Shooting foul by M. McGary (drawn by D. Carroll),,4,2
15,1,10:02.0,D. Carroll misses free throw 1 of 2,,4,2
16,1,10:02.0,Offensive rebound by Team,,4,2
17,1,10:02.0,D. Carroll makes free throw 2 of 2,,5,2
18,1,9:52.0,,S. Adams makes 2-pt layup from 1 ft (assist by R. Westbrook),5,4
19,1,9:52.0,,Shooting foul by K. Bazemore (drawn by S. Adams),5,4
20,1,9:52.0,,S. Adams makes free throw 1 of 1,5,5
21,1,9:36.0,Turnover by K. Bazemore (bad pass; steal by S. Adams),,5,5
22,1,9:31.0,,R. Westbrook makes 2-pt layup from 1 ft,5,7
23,1,9:09.0,J. Teague misses 3-pt jump shot from 23 ft,,5,7
24,1,9:09.0,,Defensive rebound by A. Roberson,5,7
25,1,9:01.0,,D. Waiters makes 2-pt layup from 1 ft,5,9
26,1,8:49.0,P. Millsap makes 2-pt layup from 2 ft,,7,9
27,1,8:35.0,,M. McGary makes 2-pt jump shot from 19 ft (assist by R. Westbrook),7,11
28,1,8:15.0,J. Teague misses 3-pt jump shot from 24 ft,,7,11
29,1,8:14.0,,Defensive rebound by S. Adams,7,11
30,1,8:08.0,,M. McGary makes 2-pt layup at rim (assist by R. Westbrook),7,13
31,1,8:07.0,Atlanta full timeout,,7,13
32,1,7:47.0,P. Millsap misses 3-pt jump shot from 22 ft,,7,13
33,1,7:46.0,,Defensive rebound by M. McGary,7,13
34,1,7:29.0,,Shooting foul by A. Horford (drawn by S. Adams),7,13
35,1,7:29.0,,S. Adams misses free throw 1 of 2,7,13
36,1,7:29.0,,Offensive rebound by Team,7,13
37,1,7:29.0,,S. Adams makes free throw 2 of 2,7,14
38,1,7:14.0,A. Horford misses 2-pt jump shot from 4 ft,,7,14
39,1,7:13.0,,Defensive rebound by M. McGary,7,14
40,1,7:08.0,,A. Roberson makes 2-pt dunk at rim (assist by R. Westbrook),7,16
41,1,6:52.0,Turnover by A. Horford (offensive foul),,7,16
42,1,6:52.0,Offensive foul by A. Horford (drawn by R. Westbrook),,7,16
43,1,6:52.0,D. Schröder enters the game for K. Bazemore,,7,16
44,1,6:52.0,P. Antić enters the game for A. Horford,,7,16
45,1,6:43.0,,S. Adams misses 2-pt jump shot from 3 ft,7,16
46,1,6:42.0,Defensive rebound by P. Millsap,,7,16
