,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,DALLAS_ACTION,SAN ANTONIO_SCORE,DALLAS_SCORE
0,1,11:47.0,,D. Nowitzki misses 2-pt jump shot from 14 ft,0,0
1,1,11:46.0,,Offensive rebound by T. Chandler,0,0
2,1,11:36.0,,M. Ellis misses 2-pt jump shot from 17 ft,0,0
3,1,11:35.0,Defensive rebound by K. Anderson,,0,0
4,1,11:13.0,M. Belinelli makes 2-pt jump shot from 21 ft,,2,0
5,1,10:57.0,,C. Parsons misses 3-pt jump shot from 26 ft,2,0
6,1,10:56.0,Defensive rebound by K. Anderson,,2,0
7,1,10:46.0,M. Belinelli makes 2-pt layup from 2 ft (assist by A. Baynes),,4,0
8,1,10:26.0,,M. Ellis makes 3-pt jump shot from 23 ft (assist by C. Parsons),4,3
9,1,10:03.0,C. Joseph makes 2-pt jump shot from 15 ft (assist by B. Diaw),,6,3
10,1,9:48.0,,D. Nowitzki misses 2-pt jump shot from 20 ft,6,3
11,1,9:47.0,Defensive rebound by K. Anderson,,6,3
12,1,9:39.0,K. Anderson misses 2-pt hook shot from 7 ft,,6,3
13,1,9:36.0,,Defensive rebound by T. Chandler,6,3
14,1,9:30.0,,Turnover by R. Rondo (bad pass; steal by K. Anderson),6,3
15,1,9:17.0,Personal foul by R. Rondo (drawn by B. Diaw),,6,3
16,1,9:12.0,C. Joseph misses 2-pt jump shot from 20 ft,,6,3
17,1,9:09.0,,Defensive rebound by T. Chandler,6,3
18,1,9:02.0,,C. Parsons makes 2-pt layup from 2 ft,6,5
19,1,8:46.0,K. Anderson makes 3-pt jump shot from 23 ft (assist by B. Diaw),,9,5
20,1,8:32.0,,Turnover by R. Rondo (bad pass; steal by C. Joseph),9,5
21,1,8:27.0,C. Joseph makes 2-pt layup at rim,,11,5
22,1,8:10.0,,D. Nowitzki misses 3-pt jump shot from 25 ft,11,5
23,1,8:09.0,Defensive rebound by K. Anderson,,11,5
24,1,7:52.0,B. Diaw misses 2-pt hook shot from 7 ft,,11,5
25,1,7:50.0,,Defensive rebound by D. Nowitzki,11,5
26,1,7:39.0,,R. Rondo misses 2-pt jump shot from 21 ft,11,5
27,1,7:38.0,,Offensive rebound by D. Nowitzki,11,5
28,1,7:37.0,,Shooting foul by K. Anderson (drawn by D. Nowitzki),11,5
29,1,7:37.0,,D. Nowitzki makes free throw 1 of 2,11,6
30,1,7:37.0,,G. Smith enters the game for T. Chandler,11,6
