,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,LA CLIPPERS_ACTION,SAN ANTONIO_SCORE,LA CLIPPERS_SCORE
0,1,11:43.0,,Turnover by J. Redick (bad pass; steal by K. Leonard),0,0
1,1,11:32.0,T. Duncan misses 2-pt jump shot from 6 ft (block by D. Jordan),,0,0
2,1,11:29.0,Offensive rebound by D. Green,,0,0
3,1,11:23.0,D. Green makes 2-pt layup from 2 ft,,2,0
4,1,11:06.0,,B. Griffin makes 2-pt jump shot from 5 ft,2,2
5,1,10:53.0,D. Green misses 3-pt jump shot from 25 ft,,2,2
6,1,10:52.0,,Defensive rebound by C. Paul,2,2
7,1,10:35.0,,B. Griffin misses 2-pt dunk at rim (block by T. Duncan),2,2
8,1,10:33.0,Defensive rebound by D. Green,,2,2
9,1,10:17.0,D. Green misses 3-pt jump shot from 25 ft,,2,2
10,1,10:16.0,,Defensive rebound by C. Paul,2,2
11,1,10:05.0,,J. Redick misses 2-pt jump shot from 21 ft,2,2
12,1,10:04.0,Defensive rebound by K. Leonard,,2,2
13,1,9:58.0,K. Leonard misses 2-pt jump shot from 19 ft,,2,2
14,1,9:57.0,,Defensive rebound by C. Paul,2,2
15,1,9:51.0,,C. Paul makes 3-pt jump shot from 25 ft,2,5
16,1,9:28.0,T. Duncan makes 2-pt jump shot from 8 ft (assist by T. Parker),,4,5
17,1,9:28.0,Shooting foul by D. Jordan (drawn by T. Duncan),,4,5
18,1,9:28.0,T. Duncan misses free throw 1 of 1,,4,5
19,1,9:27.0,,Defensive rebound by J. Redick,4,5
20,1,9:15.0,,M. Barnes makes 3-pt jump shot from 23 ft (assist by C. Paul),4,8
21,1,8:54.0,T. Splitter misses 2-pt hook shot from 3 ft (block by D. Jordan),,4,8
22,1,8:52.0,Offensive rebound by T. Splitter,,4,8
23,1,8:48.0,D. Green misses 2-pt jump shot from 10 ft,,4,8
24,1,8:47.0,,Defensive rebound by D. Jordan,4,8
25,1,8:39.0,,B. Griffin makes 2-pt layup from 1 ft (assist by C. Paul),4,10
26,1,8:39.0,,Shooting foul by T. Splitter (drawn by B. Griffin),4,10
27,1,8:39.0,San Antonio full timeout,,4,10
28,1,8:39.0,,B. Griffin makes free throw 1 of 1,4,11
29,1,8:24.0,T. Splitter makes 2-pt layup from 2 ft (assist by T. Duncan),,6,11
30,1,8:11.0,,J. Redick makes 2-pt jump shot from 20 ft (assist by B. Griffin),6,13
31,1,7:53.0,T. Duncan makes 2-pt jump shot from 8 ft (assist by T. Splitter),,8,13
32,1,7:31.0,,Turnover by B. Griffin (bad pass; steal by T. Splitter),8,13
33,1,7:31.0,Turnover by K. Leonard (traveling),,8,13
34,1,7:18.0,,J. Redick makes 3-pt jump shot from 25 ft (assist by M. Barnes),8,16
35,1,7:01.0,T. Parker misses 2-pt jump shot from 18 ft,,8,16
36,1,7:00.0,,Defensive rebound by B. Griffin,8,16
37,1,6:54.0,,B. Griffin misses 2-pt layup from 1 ft,8,16
38,1,6:52.0,Defensive rebound by T. Duncan,,8,16
39,1,6:47.0,Turnover by T. Parker (lost ball; steal by M. Barnes),,8,16
40,1,6:43.0,,Shooting foul by K. Leonard (drawn by B. Griffin),8,16
41,1,6:43.0,,B. Griffin makes free throw 1 of 2,8,17
42,1,6:43.0,M. Ginóbili enters the game for D. Green,,8,17
43,1,6:43.0,A. Baynes enters the game for T. Splitter,,8,17
44,1,6:43.0,,B. Griffin makes free throw 2 of 2,8,18
45,1,6:34.0,K. Leonard makes 2-pt dunk at rim (assist by T. Duncan),,10,18
46,1,6:13.0,,B. Griffin misses 2-pt layup from 1 ft,10,18
47,1,6:12.0,Defensive rebound by M. Ginóbili,,10,18
48,1,6:05.0,T. Parker misses 3-pt jump shot from 23 ft,,10,18
49,1,6:04.0,,Defensive rebound by D. Jordan,10,18
50,1,5:59.0,,M. Barnes makes 2-pt layup from 2 ft (assist by D. Jordan),10,20
51,1,5:44.0,Shooting foul by M. Barnes (drawn by K. Leonard),,10,20
52,1,5:44.0,K. Leonard makes free throw 1 of 2,,11,20
53,1,5:44.0,K. Leonard misses free throw 2 of 2,,11,20
54,1,5:43.0,,Defensive rebound by M. Barnes,11,20
55,1,5:33.0,,C. Paul misses 3-pt jump shot from 25 ft,11,20
56,1,5:32.0,Defensive rebound by M. Ginóbili,,11,20
57,1,5:22.0,M. Ginóbili misses 3-pt jump shot from 25 ft,,11,20
58,1,5:20.0,Offensive rebound by T. Duncan,,11,20
59,1,5:11.0,A. Baynes misses 2-pt layup from 2 ft,,11,20
60,1,5:10.0,,Defensive rebound by D. Jordan,11,20
61,1,4:58.0,,Turnover by C. Paul (bad pass; steal by T. Duncan),11,20
62,1,4:55.0,,Offensive charge foul by K. Leonard (drawn by C. Paul),11,20
63,1,4:55.0,Turnover by K. Leonard (offensive foul),,11,20
64,1,4:55.0,,LA Clippers full timeout,11,20
65,1,4:55.0,B. Diaw enters the game for T. Duncan,,11,20
66,1,4:55.0,D. Green enters the game for K. Leonard,,11,20
67,1,4:36.0,,B. Griffin misses 2-pt hook shot from 3 ft,11,20
68,1,4:35.0,Defensive rebound by B. Diaw,,11,20
69,1,4:27.0,A. Baynes makes 2-pt layup from 1 ft (assist by B. Diaw),,13,20
70,1,4:27.0,Shooting foul by M. Barnes (drawn by A. Baynes),,13,20
71,1,4:27.0,,J. Crawford enters the game for M. Barnes,13,20
72,1,4:27.0,A. Baynes makes free throw 1 of 1,,14,20
73,1,4:15.0,,B. Griffin misses 2-pt jump shot from 6 ft,14,20
74,1,4:14.0,Defensive rebound by A. Baynes,,14,20
75,1,4:01.0,Shooting foul by D. Jordan (drawn by M. Ginóbili),,14,20
76,1,4:01.0,M. Ginóbili makes free throw 1 of 2,,15,20
77,1,4:01.0,,G. Davis enters the game for D. Jordan,15,20
78,1,4:01.0,C. Joseph enters the game for T. Parker,,15,20
79,1,4:01.0,M. Ginóbili misses free throw 2 of 2,,15,20
80,1,4:00.0,,Defensive rebound by B. Griffin,15,20
81,1,3:41.0,,J. Redick misses 3-pt jump shot from 25 ft,15,20
82,1,3:40.0,Defensive rebound by B. Diaw,,15,20
83,1,3:29.0,,Offensive charge foul by M. Ginóbili (drawn by G. Davis),15,20
84,1,3:29.0,Turnover by M. Ginóbili (offensive foul),,15,20
85,1,3:29.0,,A. Rivers enters the game for J. Redick,15,20
86,1,3:16.0,,B. Griffin makes 2-pt jump shot from 18 ft (assist by C. Paul),15,22
87,1,3:09.0,Personal foul by C. Paul (drawn by C. Joseph),,15,22
88,1,3:09.0,C. Joseph misses free throw 1 of 2,,15,22
89,1,3:09.0,Offensive rebound by Team,,15,22
90,1,3:09.0,C. Joseph makes free throw 2 of 2,,16,22
91,1,2:46.0,,Turnover by J. Crawford (bad pass),16,22
92,1,2:30.0,B. Diaw misses 2-pt hook shot from 4 ft,,16,22
93,1,2:29.0,,Defensive rebound by G. Davis,16,22
94,1,2:18.0,,C. Paul makes 2-pt jump shot from 3 ft,16,24
95,1,2:05.0,D. Green misses 2-pt layup from 2 ft,,16,24
96,1,2:03.0,,Defensive rebound by G. Davis,16,24
97,1,1:55.0,,B. Griffin misses 2-pt jump shot from 19 ft,16,24
98,1,1:54.0,Defensive rebound by M. Ginóbili,,16,24
99,1,1:44.0,Turnover by A. Baynes (lost ball; steal by C. Paul),,16,24
100,1,1:37.0,,Turnover by C. Paul (lost ball; steal by M. Ginóbili),16,24
101,1,1:31.0,D. Green misses 3-pt jump shot from 25 ft,,16,24
102,1,1:29.0,,Defensive rebound by G. Davis,16,24
103,1,1:19.0,,LA Clippers full timeout,16,24
104,1,1:19.0,,H. Türkoğlu enters the game for C. Paul,16,24
105,1,1:12.0,,J. Crawford makes 3-pt jump shot from 26 ft,16,27
106,1,0:55.0,A. Baynes misses 2-pt jump shot from 6 ft,,16,27
107,1,0:54.0,Offensive rebound by M. Ginóbili,,16,27
108,1,0:49.0,Personal foul by G. Davis (drawn by M. Ginóbili),,16,27
109,1,0:49.0,M. Ginóbili misses free throw 1 of 2,,16,27
110,1,0:49.0,Offensive rebound by Team,,16,27
111,1,0:49.0,M. Bonner enters the game for A. Baynes,,16,27
112,1,0:49.0,,S. Hawes enters the game for B. Griffin,16,27
113,1,0:49.0,M. Ginóbili makes free throw 2 of 2,,17,27
114,1,0:31.0,,Shooting foul by M. Bonner (drawn by G. Davis),17,27
115,1,0:31.0,,G. Davis makes free throw 1 of 2,17,28
116,1,0:31.0,M. Belinelli enters the game for D. Green,,17,28
117,1,0:31.0,,G. Davis misses free throw 2 of 2,17,28
118,1,0:31.0,Defensive rebound by M. Ginóbili,,17,28
119,1,0:12.0,Personal foul by S. Hawes (drawn by B. Diaw),,17,28
120,1,0:12.0,B. Diaw misses free throw 1 of 2,,17,28
121,1,0:12.0,Offensive rebound by Team,,17,28
122,1,0:12.0,A. Baynes enters the game for M. Bonner,,17,28
123,1,0:12.0,,J. Redick enters the game for G. Davis,17,28
124,1,0:12.0,P. Mills enters the game for M. Belinelli,,17,28
125,1,0:12.0,B. Diaw makes free throw 2 of 2,,18,28
126,1,0:01.0,,J. Crawford makes 2-pt jump shot from 9 ft,18,30
127,1,0:01.0,M. Ginóbili misses 3-pt jump shot from 42 ft,,18,30
128,1,0:00.0,Offensive rebound by Team,,18,30
129,2,11:48.0,P. Mills makes 3-pt jump shot from 25 ft (assist by M. Ginóbili),,21,30
