,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,CHARLOTTE_ACTION,OKLAHOMA CITY_SCORE,CHARLOTTE_SCORE
0,1,11:47.0,S. Ibaka makes 2-pt jump shot from 17 ft (assist by R. Westbrook),,2,0
1,1,11:32.0,,C. Zeller makes 2-pt jump shot from 20 ft (assist by M. Williams),2,2
2,1,11:09.0,E. Freedom makes 2-pt dunk at rim (assist by K. Singler),,4,2
3,1,10:53.0,,A. Jefferson makes 2-pt layup at rim (assist by C. Zeller),4,4
4,1,10:35.0,A. Roberson misses 3-pt jump shot from 23 ft,,4,4
5,1,10:33.0,,Defensive rebound by A. Jefferson,4,4
6,1,10:25.0,,Turnover by M. Williams (bad pass; steal by S. Ibaka),4,4
7,1,10:15.0,R. Westbrook makes 2-pt jump shot from 7 ft,,6,4
8,1,10:03.0,,M. Williams misses 3-pt jump shot from 23 ft,6,4
9,1,10:02.0,Defensive rebound by S. Ibaka,,6,4
10,1,9:58.0,Shooting foul by M. Kidd-Gilchrist (drawn by R. Westbrook),,6,4
11,1,9:58.0,R. Westbrook makes free throw 1 of 2,,7,4
12,1,9:58.0,R. Westbrook makes free throw 2 of 2,,8,4
13,1,9:47.0,,G. Henderson misses 2-pt jump shot from 15 ft,8,4
14,1,9:46.0,Defensive rebound by S. Ibaka,,8,4
15,1,9:37.0,S. Ibaka makes 2-pt jump shot from 20 ft (assist by R. Westbrook),,10,4
16,1,9:23.0,,C. Zeller misses 2-pt jump shot from 19 ft,10,4
17,1,9:22.0,Defensive rebound by E. Freedom,,10,4
18,1,9:09.0,Turnover by R. Westbrook (bad pass; steal by M. Kidd-Gilchrist),,10,4
19,1,9:04.0,,M. Kidd-Gilchrist makes 2-pt dunk at rim (assist by G. Henderson),10,6
20,1,8:43.0,R. Westbrook misses 2-pt jump shot from 20 ft,,10,6
21,1,8:41.0,,Defensive rebound by A. Jefferson,10,6
22,1,8:36.0,,M. Kidd-Gilchrist makes 2-pt layup from 1 ft (assist by M. Williams),10,8
23,1,8:21.0,K. Singler misses 2-pt jump shot from 17 ft,,10,8
24,1,8:19.0,,Defensive rebound by C. Zeller,10,8
25,1,8:13.0,,A. Jefferson misses 2-pt hook shot from 10 ft,10,8
26,1,8:10.0,Defensive rebound by S. Ibaka,,10,8
27,1,8:06.0,R. Westbrook misses 2-pt layup at rim,,10,8
28,1,8:04.0,Offensive rebound by R. Westbrook,,10,8
29,1,8:00.0,R. Westbrook misses 3-pt jump shot from 24 ft,,10,8
30,1,7:58.0,Offensive rebound by E. Freedom,,10,8
31,1,7:58.0,E. Freedom makes 2-pt layup at rim,,12,8
32,1,7:45.0,,C. Zeller makes 2-pt layup from 1 ft (assist by M. Williams),12,10
33,1,7:28.0,R. Westbrook makes 2-pt layup at rim,,14,10
34,1,7:28.0,Shooting foul by A. Jefferson (drawn by R. Westbrook),,14,10
35,1,7:28.0,R. Westbrook makes free throw 1 of 1,,15,10
36,1,7:15.0,,C. Zeller makes 2-pt dunk at rim (assist by M. Williams),15,12
37,1,7:05.0,S. Ibaka misses 3-pt jump shot from 26 ft,,15,12
38,1,7:03.0,,Defensive rebound by G. Henderson,15,12
39,1,6:48.0,,M. Kidd-Gilchrist misses 2-pt jump shot from 15 ft,15,12
40,1,6:47.0,Defensive rebound by A. Roberson,,15,12
41,1,6:42.0,R. Westbrook misses 2-pt jump shot from 20 ft,,15,12
42,1,6:39.0,,Defensive rebound by M. Kidd-Gilchrist,15,12
43,1,6:26.0,,M. Williams makes 3-pt jump shot from 25 ft (assist by G. Henderson),15,15
44,1,6:20.0,Oklahoma City full timeout,,15,15
45,1,6:20.0,A. Morrow enters the game for A. Roberson,,15,15
46,1,6:09.0,S. Ibaka misses 2-pt jump shot from 15 ft,,15,15
47,1,6:09.0,Offensive rebound by Team,,15,15
48,1,6:09.0,,Loose ball foul by M. Williams (drawn by R. Westbrook),15,15
49,1,6:01.0,E. Freedom makes 2-pt jump shot from 16 ft (assist by R. Westbrook),,17,15
50,1,5:43.0,,Personal foul by A. Morrow (drawn by G. Henderson),17,15
51,1,5:38.0,,G. Henderson makes 2-pt jump shot from 18 ft,17,17
52,1,5:18.0,S. Ibaka makes 2-pt dunk at rim (assist by R. Westbrook),,19,17
53,1,5:01.0,,A. Jefferson makes 2-pt jump shot from 6 ft (assist by M. Williams),19,19
54,1,4:53.0,A. Morrow makes 3-pt jump shot from 24 ft (assist by R. Westbrook),,22,19
55,1,4:29.0,,Shooting foul by S. Ibaka (drawn by C. Zeller),22,19
56,1,4:29.0,,C. Zeller makes free throw 1 of 2,22,20
57,1,4:29.0,N. Collison enters the game for E. Freedom,,22,20
58,1,4:29.0,D. Waiters enters the game for K. Singler,,22,20
59,1,4:29.0,,C. Zeller makes free throw 2 of 2,22,21
60,1,4:15.0,R. Westbrook misses 2-pt layup from 2 ft (block by C. Zeller),,22,21
61,1,4:14.0,,Defensive rebound by C. Zeller,22,21
62,1,4:12.0,,M. Kidd-Gilchrist misses 2-pt layup from 2 ft (block by D. Waiters),22,21
63,1,4:12.0,Defensive rebound by Team,,22,21
64,1,4:10.0,,M. Williams enters the game for C. Zeller,22,21
65,1,3:59.0,N. Collison makes 2-pt layup at rim (assist by A. Morrow),,24,21
66,1,3:54.0,,Charlotte full timeout,24,21
67,1,3:43.0,,A. Jefferson makes 2-pt jump shot from 6 ft (assist by G. Henderson),24,23
68,1,3:31.0,D. Waiters misses 2-pt jump shot from 17 ft,,24,23
69,1,3:30.0,,Defensive rebound by A. Jefferson,24,23
70,1,3:24.0,,Turnover by M. Williams (bad pass; steal by D. Waiters),24,23
71,1,3:16.0,R. Westbrook misses 2-pt jump shot from 19 ft,,24,23
72,1,3:16.0,,Defensive rebound by M. Williams,24,23
73,1,3:01.0,,M. Kidd-Gilchrist makes 2-pt jump shot from 4 ft,24,25
74,1,2:41.0,R. Westbrook makes 2-pt layup from 1 ft,,26,25
75,1,2:23.0,,M. Kidd-Gilchrist makes 2-pt jump shot from 17 ft (assist by M. Williams),26,27
76,1,2:08.0,A. Morrow makes 2-pt jump shot from 6 ft (assist by R. Westbrook),,28,27
77,1,1:47.0,,M. Williams makes 3-pt jump shot from 23 ft (assist by G. Henderson),28,30
78,1,1:38.0,Personal foul by M. Kidd-Gilchrist (drawn by R. Westbrook),,28,30
79,1,1:38.0,D. Augustin enters the game for R. Westbrook,,28,30
80,1,1:38.0,,L. Stephenson enters the game for M. Williams,28,30
81,1,1:38.0,,B. Roberts enters the game for M. Kidd-Gilchrist,28,30
82,1,1:31.0,D. Waiters misses 2-pt jump shot from 17 ft,,28,30
83,1,1:30.0,,Defensive rebound by L. Stephenson,28,30
84,1,1:22.0,,Personal foul by D. Augustin (drawn by G. Henderson),28,30
85,1,1:16.0,,B. Roberts misses 3-pt jump shot from 25 ft,28,30
86,1,1:13.0,,Offensive rebound by M. Williams,28,30
87,1,1:09.0,,L. Stephenson misses 2-pt jump shot from 11 ft,28,30
88,1,1:08.0,Defensive rebound by N. Collison,,28,30
89,1,0:58.0,S. Ibaka misses 2-pt jump shot from 16 ft,,28,30
90,1,0:56.0,,Defensive rebound by G. Henderson,28,30
91,1,0:41.0,,A. Jefferson misses 2-pt jump shot from 14 ft,28,30
92,1,0:40.0,Defensive rebound by N. Collison,,28,30
93,1,0:29.0,S. Ibaka misses 2-pt jump shot from 17 ft,,28,30
94,1,0:28.0,,Defensive rebound by G. Henderson,28,30
95,1,0:16.0,,J. Maxiell enters the game for A. Jefferson,28,30
96,1,0:14.0,,G. Henderson misses 2-pt jump shot from 14 ft,28,30
97,1,0:13.0,Defensive rebound by D. Augustin,,28,30
98,1,0:00.0,S. Ibaka misses 2-pt jump shot from 16 ft,,28,30
99,1,0:00.0,Offensive rebound by Team,,28,30
100,2,11:52.0,,Turnover by J. Taylor (bad pass; steal by N. Collison),28,30
101,2,11:37.0,Offensive foul by N. Collison (drawn by L. Stephenson),,28,30
102,2,11:37.0,Turnover by N. Collison (offensive foul),,28,30
103,2,11:24.0,,M. Williams misses 2-pt jump shot from 21 ft,28,30
104,2,11:23.0,Defensive rebound by D. Augustin,,28,30
105,2,11:16.0,D. Augustin misses 2-pt jump shot from 5 ft,,28,30
106,2,11:16.0,Offensive rebound by M. McGary,,28,30
107,2,11:16.0,M. McGary makes 2-pt layup at rim,,30,30
108,2,11:16.0,Shooting foul by J. Maxiell (drawn by M. McGary),,30,30
109,2,11:16.0,M. McGary makes free throw 1 of 1,,31,30
110,2,10:54.0,,L. Stephenson makes 2-pt jump shot from 14 ft,31,32
111,2,10:39.0,M. McGary makes 2-pt dunk at rim (assist by A. Morrow),,33,32
112,2,10:11.0,,L. Stephenson misses 3-pt jump shot from 26 ft,33,32
113,2,10:10.0,Defensive rebound by M. McGary,,33,32
114,2,9:59.0,D. Waiters misses 3-pt jump shot from 23 ft,,33,32
115,2,9:56.0,Offensive rebound by M. McGary,,33,32
116,2,9:54.0,D. Waiters misses 3-pt jump shot from 23 ft,,33,32
117,2,9:52.0,Offensive rebound by M. McGary,,33,32
118,2,9:50.0,M. McGary makes 2-pt layup from 1 ft,,35,32
