,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,DETROIT_ACTION,BROOKLYN_SCORE,DETROIT_SCORE
0,1,11:44.0,,A. Drummond makes 2-pt hook shot from 5 ft (assist by B. Jennings),0,2
1,1,11:28.0,K. Garnett makes 2-pt jump shot from 18 ft (assist by B. Bogdanović),,2,2
2,1,11:06.0,,B. Jennings misses 3-pt jump shot from 25 ft,2,2
3,1,11:05.0,Defensive rebound by M. Plumlee,,2,2
4,1,10:54.0,J. Jack misses 2-pt layup from 1 ft,,2,2
5,1,10:52.0,,Defensive rebound by G. Monroe,2,2
6,1,10:48.0,,A. Drummond makes 2-pt dunk at rim (assist by B. Jennings),2,4
7,1,10:30.0,J. Johnson misses 2-pt jump shot from 5 ft,,2,4
8,1,10:29.0,,Defensive rebound by A. Drummond,2,4
9,1,10:06.0,,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,2,4
10,1,10:05.0,Defensive rebound by K. Garnett,,2,4
11,1,9:56.0,Turnover by J. Jack (lost ball; steal by B. Jennings),,2,4
12,1,9:50.0,,G. Monroe makes 2-pt dunk at rim (assist by B. Jennings),2,6
13,1,9:31.0,B. Bogdanović misses 3-pt jump shot from 27 ft,,2,6
14,1,9:30.0,Offensive rebound by K. Garnett,,2,6
15,1,9:26.0,B. Bogdanović misses 2-pt layup from 1 ft (block by K. Singler),,2,6
16,1,9:24.0,,Defensive rebound by K. Caldwell-Pope,2,6
17,1,9:19.0,,B. Jennings misses 2-pt jump shot from 11 ft,2,6
18,1,9:18.0,,Offensive rebound by G. Monroe,2,6
19,1,9:17.0,,G. Monroe makes 2-pt layup at rim,2,8
20,1,8:59.0,Turnover by K. Garnett (lost ball; steal by K. Caldwell-Pope),,2,8
21,1,8:47.0,,Turnover by G. Monroe (lost ball; steal by J. Jack),2,8
22,1,8:42.0,B. Bogdanović makes 2-pt layup at rim (assist by J. Jack),,4,8
23,1,8:17.0,,G. Monroe misses 2-pt jump shot from 9 ft,4,8
24,1,8:15.0,,Offensive rebound by A. Drummond,4,8
25,1,8:12.0,,A. Drummond misses 2-pt hook shot from 7 ft,4,8
26,1,8:11.0,Defensive rebound by J. Jack,,4,8
27,1,8:01.0,J. Johnson makes 3-pt jump shot from 25 ft (assist by J. Jack),,7,8
28,1,7:52.0,,Personal foul by B. Bogdanović (drawn by K. Caldwell-Pope),7,8
29,1,7:40.0,,K. Singler makes 3-pt jump shot from 25 ft (assist by B. Jennings),7,11
30,1,7:24.0,J. Johnson makes 2-pt jump shot from 6 ft,,9,11
31,1,7:04.0,,K. Caldwell-Pope makes 3-pt jump shot from 27 ft (assist by K. Singler),9,14
32,1,6:43.0,J. Jack misses 3-pt jump shot from 26 ft,,9,14
33,1,6:42.0,Offensive rebound by K. Garnett,,9,14
34,1,6:38.0,B. Bogdanović makes 2-pt layup from 1 ft (assist by K. Garnett),,11,14
35,1,6:28.0,,K. Singler misses 3-pt jump shot from 23 ft,11,14
36,1,6:27.0,Defensive rebound by K. Garnett,,11,14
37,1,6:09.0,K. Garnett misses 3-pt jump shot from 23 ft,,11,14
38,1,6:09.0,,Defensive rebound by K. Singler,11,14
39,1,6:00.0,,Turnover by B. Jennings (lost ball; steal by M. Plumlee),11,14
40,1,5:52.0,B. Bogdanović misses 3-pt jump shot from 22 ft,,11,14
41,1,5:51.0,,Defensive rebound by G. Monroe,11,14
42,1,5:35.0,,Turnover by G. Monroe (traveling),11,14
43,1,5:35.0,,Detroit full timeout,11,14
44,1,5:35.0,B. Lopez enters the game for K. Garnett,,11,14
45,1,5:35.0,S. Karasev enters the game for B. Bogdanović,,11,14
46,1,5:17.0,J. Johnson misses 2-pt jump shot from 8 ft,,11,14
47,1,5:16.0,,Defensive rebound by B. Jennings,11,14
48,1,5:06.0,,Shooting foul by J. Johnson (drawn by K. Caldwell-Pope),11,14
49,1,5:06.0,,K. Caldwell-Pope misses free throw 1 of 2,11,14
50,1,5:06.0,,Offensive rebound by Team,11,14
51,1,5:06.0,,K. Caldwell-Pope makes free throw 2 of 2,11,15
52,1,4:51.0,B. Lopez misses 2-pt hook shot from 6 ft,,11,15
53,1,4:49.0,Offensive rebound by M. Plumlee,,11,15
54,1,4:48.0,M. Plumlee makes 2-pt dunk at rim,,13,15
55,1,4:33.0,,G. Monroe makes 2-pt hook shot from 7 ft (assist by K. Singler),13,17
56,1,4:18.0,M. Plumlee misses 2-pt layup from 1 ft,,13,17
57,1,4:17.0,,Defensive rebound by G. Monroe,13,17
58,1,4:09.0,,Turnover by A. Drummond (lost ball; steal by B. Lopez),13,17
59,1,4:04.0,,J. Jerebko enters the game for A. Drummond,13,17
60,1,3:52.0,B. Lopez misses 3-pt jump shot from 23 ft,,13,17
61,1,3:51.0,,Defensive rebound by G. Monroe,13,17
62,1,3:40.0,,J. Jerebko makes 2-pt layup at rim (assist by B. Jennings),13,19
63,1,3:16.0,J. Johnson misses 3-pt jump shot from 23 ft,,13,19
64,1,3:15.0,Offensive rebound by Team,,13,19
65,1,3:15.0,,Loose ball foul by J. Jerebko (drawn by M. Plumlee),13,19
66,1,3:15.0,,J. Meeks enters the game for K. Caldwell-Pope,13,19
67,1,3:03.0,J. Jack misses 3-pt jump shot from 26 ft,,13,19
68,1,3:02.0,,Defensive rebound by J. Jerebko,13,19
69,1,2:53.0,,B. Jennings misses 3-pt jump shot from 23 ft,13,19
70,1,2:52.0,,Offensive rebound by G. Monroe,13,19
71,1,2:49.0,Brooklyn full timeout,,13,19
72,1,2:49.0,A. Anderson enters the game for J. Johnson,,13,19
73,1,2:42.0,,J. Meeks misses 2-pt jump shot from 19 ft,13,19
74,1,2:41.0,Defensive rebound by A. Anderson,,13,19
75,1,2:20.0,B. Lopez makes 2-pt jump shot from 14 ft,,15,19
76,1,2:03.0,,G. Monroe misses 2-pt hook shot from 6 ft,15,19
77,1,2:01.0,Defensive rebound by B. Lopez,,15,19
78,1,1:48.0,M. Plumlee misses 2-pt hook shot from 6 ft,,15,19
79,1,1:46.0,,Defensive rebound by G. Monroe,15,19
80,1,1:36.0,,G. Monroe misses 2-pt layup at rim,15,19
81,1,1:34.0,Defensive rebound by M. Plumlee,,15,19
82,1,1:25.0,S. Karasev makes 2-pt layup at rim (assist by B. Lopez),,17,19
83,1,1:11.0,,J. Meeks misses 2-pt layup at rim,17,19
84,1,1:10.0,Defensive rebound by B. Lopez,,17,19
85,1,1:05.0,J. Jack misses 2-pt jump shot from 17 ft,,17,19
86,1,1:04.0,,Defensive rebound by B. Jennings,17,19
87,1,0:55.0,,K. Singler makes 3-pt jump shot from 27 ft (assist by B. Jennings),17,22
88,1,0:43.0,M. Plumlee makes 2-pt dunk at rim,,19,22
89,1,0:29.0,,K. Singler misses 2-pt jump shot from 5 ft,19,22
90,1,0:27.0,Defensive rebound by B. Lopez,,19,22
91,1,0:20.0,M. Plumlee makes 2-pt dunk at rim (assist by S. Karasev),,21,22
92,1,0:08.0,,Personal take foul by J. Jack (drawn by B. Jennings),21,22
93,1,0:08.0,M. Teletović enters the game for M. Plumlee,,21,22
94,1,0:08.0,D. Morris enters the game for J. Jack,,21,22
95,1,0:02.0,,B. Jennings misses 2-pt jump shot from 20 ft,21,22
96,1,0:01.0,Defensive rebound by A. Anderson,,21,22
97,2,11:40.0,D. Morris misses 2-pt layup at rim,,21,22
98,2,11:39.0,,Defensive rebound by J. Jerebko,21,22
99,2,11:27.0,,J. Meeks misses 3-pt jump shot from 26 ft,21,22
100,2,11:26.0,Defensive rebound by A. Anderson,,21,22
101,2,11:10.0,B. Lopez misses 2-pt jump shot from 5 ft,,21,22
102,2,11:09.0,Offensive rebound by B. Lopez,,21,22
103,2,11:06.0,Shooting foul by A. Drummond (drawn by B. Lopez),,21,22
104,2,11:06.0,B. Lopez makes free throw 1 of 2,,22,22
105,2,11:06.0,B. Lopez makes free throw 2 of 2,,23,22
106,2,10:37.0,,A. Drummond makes 2-pt hook shot from 4 ft (assist by D. Augustin),23,24
107,2,10:21.0,M. Teletović misses 2-pt jump shot from 5 ft,,23,24
108,2,10:20.0,Offensive rebound by M. Teletović,,23,24
109,2,10:19.0,M. Teletović misses 2-pt tip-in at rim,,23,24
110,2,10:18.0,,Defensive rebound by J. Jerebko,23,24
111,2,10:06.0,,J. Jerebko makes 3-pt jump shot from 26 ft (assist by D. Augustin),23,27
112,2,9:49.0,B. Lopez misses 2-pt hook shot from 5 ft,,23,27
113,2,9:47.0,,Defensive rebound by A. Drummond,23,27
114,2,9:34.0,,D. Augustin misses 3-pt jump shot from 25 ft,23,27
115,2,9:33.0,Defensive rebound by S. Karasev,,23,27
116,2,9:17.0,D. Morris makes 2-pt layup at rim,,25,27
117,2,9:01.0,,Shooting foul by B. Lopez (drawn by C. Butler),25,27
118,2,9:01.0,,C. Butler makes free throw 1 of 2,25,28
119,2,9:01.0,,C. Butler makes free throw 2 of 2,25,29
120,2,8:46.0,S. Karasev misses 2-pt layup at rim (block by A. Drummond),,25,29
121,2,8:44.0,,Defensive rebound by J. Jerebko,25,29
122,2,8:42.0,,J. Meeks makes 2-pt layup at rim (assist by D. Augustin),25,31
123,2,8:42.0,,Shooting foul by M. Teletović (drawn by J. Meeks),25,31
124,2,8:42.0,Official timeout,,25,31
125,2,8:42.0,B. Bogdanović enters the game for S. Karasev,,25,31
126,2,8:42.0,J. Johnson enters the game for A. Anderson,,25,31
127,2,8:42.0,,J. Meeks makes free throw 1 of 1,25,32
128,2,8:28.0,M. Teletović makes 3-pt jump shot from 26 ft (assist by D. Morris),,28,32
129,2,8:09.0,,Turnover by D. Augustin (bad pass; steal by D. Morris),28,32
130,2,8:06.0,Turnover by D. Morris (bad pass; steal by A. Drummond),,28,32
131,2,8:00.0,,J. Meeks misses 3-pt jump shot from 26 ft,28,32
132,2,7:59.0,Defensive rebound by M. Teletović,,28,32
133,2,7:48.0,D. Morris makes 3-pt jump shot from 25 ft (assist by M. Teletović),,31,32
134,2,7:29.0,,Personal foul by B. Bogdanović (drawn by D. Augustin),31,32
