,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,PHOENIX_ACTION,MEMPHIS_SCORE,PHOENIX_SCORE
0,1,11:34.0,M. Conley misses 3-pt jump shot from 26 ft,,0,0
1,1,11:32.0,,Defensive rebound by M. Morris,0,0
2,1,11:10.0,,E. Bledsoe makes 2-pt jump shot from 6 ft,0,2
3,1,10:47.0,Z. Randolph misses 2-pt hook shot from 7 ft,,0,2
4,1,10:44.0,,Defensive rebound by A. Len,0,2
5,1,10:39.0,,Turnover by A. Len (offensive goaltending),0,2
6,1,10:22.0,M. Conley makes 2-pt jump shot from 11 ft,,2,2
7,1,10:06.0,,G. Dragić misses 2-pt jump shot from 17 ft,2,2
8,1,10:04.0,Defensive rebound by Z. Randolph,,2,2
9,1,10:00.0,C. Lee misses 2-pt layup from 2 ft (block by E. Bledsoe),,2,2
10,1,9:58.0,,Defensive rebound by A. Len,2,2
11,1,9:51.0,,G. Dragić makes 2-pt layup from 1 ft (assist by E. Bledsoe),2,4
12,1,9:39.0,C. Lee misses 2-pt jump shot from 5 ft (block by A. Len),,2,4
13,1,9:39.0,Offensive rebound by Team,,2,4
14,1,9:34.0,Personal foul by P. Tucker (drawn by J. Green),,2,4
15,1,9:25.0,M. Conley makes 2-pt layup from 1 ft,,4,4
16,1,9:08.0,,M. Morris makes 2-pt jump shot from 10 ft,4,6
17,1,8:49.0,M. Gasol misses 2-pt jump shot from 14 ft,,4,6
18,1,8:47.0,,Defensive rebound by M. Morris,4,6
19,1,8:41.0,,E. Bledsoe makes 2-pt jump shot from 16 ft,4,8
20,1,8:24.0,Z. Randolph misses 2-pt jump shot from 15 ft,,4,8
21,1,8:23.0,Offensive rebound by J. Green,,4,8
22,1,8:17.0,Shooting foul by A. Len (drawn by M. Gasol),,4,8
23,1,8:17.0,M. Gasol makes free throw 1 of 2,,5,8
24,1,8:17.0,M. Gasol makes free throw 2 of 2,,6,8
25,1,8:01.0,,M. Morris misses 2-pt jump shot from 17 ft,6,8
26,1,7:59.0,Defensive rebound by M. Gasol,,6,8
27,1,7:48.0,M. Gasol makes 2-pt jump shot from 13 ft,,8,8
28,1,7:30.0,,M. Morris makes 2-pt layup from 1 ft,8,10
29,1,7:14.0,M. Conley makes 2-pt layup from 2 ft (assist by M. Gasol),,10,10
30,1,7:01.0,,E. Bledsoe makes 2-pt layup from 2 ft (assist by G. Dragić),10,12
31,1,6:41.0,J. Green makes 2-pt jump shot from 3 ft (assist by M. Gasol),,12,12
32,1,6:16.0,,M. Morris misses 2-pt jump shot from 16 ft,12,12
33,1,6:15.0,Defensive rebound by M. Gasol,,12,12
34,1,5:57.0,M. Gasol misses 2-pt jump shot from 19 ft,,12,12
