,QUARTER,TIME_REMAINING,BOSTON_ACTION,PHILADELPHIA_ACTION,BOSTON_SCORE,PHILADELPHIA_SCORE
0,1,11:51.0,J. Sullinger misses 3-pt jump shot from 26 ft,,0,0
1,1,11:48.0,,Defensive rebound by H. Sims,0,0
2,1,11:34.0,,N. Noel misses 2-pt jump shot from 17 ft,0,0
3,1,11:32.0,Defensive rebound by R. Rondo,,0,0
4,1,11:17.0,J. Green misses 2-pt jump shot from 11 ft,,0,0
5,1,11:15.0,,Defensive rebound by N. Noel,0,0
6,1,10:55.0,,N. Noel makes 2-pt hook shot from 7 ft (assist by M. Carter-Williams),0,2
7,1,10:44.0,A. Bradley misses 2-pt jump shot from 9 ft,,0,2
8,1,10:42.0,,Defensive rebound by M. Carter-Williams,0,2
9,1,10:41.0,,Turnover by M. Carter-Williams (lost ball; steal by A. Bradley),0,2
10,1,10:34.0,Turnover by K. Olynyk (lost ball; steal by M. Carter-Williams),,0,2
11,1,10:33.0,,Personal foul by K. Olynyk (drawn by M. Carter-Williams),0,2
12,1,10:19.0,,M. Carter-Williams misses 2-pt jump shot from 17 ft,0,2
13,1,10:18.0,Defensive rebound by J. Green,,0,2
14,1,10:13.0,Turnover by J. Green (lost ball; steal by L. Mbah a Moute),,0,2
15,1,10:07.0,,L. Mbah a Moute misses 2-pt jump shot from 3 ft (block by J. Green),0,2
16,1,10:07.0,,Offensive rebound by Team,0,2
17,1,10:03.0,,H. Thompson misses 3-pt jump shot from 26 ft,0,2
18,1,10:01.0,Defensive rebound by J. Sullinger,,0,2
19,1,9:53.0,J. Green makes 2-pt layup at rim (assist by J. Sullinger),,2,2
20,1,9:53.0,Shooting foul by H. Thompson (drawn by J. Green),,2,2
21,1,9:53.0,J. Green makes free throw 1 of 1,,3,2
22,1,9:43.0,,L. Mbah a Moute makes 2-pt jump shot from 18 ft (assist by M. Carter-Williams),3,4
23,1,9:26.0,A. Bradley makes 2-pt jump shot from 17 ft (assist by J. Green),,5,4
24,1,9:05.0,,L. Mbah a Moute makes 2-pt jump shot from 17 ft (assist by H. Thompson),5,6
25,1,8:49.0,K. Olynyk misses 2-pt jump shot from 12 ft,,5,6
26,1,8:47.0,,Defensive rebound by M. Carter-Williams,5,6
27,1,8:37.0,,H. Sims misses 2-pt jump shot from 9 ft,5,6
28,1,8:32.0,,Offensive rebound by H. Sims,5,6
29,1,8:32.0,,H. Sims makes 2-pt jump shot from 4 ft,5,8
30,1,8:16.0,A. Bradley misses 3-pt jump shot from 26 ft,,5,8
31,1,8:14.0,,Defensive rebound by H. Thompson,5,8
32,1,8:05.0,,H. Thompson misses 2-pt layup at rim,5,8
33,1,8:02.0,Defensive rebound by K. Olynyk,,5,8
34,1,7:52.0,Turnover by R. Rondo (bad pass; steal by L. Mbah a Moute),,5,8
35,1,7:39.0,,Turnover by M. Carter-Williams (bad pass; steal by R. Rondo),5,8
36,1,7:24.0,R. Rondo makes 3-pt jump shot from 25 ft (assist by J. Green),,8,8
37,1,7:02.0,,H. Thompson makes 3-pt jump shot from 26 ft (assist by M. Carter-Williams),8,11
38,1,6:46.0,J. Sullinger makes 2-pt hook shot from 2 ft,,10,11
