,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,TORONTO_ACTION,SACRAMENTO_SCORE,TORONTO_SCORE
0,1,11:49.0,Personal foul by A. Johnson (drawn by D. Cousins),,0,0
1,1,11:40.0,R. Gay misses 3-pt jump shot from 22 ft,,0,0
2,1,11:39.0,,Defensive rebound by K. Lowry,0,0
3,1,11:20.0,,D. DeRozan misses 2-pt jump shot from 16 ft,0,0
4,1,11:19.0,,Offensive rebound by J. Valančiūnas,0,0
5,1,11:14.0,,D. DeRozan misses 3-pt jump shot from 26 ft,0,0
6,1,11:13.0,Defensive rebound by B. McLemore,,0,0
7,1,11:06.0,J. Thompson misses 2-pt hook shot from 5 ft,,0,0
8,1,11:05.0,,Defensive rebound by A. Johnson,0,0
9,1,10:58.0,,K. Lowry makes 2-pt jump shot from 3 ft,0,2
10,1,10:39.0,D. Cousins misses 2-pt jump shot from 16 ft,,0,2
11,1,10:38.0,,Defensive rebound by G. Vásquez,0,2
12,1,10:32.0,,K. Lowry misses 2-pt layup from 1 ft (block by D. Cousins),0,2
13,1,10:30.0,Defensive rebound by R. Gay,,0,2
14,1,10:21.0,D. Collison misses 3-pt jump shot from 25 ft,,0,2
15,1,10:20.0,,Defensive rebound by G. Vásquez,0,2
16,1,10:04.0,,A. Johnson makes 3-pt jump shot from 25 ft (assist by G. Vásquez),0,5
17,1,9:46.0,R. Gay misses 2-pt jump shot from 13 ft,,0,5
18,1,9:45.0,,Defensive rebound by A. Johnson,0,5
19,1,9:39.0,,Turnover by G. Vásquez (lost ball; steal by D. Collison),0,5
20,1,9:33.0,Offensive foul by J. Thompson (drawn by K. Lowry),,0,5
21,1,9:33.0,Turnover by J. Thompson (offensive foul),,0,5
22,1,9:11.0,,Turnover by K. Lowry (bad pass; steal by D. Cousins),0,5
23,1,9:01.0,B. McLemore misses 3-pt jump shot from 23 ft,,0,5
24,1,9:00.0,,Defensive rebound by G. Vásquez,0,5
25,1,8:52.0,,J. Valančiūnas makes 2-pt hook shot from 2 ft (assist by G. Vásquez),0,7
26,1,8:30.0,Turnover by D. Cousins (bad pass; steal by K. Lowry),,0,7
27,1,8:25.0,,Turnover by A. Johnson (lost ball),0,7
28,1,8:10.0,D. Collison makes 3-pt jump shot from 23 ft (assist by D. Cousins),,3,7
29,1,7:44.0,,D. DeRozan makes 3-pt jump shot from 24 ft (assist by A. Johnson),3,10
30,1,7:21.0,D. Cousins misses 2-pt jump shot from 19 ft,,3,10
31,1,7:19.0,,Defensive rebound by J. Valančiūnas,3,10
32,1,7:05.0,,J. Valančiūnas misses 2-pt jump shot from 16 ft,3,10
33,1,7:05.0,Defensive rebound by D. Cousins,,3,10
34,1,6:58.0,B. McLemore makes 2-pt jump shot from 3 ft (assist by D. Cousins),,5,10
35,1,6:45.0,,Offensive foul by J. Valančiūnas (drawn by D. Collison),5,10
36,1,6:45.0,,Turnover by J. Valančiūnas (offensive foul),5,10
