,QUARTER,TIME_REMAINING,TORONTO_ACTION,INDIANA_ACTION,TORONTO_SCORE,INDIANA_SCORE
0,1,12:00.0,,Violation by Team (jump ball),0,0
1,1,11:42.0,Turnover by D. DeRozan (lost ball),,0,0
2,1,11:18.0,,C. Watson makes 3-pt jump shot from 23 ft,0,3
3,1,11:02.0,,Violation by D. West (kicked ball),0,3
4,1,10:56.0,D. DeRozan misses 2-pt jump shot from 20 ft,,0,3
5,1,10:55.0,,Defensive rebound by R. Stuckey,0,3
6,1,10:42.0,,R. Stuckey makes 2-pt jump shot from 10 ft (assist by C. Watson),0,5
7,1,10:16.0,A. Johnson misses 2-pt jump shot from 10 ft (block by R. Hibbert),,0,5
8,1,10:15.0,,Defensive rebound by D. West,0,5
9,1,10:13.0,,R. Stuckey makes 2-pt layup from 2 ft (assist by D. West),0,7
10,1,9:55.0,G. Vásquez misses 3-pt jump shot from 24 ft,,0,7
11,1,9:54.0,,Defensive rebound by S. Hill,0,7
12,1,9:41.0,,S. Hill misses 2-pt jump shot from 15 ft,0,7
13,1,9:41.0,,Offensive rebound by Team,0,7
14,1,9:41.0,Loose ball foul by J. Valančiūnas (drawn by R. Hibbert),,0,7
15,1,9:34.0,,D. West misses 2-pt jump shot from 14 ft,0,7
16,1,9:33.0,Defensive rebound by D. DeRozan,,0,7
17,1,9:24.0,Turnover by D. DeRozan (bad pass; steal by S. Hill),,0,7
18,1,9:17.0,,R. Stuckey misses 2-pt jump shot from 20 ft,0,7
19,1,9:15.0,Defensive rebound by Team,,0,7
20,1,9:03.0,K. Lowry misses 3-pt jump shot from 26 ft,,0,7
21,1,9:02.0,,Defensive rebound by S. Hill,0,7
22,1,8:51.0,,R. Hibbert makes 2-pt hook shot from 4 ft (assist by D. West),0,9
23,1,8:44.0,Toronto full timeout,,0,9
24,1,8:37.0,K. Lowry makes 2-pt jump shot from 20 ft (assist by G. Vásquez),,2,9
25,1,8:21.0,,R. Hibbert misses 2-pt jump shot from 12 ft,2,9
26,1,8:20.0,Defensive rebound by A. Johnson,,2,9
27,1,8:14.0,J. Valančiūnas misses 2-pt jump shot from 7 ft,,2,9
28,1,8:13.0,,Defensive rebound by R. Hibbert,2,9
29,1,8:01.0,,R. Hibbert misses 2-pt layup from 2 ft,2,9
30,1,8:01.0,,Offensive rebound by R. Hibbert,2,9
31,1,8:01.0,Loose ball foul by G. Vásquez (drawn by R. Hibbert),,2,9
32,1,7:50.0,,Turnover by C. Watson (bad pass; steal by D. DeRozan),2,9
33,1,7:34.0,D. DeRozan misses 2-pt jump shot from 11 ft,,2,9
34,1,7:33.0,,Defensive rebound by R. Hibbert,2,9
35,1,7:12.0,,R. Hibbert misses 2-pt jump shot from 12 ft,2,9
36,1,7:11.0,Defensive rebound by K. Lowry,,2,9
37,1,7:05.0,Shooting foul by R. Hibbert (drawn by D. DeRozan),,2,9
38,1,7:05.0,D. DeRozan makes free throw 1 of 2,,3,9
39,1,7:05.0,D. DeRozan makes free throw 2 of 2,,4,9
40,1,6:47.0,,D. West makes 2-pt jump shot from 8 ft (assist by R. Stuckey),4,11
41,1,6:31.0,Personal foul by S. Hill (drawn by D. DeRozan),,4,11
42,1,6:28.0,K. Lowry makes 2-pt layup from 1 ft,,6,11
43,1,6:01.0,,C. Watson misses 3-pt jump shot from 23 ft,6,11
44,1,6:00.0,Defensive rebound by A. Johnson,,6,11
45,1,5:45.0,D. DeRozan misses 3-pt jump shot from 23 ft,,6,11
46,1,5:44.0,,Defensive rebound by R. Stuckey,6,11
47,1,5:38.0,,I. Mahinmi enters the game for R. Hibbert,6,11
48,1,5:38.0,P. Patterson enters the game for A. Johnson,,6,11
49,1,5:38.0,L. Williams enters the game for G. Vásquez,,6,11
50,1,5:31.0,,R. Stuckey makes 2-pt jump shot from 17 ft (assist by C. Watson),6,13
51,1,5:10.0,P. Patterson misses 2-pt jump shot from 18 ft (block by D. West),,6,13
52,1,5:10.0,Offensive rebound by Team,,6,13
53,1,5:05.0,P. Patterson misses 3-pt jump shot from 25 ft,,6,13
54,1,5:04.0,,Defensive rebound by R. Stuckey,6,13
55,1,5:03.0,,Personal foul by K. Lowry (drawn by R. Stuckey),6,13
56,1,4:53.0,,R. Stuckey misses 2-pt jump shot from 15 ft,6,13
57,1,4:52.0,Defensive rebound by J. Valančiūnas,,6,13
58,1,4:43.0,K. Lowry misses 2-pt jump shot from 12 ft,,6,13
59,1,4:41.0,,Defensive rebound by I. Mahinmi,6,13
60,1,4:31.0,,C. Watson makes 2-pt jump shot from 20 ft,6,15
61,1,4:14.0,D. DeRozan makes 2-pt jump shot from 11 ft,,8,15
62,1,4:05.0,,Indiana full timeout,8,15
63,1,4:05.0,T. Hansbrough enters the game for J. Valančiūnas,,8,15
64,1,4:05.0,,G. Hill enters the game for C. Watson,8,15
65,1,3:54.0,,G. Hill misses 3-pt jump shot from 24 ft,8,15
66,1,3:53.0,Defensive rebound by K. Lowry,,8,15
67,1,3:47.0,D. DeRozan makes 2-pt jump shot from 3 ft,,10,15
68,1,3:47.0,Shooting foul by I. Mahinmi (drawn by D. DeRozan),,10,15
69,1,3:47.0,D. DeRozan makes free throw 1 of 1,,11,15
70,1,3:33.0,,R. Stuckey makes 2-pt jump shot from 6 ft,11,17
71,1,3:16.0,D. DeRozan makes 2-pt jump shot from 16 ft (assist by K. Lowry),,13,17
72,1,2:56.0,,Turnover by R. Stuckey (bad pass; steal by P. Patterson),13,17
73,1,2:45.0,K. Lowry makes 3-pt jump shot from 23 ft,,16,17
74,1,2:29.0,,S. Hill makes 3-pt jump shot from 23 ft (assist by I. Mahinmi),16,20
75,1,2:15.0,D. DeRozan misses 2-pt jump shot from 21 ft,,16,20
76,1,2:14.0,Offensive rebound by P. Patterson,,16,20
77,1,2:14.0,P. Patterson makes 2-pt tip-in from 1 ft,,18,20
78,1,2:02.0,,D. West misses 2-pt jump shot from 17 ft,18,20
79,1,2:01.0,Defensive rebound by T. Hansbrough,,18,20
