,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,PHOENIX_ACTION,MINNESOTA_SCORE,PHOENIX_SCORE
89,1,0:07.0,R. Hummel misses 3-pt jump shot from 23 ft,,27,32
90,1,0:05.0,Offensive rebound by A. Wiggins,,27,32
91,1,0:01.0,T. Young misses 3-pt jump shot from 25 ft,,27,32
92,1,0:00.0,Offensive rebound by Team,,27,32
93,2,11:46.0,Turnover by A. Wiggins (bad pass),,27,32
94,2,11:34.0,,B. Wright makes 2-pt dunk at rim (assist by I. Thomas),27,34
95,2,11:10.0,R. Hummel makes 2-pt layup at rim (assist by G. Dieng),,29,34
96,2,10:57.0,,M. Morris makes 2-pt jump shot from 15 ft,29,36
97,2,10:42.0,Shooting foul by I. Thomas (drawn by M. Williams),,29,36
98,2,10:42.0,M. Williams makes free throw 1 of 2,,30,36
99,2,10:42.0,M. Williams misses free throw 2 of 2,,30,36
100,2,10:41.0,,Defensive rebound by M. Morris,30,36
101,2,10:24.0,,T. Warren makes 2-pt jump shot from 20 ft,30,38
102,2,10:11.0,M. Williams misses 2-pt jump shot from 15 ft,,30,38
103,2,10:10.0,,Defensive rebound by Team,30,38
104,2,10:10.0,Z. LaVine enters the game for M. Williams,,30,38
105,2,9:57.0,,T. Warren misses 3-pt jump shot from 23 ft,30,38
106,2,9:55.0,Defensive rebound by R. Hummel,,30,38
107,2,9:45.0,A. Bennett makes 2-pt dunk at rim (assist by A. Wiggins),,32,38
108,2,9:24.0,,G. Green makes 2-pt jump shot from 13 ft,32,40
109,2,9:11.0,R. Hummel makes 2-pt layup at rim (assist by G. Dieng),,34,40
110,2,9:11.0,Shooting foul by T. Warren (drawn by R. Hummel),,34,40
111,2,8:59.0,A. Bennett makes 2-pt dunk at rim (assist by A. Wiggins),,36,40
112,2,8:43.0,,G. Green makes 2-pt jump shot from 22 ft,36,42
113,2,8:31.0,A. Wiggins makes 3-pt jump shot from 25 ft (assist by R. Hummel),,39,42
114,2,8:21.0,,I. Thomas misses 3-pt jump shot from 24 ft,39,42
115,2,8:19.0,Defensive rebound by A. Wiggins,,39,42
116,2,8:08.0,G. Dieng misses 2-pt jump shot from 14 ft,,39,42
117,2,8:08.0,Offensive rebound by Team,,39,42
118,2,8:08.0,,Loose ball foul by T. Warren (drawn by R. Hummel),39,42
119,2,8:08.0,Official timeout,,39,42
120,2,8:00.0,A. Bennett misses 2-pt jump shot from 8 ft,,39,42
121,2,7:58.0,Offensive rebound by G. Dieng,,39,42
122,2,7:50.0,R. Hummel makes 3-pt jump shot from 24 ft (assist by G. Dieng),,42,42
