,QUARTER,TIME_REMAINING,CHICAGO_ACTION,MILWAUKEE_ACTION,CHICAGO_SCORE,MILWAUKEE_SCORE
0,1,11:47.0,D. Rose misses 2-pt jump shot from 15 ft,,0,0
1,1,11:46.0,Offensive rebound by J. Noah,,0,0
2,1,11:38.0,M. Dunleavy makes 3-pt jump shot from 23 ft (assist by D. Rose),,3,0
3,1,11:22.0,,G. Antetokounmpo misses 2-pt jump shot from 5 ft,3,0
4,1,11:21.0,Defensive rebound by D. Rose,,3,0
5,1,11:15.0,P. Gasol makes 2-pt layup at rim (assist by D. Rose),,5,0
6,1,11:03.0,,M. Carter-Williams misses 2-pt jump shot from 4 ft,5,0
7,1,11:01.0,Defensive rebound by J. Noah,,5,0
8,1,10:53.0,J. Butler makes 3-pt jump shot from 24 ft (assist by D. Rose),,8,0
9,1,10:52.0,,Milwaukee full timeout,8,0
10,1,10:52.0,,J. Bayless enters the game for M. Carter-Williams,8,0
11,1,10:28.0,,Z. Pachulia misses 2-pt layup from 3 ft,8,0
12,1,10:27.0,Defensive rebound by J. Noah,,8,0
13,1,10:14.0,Turnover by D. Rose (bad pass),,8,0
14,1,10:05.0,,Turnover by J. Bayless (bad pass),8,0
15,1,9:48.0,D. Rose misses 3-pt jump shot from 28 ft,,8,0
16,1,9:47.0,,Defensive rebound by Z. Pachulia,8,0
17,1,9:33.0,,K. Middleton makes 2-pt jump shot from 18 ft,8,2
18,1,9:24.0,Personal foul by K. Middleton (drawn by M. Dunleavy),,8,2
19,1,9:15.0,M. Dunleavy makes 2-pt jump shot from 20 ft (assist by D. Rose),,10,2
20,1,8:59.0,,K. Middleton makes 2-pt jump shot from 16 ft,10,4
21,1,8:44.0,P. Gasol makes 2-pt jump shot from 15 ft (assist by J. Butler),,12,4
22,1,8:30.0,,G. Antetokounmpo makes 2-pt layup at rim (assist by K. Middleton),12,6
23,1,8:04.0,D. Rose misses 2-pt jump shot from 6 ft,,12,6
24,1,8:03.0,,Defensive rebound by K. Middleton,12,6
25,1,7:54.0,,K. Middleton misses 3-pt jump shot from 26 ft,12,6
26,1,7:53.0,Defensive rebound by M. Dunleavy,,12,6
27,1,7:51.0,J. Butler makes 2-pt layup from 1 ft (assist by M. Dunleavy),,14,6
28,1,7:34.0,,G. Antetokounmpo misses 2-pt jump shot from 17 ft,14,6
29,1,7:33.0,Defensive rebound by J. Noah,,14,6
30,1,7:18.0,M. Dunleavy makes 3-pt jump shot from 24 ft (assist by D. Rose),,17,6
31,1,7:10.0,,Milwaukee full timeout,17,6
32,1,7:10.0,,O. Mayo enters the game for K. Middleton,17,6
33,1,7:02.0,,E. İlyasova makes 2-pt jump shot from 17 ft (assist by J. Bayless),17,8
34,1,6:38.0,Turnover by J. Butler (lost ball),,17,8
