,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,NEW ORLEANS_ACTION,SAN ANTONIO_SCORE,NEW ORLEANS_SCORE
0,1,11:41.0,Turnover by T. Duncan (traveling),,0,0
1,1,11:26.0,,A. Davis misses 2-pt jump shot from 16 ft,0,0
2,1,11:25.0,Defensive rebound by T. Duncan,,0,0
3,1,11:10.0,T. Duncan makes 2-pt jump shot from 8 ft (assist by T. Parker),,2,0
4,1,10:57.0,,Personal foul by D. Green (drawn by Ö. Aşık),2,0
5,1,10:55.0,,Offensive foul by E. Gordon (drawn by D. Green),2,0
6,1,10:55.0,,Turnover by E. Gordon (offensive foul),2,0
7,1,10:38.0,A. Baynes makes 2-pt jump shot from 16 ft (assist by D. Green),,4,0
8,1,10:21.0,,A. Davis misses 2-pt layup from 2 ft,4,0
9,1,10:20.0,,Offensive rebound by Team,4,0
10,1,10:14.0,,Ö. Aşık makes 2-pt dunk at rim (assist by T. Evans),4,2
11,1,9:59.0,A. Baynes makes 2-pt layup from 1 ft (assist by T. Parker),,6,2
12,1,9:47.0,,E. Gordon makes 2-pt jump shot from 17 ft (assist by T. Evans),6,4
13,1,9:23.0,A. Baynes misses 2-pt layup from 2 ft (block by A. Davis),,6,4
14,1,9:22.0,,Defensive rebound by A. Davis,6,4
15,1,9:14.0,,A. Davis misses 2-pt jump shot from 17 ft,6,4
16,1,9:13.0,,Offensive rebound by Ö. Aşık,6,4
17,1,9:13.0,,Ö. Aşık makes 2-pt tip-in from 1 ft,6,6
18,1,9:04.0,Personal foul by Ö. Aşık (drawn by T. Duncan),,6,6
19,1,8:47.0,T. Parker makes 2-pt jump shot from 12 ft (assist by T. Duncan),,8,6
20,1,8:31.0,,A. Davis makes 2-pt jump shot from 14 ft (assist by T. Evans),8,8
21,1,8:14.0,T. Parker misses 2-pt jump shot from 21 ft,,8,8
22,1,8:13.0,,Defensive rebound by Q. Pondexter,8,8
23,1,8:01.0,,E. Gordon misses 2-pt jump shot from 9 ft,8,8
24,1,8:00.0,,Offensive rebound by E. Gordon,8,8
25,1,7:48.0,,T. Evans makes 2-pt jump shot from 4 ft,8,10
26,1,7:31.0,Turnover by D. Green (bad pass; steal by T. Evans),,8,10
27,1,7:27.0,,Turnover by A. Davis (lost ball),8,10
28,1,7:02.0,T. Duncan misses 2-pt jump shot from 19 ft,,8,10
29,1,7:01.0,,Defensive rebound by E. Gordon,8,10
30,1,6:57.0,,Personal foul by D. Green (drawn by E. Gordon),8,10
31,1,6:57.0,M. Ginóbili enters the game for D. Green,,8,10
32,1,6:47.0,,E. Gordon makes 2-pt jump shot from 12 ft,8,12
33,1,6:33.0,T. Parker makes 2-pt jump shot from 17 ft,,10,12
34,1,6:13.0,,Turnover by A. Davis (bad pass),10,12
35,1,6:13.0,B. Diaw enters the game for A. Baynes,,10,12
36,1,6:02.0,Shooting foul by Q. Pondexter (drawn by K. Leonard),,10,12
37,1,6:02.0,K. Leonard makes free throw 1 of 2,,11,12
38,1,6:02.0,K. Leonard makes free throw 2 of 2,,12,12
39,1,5:50.0,,Shooting foul by T. Duncan (drawn by A. Davis),12,12
40,1,5:50.0,,New Orleans full timeout,12,12
41,1,5:50.0,,A. Davis makes free throw 1 of 2,12,13
42,1,5:50.0,,A. Davis makes free throw 2 of 2,12,14
43,1,5:35.0,K. Leonard misses 2-pt jump shot from 14 ft,,12,14
44,1,5:34.0,,Defensive rebound by Ö. Aşık,12,14
45,1,5:21.0,,A. Davis makes 2-pt layup from 2 ft (assist by T. Evans),12,16
46,1,5:07.0,T. Parker makes 2-pt layup from 4 ft,,14,16
47,1,4:46.0,,Q. Pondexter misses 2-pt layup from 2 ft,14,16
48,1,4:45.0,Defensive rebound by T. Duncan,,14,16
49,1,4:37.0,M. Ginóbili misses 3-pt jump shot from 25 ft,,14,16
50,1,4:37.0,,Defensive rebound by T. Evans,14,16
51,1,4:32.0,,T. Evans misses 2-pt layup at rim,14,16
52,1,4:31.0,,Offensive rebound by Team,14,16
53,1,4:25.0,,T. Evans makes 2-pt layup from 2 ft (assist by Ö. Aşık),14,18
54,1,4:01.0,M. Ginóbili misses 2-pt jump shot from 10 ft (block by T. Evans),,14,18
55,1,4:00.0,,Defensive rebound by A. Davis,14,18
56,1,3:50.0,,Turnover by A. Davis (lost ball),14,18
57,1,3:50.0,,D. Cunningham enters the game for Q. Pondexter,14,18
58,1,3:50.0,,J. Holiday enters the game for E. Gordon,14,18
59,1,3:28.0,T. Duncan makes 2-pt layup from 1 ft (assist by T. Parker),,16,18
60,1,3:09.0,,J. Holiday makes 2-pt jump shot from 10 ft,16,20
61,1,2:54.0,T. Parker makes 2-pt layup from 2 ft,,18,20
62,1,2:53.0,,New Orleans full timeout,18,20
63,1,2:53.0,San Antonio full timeout,,18,20
64,1,2:53.0,,R. Anderson enters the game for Ö. Aşık,18,20
65,1,2:53.0,A. Baynes enters the game for T. Duncan,,18,20
66,1,2:39.0,,T. Evans makes 3-pt jump shot from 26 ft,18,23
67,1,2:21.0,B. Diaw misses 2-pt jump shot from 17 ft,,18,23
68,1,2:20.0,,Defensive rebound by A. Davis,18,23
69,1,2:11.0,,A. Davis makes 2-pt layup from 2 ft (assist by T. Evans),18,25
70,1,2:05.0,Personal foul by J. Holiday (drawn by T. Parker),,18,25
71,1,2:05.0,M. Belinelli enters the game for K. Leonard,,18,25
72,1,1:58.0,Turnover by M. Ginóbili (bad pass; steal by T. Evans),,18,25
73,1,1:54.0,,A. Davis makes 2-pt dunk at rim,18,27
74,1,1:29.0,M. Ginóbili misses 2-pt jump shot from 12 ft,,18,27
75,1,1:28.0,,Defensive rebound by D. Cunningham,18,27
76,1,1:18.0,,T. Evans makes 2-pt jump shot from 21 ft,18,29
77,1,1:02.0,Personal foul by T. Evans (drawn by M. Ginóbili),,18,29
78,1,1:02.0,C. Joseph enters the game for T. Parker,,18,29
79,1,0:54.0,Shooting foul by T. Evans (drawn by M. Ginóbili),,18,29
80,1,0:54.0,M. Ginóbili misses free throw 1 of 2,,18,29
81,1,0:54.0,Offensive rebound by Team,,18,29
82,1,0:54.0,,N. Cole enters the game for T. Evans,18,29
83,1,0:54.0,M. Ginóbili makes free throw 2 of 2,,19,29
84,1,0:39.0,,J. Holiday misses 2-pt jump shot from 7 ft,19,29
85,1,0:38.0,Defensive rebound by C. Joseph,,19,29
86,1,0:37.0,Turnover by C. Joseph (lost ball; steal by N. Cole),,19,29
87,1,0:31.0,,R. Anderson makes 3-pt jump shot from 23 ft (assist by A. Davis),19,32
88,1,0:10.0,Turnover by B. Diaw (lost ball),,19,32
89,1,0:00.0,,J. Holiday makes 2-pt jump shot from 20 ft,19,34
90,2,11:43.0,,A. Davis makes 2-pt jump shot from 8 ft (assist by R. Anderson),19,36
91,2,11:28.0,M. Ginóbili misses 3-pt jump shot from 26 ft,,19,36
92,2,11:27.0,,Defensive rebound by R. Anderson,19,36
93,2,11:17.0,,J. Holiday makes 3-pt jump shot from 23 ft,19,39
94,2,10:55.0,B. Diaw misses 3-pt jump shot from 27 ft,,19,39
95,2,10:53.0,Offensive rebound by A. Baynes,,19,39
96,2,10:51.0,Turnover by C. Joseph (bad pass),,19,39
97,2,10:30.0,,R. Anderson makes 2-pt layup from 3 ft (assist by J. Holiday),19,41
98,2,10:15.0,B. Diaw makes 2-pt layup from 1 ft (assist by C. Joseph),,21,41
99,2,9:52.0,,A. Davis misses 2-pt jump shot from 18 ft,21,41
100,2,9:51.0,Defensive rebound by M. Ginóbili,,21,41
101,2,9:36.0,B. Diaw makes 2-pt jump shot from 22 ft (assist by A. Baynes),,23,41
102,2,9:17.0,,J. Holiday misses 2-pt layup from 4 ft (block by C. Joseph),23,41
103,2,9:15.0,Defensive rebound by A. Baynes,,23,41
104,2,9:02.0,M. Belinelli misses 2-pt jump shot from 13 ft,,23,41
105,2,9:01.0,,Defensive rebound by A. Davis,23,41
106,2,8:57.0,,N. Cole makes 2-pt layup from 1 ft (assist by J. Holiday),23,43
107,2,8:44.0,B. Diaw makes 2-pt layup from 3 ft,,25,43
108,2,8:44.0,,New Orleans full timeout,25,43
109,2,8:44.0,,A. Ajinça enters the game for A. Davis,25,43
110,2,8:44.0,K. Leonard enters the game for M. Ginóbili,,25,43
111,2,8:21.0,,A. Ajinça misses 2-pt jump shot from 9 ft,25,43
112,2,8:20.0,Defensive rebound by K. Leonard,,25,43
113,2,8:12.0,K. Leonard makes 2-pt jump shot from 9 ft,,27,43
114,2,8:00.0,,N. Cole makes 2-pt layup from 1 ft,27,45
115,2,7:44.0,Personal block foul by D. Cunningham (drawn by K. Leonard),,27,45
116,2,7:44.0,T. Duncan enters the game for B. Diaw,,27,45
117,2,7:33.0,K. Leonard misses 2-pt jump shot from 13 ft,,27,45
118,2,7:32.0,,Defensive rebound by A. Ajinça,27,45
119,2,7:21.0,,N. Cole misses 3-pt jump shot from 25 ft,27,45
120,2,7:20.0,Defensive rebound by T. Duncan,,27,45
121,2,7:07.0,C. Joseph misses 2-pt jump shot from 6 ft (block by N. Cole),,27,45
122,2,7:05.0,,Defensive rebound by A. Ajinça,27,45
123,2,6:56.0,,D. Cunningham makes 2-pt jump shot from 20 ft (assist by J. Holiday),27,47
124,2,6:30.0,K. Leonard makes 2-pt jump shot from 15 ft (assist by A. Baynes),,29,47
125,2,6:07.0,,J. Holiday misses 2-pt layup from 3 ft,29,47
126,2,6:06.0,Defensive rebound by A. Baynes,,29,47
127,2,5:55.0,K. Leonard makes 2-pt layup from 2 ft (assist by T. Duncan),,31,47
128,2,5:55.0,,New Orleans full timeout,31,47
129,2,5:55.0,,Ö. Aşık enters the game for D. Cunningham,31,47
130,2,5:55.0,,E. Gordon enters the game for J. Holiday,31,47
131,2,5:55.0,,Q. Pondexter enters the game for A. Ajinça,31,47
132,2,5:55.0,T. Parker enters the game for C. Joseph,,31,47
133,2,5:38.0,,N. Cole makes 2-pt layup from 4 ft (assist by E. Gordon),31,49
134,2,5:21.0,T. Duncan misses 2-pt jump shot from 10 ft,,31,49
135,2,5:20.0,,Defensive rebound by R. Anderson,31,49
136,2,5:11.0,,A. Davis enters the game for R. Anderson,31,49
137,2,5:11.0,D. Green enters the game for M. Belinelli,,31,49
138,2,5:03.0,,N. Cole makes 2-pt jump shot from 12 ft,31,51
139,2,4:47.0,T. Parker misses 2-pt jump shot from 11 ft,,31,51
140,2,4:46.0,,Defensive rebound by Team,31,51
141,2,4:46.0,B. Diaw enters the game for A. Baynes,,31,51
142,2,4:36.0,,N. Cole makes 2-pt jump shot from 8 ft (assist by A. Davis),31,53
143,2,4:36.0,,Shooting foul by T. Parker (drawn by N. Cole),31,53
144,2,4:36.0,,N. Cole makes free throw 1 of 1,31,54
145,2,4:24.0,B. Diaw makes 2-pt jump shot from 9 ft (assist by K. Leonard),,33,54
146,2,4:06.0,,E. Gordon misses 2-pt jump shot from 21 ft,33,54
147,2,4:05.0,Defensive rebound by B. Diaw,,33,54
148,2,3:55.0,K. Leonard misses 2-pt jump shot from 9 ft,,33,54
149,2,3:53.0,Offensive rebound by K. Leonard,,33,54
150,2,3:51.0,Turnover by K. Leonard (bad pass),,33,54
151,2,3:37.0,,A. Davis misses 2-pt jump shot from 11 ft,33,54
152,2,3:36.0,Defensive rebound by B. Diaw,,33,54
153,2,3:27.0,T. Duncan makes 2-pt hook shot from 4 ft (assist by B. Diaw),,35,54
154,2,3:13.0,,N. Cole makes 2-pt layup from 2 ft,35,56
155,2,3:00.0,T. Parker makes 2-pt layup at rim (assist by B. Diaw),,37,56
156,2,2:38.0,,N. Cole misses 2-pt jump shot from 20 ft,37,56
157,2,2:37.0,Defensive rebound by K. Leonard,,37,56
158,2,2:24.0,T. Parker makes 2-pt jump shot from 18 ft (assist by T. Duncan),,39,56
159,2,2:03.0,,A. Davis misses 2-pt layup from 1 ft,39,56
160,2,2:02.0,,Offensive rebound by A. Davis,39,56
161,2,2:01.0,,A. Davis makes 2-pt layup from 1 ft,39,58
162,2,1:49.0,B. Diaw makes 2-pt jump shot from 22 ft (assist by T. Parker),,41,58
163,2,1:34.0,,E. Gordon misses 2-pt jump shot from 19 ft,41,58
164,2,1:33.0,Defensive rebound by T. Parker,,41,58
165,2,1:26.0,Turnover by T. Parker (lost ball; steal by N. Cole),,41,58
166,2,1:24.0,,Q. Pondexter makes 2-pt layup at rim (assist by N. Cole),41,60
167,2,1:24.0,,Shooting foul by K. Leonard (drawn by Q. Pondexter),41,60
168,2,1:24.0,Official timeout,,41,60
169,2,1:24.0,,T. Evans enters the game for N. Cole,41,60
170,2,1:24.0,,Q. Pondexter makes free throw 1 of 1,41,61
171,2,1:13.0,T. Parker makes 2-pt jump shot from 18 ft,,43,61
172,2,0:55.0,,T. Evans misses 3-pt jump shot from 24 ft,43,61
173,2,0:53.0,Defensive rebound by T. Duncan,,43,61
174,2,0:43.0,B. Diaw makes 2-pt hook shot from 6 ft,,45,61
175,2,0:19.0,,A. Davis makes 2-pt jump shot from 20 ft (assist by Q. Pondexter),45,63
176,2,0:03.0,Personal take foul by Ö. Aşık (drawn by T. Parker),,45,63
177,2,0:03.0,,N. Cole enters the game for T. Evans,45,63
178,2,0:03.0,,D. Cunningham enters the game for E. Gordon,45,63
179,2,0:00.0,T. Parker makes 2-pt jump shot from 19 ft (assist by K. Leonard),,47,63
180,3,11:42.0,,A. Davis misses 2-pt jump shot from 12 ft,47,63
181,3,11:41.0,Defensive rebound by K. Leonard,,47,63
182,3,11:19.0,A. Baynes makes 2-pt hook shot from 6 ft (assist by T. Duncan),,49,63
183,3,10:59.0,,E. Gordon misses 2-pt jump shot from 6 ft (block by K. Leonard),49,63
184,3,10:58.0,Defensive rebound by T. Duncan,,49,63
185,3,10:54.0,K. Leonard makes 2-pt layup from 2 ft (assist by T. Duncan),,51,63
186,3,10:30.0,,E. Gordon misses 2-pt jump shot from 18 ft,51,63
187,3,10:29.0,,Offensive rebound by Ö. Aşık,51,63
