,QUARTER,TIME_REMAINING,MIAMI_ACTION,MEMPHIS_ACTION,MIAMI_SCORE,MEMPHIS_SCORE
0,1,11:49.0,Personal foul by C. Lee (drawn by L. Deng),,0,0
1,1,11:42.0,L. Deng makes 2-pt layup from 1 ft (assist by J. McRoberts),,2,0
2,1,11:22.0,,Shooting foul by L. Deng (drawn by T. Allen),2,0
3,1,11:22.0,,T. Allen misses free throw 1 of 2,2,0
4,1,11:22.0,,Offensive rebound by Team,2,0
5,1,11:22.0,,T. Allen makes free throw 2 of 2,2,1
6,1,11:04.0,J. McRoberts makes 2-pt dunk at rim (assist by D. Wade),,4,1
7,1,10:40.0,,T. Allen makes 2-pt layup at rim,4,3
8,1,10:39.0,,Violation by Team (delay of game),4,3
9,1,10:25.0,D. Wade misses 2-pt jump shot from 7 ft,,4,3
10,1,10:24.0,,Defensive rebound by M. Gasol,4,3
11,1,10:17.0,,Turnover by T. Allen (bad pass; steal by C. Bosh),4,3
12,1,10:11.0,D. Wade makes 2-pt layup at rim,,6,3
13,1,9:53.0,,Z. Randolph misses 2-pt jump shot from 17 ft,6,3
14,1,9:52.0,Defensive rebound by C. Bosh,,6,3
15,1,9:36.0,J. McRoberts makes 2-pt dunk at rim (assist by L. Deng),,8,3
16,1,9:08.0,,Z. Randolph makes 2-pt jump shot from 5 ft (assist by M. Gasol),8,5
17,1,8:42.0,C. Bosh misses 2-pt jump shot from 13 ft,,8,5
18,1,8:41.0,,Defensive rebound by M. Gasol,8,5
19,1,8:31.0,,T. Allen makes 2-pt jump shot from 13 ft (assist by M. Conley),8,7
20,1,8:04.0,J. McRoberts makes 3-pt jump shot from 25 ft (assist by D. Wade),,11,7
21,1,7:52.0,,Personal foul by N. Cole (drawn by M. Conley),11,7
22,1,7:52.0,,T. Prince enters the game for C. Lee,11,7
23,1,7:35.0,,T. Allen misses 2-pt jump shot from 16 ft,11,7
24,1,7:32.0,Defensive rebound by J. McRoberts,,11,7
25,1,7:26.0,D. Wade makes 2-pt layup from 1 ft,,13,7
26,1,7:16.0,,T. Allen makes 2-pt layup from 1 ft (assist by M. Gasol),13,9
27,1,7:03.0,C. Bosh makes 2-pt dunk at rim (assist by N. Cole),,15,9
28,1,6:54.0,,Memphis full timeout,15,9
29,1,6:54.0,M. Chalmers enters the game for D. Wade,,15,9
30,1,6:45.0,,T. Prince makes 2-pt jump shot from 19 ft (assist by M. Gasol),15,11
31,1,6:21.0,L. Deng misses 2-pt jump shot from 18 ft,,15,11
32,1,6:20.0,,Defensive rebound by T. Allen,15,11
33,1,6:11.0,,T. Prince misses 3-pt jump shot from 23 ft,15,11
34,1,6:09.0,,Offensive rebound by Z. Randolph,15,11
35,1,6:09.0,,Z. Randolph makes 2-pt layup from 1 ft,15,13
36,1,5:42.0,N. Cole makes 2-pt layup at rim,,17,13
37,1,5:25.0,,T. Allen makes 2-pt layup at rim (assist by M. Gasol),17,15
38,1,5:00.0,N. Cole misses 3-pt jump shot from 23 ft,,17,15
39,1,4:59.0,,Defensive rebound by M. Gasol,17,15
40,1,4:55.0,,M. Conley makes 3-pt jump shot from 25 ft (assist by M. Gasol),17,18
41,1,4:53.0,Miami full timeout,,17,18
42,1,4:53.0,,J. Leuer enters the game for T. Allen,17,18
43,1,4:53.0,,C. Lee enters the game for Z. Randolph,17,18
44,1,4:53.0,U. Haslem enters the game for J. McRoberts,,17,18
45,1,4:53.0,S. Napier enters the game for N. Cole,,17,18
46,1,4:39.0,Shooting foul by M. Gasol (drawn by C. Bosh),,17,18
47,1,4:39.0,C. Bosh misses free throw 1 of 2,,17,18
48,1,4:39.0,Offensive rebound by Team,,17,18
49,1,4:39.0,C. Bosh misses free throw 2 of 2,,17,18
50,1,4:38.0,,Defensive rebound by J. Leuer,17,18
51,1,4:22.0,,C. Lee makes 2-pt jump shot from 16 ft (assist by J. Leuer),17,20
52,1,3:57.0,C. Bosh makes 2-pt jump shot from 15 ft,,19,20
53,1,3:50.0,,Turnover by M. Conley (bad pass; steal by L. Deng),19,20
54,1,3:47.0,L. Deng makes 2-pt layup at rim,,21,20
55,1,3:23.0,,M. Gasol misses 2-pt hook shot from 5 ft,21,20
56,1,3:20.0,Defensive rebound by U. Haslem,,21,20
57,1,2:58.0,L. Deng misses 2-pt jump shot from 15 ft,,21,20
58,1,2:57.0,,Defensive rebound by J. Leuer,21,20
59,1,2:41.0,,T. Prince misses 2-pt hook shot from 8 ft,21,20
60,1,2:40.0,,Offensive rebound by T. Prince,21,20
61,1,2:37.0,,T. Prince misses 2-pt hook shot from 8 ft,21,20
62,1,2:34.0,Defensive rebound by U. Haslem,,21,20
63,1,2:12.0,L. Deng misses 2-pt layup from 2 ft (block by J. Leuer),,21,20
64,1,2:10.0,,Defensive rebound by C. Lee,21,20
65,1,2:07.0,,M. Conley makes 2-pt layup at rim (assist by C. Lee),21,22
66,1,1:41.0,L. Deng makes 2-pt layup from 1 ft,,23,22
67,1,1:33.0,,Shooting foul by M. Chalmers (drawn by T. Prince),23,22
68,1,1:33.0,,T. Prince makes free throw 1 of 2,23,23
69,1,1:33.0,S. Williams enters the game for L. Deng,,23,23
70,1,1:33.0,D. Wade enters the game for C. Bosh,,23,23
71,1,1:33.0,,B. Udrih enters the game for M. Conley,23,23
72,1,1:33.0,,T. Prince makes free throw 2 of 2,23,24
73,1,1:19.0,U. Haslem misses 2-pt layup at rim,,23,24
74,1,1:17.0,Offensive rebound by U. Haslem,,23,24
75,1,1:13.0,S. Williams misses 3-pt jump shot from 22 ft,,23,24
76,1,1:11.0,,Defensive rebound by J. Leuer,23,24
77,1,0:55.0,,J. Leuer makes 2-pt dunk at rim (assist by B. Udrih),23,26
78,1,0:39.0,D. Wade misses 2-pt jump shot from 3 ft,,23,26
