,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,CLEVELAND_ACTION,PHILADELPHIA_SCORE,CLEVELAND_SCORE
0,1,11:42.0,,Turnover by L. James (bad pass; steal by R. Covington),0,0
1,1,11:33.0,Turnover by J. Sampson (step out of bounds),,0,0
2,1,11:18.0,,K. Love misses 2-pt jump shot from 7 ft,0,0
3,1,11:17.0,Defensive rebound by R. Covington,,0,0
4,1,11:08.0,L. Mbah a Moute misses 3-pt jump shot from 26 ft,,0,0
5,1,11:06.0,Offensive rebound by R. Covington,,0,0
6,1,10:57.0,M. Carter-Williams misses 3-pt jump shot from 25 ft,,0,0
7,1,10:56.0,,Defensive rebound by K. Love,0,0
8,1,10:47.0,,K. Love makes 3-pt jump shot from 25 ft (assist by K. Irving),0,3
9,1,10:26.0,N. Noel misses 2-pt jump shot from 14 ft,,0,3
10,1,10:25.0,,Defensive rebound by K. Love,0,3
11,1,10:20.0,,T. Mozgov misses 2-pt jump shot from 3 ft (block by N. Noel),0,3
12,1,10:20.0,,Offensive rebound by Team,0,3
13,1,10:17.0,,T. Mozgov makes 2-pt dunk at rim (assist by K. Irving),0,5
14,1,10:16.0,Philadelphia full timeout,,0,5
15,1,9:59.0,M. Carter-Williams misses 2-pt layup from 2 ft (block by T. Mozgov),,0,5
16,1,9:57.0,,Defensive rebound by T. Mozgov,0,5
17,1,9:54.0,,L. James makes 3-pt jump shot from 25 ft (assist by K. Irving),0,8
18,1,9:36.0,Turnover by R. Covington (bad pass; steal by T. Mozgov),,0,8
19,1,9:29.0,,L. James misses 3-pt jump shot from 25 ft,0,8
20,1,9:27.0,Defensive rebound by M. Carter-Williams,,0,8
21,1,9:21.0,Turnover by M. Carter-Williams (bad pass; steal by L. James),,0,8
22,1,9:14.0,,K. Love misses 2-pt layup at rim (block by N. Noel),0,8
23,1,9:12.0,Defensive rebound by M. Carter-Williams,,0,8
24,1,8:59.0,N. Noel makes 2-pt hook shot from 6 ft (assist by L. Mbah a Moute),,2,8
25,1,8:33.0,,J. Smith makes 2-pt jump shot from 21 ft,2,10
26,1,8:19.0,L. Mbah a Moute misses 3-pt jump shot from 26 ft,,2,10
27,1,8:18.0,,Defensive rebound by J. Smith,2,10
28,1,8:05.0,,Turnover by L. James (lost ball; steal by M. Carter-Williams),2,10
29,1,7:59.0,J. Sampson makes 2-pt layup from 1 ft (assist by R. Covington),,4,10
30,1,7:40.0,,Shooting foul by J. Sampson (drawn by L. James),4,10
31,1,7:40.0,,L. James makes free throw 1 of 2,4,11
32,1,7:40.0,,L. James makes free throw 2 of 2,4,12
33,1,7:30.0,L. Mbah a Moute misses 2-pt jump shot from 20 ft,,4,12
34,1,7:29.0,,Defensive rebound by T. Mozgov,4,12
35,1,7:18.0,,K. Love misses 2-pt jump shot from 9 ft,4,12
36,1,7:16.0,,Offensive rebound by K. Love,4,12
37,1,7:09.0,,L. James makes 2-pt dunk at rim (assist by K. Love),4,14
38,1,6:54.0,,Offensive charge foul by N. Noel (drawn by K. Love),4,14
39,1,6:54.0,Turnover by N. Noel (offensive foul),,4,14
40,1,6:45.0,,K. Love misses 2-pt dunk at rim,4,14
41,1,6:44.0,Defensive rebound by M. Carter-Williams,,4,14
42,1,6:39.0,R. Covington makes 3-pt jump shot from 25 ft (assist by M. Carter-Williams),,7,14
43,1,6:19.0,,K. Irving makes 2-pt jump shot from 12 ft,7,16
44,1,6:06.0,M. Carter-Williams misses 2-pt jump shot from 15 ft,,7,16
45,1,6:04.0,,Defensive rebound by K. Love,7,16
46,1,5:55.0,,Cleveland full timeout,7,16
47,1,5:55.0,,Turnover by L. James (lost ball; steal by R. Covington),7,16
48,1,5:55.0,H. Thompson enters the game for J. Sampson,,7,16
49,1,5:55.0,,I. Shumpert enters the game for L. James,7,16
50,1,5:40.0,M. Carter-Williams makes 2-pt layup from 1 ft (assist by L. Mbah a Moute),,9,16
51,1,5:23.0,,K. Irving misses 3-pt jump shot from 25 ft,9,16
52,1,5:22.0,,Offensive rebound by T. Mozgov,9,16
53,1,5:22.0,,T. Mozgov misses 2-pt tip-in at rim,9,16
54,1,5:22.0,Defensive rebound by Team,,9,16
55,1,5:10.0,N. Noel misses 2-pt jump shot from 15 ft,,9,16
56,1,5:09.0,,Defensive rebound by K. Love,9,16
57,1,4:59.0,,T. Mozgov misses 2-pt layup from 2 ft (block by R. Covington),9,16
58,1,4:57.0,Defensive rebound by L. Mbah a Moute,,9,16
59,1,4:51.0,L. Mbah a Moute makes 2-pt jump shot from 18 ft (assist by R. Covington),,11,16
60,1,4:32.0,,K. Irving misses 3-pt jump shot from 23 ft,11,16
61,1,4:31.0,,Offensive rebound by K. Love,11,16
62,1,4:31.0,,K. Love misses 2-pt layup at rim,11,16
63,1,4:30.0,,Offensive rebound by Team,11,16
64,1,4:30.0,Loose ball foul by H. Thompson (drawn by K. Love),,11,16
65,1,4:30.0,J. Grant enters the game for L. Mbah a Moute,,11,16
66,1,4:30.0,H. Sims enters the game for R. Covington,,11,16
67,1,4:30.0,K. McDaniels enters the game for N. Noel,,11,16
68,1,4:27.0,,T. Thompson enters the game for T. Mozgov,11,16
69,1,4:27.0,,Turnover by J. Smith (traveling),11,16
70,1,4:15.0,K. McDaniels misses 2-pt jump shot from 15 ft,,11,16
71,1,4:14.0,,Defensive rebound by K. Love,11,16
72,1,4:08.0,,I. Shumpert makes 3-pt jump shot from 24 ft (assist by K. Irving),11,19
73,1,3:55.0,Personal foul by I. Shumpert (drawn by M. Carter-Williams),,11,19
74,1,3:41.0,K. McDaniels misses 3-pt jump shot from 25 ft,,11,19
75,1,3:40.0,,Defensive rebound by K. Love,11,19
76,1,3:20.0,,J. Smith misses 3-pt jump shot from 24 ft,11,19
77,1,3:20.0,Defensive rebound by K. McDaniels,,11,19
78,1,3:20.0,Personal foul by J. Smith (drawn by K. McDaniels),,11,19
79,1,3:20.0,Philadelphia full timeout,,11,19
80,1,3:20.0,,L. James enters the game for J. Smith,11,19
81,1,2:59.0,M. Carter-Williams misses 3-pt jump shot from 24 ft,,11,19
82,1,2:57.0,Offensive rebound by H. Thompson,,11,19
83,1,2:57.0,Turnover by Team (shot clock),,11,19
84,1,2:39.0,,K. Love misses 3-pt jump shot from 24 ft,11,19
85,1,2:38.0,Defensive rebound by H. Sims,,11,19
86,1,2:37.0,L. Drew enters the game for M. Carter-Williams,,11,19
87,1,2:17.0,Turnover by L. Drew (bad pass; steal by I. Shumpert),,11,19
88,1,2:12.0,,I. Shumpert makes 2-pt layup at rim,11,21
89,1,1:53.0,L. Drew misses 3-pt jump shot from 25 ft,,11,21
90,1,1:51.0,Offensive rebound by H. Thompson,,11,21
91,1,1:48.0,Turnover by K. McDaniels (lost ball),,11,21
92,1,1:48.0,,M. Dellavedova enters the game for K. Irving,11,21
93,1,1:32.0,,Personal foul by H. Sims (drawn by L. James),11,21
94,1,1:32.0,,S. Marion enters the game for K. Love,11,21
95,1,1:20.0,,Personal foul by H. Sims (drawn by T. Thompson),11,21
96,1,1:20.0,,T. Thompson makes free throw 1 of 2,11,22
97,1,1:20.0,,T. Thompson misses free throw 2 of 2,11,22
98,1,1:19.0,Defensive rebound by H. Thompson,,11,22
99,1,1:02.0,K. McDaniels makes 2-pt dunk at rim (assist by H. Sims),,13,22
100,1,0:45.0,,S. Marion makes 2-pt layup from 1 ft (assist by L. James),13,24
101,1,0:28.0,H. Sims misses 2-pt hook shot at rim,,13,24
102,1,0:27.0,,Defensive rebound by T. Thompson,13,24
103,1,0:07.0,,T. Thompson misses 2-pt jump shot from 15 ft,13,24
104,1,0:06.0,,Offensive rebound by Team,13,24
105,1,0:06.0,Loose ball foul by H. Thompson (drawn by S. Marion),,13,24
106,1,0:06.0,,S. Marion misses free throw 1 of 2,13,24
107,1,0:06.0,,Offensive rebound by Team,13,24
108,1,0:06.0,,S. Marion misses free throw 2 of 2,13,24
109,1,0:06.0,Defensive rebound by H. Thompson,,13,24
110,1,0:03.0,Personal foul by M. Dellavedova (drawn by H. Thompson),,13,24
111,1,0:00.0,Shooting foul by S. Marion (drawn by J. Grant),,13,24
112,1,0:00.0,J. Grant makes free throw 1 of 3,,14,24
113,1,0:00.0,J. Grant misses free throw 2 of 3,,14,24
114,1,0:00.0,Offensive rebound by Team,,14,24
115,1,0:00.0,J. Grant makes free throw 3 of 3,,15,24
116,2,11:44.0,H. Thompson makes 3-pt jump shot from 25 ft (assist by J. Grant),,18,24
117,2,11:26.0,,L. James makes 2-pt jump shot from 21 ft (assist by S. Marion),18,26
118,2,11:13.0,H. Sims misses 2-pt jump shot from 4 ft,,18,26
119,2,11:11.0,Offensive rebound by J. Grant,,18,26
120,2,11:10.0,Philadelphia full timeout,,18,26
121,2,11:10.0,L. Mbah a Moute enters the game for H. Thompson,,18,26
122,2,11:03.0,Turnover by J. Grant (lost ball; steal by S. Marion),,18,26
123,2,10:57.0,,L. James misses 2-pt layup from 1 ft,18,26
124,2,10:56.0,,Offensive rebound by T. Thompson,18,26
125,2,10:56.0,N. Noel enters the game for H. Sims,,18,26
126,2,10:56.0,R. Covington enters the game for K. McDaniels,,18,26
127,2,10:40.0,,L. James misses 2-pt jump shot from 18 ft,18,26
128,2,10:40.0,,Offensive rebound by Team,18,26
129,2,10:40.0,Loose ball foul by J. Grant (drawn by T. Thompson),,18,26
130,2,10:31.0,,I. Shumpert makes 2-pt jump shot from 14 ft (assist by M. Dellavedova),18,28
131,2,10:11.0,L. Mbah a Moute makes 2-pt jump shot from 4 ft,,20,28
132,2,9:57.0,,M. Dellavedova misses 2-pt jump shot from 4 ft (block by N. Noel),20,28
133,2,9:55.0,Defensive rebound by J. Grant,,20,28
134,2,9:52.0,Personal foul by L. James (drawn by L. Mbah a Moute),,20,28
135,2,9:40.0,L. Drew misses 2-pt jump shot from 15 ft,,20,28
136,2,9:39.0,,Defensive rebound by T. Thompson,20,28
137,2,9:29.0,,L. James makes 2-pt layup from 1 ft,20,30
138,2,9:09.0,J. Grant makes 2-pt jump shot from 6 ft,,22,30
139,2,8:49.0,,M. Dellavedova misses 2-pt jump shot from 7 ft,22,30
140,2,8:48.0,Defensive rebound by N. Noel,,22,30
141,2,8:46.0,Personal foul by M. Dellavedova (drawn by L. Drew),,22,30
142,2,8:46.0,,K. Love enters the game for S. Marion,22,30
143,2,8:46.0,,K. Irving enters the game for M. Dellavedova,22,30
144,2,8:46.0,M. Carter-Williams enters the game for L. Drew,,22,30
145,2,8:29.0,R. Covington misses 3-pt jump shot from 25 ft,,22,30
146,2,8:28.0,Offensive rebound by J. Grant,,22,30
147,2,8:22.0,L. Mbah a Moute makes 2-pt jump shot from 19 ft (assist by J. Grant),,24,30
148,2,8:10.0,,K. Irving misses 2-pt jump shot from 14 ft,24,30
149,2,8:08.0,Defensive rebound by N. Noel,,24,30
150,2,8:05.0,Turnover by N. Noel (bad pass; steal by I. Shumpert),,24,30
151,2,7:54.0,,Personal foul by R. Covington (drawn by L. James),24,30
152,2,7:47.0,,Personal foul by J. Grant (drawn by K. Love),24,30
153,2,7:47.0,K. McDaniels enters the game for J. Grant,,24,30
154,2,7:45.0,,Shooting foul by R. Covington (drawn by K. Love),24,30
155,2,7:45.0,,K. Love makes free throw 1 of 2,24,31
156,2,7:45.0,,T. Mozgov enters the game for T. Thompson,24,31
157,2,7:45.0,,K. Love makes free throw 2 of 2,24,32
158,2,7:27.0,K. McDaniels misses 2-pt jump shot from 12 ft,,24,32
159,2,7:25.0,,Defensive rebound by L. James,24,32
160,2,7:20.0,,L. James makes 2-pt layup at rim,24,34
161,2,6:58.0,L. Mbah a Moute misses 2-pt layup from 2 ft,,24,34
162,2,6:56.0,Offensive rebound by L. Mbah a Moute,,24,34
163,2,6:55.0,L. Mbah a Moute misses 2-pt layup from 2 ft (block by K. Love),,24,34
164,2,6:53.0,,Defensive rebound by K. Irving,24,34
165,2,6:50.0,,Turnover by K. Irving (bad pass; steal by R. Covington),24,34
166,2,6:43.0,R. Covington misses 3-pt jump shot from 25 ft,,24,34
167,2,6:41.0,,Defensive rebound by I. Shumpert,24,34
168,2,6:33.0,,L. James misses 2-pt jump shot from 22 ft,24,34
169,2,6:32.0,Defensive rebound by M. Carter-Williams,,24,34
170,2,6:26.0,L. Mbah a Moute makes 2-pt jump shot from 18 ft (assist by M. Carter-Williams),,26,34
