,QUARTER,TIME_REMAINING,INDIANA_ACTION,MEMPHIS_ACTION,INDIANA_SCORE,MEMPHIS_SCORE
0,1,11:40.0,,J. Green misses 2-pt jump shot from 3 ft (block by R. Hibbert),0,0
1,1,11:38.0,Defensive rebound by S. Hill,,0,0
2,1,11:16.0,C. Miles misses 2-pt jump shot from 5 ft,,0,0
3,1,11:14.0,,Defensive rebound by Z. Randolph,0,0
4,1,11:01.0,,B. Udrih misses 2-pt jump shot from 16 ft,0,0
5,1,10:59.0,Defensive rebound by C. Miles,,0,0
6,1,10:50.0,C. Miles makes 2-pt dunk at rim (assist by G. Hill),,2,0
7,1,10:29.0,,C. Lee makes 2-pt jump shot from 13 ft,2,2
8,1,10:09.0,G. Hill makes 2-pt jump shot from 8 ft,,4,2
9,1,9:49.0,,Z. Randolph misses 2-pt jump shot from 16 ft,4,2
10,1,9:48.0,Defensive rebound by R. Hibbert,,4,2
11,1,9:35.0,G. Hill makes 3-pt jump shot from 27 ft (assist by R. Hibbert),,7,2
12,1,9:19.0,,J. Green misses 2-pt jump shot from 5 ft (block by C. Miles),7,2
13,1,9:17.0,,Offensive rebound by J. Green,7,2
14,1,9:15.0,,C. Lee makes 3-pt jump shot from 25 ft (assist by J. Green),7,5
15,1,9:01.0,C. Miles makes 3-pt jump shot from 27 ft (assist by G. Hill),,10,5
16,1,8:37.0,,C. Lee misses 2-pt jump shot from 11 ft,10,5
17,1,8:36.0,,Offensive rebound by M. Gasol,10,5
18,1,8:36.0,,M. Gasol makes 2-pt layup from 1 ft,10,7
19,1,8:15.0,R. Hibbert misses 2-pt jump shot from 11 ft,,10,7
20,1,8:14.0,,Defensive rebound by M. Gasol,10,7
21,1,8:01.0,,Shooting foul by R. Hibbert (drawn by Z. Randolph),10,7
22,1,8:01.0,,Z. Randolph makes free throw 1 of 2,10,8
23,1,8:01.0,,Z. Randolph makes free throw 2 of 2,10,9
24,1,7:45.0,G. Hill makes 2-pt jump shot from 9 ft,,12,9
25,1,7:31.0,,Shooting foul by C. Miles (drawn by C. Lee),12,9
26,1,7:31.0,,C. Lee makes free throw 1 of 2,12,10
27,1,7:31.0,,C. Lee makes free throw 2 of 2,12,11
28,1,7:10.0,R. Hibbert makes 2-pt hook shot from 8 ft,,14,11
29,1,6:56.0,,Personal foul by S. Hill (drawn by J. Green),14,11
30,1,6:46.0,,M. Gasol makes 2-pt jump shot from 17 ft (assist by J. Green),14,13
31,1,6:27.0,C. Miles makes 3-pt jump shot from 24 ft,,17,13
32,1,6:09.0,,Turnover by J. Green (lost ball; steal by C. Miles),17,13
33,1,6:03.0,G. Hill misses 3-pt jump shot from 25 ft,,17,13
34,1,6:01.0,Offensive rebound by D. West,,17,13
35,1,5:53.0,Indiana full timeout,,17,13
36,1,5:53.0,L. Scola enters the game for D. West,,17,13
37,1,5:44.0,C. Miles makes 2-pt layup from 1 ft,,19,13
38,1,5:28.0,,J. Green makes 2-pt layup from 1 ft,19,15
39,1,5:13.0,S. Hill misses 2-pt layup at rim,,19,15
40,1,5:12.0,,Defensive rebound by M. Gasol,19,15
41,1,4:54.0,,J. Green misses 3-pt jump shot from 25 ft,19,15
42,1,4:54.0,Defensive rebound by Team,,19,15
43,1,4:34.0,C. Miles misses 3-pt jump shot from 26 ft,,19,15
44,1,4:33.0,,Defensive rebound by B. Udrih,19,15
45,1,4:29.0,,Personal foul by L. Scola (drawn by Z. Randolph),19,15
46,1,4:29.0,I. Mahinmi enters the game for R. Hibbert,,19,15
