,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,GOLDEN STATE_ACTION,CLEVELAND_SCORE,GOLDEN STATE_SCORE
0,1,11:46.0,,H. Barnes misses 2-pt jump shot from 18 ft,0,0
1,1,11:45.0,Defensive rebound by K. Love,,0,0
2,1,11:26.0,J. Smith makes 2-pt jump shot from 16 ft (assist by T. Thompson),,2,0
3,1,11:15.0,,S. Curry makes 2-pt jump shot from 20 ft,2,2
4,1,10:58.0,T. Thompson misses 2-pt jump shot from 4 ft (block by D. Green),,2,2
5,1,10:56.0,,Defensive rebound by K. Thompson,2,2
6,1,10:47.0,,S. Curry misses 3-pt jump shot from 25 ft,2,2
7,1,10:46.0,Defensive rebound by K. Love,,2,2
8,1,10:38.0,K. Irving misses 2-pt jump shot from 10 ft,,2,2
9,1,10:37.0,,Defensive rebound by D. Green,2,2
10,1,10:33.0,,S. Curry makes 2-pt layup from 1 ft (assist by D. Green),2,4
11,1,10:21.0,K. Love misses 2-pt jump shot from 3 ft (block by D. Green),,2,4
12,1,10:21.0,,Defensive rebound by Team,2,4
13,1,10:09.0,,M. Speights misses 2-pt jump shot from 19 ft,2,4
14,1,10:06.0,Defensive rebound by M. Miller,,2,4
15,1,9:55.0,K. Irving makes 2-pt jump shot from 5 ft,,4,4
16,1,9:40.0,,K. Thompson misses 2-pt jump shot from 18 ft,4,4
17,1,9:38.0,,Offensive rebound by Team,4,4
18,1,9:36.0,,K. Thompson misses 2-pt jump shot from 16 ft,4,4
19,1,9:35.0,Defensive rebound by T. Thompson,,4,4
20,1,9:26.0,Turnover by K. Irving (lost ball; steal by S. Curry),,4,4
21,1,9:22.0,,S. Curry makes 2-pt layup from 1 ft,4,6
22,1,9:06.0,K. Love makes 2-pt dunk at rim (assist by M. Miller),,6,6
23,1,8:49.0,,D. Green misses 3-pt jump shot from 26 ft,6,6
24,1,8:48.0,Defensive rebound by K. Love,,6,6
25,1,8:28.0,Turnover by T. Thompson (bad pass; steal by K. Thompson),,6,6
26,1,8:25.0,,K. Thompson makes 2-pt layup from 1 ft,6,8
27,1,7:59.0,K. Love misses 2-pt jump shot from 8 ft,,6,8
28,1,7:57.0,,Defensive rebound by D. Green,6,8
29,1,7:52.0,,Shooting foul by T. Thompson (drawn by K. Thompson),6,8
30,1,7:52.0,,K. Thompson makes free throw 1 of 2,6,9
31,1,7:52.0,T. Mozgov enters the game for T. Thompson,,6,9
32,1,7:52.0,,K. Thompson makes free throw 2 of 2,6,10
33,1,7:38.0,Shooting foul by K. Thompson (drawn by K. Love),,6,10
34,1,7:38.0,K. Love makes free throw 1 of 2,,7,10
35,1,7:38.0,K. Love makes free throw 2 of 2,,8,10
36,1,7:26.0,,K. Thompson makes 2-pt jump shot from 17 ft (assist by H. Barnes),8,12
37,1,7:08.0,Shooting foul by D. Green (drawn by K. Love),,8,12
38,1,7:08.0,K. Love makes free throw 1 of 2,,9,12
39,1,7:08.0,K. Love makes free throw 2 of 2,,10,12
40,1,6:58.0,,K. Thompson makes 3-pt jump shot from 26 ft (assist by S. Curry),10,15
41,1,6:46.0,J. Smith misses 3-pt jump shot from 23 ft,,10,15
42,1,6:44.0,Offensive rebound by T. Mozgov,,10,15
43,1,6:43.0,T. Mozgov makes 2-pt layup from 2 ft,,12,15
44,1,6:36.0,,S. Curry misses 3-pt jump shot from 26 ft,12,15
45,1,6:35.0,Defensive rebound by K. Love,,12,15
46,1,6:27.0,K. Irving misses 2-pt jump shot from 7 ft,,12,15
47,1,6:25.0,Offensive rebound by T. Mozgov,,12,15
48,1,6:22.0,J. Smith makes 2-pt jump shot from 14 ft (assist by K. Irving),,14,15
49,1,6:11.0,,H. Barnes misses 2-pt jump shot from 16 ft,14,15
50,1,6:10.0,Defensive rebound by K. Love,,14,15
51,1,6:04.0,J. Smith misses 3-pt jump shot from 27 ft,,14,15
52,1,6:02.0,Offensive rebound by K. Love,,14,15
53,1,5:59.0,Turnover by T. Mozgov (traveling),,14,15
54,1,5:59.0,,Golden State full timeout,14,15
55,1,5:59.0,,A. Bogut enters the game for M. Speights,14,15
56,1,5:27.0,,K. Thompson misses 3-pt jump shot from 27 ft,14,15
57,1,5:26.0,Defensive rebound by T. Mozgov,,14,15
58,1,5:09.0,Personal foul by A. Bogut (drawn by T. Mozgov),,14,15
59,1,5:09.0,,A. Iguodala enters the game for H. Barnes,14,15
60,1,5:02.0,K. Love misses 3-pt jump shot from 26 ft,,14,15
61,1,5:00.0,,Defensive rebound by K. Thompson,14,15
62,1,4:58.0,,Turnover by K. Thompson (lost ball; steal by K. Irving),14,15
63,1,4:51.0,J. Smith makes 3-pt jump shot from 24 ft (assist by K. Irving),,17,15
64,1,4:40.0,,K. Thompson misses 2-pt jump shot from 6 ft,17,15
65,1,4:38.0,Defensive rebound by T. Mozgov,,17,15
66,1,4:23.0,J. Smith makes 2-pt jump shot from 22 ft (assist by T. Mozgov),,19,15
67,1,4:12.0,,D. Green misses 2-pt jump shot from 20 ft,19,15
68,1,4:11.0,Defensive rebound by K. Love,,19,15
69,1,3:53.0,Shooting foul by A. Bogut (drawn by T. Mozgov),,19,15
70,1,3:53.0,T. Mozgov makes free throw 1 of 2,,20,15
71,1,3:53.0,M. Dellavedova enters the game for M. Miller,,20,15
72,1,3:53.0,,M. Speights enters the game for A. Bogut,20,15
73,1,3:53.0,T. Mozgov misses free throw 2 of 2,,20,15
74,1,3:52.0,,Defensive rebound by D. Green,20,15
75,1,3:40.0,,S. Curry makes 3-pt jump shot from 26 ft (assist by A. Iguodala),20,18
76,1,3:25.0,K. Irving makes 2-pt jump shot from 10 ft,,22,18
77,1,3:18.0,,S. Curry misses 3-pt jump shot from 28 ft,22,18
78,1,3:17.0,Defensive rebound by J. Smith,,22,18
79,1,3:06.0,K. Irving misses 2-pt jump shot from 6 ft,,22,18
80,1,3:04.0,Offensive rebound by T. Mozgov,,22,18
81,1,3:02.0,T. Mozgov makes 2-pt layup from 3 ft,,24,18
82,1,2:55.0,,K. Thompson makes 3-pt jump shot from 23 ft (assist by S. Curry),24,21
83,1,2:50.0,Cleveland full timeout,,24,21
84,1,2:50.0,,J. Holiday enters the game for K. Thompson,24,21
85,1,2:50.0,,D. Lee enters the game for D. Green,24,21
86,1,2:50.0,J. Harris enters the game for K. Irving,,24,21
87,1,2:33.0,J. Smith makes 3-pt jump shot from 27 ft (assist by M. Dellavedova),,27,21
88,1,2:16.0,,J. Holiday makes 3-pt jump shot from 22 ft (assist by A. Iguodala),27,24
89,1,1:56.0,M. Dellavedova makes 3-pt jump shot from 26 ft (assist by J. Harris),,30,24
90,1,1:43.0,,S. Curry misses 2-pt jump shot from 3 ft,30,24
91,1,1:42.0,Defensive rebound by T. Mozgov,,30,24
92,1,1:35.0,J. Harris misses 2-pt layup from 1 ft,,30,24
93,1,1:33.0,,Defensive rebound by D. Lee,30,24
94,1,1:24.0,,M. Speights makes 2-pt jump shot from 20 ft (assist by A. Iguodala),30,26
95,1,1:03.0,J. Smith misses 2-pt jump shot from 20 ft,,30,26
96,1,1:01.0,,Defensive rebound by M. Speights,30,26
97,1,0:59.0,,Personal foul by M. Dellavedova (drawn by S. Curry),30,26
98,1,0:59.0,T. Thompson enters the game for K. Love,,30,26
99,1,0:59.0,M. Miller enters the game for J. Smith,,30,26
100,1,0:52.0,,Turnover by D. Lee (bad pass),30,26
101,1,0:42.0,M. Dellavedova makes 2-pt jump shot from 10 ft,,32,26
102,1,0:32.0,,Shooting foul by T. Mozgov (drawn by M. Speights),32,26
103,1,0:32.0,,M. Speights makes free throw 1 of 2,32,27
104,1,0:32.0,,S. Livingston enters the game for S. Curry,32,27
105,1,0:32.0,,M. Speights makes free throw 2 of 2,32,28
106,1,0:16.0,Turnover by M. Dellavedova (bad pass; steal by A. Iguodala),,32,28
107,1,0:11.0,,J. Holiday misses 2-pt layup from 3 ft,32,28
108,1,0:09.0,,Offensive rebound by J. Holiday,32,28
109,1,0:09.0,,J. Holiday makes 2-pt layup from 3 ft,32,30
110,2,11:51.0,Turnover by M. Dellavedova (bad pass; steal by D. Lee),,32,30
111,2,11:44.0,,M. Speights makes 2-pt jump shot from 17 ft (assist by J. Holiday),32,32
112,2,11:18.0,T. Mozgov misses 2-pt jump shot from 16 ft,,32,32
113,2,11:17.0,Offensive rebound by Team,,32,32
114,2,11:17.0,Personal foul by J. Holiday (drawn by T. Thompson),,32,32
115,2,11:17.0,K. Irving enters the game for M. Dellavedova,,32,32
116,2,11:09.0,Turnover by M. Miller (bad pass; steal by J. Holiday),,32,32
117,2,10:57.0,,D. Lee misses 2-pt hook shot from 9 ft,32,32
118,2,10:56.0,,Offensive rebound by M. Speights,32,32
119,2,10:56.0,,M. Speights misses 2-pt tip-in from 1 ft,32,32
