,QUARTER,TIME_REMAINING,ATLANTA_ACTION,NEW YORK_ACTION,ATLANTA_SCORE,NEW YORK_SCORE
0,1,11:33.0,,Turnover by Team (shot clock),0,0
1,1,11:22.0,A. Horford makes 2-pt hook shot from 4 ft (assist by J. Teague),,2,0
2,1,11:11.0,,Turnover by S. Dalembert (bad pass),2,0
3,1,10:51.0,P. Millsap misses 2-pt jump shot from 11 ft,,2,0
4,1,10:50.0,,Defensive rebound by C. Anthony,2,0
5,1,10:38.0,,I. Shumpert makes 2-pt jump shot from 20 ft (assist by T. Hardaway),2,2
6,1,10:19.0,A. Horford makes 2-pt dunk at rim,,4,2
7,1,10:15.0,,Turnover by S. Dalembert (bad pass; steal by A. Horford),4,2
8,1,10:09.0,D. Carroll misses 2-pt jump shot from 16 ft,,4,2
9,1,10:08.0,,Defensive rebound by C. Anthony,4,2
10,1,9:58.0,,I. Shumpert misses 3-pt jump shot from 25 ft,4,2
11,1,9:57.0,Defensive rebound by P. Millsap,,4,2
12,1,9:34.0,A. Horford misses 2-pt jump shot from 13 ft,,4,2
13,1,9:33.0,,Defensive rebound by I. Shumpert,4,2
14,1,9:15.0,,T. Hardaway misses 2-pt jump shot from 6 ft,4,2
15,1,9:14.0,Defensive rebound by Team,,4,2
16,1,9:10.0,D. Carroll misses 2-pt layup from 1 ft (block by T. Hardaway),,4,2
17,1,9:09.0,Offensive rebound by Team,,4,2
18,1,9:04.0,J. Teague misses 3-pt jump shot from 24 ft,,4,2
19,1,9:03.0,,Defensive rebound by S. Dalembert,4,2
20,1,8:54.0,,S. Larkin makes 2-pt layup from 2 ft (assist by C. Anthony),4,4
21,1,8:47.0,Turnover by J. Teague (lost ball; steal by S. Larkin),,4,4
22,1,8:42.0,,S. Larkin misses 2-pt layup from 2 ft (block by J. Teague),4,4
23,1,8:41.0,Defensive rebound by D. Carroll,,4,4
24,1,8:36.0,Turnover by D. Carroll (lost ball),,4,4
25,1,8:23.0,,T. Hardaway misses 3-pt jump shot from 26 ft,4,4
26,1,8:22.0,,Offensive rebound by S. Dalembert,4,4
27,1,8:11.0,,T. Hardaway misses 2-pt layup from 3 ft (block by A. Horford),4,4
28,1,8:10.0,Defensive rebound by A. Horford,,4,4
29,1,8:03.0,K. Korver makes 3-pt jump shot from 23 ft (assist by P. Millsap),,7,4
30,1,7:39.0,,C. Anthony makes 2-pt jump shot from 14 ft,7,6
