,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,SAN ANTONIO_ACTION,GOLDEN STATE_SCORE,SAN ANTONIO_SCORE
0,1,11:37.0,,K. Leonard misses 3-pt jump shot from 25 ft,0,0
1,1,11:35.0,,Offensive rebound by T. Duncan,0,0
2,1,11:19.0,,K. Leonard makes 2-pt layup from 1 ft (assist by T. Duncan),0,2
3,1,11:06.0,K. Thompson misses 2-pt jump shot from 5 ft,,0,2
4,1,11:05.0,,Defensive rebound by K. Leonard,0,2
5,1,10:54.0,,T. Duncan makes 2-pt jump shot from 17 ft (assist by K. Leonard),0,4
6,1,10:42.0,Shooting foul by T. Parker (drawn by D. Green),,0,4
7,1,10:42.0,D. Green makes free throw 1 of 2,,1,4
8,1,10:42.0,D. Green misses free throw 2 of 2,,1,4
9,1,10:42.0,,Defensive rebound by M. Bonner,1,4
10,1,10:19.0,,D. Green misses 2-pt layup from 1 ft,1,4
11,1,10:18.0,Defensive rebound by D. Green,,1,4
12,1,10:08.0,K. Thompson misses 2-pt jump shot from 19 ft,,1,4
13,1,10:07.0,,Defensive rebound by D. Green,1,4
14,1,9:49.0,,K. Leonard makes 2-pt jump shot from 11 ft,1,6
15,1,9:40.0,S. Curry misses 2-pt jump shot from 18 ft,,1,6
16,1,9:38.0,,Defensive rebound by D. Green,1,6
17,1,9:28.0,,Turnover by T. Parker (lost ball; steal by K. Thompson),1,6
18,1,9:22.0,Turnover by S. Curry (lost ball; steal by K. Leonard),,1,6
19,1,9:15.0,,K. Leonard makes 2-pt dunk at rim (assist by D. Green),1,8
20,1,8:56.0,Shooting foul by D. Green (drawn by D. Green),,1,8
21,1,8:56.0,D. Green makes free throw 1 of 2,,2,8
22,1,8:56.0,D. Green misses free throw 2 of 2,,2,8
23,1,8:56.0,,Defensive rebound by T. Duncan,2,8
24,1,8:37.0,,San Antonio full timeout,2,8
25,1,8:32.0,,K. Leonard misses 2-pt hook shot from 5 ft,2,8
26,1,8:31.0,Defensive rebound by S. Curry,,2,8
27,1,8:25.0,S. Curry makes 2-pt jump shot from 4 ft,,4,8
28,1,8:14.0,,T. Parker makes 2-pt jump shot from 15 ft,4,10
29,1,7:59.0,A. Bogut makes 2-pt jump shot from 7 ft,,6,10
30,1,7:49.0,,T. Parker makes 2-pt layup from 1 ft,6,12
31,1,7:39.0,Turnover by K. Thompson (bad pass; steal by K. Leonard),,6,12
32,1,7:28.0,,T. Parker misses 2-pt jump shot from 16 ft,6,12
33,1,7:27.0,Defensive rebound by D. Green,,6,12
34,1,7:17.0,K. Thompson misses 3-pt jump shot from 27 ft,,6,12
35,1,7:16.0,Offensive rebound by A. Bogut,,6,12
36,1,7:12.0,K. Thompson misses 3-pt jump shot from 24 ft,,6,12
37,1,7:11.0,,Defensive rebound by M. Bonner,6,12
38,1,7:03.0,,T. Parker misses 2-pt layup from 2 ft,6,12
39,1,7:02.0,Defensive rebound by S. Curry,,6,12
40,1,6:55.0,S. Curry misses 2-pt layup from 1 ft (block by D. Green),,6,12
41,1,6:54.0,,Defensive rebound by D. Green,6,12
42,1,6:47.0,,K. Leonard makes 2-pt layup from 2 ft,6,14
43,1,6:47.0,,Shooting foul by A. Bogut (drawn by K. Leonard),6,14
44,1,6:47.0,,P. Mills enters the game for T. Parker,6,14
45,1,6:47.0,,K. Leonard makes free throw 1 of 1,6,15
46,1,6:33.0,Shooting foul by P. Mills (drawn by S. Curry),,6,15
47,1,6:33.0,S. Curry misses free throw 1 of 2,,6,15
48,1,6:33.0,Offensive rebound by Team,,6,15
49,1,6:33.0,S. Curry makes free throw 2 of 2,,7,15
50,1,6:24.0,,Turnover by D. Green (lost ball),7,15
51,1,6:17.0,Turnover by S. Curry (bad pass; steal by K. Leonard),,7,15
52,1,6:14.0,,K. Leonard makes 2-pt dunk at rim,7,17
53,1,5:59.0,D. Green misses 3-pt jump shot from 24 ft,,7,17
54,1,5:58.0,,Defensive rebound by K. Leonard,7,17
55,1,5:50.0,,K. Leonard misses 2-pt jump shot from 7 ft,7,17
56,1,5:50.0,Defensive rebound by A. Bogut,,7,17
