,QUARTER,TIME_REMAINING,ATLANTA_ACTION,NEW ORLEANS_ACTION,ATLANTA_SCORE,NEW ORLEANS_SCORE
0,1,11:39.0,K. Korver makes 2-pt jump shot from 22 ft (assist by J. Teague),,2,0
1,1,11:16.0,,E. Gordon makes 2-pt jump shot from 4 ft (assist by A. Davis),2,2
2,1,11:00.0,K. Bazemore misses 2-pt jump shot from 8 ft,,2,2
3,1,10:59.0,,Defensive rebound by Ö. Aşık,2,2
4,1,10:48.0,,D. Cunningham misses 2-pt jump shot from 15 ft,2,2
5,1,10:47.0,,Offensive rebound by Ö. Aşık,2,2
6,1,10:47.0,,Ö. Aşık misses 2-pt tip-in from 2 ft,2,2
7,1,10:46.0,Defensive rebound by P. Millsap,,2,2
8,1,10:31.0,P. Millsap makes 2-pt jump shot from 14 ft,,4,2
9,1,10:14.0,,Ö. Aşık makes 2-pt layup from 1 ft (assist by D. Cunningham),4,4
10,1,9:54.0,Turnover by P. Millsap (lost ball; steal by A. Davis),,4,4
11,1,9:50.0,,T. Evans misses 2-pt layup from 1 ft,4,4
12,1,9:49.0,,Offensive rebound by A. Davis,4,4
13,1,9:49.0,,A. Davis makes 2-pt tip-in from 1 ft,4,6
14,1,9:25.0,K. Bazemore misses 2-pt layup from 3 ft,,4,6
15,1,9:24.0,,Defensive rebound by Ö. Aşık,4,6
16,1,9:10.0,,Ö. Aşık misses 2-pt layup from 1 ft,4,6
17,1,9:09.0,Defensive rebound by P. Millsap,,4,6
18,1,9:02.0,P. Millsap misses 3-pt jump shot from 24 ft,,4,6
19,1,9:02.0,,Defensive rebound by Team,4,6
20,1,8:48.0,,A. Davis misses 2-pt jump shot from 16 ft,4,6
21,1,8:47.0,Defensive rebound by K. Korver,,4,6
22,1,8:34.0,A. Horford makes 2-pt jump shot from 18 ft (assist by J. Teague),,6,6
23,1,8:12.0,,Turnover by A. Davis (bad pass; steal by A. Horford),6,6
24,1,8:04.0,P. Millsap misses 3-pt jump shot from 22 ft,,6,6
25,1,8:03.0,,Defensive rebound by T. Evans,6,6
26,1,7:57.0,,E. Gordon makes 3-pt jump shot from 25 ft (assist by T. Evans),6,9
27,1,7:43.0,J. Teague misses 2-pt jump shot from 21 ft,,6,9
28,1,7:42.0,,Defensive rebound by Ö. Aşık,6,9
29,1,7:32.0,,A. Davis makes 2-pt jump shot from 18 ft (assist by T. Evans),6,11
30,1,7:17.0,K. Bazemore misses 3-pt jump shot from 22 ft,,6,11
31,1,7:16.0,Offensive rebound by A. Horford,,6,11
32,1,7:11.0,J. Teague makes 3-pt jump shot from 25 ft (assist by A. Horford),,9,11
33,1,6:52.0,,T. Evans makes 2-pt layup from 2 ft,9,13
34,1,6:34.0,K. Bazemore misses 2-pt layup from 2 ft,,9,13
35,1,6:33.0,Offensive rebound by A. Horford,,9,13
36,1,6:33.0,A. Horford makes 2-pt dunk at rim,,11,13
37,1,6:09.0,,A. Davis misses 2-pt jump shot from 19 ft,11,13
38,1,6:08.0,Defensive rebound by A. Horford,,11,13
39,1,6:03.0,J. Teague misses 2-pt layup from 2 ft,,11,13
40,1,6:01.0,,Defensive rebound by E. Gordon,11,13
41,1,5:58.0,Offensive charge foul by A. Davis (drawn by K. Korver),,11,13
42,1,5:58.0,,Turnover by A. Davis (offensive foul),11,13
43,1,5:58.0,,New Orleans full timeout,11,13
44,1,5:43.0,J. Teague makes 2-pt layup from 1 ft,,13,13
45,1,5:43.0,Shooting foul by E. Gordon (drawn by J. Teague),,13,13
46,1,5:43.0,J. Teague makes free throw 1 of 1,,14,13
47,1,5:22.0,,E. Gordon makes 3-pt jump shot from 26 ft (assist by T. Evans),14,16
48,1,5:05.0,J. Teague misses 2-pt jump shot from 4 ft,,14,16
49,1,5:04.0,,Defensive rebound by Ö. Aşık,14,16
50,1,4:58.0,,A. Davis misses 2-pt jump shot from 15 ft,14,16
51,1,4:57.0,Defensive rebound by P. Millsap,,14,16
52,1,4:51.0,P. Millsap misses 2-pt jump shot from 3 ft,,14,16
53,1,4:50.0,,Defensive rebound by Ö. Aşık,14,16
54,1,4:36.0,,Shooting foul by K. Korver (drawn by Ö. Aşık),14,16
55,1,4:36.0,,Ö. Aşık makes free throw 1 of 2,14,17
56,1,4:36.0,P. Antić enters the game for A. Horford,,14,17
57,1,4:36.0,D. Carroll enters the game for K. Korver,,14,17
58,1,4:36.0,,Q. Pondexter enters the game for D. Cunningham,14,17
59,1,4:36.0,,Ö. Aşık makes free throw 2 of 2,14,18
60,1,4:12.0,Shooting foul by E. Gordon (drawn by J. Teague),,14,18
61,1,4:12.0,J. Teague makes free throw 1 of 2,,15,18
62,1,4:12.0,,R. Anderson enters the game for Ö. Aşık,15,18
63,1,4:12.0,J. Teague misses free throw 2 of 2,,15,18
64,1,4:11.0,,Defensive rebound by Q. Pondexter,15,18
65,1,3:54.0,,T. Evans misses 2-pt layup from 1 ft,15,18
66,1,3:53.0,Defensive rebound by D. Carroll,,15,18
67,1,3:42.0,J. Teague misses 2-pt layup from 2 ft,,15,18
68,1,3:41.0,,Defensive rebound by R. Anderson,15,18
69,1,3:34.0,,Shooting foul by K. Bazemore (drawn by A. Davis),15,18
70,1,3:34.0,,A. Davis makes free throw 1 of 2,15,19
71,1,3:34.0,,J. Fredette enters the game for E. Gordon,15,19
