,QUARTER,TIME_REMAINING,ATLANTA_ACTION,ORLANDO_ACTION,ATLANTA_SCORE,ORLANDO_SCORE
0,1,11:45.0,,T. Harris misses 2-pt jump shot from 21 ft,0,0
1,1,11:44.0,Defensive rebound by A. Horford,,0,0
2,1,11:25.0,A. Horford misses 2-pt jump shot from 16 ft,,0,0
3,1,11:23.0,,Defensive rebound by C. Frye,0,0
4,1,11:12.0,,Turnover by V. Oladipo (lost ball),0,0
5,1,10:52.0,P. Millsap makes 2-pt jump shot from 4 ft,,2,0
6,1,10:32.0,,N. Vučević makes 2-pt dunk at rim (assist by T. Harris),2,2
7,1,10:17.0,A. Horford makes 2-pt jump shot from 18 ft (assist by K. Korver),,4,2
8,1,9:59.0,,N. Vučević misses 2-pt hook shot from 1 ft,4,2
9,1,9:57.0,,Offensive rebound by T. Harris,4,2
10,1,9:57.0,,T. Harris makes 2-pt tip-in from 1 ft,4,4
11,1,9:43.0,P. Millsap misses 3-pt jump shot from 23 ft,,4,4
12,1,9:42.0,Offensive rebound by A. Horford,,4,4
13,1,9:36.0,A. Horford misses 2-pt jump shot from 17 ft,,4,4
14,1,9:34.0,,Defensive rebound by Team,4,4
15,1,9:21.0,,C. Frye misses 3-pt jump shot from 25 ft,4,4
16,1,9:20.0,Defensive rebound by D. Carroll,,4,4
17,1,9:09.0,J. Teague makes 3-pt jump shot from 27 ft (assist by P. Millsap),,7,4
18,1,8:52.0,,N. Vučević makes 2-pt layup from 2 ft (assist by V. Oladipo),7,6
19,1,8:34.0,D. Carroll misses 2-pt jump shot from 5 ft (block by T. Harris),,7,6
20,1,8:34.0,Offensive rebound by Team,,7,6
21,1,8:24.0,P. Millsap misses 2-pt jump shot from 5 ft,,7,6
22,1,8:23.0,,Defensive rebound by N. Vučević,7,6
23,1,8:05.0,,Turnover by N. Vučević (lost ball),7,6
24,1,7:55.0,P. Millsap misses 3-pt jump shot from 27 ft,,7,6
25,1,7:54.0,,Defensive rebound by N. Vučević,7,6
26,1,7:47.0,,Turnover by V. Oladipo (bad pass),7,6
27,1,7:31.0,D. Carroll makes 3-pt jump shot from 26 ft (assist by A. Horford),,10,6
28,1,7:11.0,,T. Harris makes 2-pt jump shot from 8 ft (assist by C. Frye),10,8
29,1,6:56.0,Shooting foul by V. Oladipo (drawn by J. Teague),,10,8
30,1,6:56.0,J. Teague misses free throw 1 of 2,,10,8
31,1,6:56.0,Offensive rebound by Team,,10,8
32,1,6:56.0,J. Teague makes free throw 2 of 2,,11,8
33,1,6:46.0,,Turnover by V. Oladipo (lost ball; steal by A. Horford),11,8
34,1,6:40.0,J. Teague makes 2-pt jump shot from 7 ft (assist by K. Korver),,13,8
35,1,6:20.0,,E. Fournier makes 2-pt jump shot from 20 ft (assist by C. Frye),13,10
36,1,6:05.0,D. Carroll misses 3-pt jump shot from 25 ft,,13,10
37,1,6:03.0,,Defensive rebound by N. Vučević,13,10
38,1,5:55.0,,T. Harris misses 2-pt jump shot from 10 ft,13,10
39,1,5:53.0,Defensive rebound by K. Korver,,13,10
40,1,5:43.0,A. Horford misses 2-pt hook shot from 5 ft,,13,10
41,1,5:42.0,,Defensive rebound by N. Vučević,13,10
42,1,5:38.0,,Orlando full timeout,13,10
43,1,5:38.0,E. Brand enters the game for A. Horford,,13,10
44,1,5:38.0,T. Sefolosha enters the game for K. Korver,,13,10
45,1,5:26.0,,V. Oladipo misses 2-pt jump shot from 17 ft,13,10
46,1,5:24.0,Defensive rebound by E. Brand,,13,10
47,1,5:13.0,J. Teague misses 3-pt jump shot from 25 ft,,13,10
48,1,5:10.0,,Defensive rebound by E. Fournier,13,10
49,1,5:07.0,,Turnover by V. Oladipo (lost ball; steal by J. Teague),13,10
50,1,5:04.0,J. Teague makes 2-pt dunk at rim,,15,10
51,1,4:48.0,,V. Oladipo makes 3-pt jump shot from 23 ft (assist by T. Harris),15,13
52,1,4:25.0,E. Brand misses 2-pt jump shot from 15 ft,,15,13
53,1,4:23.0,,Defensive rebound by V. Oladipo,15,13
54,1,4:12.0,,C. Frye makes 3-pt jump shot from 27 ft (assist by T. Harris),15,16
55,1,3:58.0,P. Millsap makes 2-pt layup at rim (assist by J. Teague),,17,16
56,1,3:47.0,Offensive charge foul by T. Harris (drawn by E. Brand),,17,16
57,1,3:47.0,,Turnover by T. Harris (offensive foul),17,16
58,1,3:47.0,,D. Dedmon enters the game for N. Vučević,17,16
59,1,3:47.0,Atlanta full timeout,,17,16
60,1,3:40.0,Turnover by J. Teague (lost ball; steal by V. Oladipo),,17,16
61,1,3:36.0,,Turnover by V. Oladipo (lost ball; steal by J. Teague),17,16
62,1,3:33.0,D. Carroll makes 2-pt layup from 1 ft (assist by J. Teague),,19,16
63,1,3:32.0,Violation by Team (delay of game),,19,16
64,1,3:18.0,,T. Harris misses 3-pt jump shot from 23 ft,19,16
65,1,3:17.0,Defensive rebound by P. Millsap,,19,16
66,1,2:54.0,P. Millsap misses 2-pt jump shot from 16 ft,,19,16
67,1,2:53.0,,Defensive rebound by Team,19,16
68,1,2:53.0,,K. O'Quinn enters the game for C. Frye,19,16
69,1,2:53.0,,B. Gordon enters the game for E. Fournier,19,16
70,1,2:53.0,M. Scott enters the game for P. Millsap,,19,16
71,1,2:31.0,,K. O'Quinn misses 3-pt jump shot from 25 ft,19,16
72,1,2:30.0,Defensive rebound by D. Carroll,,19,16
73,1,2:18.0,Turnover by T. Sefolosha (bad pass; steal by K. O'Quinn),,19,16
74,1,2:13.0,,T. Harris misses 2-pt layup at rim,19,16
75,1,2:11.0,,Offensive rebound by T. Harris,19,16
76,1,2:11.0,,T. Harris makes 2-pt dunk at rim,19,18
77,1,1:57.0,Shooting foul by V. Oladipo (drawn by J. Teague),,19,18
78,1,1:57.0,J. Teague misses free throw 1 of 2,,19,18
79,1,1:57.0,Offensive rebound by Team,,19,18
80,1,1:57.0,D. Schröder enters the game for D. Carroll,,19,18
81,1,1:57.0,,E. Payton enters the game for V. Oladipo,19,18
82,1,1:57.0,J. Teague makes free throw 2 of 2,,20,18
83,1,1:43.0,,D. Dedmon misses 2-pt layup from 1 ft (block by J. Teague),20,18
84,1,1:41.0,Defensive rebound by E. Brand,,20,18
85,1,1:20.0,M. Scott makes 3-pt jump shot from 23 ft (assist by D. Schröder),,23,18
86,1,1:05.0,,Turnover by E. Payton (lost ball),23,18
