,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,UTAH_ACTION,PHILADELPHIA_SCORE,UTAH_SCORE
0,1,11:45.0,,E. Freedom misses 2-pt jump shot from 4 ft,0,0
1,1,11:43.0,Defensive rebound by R. Covington,,0,0
2,1,11:19.0,M. Carter-Williams misses 2-pt jump shot from 12 ft,,0,0
3,1,11:19.0,Offensive rebound by Team,,0,0
4,1,11:19.0,Turnover by Team (shot clock),,0,0
5,1,11:05.0,,T. Burke misses 3-pt jump shot from 24 ft,0,0
6,1,11:03.0,Defensive rebound by H. Sims,,0,0
7,1,10:48.0,Turnover by R. Covington (bad pass; steal by T. Burke),,0,0
8,1,10:27.0,,G. Hayward misses 2-pt jump shot from 19 ft,0,0
9,1,10:26.0,Defensive rebound by Team,,0,0
10,1,10:12.0,Turnover by M. Carter-Williams (bad pass; steal by D. Favors),,0,0
11,1,9:50.0,,D. Favors misses 2-pt hook shot from 5 ft,0,0
12,1,9:50.0,,Offensive rebound by Team,0,0
13,1,9:50.0,,Personal foul by H. Sims (drawn by E. Freedom),0,0
14,1,9:43.0,,D. Favors makes 2-pt dunk at rim (assist by T. Burke),0,2
15,1,9:18.0,M. Carter-Williams misses 2-pt jump shot from 5 ft (block by D. Favors),,0,2
16,1,9:16.0,,Defensive rebound by E. Freedom,0,2
17,1,9:12.0,,T. Burke misses 2-pt layup at rim (block by R. Covington),0,2
18,1,9:12.0,,Offensive rebound by E. Freedom,0,2
19,1,9:12.0,,Shooting foul by H. Sims (drawn by E. Freedom),0,2
20,1,9:12.0,,E. Freedom makes free throw 1 of 2,0,3
21,1,9:12.0,,E. Freedom makes free throw 2 of 2,0,4
22,1,8:59.0,N. Noel makes 2-pt jump shot from 4 ft,,2,4
23,1,8:59.0,Shooting foul by G. Hayward (drawn by N. Noel),,2,4
24,1,8:59.0,N. Noel makes free throw 1 of 1,,3,4
25,1,8:45.0,,D. Favors makes 2-pt layup from 1 ft (assist by R. Hood),3,6
26,1,8:31.0,M. Carter-Williams misses 2-pt layup from 2 ft (block by D. Favors),,3,6
27,1,8:29.0,Offensive rebound by N. Noel,,3,6
28,1,8:26.0,N. Noel misses 2-pt hook shot at rim,,3,6
29,1,8:25.0,,Defensive rebound by D. Favors,3,6
30,1,8:19.0,,Turnover by G. Hayward (lost ball; steal by H. Sims),3,6
31,1,8:02.0,M. Carter-Williams misses 2-pt jump shot from 3 ft,,3,6
32,1,8:01.0,,Defensive rebound by D. Favors,3,6
33,1,7:56.0,,T. Burke makes 2-pt layup from 1 ft,3,8
34,1,7:39.0,M. Carter-Williams makes 2-pt layup from 3 ft,,5,8
35,1,7:22.0,,T. Burke misses 3-pt jump shot from 24 ft,5,8
36,1,7:21.0,Defensive rebound by J. Sampson,,5,8
37,1,7:08.0,N. Noel misses 2-pt hook shot from 3 ft (block by D. Favors),,5,8
38,1,7:06.0,,Defensive rebound by D. Favors,5,8
39,1,7:04.0,,Personal foul by R. Covington (drawn by E. Freedom),5,8
40,1,6:47.0,,E. Freedom misses 3-pt jump shot from 22 ft,5,8
41,1,6:46.0,Defensive rebound by N. Noel,,5,8
42,1,6:28.0,M. Carter-Williams misses 2-pt jump shot from 6 ft,,5,8
43,1,6:27.0,,Defensive rebound by R. Hood,5,8
44,1,6:24.0,,Shooting foul by J. Sampson (drawn by T. Burke),5,8
45,1,6:24.0,,T. Burke makes free throw 1 of 2,5,9
46,1,6:24.0,,T. Burke makes free throw 2 of 2,5,10
47,1,6:07.0,N. Noel misses 2-pt jump shot from 19 ft,,5,10
48,1,6:06.0,,Defensive rebound by E. Freedom,5,10
49,1,5:58.0,,D. Favors makes 2-pt dunk at rim (assist by T. Burke),5,12
50,1,5:57.0,Philadelphia full timeout,,5,12
51,1,5:57.0,,T. Booker enters the game for E. Freedom,5,12
52,1,5:57.0,,D. Exum enters the game for T. Burke,5,12
53,1,5:35.0,M. Carter-Williams misses 3-pt jump shot from 26 ft,,5,12
54,1,5:34.0,,Defensive rebound by T. Booker,5,12
55,1,5:17.0,,D. Exum misses 3-pt jump shot from 25 ft,5,12
56,1,5:15.0,,Offensive rebound by T. Booker,5,12
57,1,5:15.0,,T. Booker makes 2-pt tip-in from 1 ft,5,14
58,1,4:51.0,M. Carter-Williams misses 2-pt jump shot from 3 ft,,5,14
59,1,4:50.0,,Defensive rebound by D. Favors,5,14
60,1,4:46.0,,T. Booker misses 2-pt layup from 3 ft,5,14
61,1,4:42.0,Defensive rebound by N. Noel,,5,14
62,1,4:34.0,R. Covington misses 3-pt jump shot from 24 ft,,5,14
63,1,4:34.0,,Defensive rebound by D. Exum,5,14
64,1,4:34.0,,Personal foul by M. Carter-Williams (drawn by D. Exum),5,14
65,1,4:34.0,,D. Exum makes free throw 1 of 2,5,15
66,1,4:34.0,,J. Ingles enters the game for R. Hood,5,15
67,1,4:34.0,T. Wroten enters the game for J. Sampson,,5,15
68,1,4:34.0,K. McDaniels enters the game for R. Covington,,5,15
69,1,4:34.0,F. Aldemir enters the game for H. Sims,,5,15
70,1,4:34.0,,D. Exum makes free throw 2 of 2,5,16
71,1,4:19.0,T. Wroten makes 3-pt jump shot from 24 ft (assist by K. McDaniels),,8,16
72,1,4:03.0,,T. Booker misses 2-pt jump shot from 3 ft,8,16
73,1,4:01.0,Defensive rebound by M. Carter-Williams,,8,16
74,1,3:53.0,Personal foul by D. Exum (drawn by M. Carter-Williams),,8,16
