,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,MINNESOTA_ACTION,GOLDEN STATE_SCORE,MINNESOTA_SCORE
0,1,11:45.0,Turnover by K. Thompson (lost ball; steal by R. Rubio),,0,0
1,1,11:39.0,,K. Martin makes 2-pt layup from 1 ft,0,2
2,1,11:24.0,D. Green misses 3-pt jump shot from 25 ft,,0,2
3,1,11:23.0,Offensive rebound by S. Curry,,0,2
4,1,11:14.0,A. Bogut makes 2-pt jump shot from 7 ft (assist by S. Curry),,2,2
5,1,10:57.0,,N. Peković misses 2-pt jump shot from 6 ft,2,2
6,1,10:56.0,Defensive rebound by D. Green,,2,2
7,1,10:45.0,H. Barnes makes 2-pt jump shot from 21 ft (assist by A. Bogut),,4,2
8,1,10:28.0,,A. Wiggins makes 2-pt jump shot from 19 ft,4,4
9,1,10:18.0,S. Curry misses 3-pt jump shot from 24 ft,,4,4
10,1,10:17.0,,Defensive rebound by K. Martin,4,4
11,1,10:08.0,,R. Rubio misses 2-pt jump shot from 17 ft,4,4
12,1,10:07.0,,Offensive rebound by Team,4,4
13,1,10:03.0,,K. Martin misses 2-pt jump shot from 20 ft,4,4
14,1,10:02.0,,Offensive rebound by A. Wiggins,4,4
15,1,9:59.0,,R. Rubio makes 3-pt jump shot from 25 ft (assist by A. Wiggins),4,7
16,1,9:45.0,K. Thompson misses 3-pt jump shot from 24 ft,,4,7
17,1,9:43.0,,Defensive rebound by T. Young,4,7
18,1,9:30.0,,N. Peković misses 2-pt jump shot from 5 ft,4,7
19,1,9:29.0,Defensive rebound by H. Barnes,,4,7
20,1,9:21.0,D. Green makes 2-pt jump shot from 6 ft (assist by S. Curry),,6,7
21,1,9:04.0,,T. Young makes 2-pt hook shot from 10 ft,6,9
22,1,8:51.0,S. Curry makes 2-pt jump shot from 6 ft,,8,9
23,1,8:51.0,Shooting foul by R. Rubio (drawn by S. Curry),,8,9
24,1,8:51.0,S. Curry makes free throw 1 of 1,,9,9
25,1,8:39.0,,R. Rubio misses 2-pt jump shot from 17 ft,9,9
26,1,8:38.0,Defensive rebound by D. Green,,9,9
27,1,8:27.0,K. Thompson misses 2-pt jump shot from 20 ft,,9,9
28,1,8:26.0,Offensive rebound by H. Barnes,,9,9
29,1,8:10.0,H. Barnes misses 2-pt jump shot from 16 ft,,9,9
30,1,8:09.0,,Defensive rebound by N. Peković,9,9
31,1,8:04.0,,A. Wiggins misses 2-pt layup from 1 ft,9,9
32,1,8:02.0,Defensive rebound by S. Curry,,9,9
33,1,7:57.0,S. Curry makes 2-pt jump shot from 15 ft,,11,9
34,1,7:39.0,,R. Rubio misses 3-pt jump shot from 25 ft,11,9
35,1,7:38.0,Defensive rebound by A. Bogut,,11,9
36,1,7:27.0,K. Thompson misses 2-pt jump shot from 5 ft,,11,9
37,1,7:25.0,,Defensive rebound by N. Peković,11,9
38,1,7:19.0,,Turnover by T. Young (lost ball; steal by D. Green),11,9
39,1,7:14.0,Turnover by S. Curry (lost ball),,11,9
40,1,7:14.0,,Minnesota full timeout,11,9
41,1,6:57.0,,N. Peković misses 2-pt layup at rim,11,9
42,1,6:56.0,Defensive rebound by D. Green,,11,9
43,1,6:44.0,Turnover by A. Bogut (lost ball),,11,9
44,1,6:32.0,,K. Martin makes 3-pt jump shot from 24 ft (assist by R. Rubio),11,12
45,1,6:05.0,K. Thompson misses 3-pt jump shot from 23 ft,,11,12
46,1,6:03.0,Offensive rebound by Team,,11,12
47,1,6:03.0,,Z. LaVine enters the game for R. Rubio,11,12
48,1,5:59.0,A. Bogut makes 2-pt dunk at rim (assist by S. Curry),,13,12
49,1,5:37.0,,Turnover by K. Martin (bad pass; steal by S. Curry),13,12
50,1,5:32.0,S. Curry misses 3-pt jump shot from 24 ft,,13,12
51,1,5:31.0,Offensive rebound by H. Barnes,,13,12
52,1,5:28.0,K. Thompson makes 3-pt jump shot from 24 ft (assist by H. Barnes),,16,12
53,1,5:08.0,,Z. LaVine misses 2-pt jump shot from 17 ft,16,12
54,1,5:07.0,Defensive rebound by H. Barnes,,16,12
55,1,4:50.0,Turnover by S. Curry (bad pass; steal by A. Wiggins),,16,12
56,1,4:42.0,,T. Young makes 2-pt jump shot from 7 ft (assist by A. Wiggins),16,14
57,1,4:25.0,A. Bogut makes 2-pt layup at rim (assist by S. Curry),,18,14
58,1,4:08.0,,K. Martin misses 2-pt jump shot from 18 ft,18,14
59,1,4:08.0,,Offensive rebound by K. Martin,18,14
60,1,4:08.0,,Personal foul by S. Curry (drawn by K. Martin),18,14
61,1,4:08.0,L. Barbosa enters the game for K. Thompson,,18,14
62,1,4:08.0,A. Iguodala enters the game for H. Barnes,,18,14
63,1,4:00.0,,T. Young makes 2-pt jump shot from 21 ft (assist by N. Peković),18,16
64,1,3:41.0,D. Green misses 2-pt jump shot from 3 ft,,18,16
65,1,3:40.0,,Defensive rebound by N. Peković,18,16
66,1,3:32.0,,K. Martin makes 2-pt jump shot from 19 ft,18,18
67,1,3:24.0,Golden State full timeout,,18,18
68,1,3:20.0,A. Bogut misses 2-pt jump shot from 4 ft,,18,18
69,1,3:19.0,Offensive rebound by S. Curry,,18,18
70,1,3:16.0,S. Curry makes 2-pt jump shot from 10 ft,,20,18
71,1,3:02.0,,Turnover by Z. LaVine (bad pass; steal by S. Curry),20,18
72,1,2:57.0,Shooting foul by Z. LaVine (drawn by S. Curry),,20,18
73,1,2:57.0,S. Curry makes free throw 1 of 2,,21,18
74,1,2:57.0,S. Curry makes free throw 2 of 2,,22,18
75,1,2:35.0,,T. Young misses 2-pt jump shot from 6 ft,22,18
76,1,2:34.0,,Offensive rebound by N. Peković,22,18
77,1,2:33.0,,N. Peković makes 2-pt layup from 2 ft,22,20
78,1,2:21.0,S. Curry misses 3-pt jump shot from 24 ft,,22,20
79,1,2:20.0,,Defensive rebound by T. Young,22,20
80,1,2:12.0,,K. Martin misses 2-pt jump shot from 18 ft,22,20
81,1,2:11.0,Defensive rebound by A. Bogut,,22,20
82,1,2:08.0,Turnover by A. Bogut (lost ball; steal by K. Martin),,22,20
83,1,2:04.0,,K. Martin makes 3-pt jump shot from 24 ft,22,23
