,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,MILWAUKEE_ACTION,LA LAKERS_SCORE,MILWAUKEE_SCORE
0,1,11:42.0,,Shooting foul by R. Sacre (drawn by G. Antetokounmpo),0,0
1,1,11:42.0,,G. Antetokounmpo makes free throw 1 of 2,0,1
2,1,11:42.0,,G. Antetokounmpo makes free throw 2 of 2,0,2
3,1,11:24.0,R. Sacre misses 2-pt hook shot from 5 ft,,0,2
4,1,11:23.0,,Defensive rebound by K. Middleton,0,2
5,1,11:18.0,,G. Antetokounmpo makes 2-pt dunk at rim (assist by K. Middleton),0,4
6,1,10:51.0,W. Ellington misses 2-pt jump shot from 18 ft,,0,4
7,1,10:50.0,Offensive rebound by R. Sacre,,0,4
8,1,10:40.0,R. Sacre makes 2-pt dunk at rim (assist by T. Black),,2,4
9,1,10:17.0,,K. Middleton misses 3-pt jump shot from 23 ft,2,4
10,1,10:16.0,Defensive rebound by T. Black,,2,4
11,1,10:04.0,W. Ellington makes 3-pt jump shot from 24 ft (assist by R. Kelly),,5,4
12,1,9:43.0,,J. Dudley makes 2-pt jump shot from 12 ft (assist by K. Middleton),5,6
13,1,9:18.0,W. Ellington misses 3-pt jump shot from 26 ft,,5,6
14,1,9:17.0,,Defensive rebound by G. Antetokounmpo,5,6
15,1,8:57.0,,J. Henson misses 2-pt hook shot from 5 ft,5,6
16,1,8:56.0,Defensive rebound by R. Kelly,,5,6
17,1,8:45.0,R. Kelly misses 3-pt jump shot from 26 ft,,5,6
18,1,8:44.0,,Defensive rebound by K. Middleton,5,6
19,1,8:37.0,,J. Henson makes 2-pt layup from 1 ft (assist by B. Knight),5,8
20,1,8:09.0,J. Clarkson misses 2-pt jump shot from 18 ft,,5,8
21,1,8:08.0,,Defensive rebound by B. Knight,5,8
22,1,8:02.0,,B. Knight misses 2-pt jump shot from 15 ft,5,8
23,1,8:01.0,Defensive rebound by R. Sacre,,5,8
24,1,7:54.0,Offensive foul by T. Black (drawn by K. Middleton),,5,8
25,1,7:54.0,Turnover by T. Black (offensive foul),,5,8
26,1,7:35.0,,K. Middleton makes 3-pt jump shot from 22 ft (assist by J. Henson),5,11
27,1,7:10.0,W. Ellington makes 3-pt jump shot from 25 ft (assist by R. Sacre),,8,11
28,1,6:54.0,,B. Knight misses 2-pt jump shot from 14 ft,8,11
29,1,6:53.0,Defensive rebound by J. Clarkson,,8,11
30,1,6:44.0,R. Sacre makes 2-pt dunk at rim (assist by J. Clarkson),,10,11
