,QUARTER,TIME_REMAINING,DETROIT_ACTION,PORTLAND_ACTION,DETROIT_SCORE,PORTLAND_SCORE
0,1,11:40.0,A. Drummond misses 2-pt hook shot from 7 ft,,0,0
1,1,11:39.0,,Defensive rebound by N. Batum,0,0
2,1,11:32.0,,R. Lopez misses 2-pt layup from 1 ft,0,0
3,1,11:31.0,Defensive rebound by A. Drummond,,0,0
4,1,11:07.0,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,,0,0
5,1,11:06.0,,Defensive rebound by N. Batum,0,0
6,1,10:43.0,,D. Lillard misses 3-pt jump shot from 25 ft,0,0
7,1,10:42.0,Defensive rebound by A. Drummond,,0,0
8,1,10:32.0,G. Monroe misses 2-pt jump shot from 18 ft,,0,0
9,1,10:31.0,,Defensive rebound by A. Afflalo,0,0
10,1,10:24.0,,D. Lillard makes 2-pt layup from 1 ft,0,2
11,1,10:05.0,G. Monroe makes 2-pt hook shot from 6 ft,,2,2
12,1,9:44.0,,A. Afflalo makes 3-pt jump shot from 24 ft (assist by D. Lillard),2,5
13,1,9:21.0,R. Jackson misses 2-pt jump shot from 15 ft,,2,5
14,1,9:20.0,,Defensive rebound by N. Batum,2,5
15,1,9:15.0,,Shooting foul by C. Butler (drawn by A. Afflalo),2,5
16,1,9:15.0,,A. Afflalo makes 2-pt jump shot from 16 ft (assist by D. Lillard),2,7
17,1,9:15.0,,A. Afflalo makes free throw 1 of 1,2,8
18,1,9:01.0,K. Caldwell-Pope misses 2-pt layup from 2 ft,,2,8
19,1,9:00.0,Offensive rebound by A. Drummond,,2,8
20,1,9:00.0,A. Drummond misses 2-pt tip-in at rim,,2,8
21,1,8:59.0,Offensive rebound by Team,,2,8
22,1,8:47.0,G. Monroe makes 2-pt hook shot from 8 ft (assist by K. Caldwell-Pope),,4,8
23,1,8:26.0,,A. Afflalo misses 2-pt jump shot from 22 ft,4,8
24,1,8:24.0,,Offensive rebound by R. Lopez,4,8
25,1,8:24.0,,R. Lopez misses 2-pt tip-in at rim,4,8
26,1,8:23.0,Defensive rebound by G. Monroe,,4,8
27,1,8:17.0,R. Jackson makes 2-pt layup from 1 ft,,6,8
28,1,7:56.0,,L. Aldridge misses 2-pt jump shot from 12 ft,6,8
29,1,7:54.0,Defensive rebound by G. Monroe,,6,8
30,1,7:49.0,A. Drummond makes 2-pt dunk at rim (assist by R. Jackson),,8,8
31,1,7:33.0,,L. Aldridge makes 2-pt jump shot from 4 ft,8,10
32,1,7:18.0,C. Butler makes 3-pt jump shot from 25 ft (assist by G. Monroe),,11,10
33,1,7:03.0,,N. Batum misses 2-pt jump shot from 17 ft,11,10
34,1,7:02.0,Defensive rebound by R. Jackson,,11,10
35,1,6:55.0,Turnover by G. Monroe (traveling),,11,10
36,1,6:36.0,,Turnover by L. Aldridge (lost ball; steal by G. Monroe),11,10
37,1,6:31.0,K. Caldwell-Pope makes 2-pt layup from 1 ft (assist by R. Jackson),,13,10
38,1,6:15.0,,L. Aldridge makes 2-pt jump shot from 17 ft (assist by N. Batum),13,12
39,1,6:01.0,G. Monroe makes 2-pt layup from 2 ft (assist by R. Jackson),,15,12
40,1,6:01.0,Shooting foul by N. Batum (drawn by G. Monroe),,15,12
41,1,6:01.0,,Portland full timeout,15,12
42,1,6:01.0,G. Monroe makes free throw 1 of 1,,16,12
43,1,5:37.0,,R. Lopez makes 2-pt hook shot from 10 ft (assist by D. Lillard),16,14
44,1,5:15.0,R. Jackson makes 2-pt jump shot from 7 ft,,18,14
45,1,4:52.0,,D. Lillard makes 3-pt jump shot from 29 ft,18,17
46,1,4:39.0,Turnover by G. Monroe (bad pass),,18,17
47,1,4:39.0,,C. McCollum enters the game for A. Afflalo,18,17
48,1,4:39.0,,C. Kaman enters the game for R. Lopez,18,17
49,1,4:26.0,,Shooting foul by A. Drummond (drawn by N. Batum),18,17
50,1,4:26.0,,N. Batum makes free throw 1 of 2,18,18
51,1,4:26.0,T. Prince enters the game for C. Butler,,18,18
52,1,4:26.0,,N. Batum makes free throw 2 of 2,18,19
53,1,4:08.0,A. Drummond misses 2-pt hook shot from 5 ft,,18,19
54,1,4:06.0,Offensive rebound by R. Jackson,,18,19
55,1,4:03.0,K. Caldwell-Pope misses 3-pt jump shot from 27 ft,,18,19
56,1,4:02.0,Offensive rebound by A. Drummond,,18,19
57,1,4:01.0,Shooting foul by C. Kaman (drawn by A. Drummond),,18,19
58,1,4:01.0,A. Drummond misses free throw 1 of 2,,18,19
59,1,4:01.0,Offensive rebound by Team,,18,19
60,1,4:01.0,J. Meeks enters the game for K. Caldwell-Pope,,18,19
61,1,4:01.0,,D. Wright enters the game for N. Batum,18,19
62,1,4:01.0,A. Drummond misses free throw 2 of 2,,18,19
63,1,4:00.0,,Defensive rebound by D. Wright,18,19
64,1,3:37.0,,L. Aldridge makes 3-pt jump shot from 26 ft,18,22
65,1,3:25.0,A. Drummond misses 2-pt hook shot from 5 ft,,18,22
66,1,3:23.0,,Defensive rebound by C. Kaman,18,22
67,1,3:14.0,,D. Lillard makes 3-pt jump shot from 27 ft (assist by C. McCollum),18,25
68,1,3:05.0,Detroit full timeout,,18,25
69,1,3:05.0,A. Tolliver enters the game for G. Monroe,,18,25
70,1,2:58.0,A. Drummond makes 2-pt dunk at rim (assist by R. Jackson),,20,25
71,1,2:40.0,,D. Lillard makes 2-pt layup from 2 ft (assist by C. McCollum),20,27
72,1,2:20.0,A. Drummond makes 2-pt hook shot from 5 ft (assist by R. Jackson),,22,27
73,1,1:58.0,,L. Aldridge misses 2-pt jump shot from 11 ft,22,27
74,1,1:57.0,Defensive rebound by R. Jackson,,22,27
75,1,1:50.0,J. Meeks misses 3-pt jump shot from 23 ft,,22,27
76,1,1:48.0,,Defensive rebound by C. Kaman,22,27
77,1,1:43.0,,C. McCollum makes 2-pt jump shot from 16 ft (assist by D. Lillard),22,29
78,1,1:30.0,J. Meeks makes 2-pt layup from 2 ft (assist by R. Jackson),,24,29
79,1,1:05.0,,D. Lillard makes 3-pt jump shot from 23 ft (assist by D. Wright),24,32
80,1,0:49.0,T. Prince misses 2-pt jump shot from 20 ft,,24,32
81,1,0:48.0,Offensive rebound by A. Drummond,,24,32
82,1,0:44.0,A. Drummond misses 2-pt hook shot from 9 ft,,24,32
83,1,0:42.0,,Defensive rebound by L. Aldridge,24,32
84,1,0:33.0,S. Dinwiddie enters the game for R. Jackson,,24,32
85,1,0:30.0,,C. McCollum misses 3-pt jump shot from 26 ft,24,32
86,1,0:29.0,,Offensive rebound by C. Kaman,24,32
87,1,0:15.0,,L. Aldridge misses 2-pt jump shot from 4 ft,24,32
88,1,0:14.0,,Offensive rebound by C. Kaman,24,32
89,1,0:05.0,,D. Lillard misses 2-pt jump shot from 7 ft,24,32
90,1,0:04.0,,Offensive rebound by L. Aldridge,24,32
91,1,0:04.0,,L. Aldridge makes 2-pt layup from 1 ft,24,34
92,1,0:04.0,,Shooting foul by A. Tolliver (drawn by L. Aldridge),24,34
93,1,0:04.0,,S. Blake enters the game for D. Lillard,24,34
94,1,0:04.0,,L. Aldridge makes free throw 1 of 1,24,35
95,1,0:00.0,S. Dinwiddie misses 3-pt jump shot from 26 ft,,24,35
96,1,0:00.0,Offensive rebound by Team,,24,35
97,2,11:40.0,,C. Kaman misses 2-pt hook shot from 7 ft,24,35
98,2,11:38.0,Defensive rebound by S. Dinwiddie,,24,35
99,2,11:25.0,J. Meeks misses 2-pt jump shot from 20 ft,,24,35
100,2,11:24.0,,Defensive rebound by D. Wright,24,35
101,2,11:09.0,,D. Wright misses 3-pt jump shot from 23 ft,24,35
102,2,11:08.0,Defensive rebound by S. Dinwiddie,,24,35
103,2,10:58.0,S. Dinwiddie makes 3-pt jump shot from 25 ft,,27,35
104,2,10:43.0,,C. McCollum misses 2-pt jump shot from 5 ft,27,35
105,2,10:42.0,Defensive rebound by S. Dinwiddie,,27,35
106,2,10:35.0,S. Dinwiddie misses 2-pt jump shot from 6 ft,,27,35
107,2,10:33.0,,Defensive rebound by M. Leonard,27,35
108,2,10:28.0,,C. Kaman makes 2-pt layup from 1 ft (assist by S. Blake),27,37
109,2,10:28.0,,Shooting foul by T. Prince (drawn by C. Kaman),27,37
110,2,10:28.0,,C. Kaman misses free throw 1 of 1,27,37
111,2,10:27.0,Defensive rebound by A. Tolliver,,27,37
112,2,10:12.0,J. Meeks makes 3-pt jump shot from 25 ft (assist by S. Dinwiddie),,30,37
113,2,9:59.0,,Personal foul by J. Meeks (drawn by S. Blake),30,37
114,2,9:51.0,,Shooting foul by A. Tolliver (drawn by M. Leonard),30,37
115,2,9:51.0,,M. Leonard makes 2-pt jump shot from 11 ft,30,39
116,2,9:51.0,,M. Leonard makes free throw 1 of 1,30,40
117,2,9:30.0,G. Monroe makes 2-pt jump shot from 14 ft,,32,40
118,2,9:16.0,,C. Kaman misses 2-pt jump shot from 13 ft,32,40
119,2,9:16.0,Defensive rebound by Team,,32,40
120,2,9:16.0,,Loose ball foul by M. Leonard (drawn by A. Tolliver),32,40
121,2,8:53.0,A. Tolliver makes 2-pt jump shot from 19 ft (assist by T. Prince),,34,40
122,2,8:42.0,Violation by J. Meeks (kicked ball),,34,40
123,2,8:42.0,Official timeout,,34,40
124,2,8:42.0,,N. Batum enters the game for C. McCollum,34,40
125,2,8:42.0,,A. Afflalo enters the game for D. Wright,34,40
126,2,8:28.0,,C. Kaman makes 2-pt jump shot from 18 ft (assist by S. Blake),34,42
127,2,7:57.0,,M. Leonard makes 3-pt jump shot from 22 ft (assist by N. Batum),34,45
128,2,7:30.0,T. Prince misses 2-pt jump shot from 14 ft,,34,45
129,2,7:29.0,,Defensive rebound by M. Leonard,34,45
130,2,7:25.0,,Offensive foul by A. Afflalo (drawn by J. Meeks),34,45
131,2,7:25.0,,Turnover by A. Afflalo (offensive foul),34,45
132,2,7:05.0,G. Monroe misses 2-pt hook shot from 6 ft,,34,45
