,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,SACRAMENTO_ACTION,LA LAKERS_SCORE,SACRAMENTO_SCORE
0,1,11:42.0,K. Bryant misses 2-pt jump shot from 19 ft,,0,0
1,1,11:41.0,,Defensive rebound by J. Thompson,0,0
2,1,11:28.0,,Turnover by B. McLemore (lost ball),0,0
3,1,11:14.0,J. Hill misses 2-pt jump shot from 18 ft,,0,0
4,1,11:14.0,,Defensive rebound by J. Thompson,0,0
5,1,11:04.0,,D. Cousins misses 2-pt jump shot from 3 ft,0,0
6,1,11:03.0,Defensive rebound by W. Johnson,,0,0
7,1,10:55.0,Turnover by K. Bryant (lost ball; steal by D. Cousins),,0,0
8,1,10:48.0,,R. Gay misses 3-pt jump shot from 24 ft,0,0
9,1,10:47.0,Defensive rebound by W. Johnson,,0,0
10,1,10:35.0,Turnover by K. Bryant (bad pass),,0,0
11,1,10:12.0,,D. Collison makes 3-pt jump shot from 26 ft (assist by D. Cousins),0,3
12,1,9:58.0,W. Johnson makes 2-pt jump shot from 21 ft,,2,3
13,1,9:48.0,,D. Collison makes 2-pt layup from 2 ft,2,5
14,1,9:26.0,K. Bryant misses 2-pt jump shot from 16 ft,,2,5
15,1,9:25.0,,Defensive rebound by J. Thompson,2,5
16,1,9:15.0,,J. Thompson makes 2-pt dunk at rim (assist by R. Gay),2,7
17,1,8:54.0,E. Davis makes 2-pt hook shot from 6 ft (assist by W. Johnson),,4,7
18,1,8:44.0,,Turnover by B. McLemore (bad pass; steal by R. Price),4,7
19,1,8:44.0,Personal foul by J. Thompson (drawn by E. Davis),,4,7
20,1,8:31.0,R. Price makes 3-pt jump shot from 24 ft (assist by K. Bryant),,7,7
21,1,8:16.0,,Personal foul by R. Price (drawn by D. Cousins),7,7
22,1,8:10.0,,D. Cousins makes 2-pt jump shot from 17 ft (assist by D. Collison),7,9
23,1,7:51.0,Turnover by K. Bryant (bad pass; steal by D. Collison),,7,9
24,1,7:44.0,Violation by J. Hill (kicked ball),,7,9
25,1,7:35.0,,D. Cousins makes 2-pt layup from 1 ft,7,11
26,1,7:22.0,J. Hill misses 2-pt jump shot from 19 ft,,7,11
27,1,7:21.0,,Defensive rebound by D. Cousins,7,11
28,1,7:13.0,,D. Collison misses 2-pt jump shot from 18 ft,7,11
29,1,7:12.0,Defensive rebound by W. Johnson,,7,11
30,1,7:08.0,Personal foul by D. Cousins (drawn by K. Bryant),,7,11
31,1,6:57.0,Turnover by E. Davis (lost ball; steal by D. Cousins),,7,11
32,1,6:49.0,,D. Cousins makes 2-pt layup from 2 ft,7,13
33,1,6:32.0,Offensive foul by K. Bryant (drawn by B. McLemore),,7,13
34,1,6:32.0,Turnover by K. Bryant (offensive foul),,7,13
35,1,6:27.0,,B. McLemore misses 2-pt jump shot from 5 ft,7,13
36,1,6:26.0,Defensive rebound by J. Hill,,7,13
37,1,6:14.0,J. Hill misses 2-pt jump shot from 20 ft,,7,13
38,1,6:13.0,,Defensive rebound by B. McLemore,7,13
