,QUARTER,TIME_REMAINING,DETROIT_ACTION,PHILADELPHIA_ACTION,DETROIT_SCORE,PHILADELPHIA_SCORE
0,1,11:47.0,K. Caldwell-Pope makes 2-pt layup from 2 ft (assist by D. Augustin),,2,0
1,1,11:35.0,,M. Carter-Williams makes 2-pt layup from 2 ft (assist by N. Noel),2,2
2,1,11:21.0,K. Caldwell-Pope misses 2-pt layup from 1 ft,,2,2
3,1,11:17.0,,Defensive rebound by J. Sampson,2,2
4,1,11:07.0,,L. Mbah a Moute misses 2-pt jump shot from 22 ft,2,2
5,1,11:06.0,Defensive rebound by K. Caldwell-Pope,,2,2
6,1,10:49.0,A. Drummond misses 2-pt hook shot from 7 ft,,2,2
7,1,10:47.0,,Defensive rebound by R. Covington,2,2
8,1,10:37.0,,R. Covington misses 2-pt jump shot from 5 ft,2,2
9,1,10:35.0,,Offensive rebound by R. Covington,2,2
10,1,10:35.0,,R. Covington makes 2-pt tip-in from 1 ft,2,4
11,1,10:27.0,Detroit full timeout,,2,4
12,1,10:26.0,Turnover by K. Singler (bad pass; steal by R. Covington),,2,4
13,1,10:22.0,,Turnover by R. Covington (bad pass),2,4
14,1,10:12.0,Personal foul by R. Covington (drawn by K. Singler),,2,4
15,1,10:02.0,K. Caldwell-Pope misses 3-pt jump shot from 23 ft,,2,4
16,1,10:00.0,,Defensive rebound by J. Sampson,2,4
17,1,9:47.0,,L. Mbah a Moute makes 2-pt jump shot from 19 ft (assist by M. Carter-Williams),2,6
18,1,9:29.0,G. Monroe makes 2-pt layup from 1 ft (assist by D. Augustin),,4,6
19,1,9:10.0,,N. Noel misses 2-pt jump shot from 13 ft,4,6
20,1,9:09.0,,Offensive rebound by N. Noel,4,6
21,1,9:06.0,,N. Noel misses 2-pt hook shot from 5 ft,4,6
22,1,9:04.0,Defensive rebound by K. Singler,,4,6
23,1,8:56.0,Personal foul by R. Covington (drawn by G. Monroe),,4,6
24,1,8:46.0,A. Drummond misses 2-pt layup from 1 ft,,4,6
25,1,8:44.0,,Defensive rebound by N. Noel,4,6
26,1,8:36.0,,J. Sampson makes 3-pt jump shot from 23 ft (assist by R. Covington),4,9
27,1,8:15.0,G. Monroe misses 2-pt jump shot from 9 ft,,4,9
28,1,8:13.0,Offensive rebound by A. Drummond,,4,9
29,1,8:13.0,Offensive foul by A. Drummond (drawn by N. Noel),,4,9
30,1,8:13.0,Turnover by A. Drummond (offensive foul),,4,9
31,1,8:03.0,,L. Mbah a Moute makes 2-pt jump shot from 20 ft (assist by M. Carter-Williams),4,11
32,1,7:50.0,Turnover by G. Monroe (lost ball; steal by N. Noel),,4,11
33,1,7:46.0,,J. Sampson makes 2-pt layup from 2 ft (assist by N. Noel),4,13
34,1,7:27.0,K. Singler misses 3-pt jump shot from 25 ft,,4,13
35,1,7:25.0,,Defensive rebound by M. Carter-Williams,4,13
36,1,7:04.0,,L. Mbah a Moute makes 2-pt jump shot from 21 ft (assist by M. Carter-Williams),4,15
37,1,6:50.0,K. Caldwell-Pope misses 2-pt jump shot from 3 ft (block by N. Noel),,4,15
38,1,6:48.0,,Defensive rebound by J. Sampson,4,15
39,1,6:41.0,,R. Covington makes 3-pt jump shot from 25 ft (assist by M. Carter-Williams),4,18
40,1,6:34.0,Detroit full timeout,,4,18
41,1,6:34.0,C. Butler enters the game for A. Drummond,,4,18
42,1,6:34.0,A. Tolliver enters the game for K. Singler,,4,18
43,1,6:34.0,,K. McDaniels enters the game for J. Sampson,4,18
44,1,6:34.0,,H. Thompson enters the game for R. Covington,4,18
45,1,6:34.0,Turnover by C. Butler (bad pass; steal by L. Mbah a Moute),,4,18
46,1,6:29.0,,L. Mbah a Moute makes 2-pt layup from 1 ft,4,20
47,1,6:20.0,Personal foul by K. McDaniels (drawn by K. Caldwell-Pope),,4,20
48,1,6:07.0,K. Caldwell-Pope misses 2-pt layup from 1 ft,,4,20
49,1,6:06.0,,Defensive rebound by M. Carter-Williams,4,20
50,1,5:55.0,,N. Noel makes 2-pt layup at rim (assist by M. Carter-Williams),4,22
51,1,5:43.0,Turnover by A. Tolliver (bad pass; steal by K. McDaniels),,4,22
52,1,5:39.0,,K. McDaniels makes 2-pt dunk at rim,4,24
53,1,5:26.0,D. Augustin misses 2-pt layup from 2 ft,,4,24
54,1,5:24.0,,Defensive rebound by M. Carter-Williams,4,24
55,1,5:13.0,,Philadelphia full timeout,4,24
56,1,5:13.0,,L. Drew enters the game for L. Mbah a Moute,4,24
57,1,5:13.0,,H. Sims enters the game for N. Noel,4,24
58,1,5:13.0,,J. Grant enters the game for M. Carter-Williams,4,24
59,1,5:13.0,J. Meeks enters the game for K. Caldwell-Pope,,4,24
60,1,5:01.0,,L. Drew misses 3-pt jump shot from 24 ft,4,24
61,1,5:00.0,Defensive rebound by C. Butler,,4,24
62,1,4:39.0,A. Tolliver misses 3-pt jump shot from 23 ft (block by J. Grant),,4,24
63,1,4:39.0,Offensive rebound by Team,,4,24
64,1,4:36.0,J. Meeks misses 3-pt jump shot from 25 ft,,4,24
65,1,4:36.0,Offensive rebound by Team,,4,24
66,1,4:36.0,Turnover by Team (shot clock),,4,24
67,1,4:23.0,,H. Thompson misses 3-pt jump shot from 25 ft,4,24
68,1,4:21.0,Defensive rebound by G. Monroe,,4,24
69,1,4:13.0,J. Meeks misses 2-pt jump shot from 3 ft,,4,24
70,1,4:10.0,Offensive rebound by G. Monroe,,4,24
71,1,4:09.0,Shooting foul by K. McDaniels (drawn by G. Monroe),,4,24
72,1,4:09.0,G. Monroe makes free throw 1 of 2,,5,24
73,1,4:09.0,G. Monroe makes free throw 2 of 2,,6,24
74,1,3:55.0,,H. Thompson misses 2-pt layup from 1 ft,6,24
75,1,3:54.0,,Offensive rebound by H. Sims,6,24
76,1,3:53.0,,H. Sims makes 2-pt jump shot from 7 ft,6,26
77,1,3:38.0,Personal foul by L. Drew (drawn by J. Meeks),,6,26
78,1,3:38.0,J. Meeks makes free throw 1 of 2,,7,26
79,1,3:38.0,J. Meeks makes free throw 2 of 2,,8,26
80,1,3:21.0,,H. Thompson misses 3-pt jump shot from 25 ft,8,26
81,1,3:19.0,Defensive rebound by G. Monroe,,8,26
82,1,3:09.0,A. Drummond enters the game for G. Monroe,,8,26
83,1,2:56.0,A. Tolliver misses 3-pt jump shot from 25 ft,,8,26
84,1,2:54.0,,Defensive rebound by K. McDaniels,8,26
85,1,2:39.0,,H. Sims makes 2-pt jump shot from 19 ft (assist by L. Drew),8,28
86,1,2:23.0,J. Meeks misses 3-pt jump shot from 24 ft,,8,28
87,1,2:21.0,,Defensive rebound by H. Sims,8,28
88,1,2:05.0,,Turnover by H. Sims (bad pass; steal by A. Drummond),8,28
89,1,2:00.0,D. Augustin misses 2-pt layup from 1 ft,,8,28
90,1,1:58.0,Offensive rebound by A. Drummond,,8,28
91,1,1:58.0,A. Drummond makes 2-pt dunk at rim,,10,28
92,1,1:40.0,,H. Sims misses 2-pt layup from 1 ft (block by A. Drummond),10,28
93,1,1:38.0,,Offensive rebound by H. Thompson,10,28
94,1,1:34.0,,H. Thompson misses 2-pt jump shot from 17 ft,10,28
95,1,1:32.0,Defensive rebound by A. Drummond,,10,28
96,1,1:21.0,Shooting foul by J. Grant (drawn by J. Meeks),,10,28
97,1,1:21.0,J. Meeks makes free throw 1 of 2,,11,28
98,1,1:21.0,S. Dinwiddie enters the game for D. Augustin,,11,28
99,1,1:21.0,J. Meeks makes free throw 2 of 2,,12,28
100,1,1:05.0,,Turnover by J. Grant (lost ball; steal by C. Butler),12,28
101,1,0:57.0,C. Butler makes 2-pt jump shot from 19 ft (assist by A. Tolliver),,14,28
102,1,0:43.0,,H. Thompson misses 3-pt jump shot from 25 ft,14,28
103,1,0:41.0,Defensive rebound by A. Drummond,,14,28
104,1,0:35.0,Offensive foul by A. Drummond (drawn by L. Drew),,14,28
105,1,0:35.0,Turnover by A. Drummond (offensive foul),,14,28
106,1,0:25.0,,Turnover by H. Sims (bad pass; steal by C. Butler),14,28
107,1,0:17.0,S. Dinwiddie misses 2-pt layup at rim,,14,28
108,1,0:17.0,Offensive rebound by A. Drummond,,14,28
109,1,0:17.0,A. Drummond makes 2-pt dunk at rim,,16,28
110,1,0:01.0,,H. Thompson misses 3-pt jump shot from 25 ft,16,28
111,1,0:00.0,,Offensive rebound by Team,16,28
112,2,11:44.0,,H. Sims makes 2-pt jump shot from 17 ft (assist by H. Thompson),16,30
113,2,11:27.0,A. Drummond misses 2-pt layup from 1 ft,,16,30
114,2,11:25.0,,Defensive rebound by H. Sims,16,30
115,2,11:14.0,,H. Thompson makes 2-pt layup from 1 ft (assist by J. Grant),16,32
116,2,10:55.0,Shooting foul by H. Thompson (drawn by J. Meeks),,16,32
117,2,10:55.0,J. Meeks makes free throw 1 of 2,,17,32
118,2,10:55.0,,M. Carter-Williams enters the game for H. Thompson,17,32
