,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,MEMPHIS_ACTION,CHARLOTTE_SCORE,MEMPHIS_SCORE
0,1,11:40.0,,M. Conley makes 3-pt jump shot from 24 ft (assist by M. Gasol),0,3
1,1,11:17.0,Turnover by G. Henderson (bad pass; steal by M. Gasol),,0,3
2,1,11:05.0,,Z. Randolph makes 2-pt jump shot from 10 ft,0,5
3,1,10:38.0,C. Zeller misses 2-pt jump shot from 22 ft,,0,5
4,1,10:37.0,,Defensive rebound by T. Allen,0,5
5,1,10:27.0,,Z. Randolph makes 2-pt layup from 1 ft (assist by M. Gasol),0,7
6,1,10:13.0,A. Jefferson misses 2-pt layup from 1 ft (block by M. Gasol),,0,7
7,1,10:12.0,,Defensive rebound by M. Conley,0,7
8,1,10:07.0,,Turnover by Z. Randolph (lost ball),0,7
9,1,9:50.0,A. Jefferson misses 2-pt jump shot from 3 ft (block by M. Gasol),,0,7
10,1,9:47.0,,Defensive rebound by C. Lee,0,7
11,1,9:38.0,,M. Gasol misses 2-pt jump shot from 11 ft,0,7
12,1,9:37.0,Defensive rebound by L. Stephenson,,0,7
13,1,9:28.0,L. Stephenson misses 3-pt jump shot from 24 ft,,0,7
14,1,9:28.0,,Defensive rebound by M. Conley,0,7
15,1,9:18.0,,Turnover by M. Conley (bad pass; steal by K. Walker),0,7
16,1,9:13.0,K. Walker misses 2-pt layup from 1 ft,,0,7
17,1,9:13.0,,Defensive rebound by Team,0,7
18,1,8:53.0,,M. Gasol makes 2-pt jump shot from 15 ft,0,9
19,1,8:33.0,Shooting foul by M. Gasol (drawn by C. Zeller),,0,9
20,1,8:33.0,C. Zeller makes free throw 1 of 2,,1,9
21,1,8:33.0,C. Zeller makes free throw 2 of 2,,2,9
22,1,8:15.0,,M. Gasol misses 2-pt hook shot from 7 ft,2,9
23,1,8:13.0,Defensive rebound by A. Jefferson,,2,9
24,1,8:03.0,G. Henderson misses 2-pt jump shot from 9 ft,,2,9
25,1,8:02.0,,Defensive rebound by Z. Randolph,2,9
26,1,7:44.0,,M. Conley misses 2-pt jump shot from 7 ft (block by A. Jefferson),2,9
27,1,7:44.0,Defensive rebound by L. Stephenson,,2,9
28,1,7:38.0,G. Henderson makes 2-pt dunk at rim (assist by K. Walker),,4,9
29,1,7:26.0,,Turnover by M. Conley (bad pass),4,9
30,1,7:15.0,K. Walker makes 3-pt jump shot from 24 ft,,7,9
31,1,7:01.0,,T. Allen misses 2-pt layup from 1 ft,7,9
32,1,7:01.0,,Offensive rebound by T. Allen,7,9
33,1,7:01.0,,T. Allen makes 2-pt layup from 1 ft,7,11
