,QUARTER,TIME_REMAINING,DETROIT_ACTION,CHICAGO_ACTION,DETROIT_SCORE,CHICAGO_SCORE
0,1,11:35.0,,A. Brooks misses 3-pt jump shot from 24 ft,0,0
1,1,11:34.0,,Offensive rebound by P. Gasol,0,0
2,1,11:29.0,,Turnover by J. Butler (bad pass; steal by C. Butler),0,0
3,1,11:10.0,A. Drummond makes 2-pt dunk at rim (assist by R. Jackson),,2,0
4,1,10:56.0,,Shooting foul by A. Tolliver (drawn by P. Gasol),2,0
5,1,10:56.0,,P. Gasol makes free throw 1 of 2,2,1
6,1,10:56.0,,P. Gasol misses free throw 2 of 2,2,1
7,1,10:55.0,Defensive rebound by A. Drummond,,2,1
8,1,10:43.0,Turnover by K. Caldwell-Pope (bad pass),,2,1
9,1,10:22.0,,P. Gasol makes 2-pt jump shot from 3 ft,2,3
10,1,10:00.0,C. Butler misses 2-pt jump shot from 21 ft,,2,3
11,1,9:59.0,Offensive rebound by A. Drummond,,2,3
12,1,9:47.0,K. Caldwell-Pope misses 2-pt layup from 2 ft,,2,3
13,1,9:46.0,,Defensive rebound by M. Dunleavy,2,3
14,1,9:34.0,,J. Noah misses 2-pt layup from 2 ft,2,3
15,1,9:33.0,,Offensive rebound by P. Gasol,2,3
16,1,9:33.0,,P. Gasol makes 2-pt tip-in from 1 ft,2,5
17,1,9:13.0,R. Jackson makes 2-pt jump shot from 17 ft,,4,5
18,1,9:01.0,,M. Dunleavy makes 3-pt jump shot from 25 ft (assist by J. Noah),4,8
19,1,8:48.0,R. Jackson makes 2-pt jump shot from 11 ft,,6,8
20,1,8:25.0,,J. Butler misses 2-pt jump shot from 15 ft,6,8
21,1,8:23.0,,Offensive rebound by J. Noah,6,8
22,1,8:23.0,,J. Noah makes 2-pt layup from 2 ft,6,10
23,1,8:05.0,A. Tolliver misses 3-pt jump shot from 23 ft,,6,10
24,1,8:04.0,,Defensive rebound by P. Gasol,6,10
25,1,7:58.0,,J. Butler makes 3-pt jump shot from 25 ft (assist by M. Dunleavy),6,13
26,1,7:38.0,K. Caldwell-Pope makes 2-pt dunk at rim (assist by C. Butler),,8,13
27,1,7:24.0,,J. Butler makes 2-pt jump shot from 7 ft (assist by J. Noah),8,15
28,1,7:19.0,Detroit full timeout,,8,15
29,1,7:06.0,R. Jackson misses 2-pt layup from 2 ft (block by P. Gasol),,8,15
30,1,7:06.0,Offensive rebound by Team,,8,15
31,1,7:02.0,Turnover by C. Butler (bad pass),,8,15
32,1,6:47.0,,J. Butler misses 2-pt jump shot from 8 ft,8,15
33,1,6:46.0,,Offensive rebound by J. Noah,8,15
34,1,6:46.0,,Personal foul by R. Jackson (drawn by J. Noah),8,15
35,1,6:44.0,,Turnover by M. Dunleavy (bad pass; steal by K. Caldwell-Pope),8,15
36,1,6:34.0,A. Tolliver makes 3-pt jump shot from 23 ft (assist by R. Jackson),,11,15
37,1,6:19.0,,A. Brooks misses 3-pt jump shot from 24 ft,11,15
38,1,6:18.0,Defensive rebound by A. Drummond,,11,15
39,1,6:18.0,Personal foul by J. Noah (drawn by A. Drummond),,11,15
40,1,6:02.0,Turnover by A. Drummond (traveling),,11,15
41,1,5:53.0,,Personal foul by A. Tolliver (drawn by P. Gasol),11,15
42,1,5:53.0,J. Anthony enters the game for A. Tolliver,,11,15
43,1,5:37.0,,P. Gasol misses 2-pt jump shot from 7 ft,11,15
44,1,5:35.0,Defensive rebound by A. Drummond,,11,15
45,1,5:25.0,Shooting foul by J. Noah (drawn by J. Anthony),,11,15
46,1,5:25.0,J. Anthony makes free throw 1 of 2,,12,15
47,1,5:25.0,,T. Gibson enters the game for J. Noah,12,15
48,1,5:25.0,J. Anthony misses free throw 2 of 2,,12,15
49,1,5:22.0,Offensive rebound by A. Drummond,,12,15
50,1,5:08.0,Turnover by R. Jackson (bad pass; steal by T. Gibson),,12,15
51,1,4:54.0,,J. Butler misses 2-pt layup from 3 ft (block by A. Drummond),12,15
52,1,4:53.0,,Offensive rebound by J. Butler,12,15
53,1,4:51.0,,P. Gasol makes 2-pt layup from 1 ft (assist by J. Butler),12,17
54,1,4:21.0,J. Anthony misses 2-pt jump shot from 11 ft,,12,17
55,1,4:20.0,Offensive rebound by A. Drummond,,12,17
56,1,4:20.0,Shooting foul by M. Dunleavy (drawn by A. Drummond),,12,17
57,1,4:20.0,A. Drummond makes free throw 1 of 2,,13,17
58,1,4:20.0,,T. Snell enters the game for J. Butler,13,17
59,1,4:20.0,A. Drummond makes free throw 2 of 2,,14,17
60,1,4:08.0,,P. Gasol misses 2-pt layup from 2 ft,14,17
61,1,4:06.0,,Offensive rebound by P. Gasol,14,17
62,1,4:05.0,,P. Gasol misses 2-pt layup from 2 ft (block by J. Anthony),14,17
63,1,4:04.0,Defensive rebound by A. Drummond,,14,17
64,1,4:01.0,K. Caldwell-Pope misses 2-pt layup from 2 ft,,14,17
65,1,3:59.0,Offensive rebound by J. Anthony,,14,17
66,1,3:57.0,A. Drummond makes 2-pt dunk at rim (assist by R. Jackson),,16,17
67,1,3:57.0,,Technical foul by Team,16,17
68,1,3:57.0,C. Butler makes technical free throw,,17,17
69,1,3:47.0,,A. Brooks misses 2-pt layup from 1 ft,17,17
70,1,3:46.0,Defensive rebound by R. Jackson,,17,17
71,1,3:39.0,R. Jackson makes 2-pt jump shot from 10 ft,,19,17
72,1,3:15.0,,T. Snell misses 3-pt jump shot from 23 ft,19,17
73,1,3:14.0,Defensive rebound by A. Drummond,,19,17
74,1,2:54.0,R. Jackson misses 2-pt jump shot from 16 ft,,19,17
75,1,2:53.0,,Defensive rebound by T. Gibson,19,17
76,1,2:44.0,,Shooting foul by J. Anthony (drawn by P. Gasol),19,17
77,1,2:44.0,,Chicago full timeout,19,17
78,1,2:44.0,,E. Moore enters the game for A. Brooks,19,17
79,1,2:44.0,,P. Gasol makes free throw 1 of 2,19,18
80,1,2:44.0,,P. Gasol makes free throw 2 of 2,19,19
81,1,2:22.0,K. Caldwell-Pope misses 2-pt jump shot from 15 ft,,19,19
82,1,2:22.0,,Defensive rebound by T. Gibson,19,19
83,1,2:22.0,,Personal foul by J. Anthony (drawn by T. Gibson),19,19
84,1,2:22.0,,T. Gibson makes free throw 1 of 2,19,20
85,1,2:22.0,S. Williams enters the game for J. Anthony,,19,20
86,1,2:22.0,,T. Gibson makes free throw 2 of 2,19,21
87,1,2:12.0,Personal foul by P. Gasol (drawn by A. Drummond),,19,21
88,1,1:57.0,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,,19,21
89,1,1:57.0,,Defensive rebound by Team,19,21
90,1,1:46.0,,M. Dunleavy makes 2-pt jump shot from 19 ft (assist by E. Moore),19,23
91,1,1:27.0,R. Jackson makes 2-pt jump shot from 6 ft,,21,23
92,1,1:09.0,,P. Gasol makes 2-pt layup from 3 ft,21,25
93,1,0:59.0,Shooting foul by E. Moore (drawn by R. Jackson),,21,25
94,1,0:59.0,R. Jackson makes free throw 1 of 2,,22,25
95,1,0:59.0,J. Meeks enters the game for K. Caldwell-Pope,,22,25
96,1,0:59.0,R. Jackson makes free throw 2 of 2,,23,25
97,1,0:42.0,,P. Gasol misses 2-pt jump shot from 11 ft (block by C. Butler),23,25
98,1,0:41.0,Defensive rebound by C. Butler,,23,25
99,1,0:34.0,R. Jackson makes 2-pt layup at rim,,25,25
100,1,0:19.0,,M. Dunleavy misses 3-pt jump shot from 24 ft,25,25
101,1,0:18.0,,Offensive rebound by T. Gibson,25,25
102,1,0:17.0,,T. Gibson misses 2-pt layup from 1 ft (block by A. Drummond),25,25
103,1,0:15.0,Defensive rebound by J. Meeks,,25,25
104,1,0:06.0,,Technical foul by T. Gibson,25,25
105,1,0:06.0,C. Butler makes technical free throw,,26,25
106,1,0:03.0,Turnover by R. Jackson (bad pass; steal by E. Moore),,26,25
107,1,0:01.0,,Turnover by E. Moore (bad pass; steal by C. Butler),26,25
108,1,0:00.0,C. Butler misses 3-pt jump shot from 40 ft,,26,25
109,1,0:00.0,Offensive rebound by Team,,26,25
110,2,11:43.0,A. Drummond misses 2-pt hook shot from 8 ft,,26,25
111,2,11:42.0,,Defensive rebound by N. Mirotić,26,25
112,2,11:21.0,,T. Gibson misses 2-pt layup from 1 ft (block by A. Drummond),26,25
113,2,11:20.0,,Offensive rebound by J. Noah,26,25
114,2,11:19.0,,Turnover by Team (shot clock),26,25
115,2,10:56.0,S. Williams misses 3-pt jump shot from 24 ft,,26,25
116,2,10:55.0,,Defensive rebound by E. Moore,26,25
117,2,10:49.0,,E. Moore misses 2-pt jump shot from 11 ft,26,25
118,2,10:47.0,,Offensive rebound by T. Gibson,26,25
119,2,10:46.0,,T. Gibson misses 2-pt layup from 2 ft (block by S. Williams),26,25
