,QUARTER,TIME_REMAINING,UTAH_ACTION,DALLAS_ACTION,UTAH_SCORE,DALLAS_SCORE
0,1,11:46.0,,D. Nowitzki makes 2-pt jump shot from 16 ft (assist by T. Chandler),0,2
1,1,11:20.0,E. Freedom misses 2-pt hook shot from 6 ft,,0,2
2,1,11:18.0,,Defensive rebound by D. Nowitzki,0,2
3,1,11:09.0,,M. Ellis makes 2-pt layup from 2 ft (assist by T. Chandler),0,4
4,1,10:50.0,T. Burke misses 3-pt jump shot from 24 ft,,0,4
5,1,10:49.0,,Defensive rebound by T. Chandler,0,4
6,1,10:40.0,,T. Chandler makes 2-pt dunk at rim (assist by J. Nelson),0,6
7,1,10:18.0,A. Burks makes 2-pt jump shot from 17 ft,,2,6
8,1,10:07.0,,D. Nowitzki makes 3-pt jump shot from 25 ft (assist by M. Ellis),2,9
9,1,9:48.0,D. Favors makes 2-pt layup from 1 ft,,4,9
10,1,9:37.0,,T. Chandler makes 2-pt dunk at rim (assist by C. Parsons),4,11
11,1,9:33.0,Utah full timeout,,4,11
12,1,9:26.0,Personal foul by C. Parsons (drawn by G. Hayward),,4,11
13,1,9:18.0,G. Hayward makes 2-pt jump shot from 20 ft (assist by D. Favors),,6,11
14,1,8:56.0,,M. Ellis makes 2-pt jump shot from 19 ft (assist by J. Nelson),6,13
15,1,8:35.0,G. Hayward misses 3-pt jump shot from 24 ft,,6,13
16,1,8:34.0,,Defensive rebound by T. Chandler,6,13
17,1,8:29.0,,Shooting foul by D. Favors (drawn by M. Ellis),6,13
18,1,8:29.0,,M. Ellis makes free throw 1 of 2,6,14
19,1,8:29.0,,M. Ellis makes free throw 2 of 2,6,15
20,1,8:20.0,T. Burke misses 2-pt jump shot from 12 ft,,6,15
21,1,8:19.0,Offensive rebound by D. Favors,,6,15
22,1,8:17.0,D. Favors makes 2-pt layup at rim,,8,15
23,1,8:04.0,,J. Nelson makes 3-pt jump shot from 22 ft (assist by M. Ellis),8,18
24,1,7:52.0,T. Burke makes 3-pt jump shot from 25 ft (assist by A. Burks),,11,18
25,1,7:45.0,,Personal block foul by A. Burks (drawn by M. Ellis),11,18
26,1,7:45.0,T. Booker enters the game for E. Freedom,,11,18
27,1,7:38.0,,D. Nowitzki makes 2-pt jump shot from 22 ft (assist by M. Ellis),11,20
