,QUARTER,TIME_REMAINING,CHICAGO_ACTION,NEW YORK_ACTION,CHICAGO_SCORE,NEW YORK_SCORE
0,1,11:39.0,,I. Shumpert misses 2-pt jump shot from 20 ft,0,0
1,1,11:38.0,,Offensive rebound by A. Stoudemire,0,0
2,1,11:24.0,,S. Dalembert misses 2-pt jump shot from 13 ft,0,0
3,1,11:23.0,Defensive rebound by J. Noah,,0,0
4,1,11:01.0,D. Rose misses 3-pt jump shot from 24 ft,,0,0
5,1,11:00.0,,Defensive rebound by C. Anthony,0,0
6,1,10:51.0,,S. Dalembert misses 2-pt layup from 2 ft (block by J. Noah),0,0
7,1,10:50.0,,Offensive rebound by Team,0,0
8,1,10:43.0,,S. Larkin makes 2-pt jump shot from 4 ft,0,2
9,1,10:39.0,Turnover by J. Noah (bad pass; steal by S. Larkin),,0,2
10,1,10:35.0,,S. Larkin misses 3-pt jump shot from 26 ft,0,2
11,1,10:34.0,Defensive rebound by D. Rose,,0,2
12,1,10:11.0,J. Noah makes 2-pt layup from 1 ft (assist by M. Dunleavy),,2,2
13,1,9:43.0,,C. Anthony makes 2-pt jump shot from 19 ft,2,4
14,1,9:27.0,Turnover by J. Noah (bad pass),,2,4
15,1,9:05.0,,A. Stoudemire makes 2-pt jump shot from 13 ft,2,6
16,1,8:44.0,Offensive foul by D. Rose (drawn by A. Stoudemire),,2,6
17,1,8:44.0,Turnover by D. Rose (offensive foul),,2,6
18,1,8:33.0,,Personal foul by K. Hinrich (drawn by I. Shumpert),2,6
19,1,8:27.0,,C. Anthony misses 2-pt jump shot from 20 ft,2,6
20,1,8:26.0,Defensive rebound by J. Noah,,2,6
21,1,8:20.0,Turnover by D. Rose (lost ball; steal by C. Anthony),,2,6
22,1,8:14.0,,A. Stoudemire makes 2-pt dunk at rim (assist by C. Anthony),2,8
23,1,8:09.0,Chicago full timeout,,2,8
24,1,8:02.0,Shooting foul by I. Shumpert (drawn by D. Rose),,2,8
25,1,8:02.0,D. Rose makes free throw 1 of 2,,3,8
26,1,8:02.0,D. Rose makes free throw 2 of 2,,4,8
27,1,7:44.0,,Turnover by S. Dalembert (bad pass; steal by D. Rose),4,8
28,1,7:40.0,K. Hinrich makes 2-pt layup from 1 ft (assist by D. Rose),,6,8
29,1,7:15.0,,C. Anthony misses 2-pt layup from 1 ft (block by J. Noah),6,8
30,1,7:14.0,,Offensive rebound by S. Dalembert,6,8
31,1,7:10.0,,S. Larkin misses 2-pt jump shot from 7 ft,6,8
32,1,7:09.0,Defensive rebound by P. Gasol,,6,8
33,1,7:05.0,Shooting foul by I. Shumpert (drawn by D. Rose),,6,8
34,1,7:05.0,D. Rose makes free throw 1 of 2,,7,8
35,1,7:05.0,,P. Prigioni enters the game for I. Shumpert,7,8
36,1,7:05.0,D. Rose makes free throw 2 of 2,,8,8
37,1,6:42.0,,A. Stoudemire makes 2-pt dunk at rim (assist by S. Dalembert),8,10
38,1,6:29.0,P. Gasol misses 2-pt jump shot from 14 ft,,8,10
39,1,6:28.0,,Defensive rebound by A. Stoudemire,8,10
40,1,6:13.0,,S. Dalembert makes 2-pt jump shot from 18 ft (assist by P. Prigioni),8,12
41,1,5:57.0,J. Noah misses 2-pt layup from 1 ft (block by S. Dalembert),,8,12
42,1,5:56.0,Offensive rebound by Team,,8,12
43,1,5:56.0,,J. Smith enters the game for S. Larkin,8,12
44,1,5:42.0,K. Hinrich misses 3-pt jump shot from 25 ft,,8,12
45,1,5:41.0,,Defensive rebound by S. Dalembert,8,12
46,1,5:22.0,,Turnover by C. Anthony (bad pass; steal by D. Rose),8,12
47,1,5:20.0,Turnover by D. Rose (bad pass; steal by P. Prigioni),,8,12
48,1,5:09.0,,Turnover by A. Stoudemire (bad pass),8,12
49,1,4:58.0,K. Hinrich misses 3-pt jump shot from 26 ft,,8,12
50,1,4:57.0,Offensive rebound by P. Gasol,,8,12
51,1,4:46.0,P. Gasol misses 2-pt layup at rim (block by S. Dalembert),,8,12
52,1,4:45.0,Offensive rebound by P. Gasol,,8,12
53,1,4:41.0,P. Gasol makes 2-pt jump shot from 3 ft,,10,12
54,1,4:41.0,Shooting block foul by S. Dalembert (drawn by P. Gasol),,10,12
55,1,4:41.0,A. Brooks enters the game for D. Rose,,10,12
56,1,4:41.0,T. Gibson enters the game for J. Noah,,10,12
57,1,4:41.0,,J. Smith enters the game for S. Dalembert,10,12
58,1,4:41.0,P. Gasol makes free throw 1 of 1,,11,12
59,1,4:22.0,,A. Stoudemire makes 2-pt jump shot from 19 ft,11,14
60,1,4:05.0,Turnover by K. Hinrich (bad pass),,11,14
61,1,3:56.0,,Personal foul by A. Brooks (drawn by P. Prigioni),11,14
62,1,3:49.0,,Shooting foul by K. Hinrich (drawn by J. Smith),11,14
63,1,3:49.0,,J. Smith makes free throw 1 of 2,11,15
64,1,3:49.0,,J. Smith makes free throw 2 of 2,11,16
65,1,3:38.0,K. Hinrich misses 3-pt jump shot from 22 ft,,11,16
66,1,3:37.0,,Defensive rebound by J. Smith,11,16
67,1,3:14.0,,P. Prigioni misses 3-pt jump shot from 24 ft,11,16
68,1,3:12.0,Defensive rebound by Team,,11,16
69,1,3:12.0,D. McDermott enters the game for K. Hinrich,,11,16
70,1,2:59.0,Shooting foul by J. Smith (drawn by P. Gasol),,11,16
71,1,2:59.0,,New York full timeout,11,16
72,1,2:59.0,,Q. Acy enters the game for A. Stoudemire,11,16
73,1,2:59.0,P. Gasol makes free throw 1 of 2,,12,16
74,1,2:59.0,P. Gasol makes free throw 2 of 2,,13,16
75,1,2:35.0,,J. Smith makes 2-pt jump shot from 20 ft,13,18
76,1,2:13.0,Shooting foul by Q. Acy (drawn by T. Gibson),,13,18
77,1,2:13.0,T. Gibson makes free throw 1 of 2,,14,18
78,1,2:13.0,,T. Hardaway enters the game for C. Anthony,14,18
79,1,2:13.0,T. Gibson misses free throw 2 of 2,,14,18
80,1,2:12.0,,Defensive rebound by P. Prigioni,14,18
81,1,1:56.0,,J. Smith misses 2-pt jump shot from 19 ft,14,18
82,1,1:55.0,Defensive rebound by T. Gibson,,14,18
