,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,NEW YORK_ACTION,NEW ORLEANS_SCORE,NEW YORK_SCORE
0,1,11:37.0,,J. Smith makes 2-pt jump shot from 8 ft,0,2
1,1,11:09.0,E. Gordon makes 3-pt jump shot from 26 ft,,3,2
2,1,10:51.0,,J. Calderón misses 3-pt jump shot from 25 ft,3,2
3,1,10:50.0,Defensive rebound by T. Evans,,3,2
4,1,10:44.0,Turnover by T. Evans (bad pass),,3,2
5,1,10:27.0,,Turnover by L. Galloway (bad pass),3,2
6,1,10:05.0,Shooting foul by L. Galloway (drawn by E. Gordon),,3,2
7,1,10:05.0,E. Gordon makes free throw 1 of 2,,4,2
8,1,10:05.0,E. Gordon makes free throw 2 of 2,,5,2
9,1,9:48.0,,Shooting foul by D. Cunningham (drawn by C. Anthony),5,2
10,1,9:48.0,,C. Anthony makes free throw 1 of 2,5,3
11,1,9:48.0,,C. Anthony makes free throw 2 of 2,5,4
12,1,9:33.0,Turnover by E. Gordon (bad pass),,5,4
13,1,9:15.0,,C. Anthony makes 2-pt jump shot from 14 ft,5,6
14,1,8:57.0,R. Anderson misses 3-pt jump shot from 22 ft,,5,6
15,1,8:56.0,Offensive rebound by D. Cunningham,,5,6
16,1,8:51.0,E. Gordon misses 3-pt jump shot from 25 ft,,5,6
17,1,8:50.0,,Defensive rebound by Team,5,6
18,1,8:35.0,,C. Anthony misses 2-pt jump shot from 16 ft,5,6
19,1,8:34.0,Defensive rebound by T. Evans,,5,6
20,1,8:25.0,T. Evans misses 2-pt layup at rim,,5,6
21,1,8:24.0,,Defensive rebound by L. Galloway,5,6
22,1,8:17.0,,J. Calderón misses 3-pt jump shot from 24 ft,5,6
23,1,8:16.0,Defensive rebound by D. Cunningham,,5,6
24,1,7:54.0,R. Anderson misses 2-pt layup from 2 ft,,5,6
25,1,7:53.0,,Defensive rebound by C. Anthony,5,6
26,1,7:42.0,,L. Amundson misses 2-pt jump shot from 7 ft,5,6
27,1,7:41.0,Defensive rebound by Ö. Aşık,,5,6
28,1,7:36.0,Personal block foul by J. Calderón (drawn by T. Evans),,5,6
29,1,7:31.0,R. Anderson misses 3-pt jump shot from 25 ft,,5,6
30,1,7:30.0,,Defensive rebound by J. Calderón,5,6
31,1,7:23.0,,C. Anthony misses 3-pt jump shot from 25 ft,5,6
32,1,7:22.0,Defensive rebound by Ö. Aşık,,5,6
33,1,7:05.0,Turnover by T. Evans (step out of bounds),,5,6
34,1,6:54.0,,J. Calderón misses 2-pt jump shot from 20 ft,5,6
35,1,6:53.0,Defensive rebound by Ö. Aşık,,5,6
36,1,6:35.0,E. Gordon misses 2-pt jump shot from 7 ft,,5,6
37,1,6:34.0,,Defensive rebound by C. Anthony,5,6
38,1,6:22.0,,L. Galloway makes 2-pt jump shot from 20 ft,5,8
39,1,6:21.0,New Orleans full timeout,,5,8
40,1,6:01.0,Ö. Aşık misses 2-pt layup from 1 ft (block by C. Anthony),,5,8
41,1,6:00.0,Offensive rebound by Ö. Aşık,,5,8
42,1,5:59.0,Ö. Aşık misses 2-pt layup from 1 ft (block by C. Anthony),,5,8
43,1,5:58.0,,Defensive rebound by C. Anthony,5,8
44,1,5:49.0,,C. Anthony makes 3-pt jump shot from 24 ft,5,11
45,1,5:30.0,R. Anderson makes 3-pt jump shot from 24 ft (assist by E. Gordon),,8,11
46,1,5:17.0,,L. Galloway misses 3-pt jump shot from 25 ft,8,11
47,1,5:16.0,Defensive rebound by Ö. Aşık,,8,11
48,1,5:11.0,Shooting foul by L. Amundson (drawn by T. Evans),,8,11
49,1,5:11.0,T. Evans makes free throw 1 of 2,,9,11
50,1,5:11.0,,A. Stoudemire enters the game for L. Amundson,9,11
51,1,5:11.0,,T. Hardaway enters the game for L. Galloway,9,11
52,1,5:11.0,Q. Pondexter enters the game for D. Cunningham,,9,11
53,1,5:11.0,A. Ajinça enters the game for Ö. Aşık,,9,11
54,1,5:11.0,T. Evans misses free throw 2 of 2,,9,11
55,1,5:10.0,,Defensive rebound by T. Hardaway,9,11
56,1,4:50.0,,J. Calderón misses 2-pt jump shot from 21 ft,9,11
57,1,4:49.0,,Offensive rebound by A. Stoudemire,9,11
58,1,4:44.0,,A. Stoudemire makes 2-pt layup from 1 ft,9,13
59,1,4:24.0,E. Gordon misses 2-pt jump shot from 5 ft,,9,13
60,1,4:23.0,,Defensive rebound by A. Stoudemire,9,13
61,1,4:02.0,,C. Anthony makes 3-pt jump shot from 25 ft,9,16
62,1,4:02.0,,Shooting foul by Q. Pondexter (drawn by C. Anthony),9,16
63,1,4:02.0,,C. Anthony misses free throw 1 of 1,9,16
64,1,4:01.0,Defensive rebound by A. Ajinça,,9,16
65,1,3:49.0,A. Ajinça misses 2-pt jump shot from 16 ft,,9,16
66,1,3:48.0,Offensive rebound by A. Ajinça,,9,16
67,1,3:34.0,R. Anderson misses 3-pt jump shot from 23 ft,,9,16
68,1,3:33.0,,Defensive rebound by A. Stoudemire,9,16
69,1,3:24.0,,C. Anthony makes 2-pt layup from 1 ft,9,18
70,1,3:08.0,R. Anderson misses 2-pt layup from 2 ft (block by A. Stoudemire),,9,18
71,1,3:07.0,Offensive rebound by A. Ajinça,,9,18
72,1,3:06.0,A. Ajinça misses flagrant free throw 1 of 2,,9,18
73,1,3:06.0,Offensive rebound by Team,,9,18
74,1,3:06.0,A. Ajinça misses flagrant free throw 2 of 2,,9,18
75,1,3:06.0,Offensive rebound by Team,,9,18
76,1,3:06.0,J. Fredette enters the game for T. Evans,,9,18
77,1,3:06.0,,S. Larkin enters the game for J. Calderón,9,18
78,1,2:56.0,A. Ajinça misses 2-pt jump shot from 18 ft,,9,18
79,1,2:55.0,,Defensive rebound by S. Larkin,9,18
80,1,2:51.0,,Personal foul by A. Ajinça (drawn by A. Stoudemire),9,18
81,1,2:51.0,,New York full timeout,9,18
82,1,2:51.0,,L. Thomas enters the game for J. Smith,9,18
83,1,2:34.0,,L. Thomas makes 2-pt hook shot from 8 ft,9,20
84,1,2:15.0,E. Gordon makes 2-pt jump shot from 4 ft,,11,20
85,1,1:59.0,,S. Larkin makes 2-pt layup at rim,11,22
86,1,1:37.0,E. Gordon makes 3-pt jump shot from 25 ft (assist by J. Fredette),,14,22
87,1,1:22.0,,Personal foul by J. Fredette (drawn by T. Hardaway),14,22
88,1,1:22.0,,T. Wear enters the game for C. Anthony,14,22
89,1,1:12.0,,T. Hardaway misses 3-pt jump shot from 27 ft,14,22
90,1,1:11.0,,Offensive rebound by A. Stoudemire,14,22
91,1,0:57.0,,Turnover by T. Wear (traveling),14,22
92,1,0:33.0,R. Anderson misses 3-pt jump shot from 23 ft,,14,22
93,1,0:33.0,Offensive rebound by Team,,14,22
94,1,0:33.0,Turnover by Team (shot clock),,14,22
95,1,0:14.0,,A. Stoudemire misses 2-pt layup from 2 ft,14,22
96,1,0:13.0,Defensive rebound by J. Fredette,,14,22
97,1,0:03.0,E. Gordon makes 2-pt layup at rim,,16,22
98,1,0:01.0,,A. Stoudemire misses 3-pt jump shot from 39 ft,16,22
99,1,0:00.0,,Offensive rebound by Team,16,22
100,2,11:49.0,Turnover by A. Ajinça (traveling),,16,22
101,2,11:30.0,,A. Stoudemire makes 2-pt jump shot from 8 ft (assist by S. Larkin),16,24
102,2,11:03.0,J. Fredette makes 2-pt jump shot from 10 ft,,18,24
103,2,10:48.0,,S. Larkin misses 2-pt layup from 3 ft,18,24
104,2,10:47.0,Defensive rebound by Ö. Aşık,,18,24
105,2,10:38.0,J. Fredette misses 2-pt jump shot from 8 ft,,18,24
106,2,10:37.0,Offensive rebound by Team,,18,24
107,2,10:25.0,Shooting foul by T. Wear (drawn by Q. Pondexter),,18,24
108,2,10:25.0,Q. Pondexter makes free throw 1 of 3,,19,24
109,2,10:25.0,Q. Pondexter makes free throw 2 of 3,,20,24
110,2,10:25.0,Q. Pondexter makes free throw 3 of 3,,21,24
111,2,10:10.0,,A. Stoudemire makes 2-pt dunk at rim (assist by T. Hardaway),21,26
112,2,9:53.0,J. Fredette makes 2-pt jump shot from 4 ft,,23,26
113,2,9:41.0,,Personal foul by T. Evans (drawn by T. Hardaway),23,26
114,2,9:35.0,,T. Hardaway misses 3-pt jump shot from 24 ft,23,26
115,2,9:34.0,Defensive rebound by A. Ajinça,,23,26
116,2,9:27.0,J. Fredette misses 3-pt jump shot from 25 ft,,23,26
117,2,9:26.0,,Defensive rebound by T. Hardaway,23,26
118,2,9:10.0,,A. Stoudemire makes 2-pt hook shot from 9 ft,23,28
119,2,8:54.0,Official timeout,,23,28
120,2,8:54.0,,J. Smith enters the game for T. Wear,23,28
121,2,8:45.0,T. Evans misses 2-pt jump shot from 22 ft,,23,28
122,2,8:44.0,Offensive rebound by A. Ajinça,,23,28
123,2,8:43.0,Turnover by Team (shot clock),,23,28
124,2,8:28.0,,J. Smith makes 2-pt jump shot from 19 ft (assist by S. Larkin),23,30
125,2,8:04.0,A. Ajinça misses 2-pt hook shot from 11 ft,,23,30
126,2,8:03.0,,Defensive rebound by L. Thomas,23,30
127,2,7:43.0,,T. Hardaway makes 3-pt jump shot from 24 ft (assist by J. Smith),23,33
128,2,7:26.0,J. Fredette makes 2-pt jump shot from 21 ft (assist by A. Ajinça),,25,33
129,2,7:11.0,,S. Larkin makes 2-pt layup from 1 ft (assist by J. Smith),25,35
130,2,6:52.0,Turnover by Ö. Aşık (traveling),,25,35
131,2,6:52.0,,L. Amundson enters the game for A. Stoudemire,25,35
132,2,6:52.0,,C. Anthony enters the game for S. Larkin,25,35
133,2,6:52.0,,L. Galloway enters the game for L. Thomas,25,35
134,2,6:52.0,R. Anderson enters the game for Q. Pondexter,,25,35
135,2,6:52.0,D. Cunningham enters the game for A. Ajinça,,25,35
136,2,6:52.0,E. Gordon enters the game for J. Fredette,,25,35
137,2,6:38.0,,Personal foul by E. Gordon (drawn by L. Galloway),25,35
138,2,6:31.0,,L. Amundson makes 2-pt dunk at rim (assist by L. Galloway),25,37
139,2,6:07.0,E. Gordon makes 2-pt hook shot from 3 ft,,27,37
140,2,5:55.0,,Turnover by L. Galloway (bad pass; steal by T. Evans),27,37
