,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,MILWAUKEE_ACTION,BROOKLYN_SCORE,MILWAUKEE_SCORE
0,1,11:46.0,,Z. Pachulia misses 2-pt jump shot from 15 ft,0,0
1,1,11:45.0,Defensive rebound by B. Lopez,,0,0
2,1,11:24.0,J. Johnson makes 2-pt hook shot from 3 ft,,2,0
3,1,11:00.0,,G. Antetokounmpo makes 2-pt jump shot from 17 ft (assist by Z. Pachulia),2,2
4,1,10:46.0,B. Lopez misses 2-pt jump shot from 18 ft,,2,2
5,1,10:45.0,,Defensive rebound by M. Carter-Williams,2,2
6,1,10:35.0,,E. İlyasova makes 3-pt jump shot from 25 ft (assist by M. Carter-Williams),2,5
7,1,10:15.0,T. Young makes 2-pt layup from 1 ft,,4,5
8,1,10:02.0,,E. İlyasova misses 3-pt jump shot from 24 ft,4,5
9,1,10:01.0,Defensive rebound by J. Johnson,,4,5
10,1,9:50.0,T. Young misses 2-pt layup at rim,,4,5
11,1,9:47.0,,Defensive rebound by G. Antetokounmpo,4,5
12,1,9:36.0,,E. İlyasova makes 3-pt jump shot from 24 ft (assist by G. Antetokounmpo),4,8
13,1,9:21.0,D. Williams misses 2-pt layup at rim,,4,8
14,1,9:19.0,Offensive rebound by D. Williams,,4,8
15,1,9:15.0,Shooting foul by M. Carter-Williams (drawn by B. Lopez),,4,8
16,1,9:15.0,B. Lopez makes free throw 1 of 2,,5,8
17,1,9:15.0,B. Lopez makes free throw 2 of 2,,6,8
18,1,8:57.0,,G. Antetokounmpo misses 2-pt jump shot from 9 ft,6,8
19,1,8:55.0,Defensive rebound by D. Williams,,6,8
20,1,8:33.0,J. Johnson makes 2-pt layup at rim,,8,8
21,1,8:11.0,,E. İlyasova misses 2-pt jump shot from 20 ft,8,8
22,1,8:10.0,Defensive rebound by J. Johnson,,8,8
23,1,8:00.0,D. Williams makes 2-pt jump shot from 5 ft,,10,8
24,1,7:50.0,,K. Middleton makes 2-pt jump shot from 15 ft (assist by M. Carter-Williams),10,10
25,1,7:35.0,Turnover by D. Williams (lost ball; steal by M. Carter-Williams),,10,10
26,1,7:26.0,,G. Antetokounmpo misses 2-pt hook shot from 6 ft,10,10
27,1,7:25.0,Defensive rebound by J. Johnson,,10,10
28,1,7:10.0,T. Young misses 2-pt jump shot from 3 ft (block by M. Carter-Williams),,10,10
29,1,7:08.0,Offensive rebound by B. Lopez,,10,10
30,1,7:08.0,B. Lopez misses 2-pt tip-in at rim,,10,10
31,1,7:08.0,Offensive rebound by B. Lopez,,10,10
32,1,7:08.0,B. Lopez makes 2-pt layup at rim,,12,10
33,1,7:08.0,Shooting foul by G. Antetokounmpo (drawn by B. Lopez),,12,10
34,1,7:08.0,B. Lopez makes free throw 1 of 1,,13,10
35,1,6:51.0,,Turnover by E. İlyasova (lost ball; steal by D. Williams),13,10
36,1,6:49.0,Shooting foul by G. Antetokounmpo (drawn by D. Williams),,13,10
37,1,6:49.0,D. Williams makes free throw 1 of 2,,14,10
38,1,6:49.0,,J. Dudley enters the game for G. Antetokounmpo,14,10
39,1,6:49.0,D. Williams makes free throw 2 of 2,,15,10
40,1,6:31.0,,K. Middleton makes 2-pt jump shot from 14 ft,15,12
41,1,6:20.0,D. Williams misses 3-pt jump shot from 26 ft,,15,12
42,1,6:19.0,,Defensive rebound by E. İlyasova,15,12
43,1,6:05.0,,M. Carter-Williams makes 2-pt layup from 1 ft (assist by K. Middleton),15,14
44,1,5:50.0,T. Young misses 2-pt jump shot from 16 ft,,15,14
45,1,5:49.0,,Defensive rebound by Z. Pachulia,15,14
46,1,5:44.0,,Personal foul by M. Brown (drawn by K. Middleton),15,14
47,1,5:44.0,,Milwaukee full timeout,15,14
48,1,5:28.0,,K. Middleton makes 2-pt jump shot from 18 ft,15,16
49,1,5:01.0,B. Lopez misses 2-pt jump shot from 18 ft,,15,16
50,1,5:00.0,,Defensive rebound by M. Carter-Williams,15,16
51,1,4:49.0,,E. İlyasova makes 2-pt layup at rim (assist by M. Carter-Williams),15,18
52,1,4:32.0,B. Lopez makes 2-pt jump shot from 6 ft (assist by D. Williams),,17,18
53,1,4:16.0,,Turnover by Z. Pachulia (bad pass; steal by M. Brown),17,18
54,1,4:08.0,D. Williams misses 3-pt jump shot from 25 ft,,17,18
55,1,4:06.0,,Defensive rebound by Z. Pachulia,17,18
56,1,3:57.0,,M. Carter-Williams misses 2-pt jump shot from 19 ft,17,18
57,1,3:49.0,Defensive rebound by T. Young,,17,18
58,1,3:46.0,T. Young makes 2-pt dunk at rim (assist by D. Williams),,19,18
59,1,3:26.0,,Z. Pachulia makes 2-pt jump shot from 15 ft (assist by K. Middleton),19,20
60,1,3:08.0,D. Williams misses 3-pt jump shot from 23 ft,,19,20
61,1,3:07.0,,Defensive rebound by J. Dudley,19,20
62,1,2:55.0,,E. İlyasova misses 3-pt jump shot from 25 ft,19,20
63,1,2:54.0,Defensive rebound by J. Johnson,,19,20
64,1,2:48.0,Shooting foul by E. İlyasova (drawn by B. Lopez),,19,20
65,1,2:48.0,Brooklyn full timeout,,19,20
66,1,2:48.0,,O. Mayo enters the game for E. İlyasova,19,20
67,1,2:48.0,,J. Henson enters the game for Z. Pachulia,19,20
68,1,2:48.0,B. Bogdanović enters the game for M. Brown,,19,20
69,1,2:48.0,B. Lopez makes free throw 1 of 2,,20,20
70,1,2:48.0,M. Brown enters the game for J. Johnson,,20,20
