,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,BROOKLYN_ACTION,PHILADELPHIA_SCORE,BROOKLYN_SCORE
0,1,11:50.0,,Turnover by B. Lopez (bad pass; steal by L. Mbah a Moute),0,0
1,1,11:37.0,H. Sims misses 2-pt jump shot from 16 ft,,0,0
2,1,11:36.0,,Defensive rebound by J. Jack,0,0
3,1,11:25.0,,B. Lopez makes 2-pt dunk at rim (assist by J. Jack),0,2
4,1,11:06.0,R. Covington makes 3-pt jump shot from 22 ft (assist by M. Carter-Williams),,3,2
5,1,10:46.0,,M. Plumlee misses 2-pt hook shot from 4 ft,3,2
6,1,10:45.0,Defensive rebound by M. Carter-Williams,,3,2
7,1,10:44.0,Personal foul by M. Plumlee (drawn by M. Carter-Williams),,3,2
8,1,10:31.0,N. Noel makes 2-pt dunk at rim (assist by M. Carter-Williams),,5,2
9,1,10:21.0,,J. Jack makes 2-pt jump shot from 6 ft,5,4
10,1,10:08.0,M. Carter-Williams misses 2-pt jump shot from 18 ft,,5,4
11,1,10:07.0,,Defensive rebound by J. Johnson,5,4
12,1,10:00.0,,J. Jack misses 2-pt jump shot from 16 ft,5,4
13,1,9:59.0,Defensive rebound by H. Sims,,5,4
14,1,9:46.0,N. Noel makes 2-pt hook shot from 6 ft,,7,4
15,1,9:29.0,,B. Lopez makes 2-pt jump shot from 17 ft (assist by J. Jack),7,6
16,1,9:16.0,Personal foul by B. Lopez (drawn by M. Carter-Williams),,7,6
17,1,9:02.0,L. Mbah a Moute makes 3-pt jump shot from 25 ft (assist by H. Sims),,10,6
18,1,8:44.0,,J. Jack makes 2-pt jump shot from 11 ft,10,8
19,1,8:30.0,H. Sims misses 2-pt jump shot from 19 ft,,10,8
20,1,8:29.0,,Defensive rebound by J. Jack,10,8
21,1,8:20.0,,M. Plumlee makes 2-pt layup from 1 ft (assist by J. Jack),10,10
22,1,8:04.0,N. Noel makes 2-pt jump shot from 12 ft,,12,10
23,1,7:45.0,,S. Karasev makes 2-pt jump shot from 12 ft (assist by J. Jack),12,12
24,1,7:26.0,H. Sims misses 2-pt jump shot from 17 ft,,12,12
25,1,7:25.0,,Defensive rebound by M. Plumlee,12,12
26,1,7:18.0,,Turnover by J. Jack (bad pass; steal by R. Covington),12,12
27,1,7:12.0,Turnover by M. Carter-Williams (bad pass),,12,12
28,1,6:50.0,,B. Lopez makes 2-pt jump shot from 20 ft (assist by J. Johnson),12,14
29,1,6:30.0,H. Sims misses 2-pt hook shot from 6 ft,,12,14
30,1,6:30.0,,Defensive rebound by M. Plumlee,12,14
31,1,6:23.0,,Shooting foul by M. Carter-Williams (drawn by J. Jack),12,14
32,1,6:23.0,,J. Jack makes free throw 1 of 2,12,15
33,1,6:23.0,,J. Jack makes free throw 2 of 2,12,16
34,1,6:23.0,Philadelphia full timeout,,12,16
35,1,6:23.0,F. Aldemir enters the game for H. Sims,,12,16
36,1,6:05.0,R. Covington makes 2-pt jump shot from 17 ft (assist by F. Aldemir),,14,16
37,1,5:50.0,,S. Karasev misses 3-pt jump shot from 24 ft,14,16
38,1,5:49.0,,Offensive rebound by Team,14,16
39,1,5:49.0,Loose ball foul by F. Aldemir (drawn by M. Plumlee),,14,16
40,1,5:49.0,K. McDaniels enters the game for R. Covington,,14,16
41,1,5:40.0,,B. Lopez misses 2-pt jump shot from 6 ft,14,16
42,1,5:39.0,,Offensive rebound by M. Plumlee,14,16
43,1,5:38.0,,M. Plumlee makes 2-pt tip-in from 1 ft,14,18
44,1,5:26.0,M. Carter-Williams misses 2-pt layup at rim (block by B. Lopez),,14,18
45,1,5:25.0,,Defensive rebound by B. Lopez,14,18
46,1,5:19.0,,J. Johnson makes 3-pt jump shot from 23 ft (assist by J. Jack),14,21
47,1,5:04.0,Turnover by F. Aldemir (bad pass; steal by S. Karasev),,14,21
48,1,5:00.0,,Shooting foul by K. McDaniels (drawn by M. Plumlee),14,21
49,1,5:00.0,,M. Plumlee makes free throw 1 of 2,14,22
50,1,5:00.0,M. Thomas enters the game for N. Noel,,14,22
51,1,5:00.0,,M. Plumlee misses free throw 2 of 2,14,22
52,1,4:59.0,Defensive rebound by M. Thomas,,14,22
53,1,4:43.0,Turnover by K. McDaniels (bad pass; steal by S. Karasev),,14,22
54,1,4:43.0,,Turnover by S. Karasev (bad pass; steal by M. Carter-Williams),14,22
55,1,4:42.0,,Loose ball foul by S. Karasev (drawn by M. Carter-Williams),14,22
56,1,4:35.0,Shooting foul by B. Lopez (drawn by M. Carter-Williams),,14,22
57,1,4:35.0,M. Carter-Williams makes free throw 1 of 2,,15,22
58,1,4:35.0,M. Carter-Williams misses free throw 2 of 2,,15,22
59,1,4:34.0,,Defensive rebound by J. Johnson,15,22
60,1,4:10.0,,B. Lopez misses 2-pt jump shot from 16 ft,15,22
61,1,4:08.0,Defensive rebound by M. Carter-Williams,,15,22
62,1,4:02.0,L. Mbah a Moute misses 3-pt jump shot from 23 ft,,15,22
63,1,4:01.0,,Defensive rebound by M. Plumlee,15,22
64,1,3:55.0,,Shooting foul by F. Aldemir (drawn by M. Plumlee),15,22
65,1,3:55.0,,M. Plumlee makes free throw 1 of 2,15,23
66,1,3:55.0,T. Wroten enters the game for M. Carter-Williams,,15,23
67,1,3:55.0,J. Grant enters the game for L. Mbah a Moute,,15,23
68,1,3:55.0,Violation by T. Wroten (lane),,15,23
69,1,3:55.0,,M. Teletović enters the game for B. Lopez,15,23
70,1,3:55.0,,M. Plumlee misses free throw 2 of 2,15,23
71,1,3:53.0,Defensive rebound by M. Thomas,,15,23
72,1,3:45.0,K. McDaniels makes 2-pt jump shot from 8 ft,,17,23
73,1,3:45.0,Shooting foul by S. Karasev (drawn by K. McDaniels),,17,23
74,1,3:45.0,J. Sampson enters the game for F. Aldemir,,17,23
75,1,3:45.0,,A. Anderson enters the game for S. Karasev,17,23
76,1,3:45.0,K. McDaniels makes free throw 1 of 1,,18,23
77,1,3:24.0,,J. Johnson makes 2-pt jump shot from 5 ft (assist by A. Anderson),18,25
78,1,3:07.0,J. Sampson makes 2-pt layup at rim (assist by K. McDaniels),,20,25
79,1,2:52.0,,M. Teletović misses 3-pt jump shot from 24 ft,20,25
80,1,2:51.0,Defensive rebound by K. McDaniels,,20,25
81,1,2:30.0,K. McDaniels makes 3-pt jump shot from 25 ft (assist by T. Wroten),,23,25
82,1,2:18.0,,Personal foul by J. Sampson (drawn by M. Plumlee),23,25
83,1,2:18.0,,Brooklyn full timeout,23,25
84,1,2:18.0,,M. Plumlee makes free throw 1 of 2,23,26
85,1,2:18.0,,M. Plumlee makes free throw 2 of 2,23,27
86,1,2:04.0,K. McDaniels misses 2-pt jump shot from 11 ft,,23,27
87,1,2:03.0,,Defensive rebound by M. Plumlee,23,27
88,1,1:46.0,,M. Teletović makes 3-pt jump shot from 25 ft (assist by J. Jack),23,30
89,1,1:33.0,J. Sampson misses 2-pt layup from 1 ft (block by M. Teletović),,23,30
90,1,1:31.0,,Defensive rebound by M. Teletović,23,30
91,1,1:25.0,,M. Teletović misses 3-pt jump shot from 24 ft,23,30
92,1,1:23.0,Defensive rebound by J. Sampson,,23,30
93,1,1:12.0,Offensive foul by M. Thomas (drawn by A. Anderson),,23,30
94,1,1:12.0,Turnover by M. Thomas (offensive foul),,23,30
95,1,0:50.0,,A. Anderson misses 3-pt jump shot from 23 ft (block by T. Wroten),23,30
96,1,0:49.0,,Offensive rebound by Team,23,30
97,1,0:48.0,,Turnover by J. Johnson (bad pass; steal by T. Wroten),23,30
98,1,0:37.0,M. Thomas misses 2-pt hook shot from 4 ft,,23,30
99,1,0:36.0,,Defensive rebound by J. Johnson,23,30
100,1,0:24.0,,J. Johnson makes 2-pt jump shot from 14 ft,23,32
101,1,0:01.0,J. Grant misses 2-pt jump shot from 10 ft,,23,32
102,1,0:00.0,Offensive rebound by Team,,23,32
103,2,11:38.0,Personal foul by M. Teletović (drawn by H. Sims),,23,32
104,2,11:29.0,T. Wroten misses 2-pt layup from 3 ft,,23,32
105,2,11:28.0,Offensive rebound by H. Sims,,23,32
106,2,11:26.0,H. Sims makes 2-pt layup from 1 ft,,25,32
107,2,11:14.0,,B. Bogdanović makes 2-pt layup from 1 ft (assist by D. Morris),25,34
108,2,10:56.0,L. Mbah a Moute makes 2-pt layup from 1 ft (assist by T. Wroten),,27,34
109,2,10:40.0,,A. Anderson makes 2-pt layup from 2 ft (assist by D. Morris),27,36
110,2,10:19.0,L. Mbah a Moute makes 2-pt jump shot from 20 ft (assist by H. Sims),,29,36
111,2,9:58.0,,Turnover by M. Teletović (lost ball; steal by T. Wroten),29,36
112,2,9:53.0,,Violation by M. Teletović (def goaltending),29,36
113,2,9:53.0,T. Wroten makes 2-pt layup from 2 ft,,31,36
114,2,9:39.0,,M. Teletović misses 3-pt jump shot from 24 ft,31,36
115,2,9:38.0,Defensive rebound by K. McDaniels,,31,36
116,2,9:20.0,R. Covington misses 3-pt jump shot from 24 ft,,31,36
117,2,9:19.0,,Defensive rebound by Team,31,36
118,2,9:19.0,M. Carter-Williams enters the game for K. McDaniels,,31,36
119,2,8:55.0,,B. Bogdanović misses 2-pt jump shot from 22 ft,31,36
120,2,8:54.0,Defensive rebound by Team,,31,36
121,2,8:54.0,Official timeout,,31,36
122,2,8:39.0,L. Mbah a Moute misses 2-pt layup from 3 ft (block by B. Lopez),,31,36
123,2,8:37.0,Offensive rebound by H. Sims,,31,36
124,2,8:35.0,H. Sims makes 2-pt hook shot from 6 ft,,33,36
125,2,8:13.0,,B. Lopez makes 2-pt hook shot from 5 ft,33,38
126,2,7:58.0,Turnover by R. Covington (traveling),,33,38
127,2,7:38.0,,B. Lopez misses 2-pt jump shot from 21 ft,33,38
128,2,7:37.0,Defensive rebound by L. Mbah a Moute,,33,38
129,2,7:29.0,H. Sims misses 2-pt jump shot from 15 ft,,33,38
130,2,7:28.0,,Defensive rebound by M. Teletović,33,38
131,2,7:22.0,,B. Lopez misses 2-pt layup from 2 ft,33,38
132,2,7:21.0,Defensive rebound by R. Covington,,33,38
