,QUARTER,TIME_REMAINING,PHOENIX_ACTION,NEW ORLEANS_ACTION,PHOENIX_SCORE,NEW ORLEANS_SCORE
42,1,7:45.0,P. Tucker makes 2-pt jump shot from 9 ft,,4,4
43,1,7:29.0,,L. Babbitt makes 3-pt jump shot from 23 ft (assist by J. Holiday),4,7
44,1,7:18.0,E. Bledsoe misses 3-pt jump shot from 26 ft,,4,7
45,1,7:17.0,,Defensive rebound by T. Evans,4,7
46,1,7:05.0,,J. Holiday misses 2-pt layup from 2 ft (block by E. Bledsoe),4,7
47,1,7:05.0,,Offensive rebound by Team,4,7
48,1,6:59.0,,T. Evans makes 2-pt layup from 2 ft,4,9
49,1,6:46.0,M. Morris makes 2-pt layup from 1 ft,,6,9
50,1,6:34.0,,A. Davis makes 2-pt jump shot from 20 ft (assist by T. Evans),6,11
51,1,6:19.0,M. Morris misses 2-pt jump shot from 3 ft,,6,11
52,1,6:16.0,,Defensive rebound by L. Babbitt,6,11
53,1,6:02.0,,T. Evans makes 3-pt jump shot from 26 ft,6,14
54,1,5:41.0,G. Dragić misses 2-pt jump shot from 11 ft,,6,14
55,1,5:40.0,Offensive rebound by E. Bledsoe,,6,14
56,1,5:39.0,E. Bledsoe makes 2-pt layup from 2 ft,,8,14
57,1,5:24.0,,T. Evans makes 2-pt layup from 1 ft,8,16
58,1,5:14.0,G. Dragić misses 2-pt jump shot from 15 ft,,8,16
59,1,5:13.0,,Defensive rebound by J. Holiday,8,16
60,1,5:10.0,,Personal foul by G. Dragić (drawn by A. Davis),8,16
61,1,5:10.0,,New Orleans full timeout,8,16
62,1,4:56.0,,T. Evans misses 2-pt layup from 2 ft (block by E. Bledsoe),8,16
63,1,4:54.0,Defensive rebound by E. Bledsoe,,8,16
64,1,4:50.0,Turnover by E. Bledsoe (bad pass; steal by T. Evans),,8,16
65,1,4:40.0,,Personal foul by M. Morris (drawn by A. Davis),8,16
66,1,4:40.0,,A. Davis makes free throw 1 of 2,8,17
67,1,4:40.0,G. Green enters the game for E. Bledsoe,,8,17
68,1,4:40.0,,R. Anderson enters the game for Ö. Aşık,8,17
69,1,4:40.0,,D. Cunningham enters the game for L. Babbitt,8,17
70,1,4:40.0,,A. Davis makes free throw 2 of 2,8,18
71,1,4:22.0,G. Dragić makes 2-pt layup from 2 ft,,10,18
72,1,4:11.0,,Shooting foul by M. Morris (drawn by J. Holiday),10,18
73,1,4:11.0,,J. Holiday makes free throw 1 of 2,10,19
74,1,4:11.0,M. Morris enters the game for M. Morris,,10,19
75,1,4:11.0,,J. Holiday makes free throw 2 of 2,10,20
76,1,4:00.0,G. Dragić makes 2-pt dunk at rim,,12,20
77,1,3:48.0,,T. Evans makes 2-pt layup at rim (assist by J. Holiday),12,22
78,1,3:27.0,M. Plumlee misses 2-pt hook shot at rim,,12,22
79,1,3:26.0,,Defensive rebound by T. Evans,12,22
80,1,3:20.0,,D. Cunningham makes 2-pt layup from 2 ft (assist by A. Davis),12,24
81,1,3:09.0,M. Morris misses 3-pt jump shot from 24 ft,,12,24
82,1,3:07.0,Offensive rebound by G. Dragić,,12,24
83,1,3:04.0,,A. Rivers enters the game for J. Holiday,12,24
84,1,2:59.0,G. Green misses 2-pt jump shot from 12 ft,,12,24
85,1,2:58.0,,Defensive rebound by A. Davis,12,24
86,1,2:53.0,,Shooting foul by G. Green (drawn by T. Evans),12,24
87,1,2:53.0,Phoenix full timeout,,12,24
88,1,2:53.0,I. Thomas enters the game for P. Tucker,,12,24
89,1,2:53.0,,T. Evans misses free throw 1 of 2,12,24
90,1,2:53.0,,Offensive rebound by Team,12,24
91,1,2:53.0,,T. Evans makes free throw 2 of 2,12,25
92,1,2:37.0,G. Green makes 3-pt jump shot from 24 ft (assist by M. Plumlee),,15,25
93,1,2:15.0,,R. Anderson makes 2-pt jump shot from 3 ft,15,27
94,1,1:58.0,G. Dragić misses 2-pt layup from 2 ft,,15,27
95,1,1:56.0,,Defensive rebound by T. Evans,15,27
96,1,1:51.0,,T. Evans makes 2-pt layup from 1 ft,15,29
97,1,1:39.0,G. Green makes 2-pt layup from 2 ft (assist by I. Thomas),,17,29
98,1,1:22.0,,Turnover by R. Anderson (lost ball; steal by M. Morris),17,29
99,1,1:16.0,G. Dragić makes 2-pt layup from 2 ft (assist by M. Plumlee),,19,29
100,1,0:50.0,,A. Rivers misses 2-pt jump shot from 3 ft,19,29
101,1,0:50.0,,Offensive rebound by A. Davis,19,29
102,1,0:50.0,,A. Davis makes 2-pt dunk at rim,19,31
103,1,0:41.0,I. Thomas makes 3-pt jump shot from 24 ft (assist by G. Dragić),,22,31
104,1,0:29.0,,A. Rivers misses 2-pt layup from 2 ft (block by M. Plumlee),22,31
105,1,0:27.0,Defensive rebound by G. Green,,22,31
106,1,0:09.0,M. Morris makes 3-pt jump shot from 25 ft (assist by G. Green),,25,31
107,1,0:02.0,,T. Evans misses 3-pt jump shot from 25 ft,25,31
108,1,0:01.0,,Offensive rebound by A. Davis,25,31
109,2,11:46.0,M. Plumlee makes 2-pt dunk at rim (assist by G. Green),,27,31
110,2,11:31.0,,Turnover by R. Anderson (lost ball; steal by E. Bledsoe),27,31
111,2,11:27.0,Shooting foul by A. Rivers (drawn by E. Bledsoe),,27,31
112,2,11:27.0,E. Bledsoe makes free throw 1 of 2,,28,31
113,2,11:27.0,E. Bledsoe makes free throw 2 of 2,,29,31
114,2,11:03.0,,R. Anderson makes 2-pt layup from 2 ft (assist by J. Fredette),29,33
115,2,10:43.0,G. Green makes 2-pt jump shot from 13 ft,,31,33
116,2,10:25.0,,Shooting foul by M. Plumlee (drawn by R. Anderson),31,33
117,2,10:25.0,,R. Anderson misses free throw 1 of 2,31,33
118,2,10:25.0,,Offensive rebound by Team,31,33
119,2,10:25.0,,R. Anderson misses free throw 2 of 2,31,33
120,2,10:23.0,Defensive rebound by G. Green,,31,33
121,2,10:07.0,I. Thomas misses 2-pt jump shot from 11 ft,,31,33
122,2,10:05.0,Offensive rebound by M. Plumlee,,31,33
123,2,10:05.0,M. Plumlee misses 2-pt tip-in from 2 ft,,31,33
124,2,10:02.0,,Defensive rebound by Ö. Aşık,31,33
125,2,9:52.0,,Ö. Aşık makes 2-pt layup from 2 ft (assist by A. Rivers),31,35
126,2,9:35.0,E. Bledsoe misses 2-pt layup from 2 ft,,31,35
127,2,9:35.0,,Defensive rebound by A. Rivers,31,35
128,2,9:35.0,Loose ball foul by M. Morris (drawn by A. Rivers),,31,35
129,2,9:19.0,,J. Fredette makes 2-pt layup from 1 ft,31,37
130,2,9:07.0,G. Green makes 3-pt jump shot from 24 ft (assist by I. Thomas),,34,37
131,2,8:47.0,,R. Anderson makes 3-pt jump shot from 25 ft (assist by Ö. Aşık),34,40
132,2,8:32.0,G. Green misses 2-pt layup from 1 ft (block by Ö. Aşık),,34,40
133,2,8:30.0,,Defensive rebound by Ö. Aşık,34,40
