,QUARTER,TIME_REMAINING,PORTLAND_ACTION,INDIANA_ACTION,PORTLAND_SCORE,INDIANA_SCORE
0,1,11:40.0,,R. Hibbert makes 2-pt hook shot from 7 ft (assist by C. Watson),0,2
1,1,11:21.0,N. Batum misses 2-pt jump shot from 17 ft,,0,2
2,1,11:20.0,,Defensive rebound by R. Stuckey,0,2
3,1,11:05.0,,R. Hibbert misses 2-pt hook shot from 5 ft,0,2
4,1,11:04.0,Defensive rebound by L. Aldridge,,0,2
5,1,10:51.0,W. Matthews makes 2-pt layup from 2 ft,,2,2
6,1,10:51.0,Shooting foul by R. Hibbert (drawn by W. Matthews),,2,2
7,1,10:51.0,W. Matthews misses free throw 1 of 1,,2,2
8,1,10:50.0,,Defensive rebound by R. Hibbert,2,2
9,1,10:41.0,,D. West misses 2-pt jump shot from 20 ft,2,2
10,1,10:40.0,Defensive rebound by R. Lopez,,2,2
11,1,10:32.0,Turnover by N. Batum (bad pass; steal by D. West),,2,2
12,1,10:27.0,,S. Hill misses 2-pt layup at rim,2,2
13,1,10:26.0,Defensive rebound by D. Lillard,,2,2
14,1,10:20.0,L. Aldridge misses 2-pt jump shot from 16 ft,,2,2
15,1,10:19.0,,Defensive rebound by R. Hibbert,2,2
16,1,10:13.0,,Personal foul by R. Lopez (drawn by R. Hibbert),2,2
17,1,10:10.0,,R. Stuckey misses 2-pt jump shot from 16 ft,2,2
18,1,10:09.0,Defensive rebound by N. Batum,,2,2
19,1,9:58.0,W. Matthews misses 2-pt jump shot from 14 ft,,2,2
20,1,9:55.0,Offensive rebound by Team,,2,2
21,1,9:44.0,R. Lopez makes 2-pt hook shot from 8 ft (assist by L. Aldridge),,4,2
22,1,9:28.0,,C. Watson misses 2-pt layup from 2 ft (block by R. Lopez),4,2
23,1,9:26.0,,Offensive rebound by R. Hibbert,4,2
24,1,9:24.0,,Turnover by R. Hibbert (lost ball; steal by W. Matthews),4,2
25,1,9:15.0,W. Matthews misses 3-pt jump shot from 26 ft,,4,2
26,1,9:15.0,,Defensive rebound by D. West,4,2
27,1,8:57.0,,R. Hibbert makes 2-pt hook shot from 5 ft (assist by D. West),4,4
28,1,8:42.0,Personal foul by R. Stuckey (drawn by W. Matthews),,4,4
29,1,8:36.0,D. Lillard misses 2-pt jump shot from 10 ft,,4,4
30,1,8:34.0,,Defensive rebound by S. Hill,4,4
31,1,8:18.0,,C. Watson makes 3-pt jump shot from 26 ft (assist by S. Hill),4,7
32,1,8:00.0,L. Aldridge misses 2-pt layup from 3 ft,,4,7
33,1,7:58.0,Offensive rebound by Team,,4,7
34,1,7:45.0,L. Aldridge misses 2-pt jump shot from 11 ft,,4,7
35,1,7:44.0,Offensive rebound by N. Batum,,4,7
36,1,7:40.0,D. Lillard misses 3-pt jump shot from 25 ft,,4,7
37,1,7:39.0,,Defensive rebound by R. Stuckey,4,7
38,1,7:36.0,,R. Stuckey makes 2-pt layup from 3 ft,4,9
39,1,7:36.0,,Shooting foul by N. Batum (drawn by R. Stuckey),4,9
40,1,7:36.0,,R. Stuckey misses free throw 1 of 1,4,9
41,1,7:34.0,Defensive rebound by L. Aldridge,,4,9
42,1,7:23.0,L. Aldridge misses 2-pt jump shot from 20 ft,,4,9
43,1,7:22.0,,Defensive rebound by R. Stuckey,4,9
44,1,7:10.0,,Personal foul by W. Matthews (drawn by D. West),4,9
45,1,7:00.0,,D. West misses 2-pt jump shot from 15 ft,4,9
46,1,6:59.0,Defensive rebound by L. Aldridge,,4,9
47,1,6:50.0,L. Aldridge makes 3-pt jump shot from 25 ft (assist by D. Lillard),,7,9
48,1,6:32.0,,C. Watson makes 3-pt jump shot from 23 ft (assist by D. West),7,12
49,1,6:17.0,N. Batum makes 2-pt layup from 2 ft (assist by W. Matthews),,9,12
