,QUARTER,TIME_REMAINING,HOUSTON_ACTION,SAN ANTONIO_ACTION,HOUSTON_SCORE,SAN ANTONIO_SCORE
0,1,11:47.0,,T. Duncan makes 2-pt jump shot from 8 ft (assist by M. Belinelli),0,2
1,1,11:32.0,P. Beverley misses 2-pt jump shot from 3 ft (block by T. Splitter),,0,2
2,1,11:31.0,,Defensive rebound by T. Duncan,0,2
3,1,11:17.0,,T. Duncan makes 2-pt jump shot from 8 ft (assist by D. Green),0,4
4,1,11:07.0,Turnover by J. Harden (bad pass; steal by D. Green),,0,4
5,1,11:01.0,,C. Joseph makes 2-pt layup at rim (assist by M. Belinelli),0,6
6,1,10:43.0,T. Ariza makes 2-pt jump shot from 13 ft (assist by J. Harden),,2,6
7,1,10:22.0,,T. Splitter misses 2-pt jump shot from 4 ft,2,6
8,1,10:21.0,,Offensive rebound by T. Duncan,2,6
9,1,10:14.0,,D. Green makes 2-pt jump shot from 7 ft (assist by T. Splitter),2,8
10,1,10:02.0,Personal foul by T. Splitter (drawn by D. Howard),,2,8
11,1,9:47.0,P. Beverley makes 3-pt jump shot from 24 ft (assist by J. Smith),,5,8
12,1,9:25.0,,D. Green misses 3-pt jump shot from 25 ft,5,8
13,1,9:24.0,,Offensive rebound by C. Joseph,5,8
14,1,9:13.0,,T. Duncan misses 2-pt jump shot from 6 ft (block by D. Howard),5,8
15,1,9:12.0,,Offensive rebound by T. Splitter,5,8
16,1,9:12.0,,T. Splitter makes 2-pt tip-in from 1 ft,5,10
17,1,9:07.0,Houston full timeout,,5,10
18,1,8:55.0,J. Harden makes 3-pt jump shot from 26 ft (assist by T. Ariza),,8,10
19,1,8:41.0,,Turnover by D. Green (lost ball; steal by J. Smith),8,10
20,1,8:32.0,T. Ariza misses 2-pt jump shot from 18 ft,,8,10
21,1,8:31.0,,Defensive rebound by D. Green,8,10
22,1,8:22.0,,T. Duncan misses 2-pt jump shot from 17 ft,8,10
23,1,8:21.0,Defensive rebound by P. Beverley,,8,10
24,1,8:02.0,D. Howard makes 2-pt layup from 1 ft,,10,10
25,1,7:43.0,,M. Belinelli misses 3-pt jump shot from 25 ft,10,10
26,1,7:41.0,Defensive rebound by P. Beverley,,10,10
27,1,7:37.0,P. Beverley misses 2-pt jump shot from 3 ft,,10,10
28,1,7:36.0,,Defensive rebound by T. Duncan,10,10
29,1,7:28.0,,D. Green makes 3-pt jump shot from 25 ft,10,13
30,1,7:18.0,,Violation by T. Splitter (kicked ball),10,13
31,1,7:05.0,P. Beverley misses 3-pt jump shot from 23 ft,,10,13
32,1,7:04.0,Offensive rebound by D. Howard,,10,13
33,1,7:04.0,D. Howard makes 2-pt tip-in at rim,,12,13
34,1,6:50.0,,T. Splitter misses 2-pt hook shot from 5 ft,12,13
35,1,6:49.0,Defensive rebound by J. Smith,,12,13
36,1,6:46.0,,Offensive charge foul by J. Harden (drawn by M. Belinelli),12,13
37,1,6:46.0,Turnover by J. Harden (offensive foul),,12,13
38,1,6:23.0,,T. Duncan makes 2-pt jump shot from 7 ft,12,15
39,1,6:11.0,J. Smith makes 2-pt jump shot from 5 ft (assist by P. Beverley),,14,15
40,1,5:58.0,,Turnover by T. Duncan (bad pass; steal by J. Harden),14,15
41,1,5:54.0,J. Harden makes 2-pt layup from 2 ft,,16,15
42,1,5:29.0,,T. Duncan makes 2-pt dunk at rim (assist by D. Green),16,17
43,1,5:14.0,D. Howard misses 2-pt jump shot from 7 ft,,16,17
