,QUARTER,TIME_REMAINING,PHOENIX_ACTION,PHILADELPHIA_ACTION,PHOENIX_SCORE,PHILADELPHIA_SCORE
0,1,11:41.0,,H. Sims misses 2-pt jump shot from 3 ft,0,0
1,1,11:33.0,Defensive rebound by M. Plumlee,,0,0
2,1,11:31.0,Technical foul by E. Bledsoe,,0,0
3,1,11:31.0,,H. Sims makes technical free throw,0,1
4,1,11:31.0,E. Bledsoe misses flagrant free throw 1 of 2,,0,1
5,1,11:31.0,Offensive rebound by Team,,0,1
6,1,11:31.0,E. Bledsoe misses flagrant free throw 2 of 2,,0,1
7,1,11:31.0,Offensive rebound by Team,,0,1
8,1,11:08.0,Turnover by M. Plumlee (lost ball; steal by H. Sims),,0,1
9,1,10:44.0,,Shooting foul by M. Plumlee (drawn by N. Noel),0,1
10,1,10:44.0,,N. Noel makes free throw 1 of 2,0,2
11,1,10:44.0,,N. Noel misses free throw 2 of 2,0,2
12,1,10:43.0,Defensive rebound by M. Morris,,0,2
13,1,10:22.0,M. Morris misses 3-pt jump shot from 24 ft,,0,2
14,1,10:19.0,,Defensive rebound by H. Sims,0,2
15,1,9:56.0,,L. Mbah a Moute misses 3-pt jump shot from 24 ft,0,2
16,1,9:55.0,Defensive rebound by M. Morris,,0,2
17,1,9:45.0,M. Morris misses 2-pt layup from 2 ft,,0,2
18,1,9:44.0,,Defensive rebound by H. Sims,0,2
19,1,9:26.0,,Personal foul by G. Dragić (drawn by T. Wroten),0,2
20,1,9:20.0,,M. Carter-Williams misses 2-pt layup from 2 ft,0,2
21,1,9:18.0,,Offensive rebound by H. Sims,0,2
22,1,9:18.0,,H. Sims makes 2-pt dunk at rim,0,4
23,1,9:05.0,,Violation by N. Noel (def goaltending),0,4
24,1,9:05.0,M. Plumlee makes 2-pt jump shot from 3 ft (assist by E. Bledsoe),,2,4
25,1,8:49.0,,T. Wroten misses 3-pt jump shot from 23 ft,2,4
26,1,8:47.0,,Offensive rebound by M. Carter-Williams,2,4
27,1,8:47.0,,M. Carter-Williams makes 2-pt layup from 1 ft,2,6
28,1,8:36.0,G. Dragić misses 2-pt jump shot from 7 ft,,2,6
29,1,8:35.0,,Defensive rebound by M. Carter-Williams,2,6
30,1,8:27.0,,T. Wroten makes 2-pt layup at rim (assist by M. Carter-Williams),2,8
31,1,8:15.0,Personal foul by M. Carter-Williams (drawn by E. Bledsoe),,2,8
32,1,8:08.0,Turnover by M. Morris (bad pass; steal by H. Sims),,2,8
33,1,7:57.0,,N. Noel makes 2-pt layup from 1 ft (assist by T. Wroten),2,10
34,1,7:57.0,,Shooting foul by M. Plumlee (drawn by N. Noel),2,10
35,1,7:57.0,A. Len enters the game for M. Plumlee,,2,10
36,1,7:57.0,,N. Noel misses free throw 1 of 1,2,10
37,1,7:55.0,Defensive rebound by M. Morris,,2,10
38,1,7:41.0,Def 3 sec tech foul by N. Noel,,2,10
39,1,7:41.0,G. Dragić makes technical free throw,,3,10
40,1,7:33.0,G. Dragić makes 2-pt jump shot from 11 ft,,5,10
41,1,7:22.0,,Personal foul by E. Bledsoe (drawn by T. Wroten),5,10
42,1,7:17.0,,M. Carter-Williams makes 2-pt jump shot from 19 ft,5,12
43,1,6:59.0,M. Morris makes 2-pt layup from 1 ft,,7,12
44,1,6:46.0,,H. Sims makes 2-pt jump shot from 19 ft (assist by M. Carter-Williams),7,14
45,1,6:32.0,G. Dragić misses 3-pt jump shot from 26 ft,,7,14
46,1,6:30.0,,Defensive rebound by H. Sims,7,14
47,1,6:07.0,,T. Wroten makes 2-pt layup from 1 ft,7,16
48,1,5:56.0,Turnover by G. Dragić (lost ball),,7,16
