,QUARTER,TIME_REMAINING,DENVER_ACTION,PHILADELPHIA_ACTION,DENVER_SCORE,PHILADELPHIA_SCORE
0,1,11:45.0,,J. Sampson misses 2-pt layup at rim (block by J. Nurkić),0,0
1,1,11:43.0,Defensive rebound by T. Lawson,,0,0
2,1,11:26.0,W. Chandler makes 3-pt jump shot from 25 ft (assist by J. Nurkić),,3,0
3,1,11:10.0,,R. Covington misses 3-pt jump shot from 25 ft,3,0
4,1,11:09.0,Defensive rebound by T. Lawson,,3,0
5,1,10:59.0,A. Afflalo makes 3-pt jump shot from 24 ft (assist by T. Lawson),,6,0
6,1,10:39.0,,N. Noel misses 2-pt jump shot from 6 ft,6,0
7,1,10:38.0,Defensive rebound by K. Faried,,6,0
8,1,10:31.0,Personal foul by N. Noel (drawn by K. Faried),,6,0
9,1,10:23.0,K. Faried misses 2-pt jump shot from 3 ft,,6,0
10,1,10:21.0,,Defensive rebound by N. Noel,6,0
11,1,10:12.0,,Shooting foul by J. Nurkić (drawn by R. Covington),6,0
12,1,10:12.0,,R. Covington makes free throw 1 of 2,6,1
13,1,10:12.0,,R. Covington makes free throw 2 of 2,6,2
14,1,9:58.0,Turnover by A. Afflalo (bad pass; steal by J. Sampson),,6,2
15,1,9:56.0,,Turnover by N. Noel (bad pass; steal by A. Afflalo),6,2
16,1,9:52.0,Turnover by A. Afflalo (bad pass; steal by J. Sampson),,6,2
17,1,9:46.0,,Turnover by J. Sampson (lost ball),6,2
18,1,9:33.0,A. Afflalo makes 2-pt jump shot from 5 ft (assist by T. Lawson),,8,2
19,1,9:19.0,,N. Noel makes 2-pt dunk at rim (assist by M. Carter-Williams),8,4
20,1,9:03.0,Personal foul by N. Noel (drawn by J. Nurkić),,8,4
21,1,8:48.0,A. Afflalo misses 2-pt jump shot from 20 ft,,8,4
22,1,8:46.0,,Defensive rebound by L. Mbah a Moute,8,4
23,1,8:38.0,,L. Mbah a Moute makes 2-pt jump shot from 17 ft (assist by M. Carter-Williams),8,6
24,1,8:24.0,A. Afflalo makes 3-pt jump shot from 25 ft (assist by T. Lawson),,11,6
25,1,8:08.0,,J. Sampson makes 2-pt layup from 1 ft,11,8
26,1,7:59.0,Shooting foul by L. Mbah a Moute (drawn by J. Nurkić),,11,8
