,QUARTER,TIME_REMAINING,INDIANA_ACTION,ATLANTA_ACTION,INDIANA_SCORE,ATLANTA_SCORE
0,1,11:37.0,,D. Carroll makes 2-pt jump shot from 21 ft (assist by P. Millsap),0,2
1,1,11:13.0,R. Hibbert misses 2-pt hook shot from 11 ft,,0,2
2,1,11:12.0,,Defensive rebound by P. Millsap,0,2
3,1,11:06.0,,Turnover by P. Millsap (bad pass),0,2
4,1,10:41.0,D. West misses 2-pt jump shot from 5 ft,,0,2
5,1,10:40.0,,Defensive rebound by P. Millsap,0,2
6,1,10:30.0,,K. Korver makes 3-pt jump shot from 25 ft (assist by D. Carroll),0,5
7,1,10:06.0,C. Watson misses 3-pt jump shot from 24 ft,,0,5
8,1,10:05.0,,Defensive rebound by A. Horford,0,5
9,1,9:45.0,,P. Millsap misses 3-pt jump shot from 24 ft,0,5
10,1,9:44.0,,Offensive rebound by A. Horford,0,5
11,1,9:35.0,,A. Horford misses 2-pt jump shot from 16 ft,0,5
12,1,9:33.0,Defensive rebound by D. West,,0,5
13,1,9:20.0,C. Watson makes 2-pt jump shot from 19 ft (assist by S. Hill),,2,5
14,1,8:59.0,,Turnover by P. Millsap (lost ball; steal by C. Watson),2,5
15,1,8:53.0,Personal foul by K. Korver (drawn by R. Hibbert),,2,5
16,1,8:45.0,R. Stuckey makes 2-pt jump shot from 18 ft (assist by C. Watson),,4,5
17,1,8:24.0,,D. Carroll makes 3-pt jump shot from 25 ft (assist by A. Horford),4,8
18,1,8:01.0,R. Stuckey misses 3-pt jump shot from 23 ft,,4,8
19,1,8:00.0,,Defensive rebound by K. Korver,4,8
20,1,7:55.0,,D. Carroll misses 2-pt layup from 1 ft,4,8
21,1,7:54.0,Defensive rebound by C. Watson,,4,8
22,1,7:37.0,Turnover by D. West (lost ball; steal by D. Carroll),,4,8
23,1,7:26.0,,Shooting foul by D. West (drawn by P. Millsap),4,8
24,1,7:26.0,,P. Millsap makes free throw 1 of 2,4,9
25,1,7:26.0,,P. Millsap makes free throw 2 of 2,4,10
26,1,7:14.0,Turnover by S. Hill (traveling),,4,10
27,1,7:01.0,,A. Horford makes 2-pt dunk at rim (assist by K. Korver),4,12
28,1,6:38.0,R. Stuckey makes 2-pt jump shot from 20 ft (assist by C. Watson),,6,12
29,1,6:24.0,,K. Korver misses 3-pt jump shot from 23 ft,6,12
30,1,6:22.0,Defensive rebound by C. Watson,,6,12
31,1,6:19.0,Shooting foul by J. Teague (drawn by R. Stuckey),,6,12
32,1,6:19.0,R. Stuckey makes free throw 1 of 2,,7,12
33,1,6:19.0,R. Stuckey makes free throw 2 of 2,,8,12
34,1,6:09.0,,A. Horford makes 2-pt jump shot from 18 ft (assist by J. Teague),8,14
35,1,5:55.0,C. Watson makes 2-pt jump shot from 15 ft,,10,14
36,1,5:55.0,,Atlanta full timeout,10,14
37,1,5:38.0,,P. Millsap makes 2-pt jump shot from 18 ft (assist by D. Carroll),10,16
38,1,5:22.0,S. Hill misses 2-pt layup from 2 ft,,10,16
39,1,5:22.0,Offensive rebound by Team,,10,16
40,1,5:22.0,,P. Antić enters the game for A. Horford,10,16
41,1,5:22.0,,T. Sefolosha enters the game for K. Korver,10,16
42,1,5:12.0,Shooting foul by D. Carroll (drawn by D. West),,10,16
43,1,5:12.0,D. West makes free throw 1 of 2,,11,16
44,1,5:12.0,D. West misses free throw 2 of 2,,11,16
45,1,5:11.0,,Defensive rebound by P. Millsap,11,16
46,1,4:47.0,,J. Teague misses 2-pt jump shot from 8 ft,11,16
47,1,4:45.0,Defensive rebound by R. Stuckey,,11,16
48,1,4:42.0,R. Stuckey misses 2-pt layup from 1 ft (block by T. Sefolosha),,11,16
49,1,4:40.0,,Defensive rebound by D. Carroll,11,16
50,1,4:35.0,,J. Teague misses 3-pt jump shot from 24 ft,11,16
51,1,4:34.0,,Offensive rebound by P. Antić,11,16
52,1,4:33.0,,P. Antić misses 2-pt layup at rim (block by R. Hibbert),11,16
53,1,4:33.0,,Offensive rebound by Team,11,16
54,1,4:33.0,C. Miles enters the game for R. Stuckey,,11,16
55,1,4:24.0,,T. Sefolosha misses 3-pt jump shot from 22 ft,11,16
56,1,4:23.0,Defensive rebound by D. West,,11,16
57,1,4:13.0,D. West misses 2-pt jump shot from 18 ft,,11,16
58,1,4:12.0,,Defensive rebound by D. Carroll,11,16
