,QUARTER,TIME_REMAINING,NEW YORK_ACTION,LA CLIPPERS_ACTION,NEW YORK_SCORE,LA CLIPPERS_SCORE
0,1,11:46.0,,Turnover by J. Redick (bad pass; steal by C. Aldrich),0,0
1,1,11:33.0,C. Aldrich makes 2-pt hook shot from 4 ft,,2,0
2,1,11:23.0,,D. Jordan makes 2-pt hook shot from 1 ft (assist by B. Griffin),2,2
3,1,10:57.0,C. Anthony misses 2-pt jump shot from 13 ft,,2,2
4,1,10:55.0,,Defensive rebound by C. Paul,2,2
5,1,10:47.0,,C. Paul misses 3-pt jump shot from 25 ft,2,2
6,1,10:46.0,Defensive rebound by C. Anthony,,2,2
7,1,10:31.0,Turnover by J. Calderón (bad pass; steal by M. Barnes),,2,2
8,1,10:24.0,,J. Redick makes 2-pt jump shot from 17 ft (assist by B. Griffin),2,4
9,1,10:03.0,Turnover by C. Anthony (bad pass; steal by M. Barnes),,2,4
10,1,9:54.0,,J. Redick makes 3-pt jump shot from 27 ft (assist by B. Griffin),2,7
11,1,9:44.0,New York full timeout,,2,7
12,1,9:36.0,T. Hardaway makes 2-pt layup from 1 ft (assist by C. Aldrich),,4,7
13,1,9:17.0,,J. Redick makes 3-pt jump shot from 23 ft (assist by B. Griffin),4,10
14,1,9:03.0,J. Calderón misses 2-pt jump shot from 20 ft,,4,10
15,1,9:01.0,,Defensive rebound by C. Paul,4,10
16,1,8:50.0,,M. Barnes makes 3-pt jump shot from 25 ft (assist by B. Griffin),4,13
17,1,8:35.0,C. Anthony makes 2-pt dunk at rim (assist by C. Aldrich),,6,13
18,1,8:24.0,,Personal foul by T. Hardaway (drawn by B. Griffin),6,13
19,1,8:20.0,,B. Griffin misses 2-pt jump shot from 17 ft,6,13
20,1,8:18.0,,Offensive rebound by Team,6,13
21,1,8:09.0,,D. Jordan makes 2-pt dunk at rim (assist by C. Paul),6,15
22,1,7:53.0,J. Smith misses 2-pt jump shot from 11 ft,,6,15
23,1,7:51.0,,Defensive rebound by M. Barnes,6,15
24,1,7:43.0,,J. Redick makes 2-pt jump shot from 19 ft (assist by C. Paul),6,17
25,1,7:23.0,C. Anthony misses 2-pt jump shot from 15 ft,,6,17
26,1,7:21.0,Offensive rebound by J. Smith,,6,17
27,1,7:16.0,T. Hardaway misses 3-pt jump shot from 26 ft,,6,17
28,1,7:15.0,Offensive rebound by C. Anthony,,6,17
29,1,7:08.0,C. Anthony misses 2-pt layup from 2 ft,,6,17
30,1,7:06.0,Offensive rebound by J. Smith,,6,17
31,1,7:04.0,C. Anthony makes 2-pt layup from 1 ft (assist by J. Smith),,8,17
32,1,7:04.0,Violation by Team (jump ball),,8,17
33,1,6:49.0,,J. Redick misses 3-pt jump shot from 23 ft,8,17
34,1,6:48.0,Defensive rebound by C. Aldrich,,8,17
35,1,6:26.0,Shooting foul by D. Jordan (drawn by J. Smith),,8,17
36,1,6:26.0,J. Smith misses free throw 1 of 2,,8,17
37,1,6:26.0,Offensive rebound by Team,,8,17
38,1,6:26.0,P. Prigioni enters the game for T. Hardaway,,8,17
39,1,6:26.0,J. Smith makes free throw 2 of 2,,9,17
40,1,6:14.0,,C. Paul misses 2-pt jump shot from 19 ft,9,17
41,1,6:12.0,Defensive rebound by J. Smith,,9,17
42,1,6:01.0,J. Calderón makes 2-pt layup from 2 ft (assist by C. Aldrich),,11,17
43,1,5:47.0,Violation by C. Aldrich (def goaltending),,11,17
44,1,5:47.0,,D. Jordan makes 2-pt hook shot from 3 ft (assist by C. Paul),11,19
45,1,5:25.0,C. Anthony misses 2-pt jump shot from 6 ft (block by M. Barnes),,11,19
46,1,5:24.0,,Defensive rebound by B. Griffin,11,19
47,1,5:24.0,,Personal foul by J. Calderón (drawn by B. Griffin),11,19
48,1,5:24.0,,LA Clippers full timeout,11,19
49,1,5:24.0,A. Bargnani enters the game for J. Smith,,11,19
50,1,5:05.0,,B. Griffin makes 2-pt jump shot from 17 ft,11,21
51,1,4:52.0,J. Calderón misses 2-pt jump shot from 16 ft,,11,21
52,1,4:51.0,Offensive rebound by A. Bargnani,,11,21
53,1,4:42.0,A. Bargnani misses 2-pt jump shot from 3 ft,,11,21
54,1,4:40.0,,Defensive rebound by B. Griffin,11,21
55,1,4:25.0,,B. Griffin misses 2-pt jump shot from 20 ft,11,21
56,1,4:24.0,Defensive rebound by J. Calderón,,11,21
57,1,4:10.0,A. Bargnani makes 2-pt jump shot from 17 ft (assist by C. Aldrich),,13,21
58,1,3:59.0,,J. Redick makes 3-pt jump shot from 25 ft (assist by C. Paul),13,24
59,1,3:50.0,Personal foul by D. Jordan (drawn by C. Anthony),,13,24
60,1,3:50.0,,S. Hawes enters the game for D. Jordan,13,24
61,1,3:50.0,J. Smith enters the game for C. Aldrich,,13,24
62,1,3:39.0,C. Anthony misses 2-pt jump shot from 13 ft,,13,24
63,1,3:38.0,,Defensive rebound by S. Hawes,13,24
64,1,3:31.0,,Personal foul by J. Smith (drawn by B. Griffin),13,24
65,1,3:22.0,,Turnover by C. Paul (lost ball),13,24
66,1,3:09.0,C. Anthony misses 2-pt jump shot from 12 ft,,13,24
67,1,3:07.0,,Defensive rebound by J. Redick,13,24
68,1,2:52.0,,J. Redick misses 2-pt layup from 1 ft,13,24
69,1,2:50.0,Defensive rebound by P. Prigioni,,13,24
70,1,2:40.0,J. Smith makes 2-pt jump shot from 19 ft (assist by J. Calderón),,15,24
71,1,2:28.0,,M. Barnes misses 3-pt jump shot from 25 ft,15,24
72,1,2:27.0,Defensive rebound by J. Smith,,15,24
73,1,2:19.0,,Violation by S. Hawes (kicked ball),15,24
74,1,2:19.0,New York full timeout,,15,24
75,1,2:19.0,,J. Crawford enters the game for J. Redick,15,24
76,1,2:12.0,P. Prigioni makes 2-pt jump shot from 7 ft (assist by J. Smith),,17,24
77,1,1:57.0,,Turnover by C. Paul (step out of bounds),17,24
78,1,1:57.0,S. Larkin enters the game for J. Calderón,,17,24
79,1,1:57.0,J. Smith enters the game for C. Anthony,,17,24
80,1,1:43.0,A. Bargnani makes 2-pt jump shot from 7 ft,,19,24
81,1,1:31.0,,Personal foul by S. Larkin (drawn by C. Paul),19,24
82,1,1:31.0,,J. Farmar enters the game for M. Barnes,19,24
83,1,1:31.0,,G. Davis enters the game for B. Griffin,19,24
84,1,1:31.0,,R. Bullock enters the game for C. Paul,19,24
85,1,1:22.0,,J. Crawford misses 2-pt jump shot from 13 ft,19,24
86,1,1:20.0,Defensive rebound by J. Smith,,19,24
87,1,1:06.0,S. Larkin makes 2-pt layup from 1 ft (assist by J. Smith),,21,24
88,1,0:54.0,,Personal foul by S. Larkin (drawn by J. Crawford),21,24
89,1,0:54.0,,J. Crawford makes free throw 1 of 2,21,25
90,1,0:54.0,,J. Crawford makes free throw 2 of 2,21,26
91,1,0:39.0,A. Bargnani misses 2-pt jump shot from 21 ft,,21,26
92,1,0:37.0,,Defensive rebound by R. Bullock,21,26
93,1,0:34.0,,Turnover by R. Bullock (bad pass; steal by P. Prigioni),21,26
94,1,0:28.0,J. Smith misses 3-pt jump shot from 27 ft,,21,26
95,1,0:25.0,Offensive rebound by S. Larkin,,21,26
96,1,0:25.0,S. Larkin misses 2-pt tip-in at rim,,21,26
97,1,0:22.0,,Defensive rebound by R. Bullock,21,26
98,1,0:03.0,,R. Bullock misses 3-pt jump shot from 24 ft,21,26
99,1,0:02.0,,Offensive rebound by G. Davis,21,26
100,1,0:01.0,,J. Farmar makes 3-pt jump shot from 25 ft (assist by G. Davis),21,29
101,2,11:43.0,Q. Acy makes 2-pt jump shot from 22 ft,,23,29
102,2,11:29.0,,Turnover by J. Crawford (lost ball; steal by S. Larkin),23,29
103,2,11:24.0,S. Larkin makes 2-pt layup from 1 ft,,25,29
104,2,11:02.0,,J. Farmar misses 3-pt jump shot from 25 ft,25,29
105,2,11:00.0,Defensive rebound by P. Prigioni,,25,29
106,2,10:42.0,P. Prigioni misses 3-pt jump shot from 26 ft,,25,29
107,2,10:41.0,,Defensive rebound by R. Bullock,25,29
108,2,10:18.0,,R. Bullock misses 2-pt jump shot from 21 ft,25,29
109,2,10:15.0,Defensive rebound by S. Larkin,,25,29
110,2,10:04.0,J. Smith misses 2-pt jump shot from 17 ft,,25,29
111,2,10:03.0,,Defensive rebound by R. Bullock,25,29
112,2,9:54.0,,Shooting block foul by J. Smith (drawn by G. Davis),25,29
113,2,9:54.0,,G. Davis makes free throw 1 of 2,25,30
114,2,9:54.0,,G. Davis makes free throw 2 of 2,25,31
115,2,9:40.0,P. Prigioni misses 3-pt jump shot from 26 ft,,25,31
116,2,9:38.0,,Defensive rebound by G. Davis,25,31
117,2,9:26.0,,S. Hawes misses 2-pt layup from 2 ft,25,31
118,2,9:24.0,Defensive rebound by C. Aldrich,,25,31
