,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,TORONTO_ACTION,WASHINGTON_SCORE,TORONTO_SCORE
0,1,11:41.0,M. Gortat misses 2-pt jump shot from 4 ft,,0,0
1,1,11:40.0,,Defensive rebound by J. Valančiūnas,0,0
2,1,11:31.0,,Shooting foul by P. Pierce (drawn by D. DeRozan),0,0
3,1,11:31.0,,D. DeRozan makes free throw 1 of 2,0,1
4,1,11:31.0,,D. DeRozan makes free throw 2 of 2,0,2
5,1,11:18.0,N. Hilário makes 2-pt layup from 2 ft,,2,2
6,1,10:56.0,,D. DeRozan makes 2-pt jump shot from 20 ft (assist by K. Lowry),2,4
7,1,10:48.0,Turnover by J. Wall (bad pass; steal by K. Lowry),,2,4
8,1,10:43.0,,A. Johnson makes 2-pt dunk at rim (assist by K. Lowry),2,6
9,1,10:43.0,,Shooting foul by J. Wall (drawn by A. Johnson),2,6
10,1,10:43.0,,A. Johnson misses free throw 1 of 1,2,6
11,1,10:43.0,Defensive rebound by M. Gortat,,2,6
12,1,10:21.0,Turnover by N. Hilário (bad pass; steal by D. DeRozan),,2,6
13,1,10:07.0,,Turnover by D. DeRozan (bad pass; steal by N. Hilário),2,6
14,1,10:00.0,M. Gortat makes 2-pt layup at rim (assist by P. Pierce),,4,6
15,1,9:41.0,,Turnover by J. Valančiūnas (traveling),4,6
16,1,9:28.0,J. Wall misses 3-pt jump shot from 23 ft,,4,6
17,1,9:27.0,,Defensive rebound by J. Johnson,4,6
18,1,9:21.0,,Turnover by K. Lowry (bad pass; steal by N. Hilário),4,6
19,1,9:16.0,O. Porter makes 2-pt dunk at rim (assist by J. Wall),,6,6
20,1,8:53.0,,K. Lowry misses 3-pt jump shot from 27 ft,6,6
21,1,8:52.0,,Offensive rebound by J. Johnson,6,6
22,1,8:44.0,,K. Lowry misses 2-pt layup from 2 ft (block by M. Gortat),6,6
23,1,8:42.0,Defensive rebound by M. Gortat,,6,6
24,1,8:39.0,Shooting foul by J. Johnson (drawn by O. Porter),,6,6
