,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,BOSTON_ACTION,SAN ANTONIO_SCORE,BOSTON_SCORE
0,1,11:36.0,D. Green misses 3-pt jump shot from 25 ft,,0,0
1,1,11:35.0,,Defensive rebound by A. Bradley,0,0
2,1,11:32.0,,Turnover by A. Bradley (bad pass; steal by D. Green),0,0
3,1,11:21.0,K. Leonard makes 3-pt jump shot from 25 ft (assist by B. Diaw),,3,0
4,1,11:04.0,,J. Green misses 2-pt hook shot from 10 ft,3,0
5,1,11:03.0,,Offensive rebound by T. Zeller,3,0
6,1,11:03.0,,Shooting foul by B. Diaw (drawn by T. Zeller),3,0
7,1,11:03.0,,T. Zeller makes free throw 1 of 2,3,1
8,1,11:03.0,,T. Zeller makes free throw 2 of 2,3,2
9,1,10:46.0,B. Diaw makes 3-pt jump shot from 23 ft (assist by T. Parker),,6,2
10,1,10:22.0,,J. Sullinger makes 2-pt jump shot from 7 ft (assist by R. Rondo),6,4
11,1,10:10.0,Turnover by T. Parker (bad pass),,6,4
12,1,9:52.0,,J. Green misses 2-pt layup at rim (block by T. Duncan),6,4
13,1,9:51.0,,Offensive rebound by Team,6,4
14,1,9:47.0,,J. Sullinger misses 2-pt jump shot from 13 ft,6,4
15,1,9:46.0,Defensive rebound by T. Duncan,,6,4
16,1,9:34.0,B. Diaw misses 3-pt jump shot from 25 ft,,6,4
17,1,9:33.0,,Defensive rebound by A. Bradley,6,4
18,1,9:25.0,,A. Bradley misses 2-pt jump shot from 15 ft,6,4
19,1,9:24.0,Defensive rebound by Team,,6,4
20,1,9:10.0,Shooting foul by T. Zeller (drawn by T. Duncan),,6,4
21,1,9:10.0,T. Duncan makes free throw 1 of 2,,7,4
22,1,9:10.0,T. Duncan makes free throw 2 of 2,,8,4
23,1,8:54.0,,J. Green misses 2-pt jump shot from 9 ft,8,4
24,1,8:53.0,,Offensive rebound by T. Zeller,8,4
25,1,8:51.0,,T. Zeller misses 2-pt layup at rim,8,4
26,1,8:49.0,,Offensive rebound by J. Green,8,4
27,1,8:49.0,,J. Green makes 2-pt dunk at rim,8,6
28,1,8:35.0,T. Duncan makes 2-pt jump shot from 4 ft (assist by T. Parker),,10,6
29,1,8:28.0,,R. Rondo makes 2-pt layup from 1 ft,10,8
30,1,8:10.0,T. Duncan misses 2-pt hook shot from 6 ft,,10,8
31,1,8:09.0,,Defensive rebound by T. Zeller,10,8
32,1,7:57.0,,T. Zeller makes 2-pt layup at rim (assist by R. Rondo),10,10
33,1,7:40.0,D. Green makes 2-pt jump shot from 19 ft,,12,10
34,1,7:23.0,,J. Sullinger misses 2-pt jump shot from 20 ft,12,10
35,1,7:22.0,Defensive rebound by Team,,12,10
36,1,6:59.0,B. Diaw makes 3-pt jump shot from 25 ft (assist by T. Parker),,15,10
37,1,6:40.0,,J. Green misses 3-pt jump shot from 25 ft,15,10
38,1,6:39.0,Defensive rebound by D. Green,,15,10
39,1,6:29.0,San Antonio full timeout,,15,10
40,1,6:29.0,,E. Turner enters the game for J. Sullinger,15,10
41,1,6:29.0,,B. Bass enters the game for A. Bradley,15,10
42,1,6:25.0,D. Green misses 3-pt jump shot from 23 ft,,15,10
43,1,6:24.0,Offensive rebound by B. Diaw,,15,10
44,1,6:11.0,D. Green misses 3-pt jump shot from 23 ft (block by J. Green),,15,10
45,1,6:09.0,Offensive rebound by D. Green,,15,10
46,1,6:07.0,T. Duncan makes 2-pt layup from 1 ft (assist by D. Green),,17,10
47,1,5:53.0,,J. Green makes 2-pt jump shot from 16 ft (assist by R. Rondo),17,12
48,1,5:41.0,Personal foul by R. Rondo (drawn by T. Parker),,17,12
49,1,5:41.0,M. Ginóbili enters the game for D. Green,,17,12
50,1,5:36.0,Turnover by M. Ginóbili (lost ball),,17,12
51,1,5:20.0,,J. Green misses 2-pt jump shot from 14 ft,17,12
52,1,5:19.0,,Offensive rebound by T. Zeller,17,12
53,1,5:01.0,,B. Bass makes 2-pt jump shot from 12 ft,17,14
54,1,4:44.0,T. Parker misses 2-pt jump shot from 18 ft,,17,14
55,1,4:43.0,,Defensive rebound by T. Zeller,17,14
56,1,4:31.0,,R. Rondo misses 2-pt layup from 1 ft,17,14
57,1,4:30.0,Defensive rebound by B. Diaw,,17,14
58,1,4:19.0,T. Duncan misses 2-pt jump shot from 18 ft,,17,14
59,1,4:18.0,,Defensive rebound by R. Rondo,17,14
60,1,4:06.0,,J. Green misses 3-pt jump shot from 22 ft,17,14
61,1,4:05.0,Defensive rebound by T. Duncan,,17,14
62,1,3:51.0,B. Diaw makes 2-pt jump shot from 11 ft (assist by T. Parker),,19,14
63,1,3:31.0,,T. Zeller misses 2-pt hook shot from 5 ft,19,14
64,1,3:30.0,Defensive rebound by B. Diaw,,19,14
65,1,3:27.0,Turnover by M. Ginóbili (bad pass),,19,14
