,QUARTER,TIME_REMAINING,MIAMI_ACTION,OKLAHOMA CITY_ACTION,MIAMI_SCORE,OKLAHOMA CITY_SCORE
0,1,11:43.0,,Turnover by R. Westbrook (bad pass; steal by U. Haslem),0,0
1,1,11:35.0,D. Wade makes 2-pt jump shot from 16 ft,,2,0
2,1,11:18.0,,Shooting block foul by U. Haslem (drawn by D. Waiters),2,0
3,1,11:18.0,,D. Waiters makes free throw 1 of 2,2,1
4,1,11:18.0,,D. Waiters misses free throw 2 of 2,2,1
5,1,11:17.0,Defensive rebound by U. Haslem,,2,1
6,1,10:57.0,L. Deng makes 2-pt jump shot from 8 ft,,4,1
7,1,10:48.0,,Turnover by E. Freedom (bad pass; steal by D. Wade),4,1
8,1,10:44.0,D. Wade makes 2-pt layup from 1 ft,,6,1
9,1,10:31.0,,Oklahoma City full timeout,6,1
10,1,10:31.0,,A. Morrow enters the game for A. Roberson,6,1
11,1,10:24.0,,E. Freedom makes 2-pt jump shot from 19 ft (assist by R. Westbrook),6,3
12,1,10:03.0,H. Whiteside makes 2-pt dunk at rim (assist by D. Wade),,8,3
13,1,9:46.0,,E. Freedom makes 2-pt jump shot from 17 ft (assist by R. Westbrook),8,5
14,1,9:28.0,U. Haslem misses 2-pt jump shot from 13 ft,,8,5
15,1,9:27.0,,Defensive rebound by R. Westbrook,8,5
16,1,9:16.0,,E. Freedom misses 2-pt jump shot from 17 ft,8,5
17,1,9:15.0,Defensive rebound by L. Deng,,8,5
18,1,9:09.0,G. Dragić misses 2-pt layup from 1 ft,,8,5
19,1,9:08.0,,Defensive rebound by S. Adams,8,5
20,1,9:02.0,,R. Westbrook misses 2-pt jump shot from 18 ft,8,5
21,1,9:00.0,,Offensive rebound by S. Adams,8,5
22,1,8:57.0,,R. Westbrook misses 3-pt jump shot from 24 ft,8,5
23,1,8:56.0,Defensive rebound by U. Haslem,,8,5
24,1,8:39.0,Shooting foul by S. Adams (drawn by H. Whiteside),,8,5
25,1,8:39.0,H. Whiteside misses free throw 1 of 2,,8,5
26,1,8:39.0,Offensive rebound by Team,,8,5
27,1,8:39.0,H. Whiteside makes free throw 2 of 2,,9,5
28,1,8:17.0,,A. Morrow misses 2-pt jump shot from 11 ft,9,5
29,1,8:16.0,,Offensive rebound by E. Freedom,9,5
30,1,8:12.0,,E. Freedom makes 2-pt layup at rim,9,7
31,1,7:47.0,U. Haslem misses 2-pt jump shot from 17 ft,,9,7
32,1,7:46.0,,Defensive rebound by S. Adams,9,7
33,1,7:39.0,,Turnover by R. Westbrook (bad pass; steal by U. Haslem),9,7
34,1,7:35.0,Turnover by D. Wade (bad pass),,9,7
35,1,7:20.0,,E. Freedom makes 2-pt hook shot from 3 ft (assist by R. Westbrook),9,9
36,1,7:01.0,D. Wade makes 2-pt jump shot from 15 ft,,11,9
