,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,PORTLAND_ACTION,LA LAKERS_SCORE,PORTLAND_SCORE
0,1,11:44.0,,Shooting foul by T. Black (drawn by N. Batum),0,0
1,1,11:44.0,,N. Batum makes free throw 1 of 2,0,1
2,1,11:44.0,,N. Batum makes free throw 2 of 2,0,2
3,1,11:26.0,R. Kelly misses 2-pt jump shot from 5 ft,,0,2
4,1,11:25.0,,Defensive rebound by L. Aldridge,0,2
5,1,11:14.0,,L. Aldridge misses 2-pt jump shot from 22 ft,0,2
6,1,11:13.0,,Offensive rebound by R. Lopez,0,2
7,1,11:09.0,,W. Matthews makes 3-pt jump shot from 23 ft (assist by R. Lopez),0,5
8,1,10:49.0,W. Ellington misses 2-pt jump shot from 4 ft (block by R. Lopez),,0,5
9,1,10:48.0,Offensive rebound by W. Ellington,,0,5
10,1,10:42.0,W. Ellington misses 2-pt jump shot from 22 ft,,0,5
11,1,10:41.0,,Defensive rebound by N. Batum,0,5
12,1,10:33.0,,Shooting foul by R. Sacre (drawn by L. Aldridge),0,5
13,1,10:33.0,,L. Aldridge makes free throw 1 of 2,0,6
14,1,10:33.0,,L. Aldridge makes free throw 2 of 2,0,7
15,1,10:14.0,W. Ellington makes 2-pt jump shot from 20 ft (assist by T. Black),,2,7
16,1,9:59.0,,W. Matthews misses 3-pt jump shot from 24 ft,2,7
17,1,9:58.0,Defensive rebound by T. Black,,2,7
18,1,9:44.0,Shooting foul by D. Lillard (drawn by J. Clarkson),,2,7
19,1,9:44.0,J. Clarkson makes free throw 1 of 2,,3,7
20,1,9:44.0,J. Clarkson makes free throw 2 of 2,,4,7
21,1,9:29.0,,N. Batum makes 3-pt jump shot from 24 ft (assist by L. Aldridge),4,10
22,1,9:15.0,R. Kelly makes 3-pt jump shot from 23 ft (assist by J. Clarkson),,7,10
23,1,8:51.0,,R. Lopez misses 2-pt dunk at rim (block by T. Black),7,10
24,1,8:50.0,Defensive rebound by T. Black,,7,10
25,1,8:43.0,J. Clarkson misses 2-pt jump shot from 4 ft,,7,10
26,1,8:41.0,Offensive rebound by J. Clarkson,,7,10
27,1,8:38.0,Shooting foul by W. Matthews (drawn by R. Sacre),,7,10
28,1,8:38.0,R. Sacre makes free throw 1 of 2,,8,10
29,1,8:38.0,R. Sacre makes free throw 2 of 2,,9,10
30,1,8:28.0,,D. Lillard makes 2-pt layup from 1 ft,9,12
31,1,8:28.0,,Shooting foul by J. Clarkson (drawn by D. Lillard),9,12
32,1,8:28.0,,D. Lillard makes free throw 1 of 1,9,13
33,1,8:15.0,R. Sacre makes 2-pt jump shot from 18 ft (assist by J. Clarkson),,11,13
34,1,8:00.0,,L. Aldridge misses 2-pt jump shot from 20 ft,11,13
35,1,7:59.0,Defensive rebound by R. Kelly,,11,13
36,1,7:41.0,R. Sacre misses 2-pt hook shot from 6 ft,,11,13
37,1,7:40.0,,Defensive rebound by L. Aldridge,11,13
38,1,7:24.0,,D. Lillard misses 3-pt jump shot from 26 ft,11,13
39,1,7:23.0,,Offensive rebound by W. Matthews,11,13
40,1,7:19.0,,L. Aldridge misses 3-pt jump shot from 24 ft,11,13
41,1,7:16.0,,Offensive rebound by D. Lillard,11,13
42,1,7:12.0,,W. Matthews makes 3-pt jump shot from 23 ft (assist by D. Lillard),11,16
43,1,6:50.0,W. Ellington misses 2-pt jump shot from 11 ft,,11,16
44,1,6:49.0,,Defensive rebound by L. Aldridge,11,16
45,1,6:38.0,,W. Matthews makes 2-pt jump shot from 18 ft (assist by D. Lillard),11,18
46,1,6:17.0,R. Kelly makes 2-pt jump shot from 17 ft (assist by T. Black),,13,18
47,1,6:00.0,,Offensive foul by N. Batum (drawn by W. Ellington),13,18
48,1,6:00.0,,Turnover by N. Batum (offensive foul),13,18
49,1,5:40.0,R. Sacre makes 2-pt jump shot from 14 ft (assist by J. Clarkson),,15,18
50,1,5:23.0,,L. Aldridge makes 2-pt jump shot from 19 ft (assist by N. Batum),15,20
51,1,5:04.0,J. Clarkson makes 2-pt jump shot from 6 ft,,17,20
52,1,4:56.0,,Portland full timeout,17,20
53,1,4:56.0,C. Boozer enters the game for R. Sacre,,17,20
54,1,4:56.0,E. Davis enters the game for T. Black,,17,20
55,1,4:56.0,,S. Blake enters the game for W. Matthews,17,20
56,1,4:56.0,,M. Leonard enters the game for R. Lopez,17,20
57,1,4:44.0,,M. Leonard makes 2-pt jump shot from 8 ft (assist by S. Blake),17,22
58,1,4:29.0,W. Ellington makes 3-pt jump shot from 25 ft,,20,22
59,1,4:18.0,,Personal foul by C. Boozer (drawn by M. Leonard),20,22
60,1,4:18.0,N. Young enters the game for R. Kelly,,20,22
61,1,4:18.0,J. Lin enters the game for W. Ellington,,20,22
62,1,4:18.0,W. Johnson enters the game for J. Clarkson,,20,22
63,1,4:12.0,,Turnover by D. Lillard (bad pass; steal by C. Boozer),20,22
64,1,4:05.0,W. Johnson misses 2-pt jump shot from 20 ft,,20,22
65,1,4:04.0,,Defensive rebound by L. Aldridge,20,22
66,1,3:58.0,,Shooting foul by J. Lin (drawn by D. Lillard),20,22
67,1,3:58.0,,D. Lillard makes free throw 1 of 2,20,23
68,1,3:58.0,,D. Lillard makes free throw 2 of 2,20,24
69,1,3:40.0,N. Young misses 3-pt jump shot from 24 ft (block by S. Blake),,20,24
70,1,3:39.0,,Defensive rebound by N. Batum,20,24
71,1,3:32.0,,D. Lillard makes 2-pt layup from 1 ft,20,26
72,1,3:10.0,N. Young misses 2-pt jump shot from 16 ft,,20,26
73,1,3:10.0,,Defensive rebound by L. Aldridge,20,26
74,1,2:56.0,,L. Aldridge misses 2-pt jump shot from 21 ft,20,26
75,1,2:54.0,Defensive rebound by N. Young,,20,26
76,1,2:41.0,C. Boozer misses 2-pt jump shot from 20 ft,,20,26
