,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,PHILADELPHIA_ACTION,CHARLOTTE_SCORE,PHILADELPHIA_SCORE
0,1,11:48.0,,R. Covington makes 3-pt jump shot from 24 ft (assist by M. Carter-Williams),0,3
1,1,11:29.0,G. Henderson makes 2-pt jump shot from 13 ft,,2,3
2,1,11:04.0,,M. Carter-Williams misses 2-pt jump shot from 16 ft,2,3
3,1,11:02.0,Defensive rebound by C. Zeller,,2,3
4,1,10:49.0,G. Henderson makes 2-pt jump shot from 16 ft (assist by K. Walker),,4,3
5,1,10:32.0,,N. Noel makes 2-pt jump shot from 16 ft (assist by H. Thompson),4,5
6,1,10:17.0,M. Kidd-Gilchrist makes 2-pt layup at rim (assist by G. Henderson),,6,5
7,1,10:00.0,,R. Covington misses 2-pt layup from 2 ft,6,5
8,1,9:59.0,Defensive rebound by M. Kidd-Gilchrist,,6,5
9,1,9:52.0,C. Zeller misses 2-pt layup from 1 ft (block by N. Noel),,6,5
10,1,9:50.0,,Defensive rebound by N. Noel,6,5
11,1,9:40.0,,N. Noel misses 2-pt jump shot from 13 ft,6,5
12,1,9:38.0,Defensive rebound by Team,,6,5
13,1,9:26.0,K. Walker makes 2-pt layup from 1 ft (assist by A. Jefferson),,8,5
14,1,9:13.0,,M. Carter-Williams misses 2-pt layup from 2 ft,8,5
15,1,9:12.0,Defensive rebound by C. Zeller,,8,5
16,1,9:06.0,M. Kidd-Gilchrist misses 2-pt layup from 1 ft,,8,5
17,1,9:04.0,,Defensive rebound by N. Noel,8,5
18,1,8:59.0,,R. Covington makes 3-pt jump shot from 25 ft (assist by M. Carter-Williams),8,8
19,1,8:46.0,M. Kidd-Gilchrist misses 2-pt jump shot from 3 ft (block by N. Noel),,8,8
20,1,8:44.0,,Defensive rebound by L. Mbah a Moute,8,8
21,1,8:39.0,,Turnover by L. Mbah a Moute (bad pass),8,8
22,1,8:25.0,A. Jefferson misses 2-pt jump shot from 13 ft,,8,8
23,1,8:23.0,,Defensive rebound by M. Carter-Williams,8,8
24,1,8:17.0,,M. Carter-Williams makes 2-pt jump shot from 4 ft,8,10
25,1,7:59.0,K. Walker makes 3-pt jump shot from 23 ft (assist by M. Kidd-Gilchrist),,11,10
26,1,7:53.0,,Turnover by R. Covington (lost ball; steal by K. Walker),11,10
27,1,7:48.0,K. Walker misses 2-pt layup from 2 ft,,11,10
28,1,7:45.0,,Defensive rebound by R. Covington,11,10
29,1,7:38.0,,H. Thompson misses 2-pt jump shot from 20 ft,11,10
30,1,7:36.0,Defensive rebound by A. Jefferson,,11,10
31,1,7:29.0,K. Walker makes 2-pt jump shot from 20 ft,,13,10
32,1,7:27.0,,Philadelphia full timeout,13,10
33,1,7:09.0,,M. Carter-Williams makes 2-pt jump shot from 8 ft (assist by N. Noel),13,12
34,1,6:52.0,A. Jefferson misses 2-pt jump shot from 4 ft,,13,12
35,1,6:50.0,Offensive rebound by C. Zeller,,13,12
36,1,6:50.0,C. Zeller misses 2-pt tip-in from 1 ft,,13,12
37,1,6:49.0,,Defensive rebound by H. Thompson,13,12
38,1,6:37.0,,H. Thompson makes 2-pt layup from 1 ft (assist by M. Carter-Williams),13,14
39,1,6:23.0,A. Jefferson misses 2-pt jump shot from 6 ft,,13,14
40,1,6:23.0,Offensive rebound by A. Jefferson,,13,14
41,1,6:23.0,Turnover by A. Jefferson (traveling),,13,14
42,1,6:23.0,,J. Sampson enters the game for H. Thompson,13,14
43,1,6:14.0,,Shooting foul by C. Zeller (drawn by R. Covington),13,14
44,1,6:14.0,,R. Covington misses free throw 1 of 2,13,14
45,1,6:14.0,,Offensive rebound by Team,13,14
46,1,6:14.0,,R. Covington makes free throw 2 of 2,13,15
47,1,5:58.0,G. Henderson makes 2-pt jump shot from 19 ft,,15,15
