,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,LA LAKERS_ACTION,LA CLIPPERS_SCORE,LA LAKERS_SCORE
0,1,11:46.0,Turnover by C. Paul (bad pass; steal by T. Black),,0,0
1,1,11:28.0,,J. Lin misses 3-pt jump shot from 25 ft,0,0
2,1,11:27.0,,Offensive rebound by W. Johnson,0,0
3,1,11:22.0,,Turnover by J. Lin (lost ball; steal by D. Jordan),0,0
4,1,11:18.0,B. Griffin misses 2-pt layup from 2 ft (block by T. Black),,0,0
5,1,11:15.0,,Defensive rebound by R. Kelly,0,0
6,1,11:07.0,,J. Clarkson misses 3-pt jump shot from 25 ft,0,0
7,1,11:03.0,Defensive rebound by M. Barnes,,0,0
8,1,10:53.0,M. Barnes misses 3-pt jump shot from 26 ft,,0,0
9,1,10:52.0,,Defensive rebound by R. Kelly,0,0
10,1,10:47.0,,Offensive foul by T. Black (drawn by J. Redick),0,0
11,1,10:47.0,,Turnover by T. Black (offensive foul),0,0
12,1,10:39.0,Personal foul by J. Lin (drawn by B. Griffin),,0,0
13,1,10:27.0,M. Barnes makes 3-pt jump shot from 22 ft (assist by C. Paul),,3,0
14,1,10:09.0,,W. Johnson misses 3-pt jump shot from 23 ft,3,0
15,1,10:08.0,Defensive rebound by B. Griffin,,3,0
16,1,10:02.0,M. Barnes misses 2-pt layup from 2 ft,,3,0
17,1,10:00.0,Offensive rebound by M. Barnes,,3,0
18,1,9:48.0,D. Jordan misses 2-pt layup from 2 ft,,3,0
19,1,9:47.0,Offensive rebound by D. Jordan,,3,0
20,1,9:46.0,D. Jordan makes 2-pt dunk at rim,,5,0
21,1,9:32.0,,T. Black makes 2-pt layup from 2 ft,5,2
22,1,9:19.0,B. Griffin misses 2-pt jump shot from 17 ft,,5,2
23,1,9:18.0,,Defensive rebound by T. Black,5,2
24,1,9:02.0,,J. Lin misses 2-pt jump shot from 4 ft,5,2
25,1,9:01.0,,Offensive rebound by T. Black,5,2
26,1,8:58.0,,T. Black makes 2-pt hook shot from 4 ft,5,4
27,1,8:35.0,B. Griffin makes 2-pt jump shot from 19 ft,,7,4
28,1,8:17.0,,Personal foul by D. Jordan (drawn by J. Lin),7,4
29,1,8:11.0,,W. Johnson makes 2-pt jump shot from 19 ft (assist by T. Black),7,6
30,1,7:57.0,D. Jordan makes 2-pt dunk at rim (assist by B. Griffin),,9,6
31,1,7:37.0,,W. Johnson misses 2-pt jump shot from 18 ft,9,6
32,1,7:36.0,,Offensive rebound by R. Kelly,9,6
33,1,7:34.0,,J. Clarkson misses 3-pt jump shot from 25 ft,9,6
34,1,7:31.0,Defensive rebound by M. Barnes,,9,6
35,1,7:21.0,D. Jordan misses 2-pt layup from 1 ft,,9,6
36,1,7:19.0,,Defensive rebound by T. Black,9,6
37,1,7:12.0,,Shooting foul by J. Redick (drawn by T. Black),9,6
38,1,7:12.0,,T. Black misses free throw 1 of 2,9,6
39,1,7:12.0,,Offensive rebound by Team,9,6
40,1,7:12.0,,T. Black misses free throw 2 of 2,9,6
41,1,7:11.0,Defensive rebound by D. Jordan,,9,6
42,1,7:02.0,J. Redick makes 2-pt layup from 1 ft (assist by C. Paul),,11,6
43,1,6:46.0,,W. Johnson misses 2-pt jump shot from 18 ft,11,6
44,1,6:45.0,Defensive rebound by C. Paul,,11,6
45,1,6:32.0,C. Paul misses 3-pt jump shot from 26 ft,,11,6
46,1,6:31.0,Offensive rebound by D. Jordan,,11,6
47,1,6:22.0,Turnover by J. Redick (step out of bounds),,11,6
48,1,6:01.0,,Turnover by J. Lin (bad pass; steal by D. Jordan),11,6
49,1,5:58.0,Shooting foul by J. Clarkson (drawn by B. Griffin),,11,6
50,1,5:58.0,,LA Lakers full timeout,11,6
51,1,5:58.0,,J. Brown enters the game for J. Lin,11,6
52,1,5:58.0,B. Griffin makes free throw 1 of 2,,12,6
53,1,5:58.0,B. Griffin makes free throw 2 of 2,,13,6
54,1,5:39.0,,W. Johnson misses 2-pt jump shot from 7 ft,13,6
55,1,5:36.0,Defensive rebound by D. Jordan,,13,6
56,1,5:27.0,Shooting foul by R. Kelly (drawn by D. Jordan),,13,6
57,1,5:27.0,D. Jordan misses free throw 1 of 2,,13,6
58,1,5:27.0,Offensive rebound by Team,,13,6
59,1,5:27.0,D. Jordan makes free throw 2 of 2,,14,6
60,1,5:06.0,,R. Kelly misses 3-pt jump shot from 27 ft,14,6
61,1,5:05.0,,Offensive rebound by T. Black,14,6
62,1,4:58.0,,W. Johnson makes 2-pt jump shot from 19 ft,14,8
63,1,4:49.0,B. Griffin makes 2-pt jump shot from 16 ft (assist by C. Paul),,16,8
64,1,4:27.0,,Turnover by J. Clarkson (bad pass; steal by D. Jordan),16,8
65,1,4:27.0,Personal foul by J. Brown (drawn by B. Griffin),,16,8
66,1,4:27.0,A. Rivers enters the game for J. Redick,,16,8
67,1,4:27.0,,J. Hill enters the game for R. Kelly,16,8
68,1,4:27.0,,C. Boozer enters the game for T. Black,16,8
69,1,4:08.0,B. Griffin makes 2-pt jump shot from 20 ft (assist by C. Paul),,18,8
70,1,3:44.0,,W. Johnson misses 2-pt jump shot from 21 ft,18,8
71,1,3:44.0,,Offensive rebound by Team,18,8
72,1,3:37.0,,C. Boozer makes 2-pt jump shot from 19 ft (assist by J. Hill),18,10
