,QUARTER,TIME_REMAINING,PHOENIX_ACTION,DALLAS_ACTION,PHOENIX_SCORE,DALLAS_SCORE
0,1,11:38.0,P. Tucker misses 2-pt jump shot from 6 ft,,0,0
1,1,11:37.0,,Defensive rebound by T. Chandler,0,0
2,1,11:20.0,,R. Rondo makes 2-pt jump shot from 9 ft,0,2
3,1,10:59.0,P. Tucker misses 2-pt hook shot from 1 ft,,0,2
4,1,10:58.0,Offensive rebound by B. Wright,,0,2
5,1,10:46.0,B. Wright makes 2-pt jump shot from 14 ft (assist by P. Tucker),,2,2
6,1,10:33.0,,R. Rondo makes 2-pt layup from 1 ft,2,4
7,1,10:15.0,M. Morris misses 2-pt jump shot from 8 ft,,2,4
8,1,10:14.0,,Defensive rebound by T. Chandler,2,4
9,1,9:59.0,,D. Nowitzki misses 2-pt jump shot from 20 ft,2,4
10,1,9:58.0,Defensive rebound by M. Morris,,2,4
11,1,9:50.0,M. Morris makes 2-pt jump shot from 18 ft (assist by M. Morris),,4,4
12,1,9:32.0,,R. Rondo misses 2-pt jump shot from 20 ft,4,4
13,1,9:31.0,Defensive rebound by E. Bledsoe,,4,4
14,1,9:23.0,P. Tucker misses 2-pt jump shot from 7 ft,,4,4
15,1,9:22.0,,Defensive rebound by T. Chandler,4,4
16,1,9:16.0,,M. Ellis misses 2-pt layup from 1 ft,4,4
17,1,9:15.0,Defensive rebound by M. Morris,,4,4
18,1,8:58.0,B. Wright misses 2-pt jump shot from 5 ft,,4,4
19,1,8:57.0,Offensive rebound by B. Wright,,4,4
20,1,8:56.0,B. Wright misses 2-pt jump shot from 8 ft,,4,4
21,1,8:55.0,,Defensive rebound by R. Jefferson,4,4
22,1,8:46.0,,Turnover by R. Jefferson (bad pass; steal by M. Morris),4,4
23,1,8:45.0,Personal foul by R. Jefferson (drawn by M. Morris),,4,4
24,1,8:37.0,M. Morris makes 2-pt layup at rim (assist by M. Morris),,6,4
25,1,8:37.0,Shooting foul by D. Nowitzki (drawn by M. Morris),,6,4
26,1,8:37.0,M. Morris makes free throw 1 of 1,,7,4
27,1,8:26.0,,Personal foul by E. Bledsoe (drawn by R. Rondo),7,4
28,1,8:12.0,,R. Jefferson misses 3-pt jump shot from 25 ft,7,4
29,1,8:11.0,Defensive rebound by M. Morris,,7,4
30,1,7:52.0,P. Tucker misses 3-pt jump shot from 24 ft,,7,4
31,1,7:51.0,,Defensive rebound by T. Chandler,7,4
32,1,7:38.0,,M. Ellis makes 2-pt layup at rim (assist by D. Nowitzki),7,6
33,1,7:22.0,M. Morris misses 2-pt jump shot from 1 ft (block by T. Chandler),,7,6
34,1,7:21.0,,Defensive rebound by T. Chandler,7,6
35,1,7:15.0,,M. Ellis misses 2-pt layup at rim,7,6
36,1,7:13.0,Defensive rebound by B. Wright,,7,6
37,1,7:06.0,E. Bledsoe makes 3-pt jump shot from 23 ft,,10,6
38,1,6:55.0,,Shooting foul by B. Wright (drawn by T. Chandler),10,6
39,1,6:55.0,,T. Chandler makes free throw 1 of 2,10,7
40,1,6:55.0,,T. Chandler makes free throw 2 of 2,10,8
41,1,6:40.0,M. Morris makes 2-pt jump shot from 11 ft (assist by B. Wright),,12,8
42,1,6:20.0,,R. Jefferson makes 2-pt layup from 1 ft,12,10
43,1,6:06.0,,A. Aminu enters the game for D. Nowitzki,12,10
44,1,5:55.0,Shooting foul by A. Aminu (drawn by M. Morris),,12,10
45,1,5:55.0,,Dallas full timeout,12,10
46,1,5:55.0,,A. Stoudemire enters the game for T. Chandler,12,10
47,1,5:55.0,G. Green enters the game for M. Morris,,12,10
48,1,5:55.0,M. Morris makes free throw 1 of 2,,13,10
49,1,5:55.0,M. Morris makes free throw 2 of 2,,14,10
50,1,5:44.0,,R. Rondo makes 2-pt layup at rim (assist by A. Aminu),14,12
51,1,5:25.0,M. Morris makes 2-pt dunk at rim,,16,12
