,QUARTER,TIME_REMAINING,ATLANTA_ACTION,CHICAGO_ACTION,ATLANTA_SCORE,CHICAGO_SCORE
0,1,11:46.0,,D. Rose misses 2-pt jump shot from 21 ft,0,0
1,1,11:45.0,Defensive rebound by A. Horford,,0,0
2,1,11:33.0,J. Teague misses 2-pt layup from 2 ft,,0,0
3,1,11:32.0,,Defensive rebound by J. Butler,0,0
4,1,11:27.0,,Turnover by J. Butler (bad pass; steal by J. Teague),0,0
5,1,11:18.0,P. Millsap misses 3-pt jump shot from 25 ft,,0,0
6,1,11:16.0,Offensive rebound by A. Horford,,0,0
7,1,11:09.0,D. Carroll misses 3-pt jump shot from 23 ft,,0,0
8,1,11:08.0,,Defensive rebound by P. Gasol,0,0
9,1,11:01.0,,Turnover by P. Gasol (bad pass; steal by J. Teague),0,0
10,1,10:58.0,J. Teague makes 2-pt layup from 2 ft,,2,0
11,1,10:37.0,,J. Butler makes 2-pt jump shot from 16 ft (assist by D. Rose),2,2
12,1,10:16.0,K. Korver makes 3-pt jump shot from 24 ft (assist by P. Millsap),,5,2
13,1,9:57.0,,K. Hinrich makes 3-pt jump shot from 24 ft (assist by D. Rose),5,5
14,1,9:39.0,A. Horford makes 2-pt jump shot from 20 ft (assist by P. Millsap),,7,5
15,1,9:18.0,,P. Gasol makes 2-pt jump shot from 17 ft (assist by K. Hinrich),7,7
16,1,9:02.0,J. Teague misses 2-pt jump shot from 17 ft,,7,7
17,1,9:01.0,,Defensive rebound by P. Gasol,7,7
18,1,8:55.0,,D. Rose misses 3-pt jump shot from 24 ft,7,7
19,1,8:54.0,Defensive rebound by K. Korver,,7,7
20,1,8:44.0,P. Millsap makes 2-pt dunk at rim (assist by J. Teague),,9,7
21,1,8:22.0,,T. Gibson misses 2-pt jump shot from 13 ft,9,7
22,1,8:21.0,,Offensive rebound by Team,9,7
23,1,8:01.0,,J. Butler misses 2-pt jump shot from 20 ft,9,7
24,1,7:59.0,Defensive rebound by P. Millsap,,9,7
25,1,7:46.0,A. Horford makes 2-pt dunk at rim (assist by K. Korver),,11,7
26,1,7:20.0,,Turnover by P. Gasol (bad pass; steal by K. Korver),11,7
27,1,7:04.0,A. Horford misses 3-pt jump shot from 23 ft,,11,7
28,1,7:03.0,,Defensive rebound by P. Gasol,11,7
29,1,6:57.0,,K. Hinrich misses 3-pt jump shot from 24 ft,11,7
30,1,6:56.0,Defensive rebound by Team,,11,7
31,1,6:41.0,Turnover by A. Horford (bad pass; steal by K. Hinrich),,11,7
32,1,6:35.0,,D. Rose misses 2-pt jump shot from 7 ft,11,7
33,1,6:33.0,Defensive rebound by D. Carroll,,11,7
34,1,6:31.0,Personal foul by K. Hinrich (drawn by D. Carroll),,11,7
35,1,6:22.0,E. Brand enters the game for A. Horford,,11,7
36,1,6:20.0,Shooting foul by K. Hinrich (drawn by D. Carroll),,11,7
37,1,6:20.0,D. Carroll makes free throw 1 of 2,,12,7
38,1,6:20.0,,E. Moore enters the game for K. Hinrich,12,7
39,1,6:20.0,T. Sefolosha enters the game for K. Korver,,12,7
40,1,6:20.0,D. Carroll misses free throw 2 of 2,,12,7
41,1,6:18.0,,Defensive rebound by P. Gasol,12,7
42,1,6:09.0,,P. Gasol makes 2-pt layup from 2 ft (assist by D. Rose),12,9
43,1,5:52.0,P. Millsap misses 2-pt layup from 2 ft,,12,9
44,1,5:51.0,,Defensive rebound by P. Gasol,12,9
45,1,5:46.0,,J. Butler misses 2-pt jump shot from 6 ft (block by T. Sefolosha),12,9
46,1,5:44.0,,Offensive rebound by J. Butler,12,9
47,1,5:38.0,,P. Gasol misses 2-pt jump shot from 20 ft,12,9
48,1,5:36.0,Defensive rebound by D. Carroll,,12,9
49,1,5:24.0,E. Brand makes 2-pt jump shot from 12 ft (assist by J. Teague),,14,9
50,1,5:11.0,,Personal foul by P. Millsap (drawn by T. Gibson),14,9
51,1,5:11.0,,Chicago full timeout,14,9
52,1,4:59.0,,T. Gibson misses 2-pt hook shot from 4 ft,14,9
53,1,4:58.0,,Offensive rebound by P. Gasol,14,9
54,1,4:58.0,,P. Gasol misses 2-pt tip-in from 1 ft,14,9
55,1,4:57.0,Defensive rebound by E. Brand,,14,9
56,1,4:42.0,T. Sefolosha misses 2-pt jump shot from 11 ft,,14,9
57,1,4:41.0,Offensive rebound by P. Millsap,,14,9
58,1,4:34.0,P. Millsap misses 3-pt jump shot from 24 ft,,14,9
59,1,4:33.0,,Defensive rebound by D. Rose,14,9
60,1,4:12.0,,E. Moore makes 2-pt jump shot from 8 ft (assist by D. Rose),14,11
61,1,3:46.0,J. Teague misses 3-pt jump shot from 24 ft (block by T. Gibson),,14,11
62,1,3:44.0,,Defensive rebound by P. Gasol,14,11
63,1,3:39.0,,Turnover by D. Rose (lost ball),14,11
64,1,3:39.0,S. Mack enters the game for J. Teague,,14,11
65,1,3:19.0,E. Brand makes 2-pt jump shot from 17 ft (assist by P. Millsap),,16,11
66,1,3:10.0,,Turnover by D. Rose (bad pass; steal by T. Sefolosha),16,11
67,1,2:57.0,Turnover by S. Mack (lost ball; steal by T. Gibson),,16,11
68,1,2:40.0,,D. Rose misses 2-pt jump shot from 18 ft,16,11
69,1,2:39.0,,Offensive rebound by P. Gasol,16,11
70,1,2:35.0,,J. Butler misses 3-pt jump shot from 24 ft,16,11
71,1,2:33.0,,Offensive rebound by T. Gibson,16,11
72,1,2:33.0,,Shooting foul by E. Brand (drawn by T. Gibson),16,11
73,1,2:33.0,Atlanta full timeout,,16,11
74,1,2:33.0,,A. Brooks enters the game for D. Rose,16,11
75,1,2:33.0,K. Korver enters the game for D. Carroll,,16,11
76,1,2:33.0,M. Scott enters the game for P. Millsap,,16,11
77,1,2:33.0,,T. Gibson misses free throw 1 of 2,16,11
78,1,2:33.0,,Offensive rebound by Team,16,11
79,1,2:33.0,,T. Gibson makes free throw 2 of 2,16,12
80,1,2:10.0,E. Brand makes 2-pt jump shot from 13 ft,,18,12
81,1,1:54.0,,T. Gibson misses 2-pt jump shot from 12 ft,18,12
82,1,1:54.0,,Offensive rebound by Team,18,12
83,1,1:54.0,,Personal foul by T. Sefolosha (drawn by T. Gibson),18,12
84,1,1:54.0,,N. Mirotić enters the game for T. Gibson,18,12
85,1,1:49.0,,A. Brooks misses 2-pt jump shot from 5 ft,18,12
86,1,1:48.0,Defensive rebound by E. Brand,,18,12
87,1,1:31.0,M. Scott misses 2-pt layup from 2 ft (block by P. Gasol),,18,12
88,1,1:30.0,,Defensive rebound by N. Mirotić,18,12
89,1,1:25.0,,Turnover by N. Mirotić (lost ball; steal by M. Scott),18,12
90,1,1:17.0,M. Scott misses 3-pt jump shot from 25 ft,,18,12
91,1,1:16.0,,Defensive rebound by E. Moore,18,12
92,1,0:58.0,,Turnover by E. Moore (bad pass; steal by T. Sefolosha),18,12
93,1,0:56.0,Personal foul by N. Mirotić (drawn by M. Scott),,18,12
94,1,0:48.0,M. Scott makes 2-pt jump shot from 4 ft (assist by S. Mack),,20,12
95,1,0:48.0,Shooting foul by J. Butler (drawn by M. Scott),,20,12
96,1,0:48.0,M. Scott makes free throw 1 of 1,,21,12
97,1,0:37.0,,Personal foul by E. Brand (drawn by P. Gasol),21,12
98,1,0:37.0,,P. Gasol makes free throw 1 of 2,21,13
99,1,0:37.0,A. Horford enters the game for E. Brand,,21,13
100,1,0:37.0,,P. Gasol makes free throw 2 of 2,21,14
101,1,0:28.0,S. Mack misses 2-pt jump shot from 12 ft (block by A. Brooks),,21,14
102,1,0:27.0,,Defensive rebound by A. Brooks,21,14
103,1,0:08.0,,Shooting foul by T. Sefolosha (drawn by N. Mirotić),21,14
104,1,0:08.0,,N. Mirotić makes free throw 1 of 2,21,15
105,1,0:08.0,,N. Mirotić makes free throw 2 of 2,21,16
106,1,0:00.0,M. Scott makes 3-pt jump shot from 25 ft (assist by S. Mack),,24,16
107,2,11:39.0,K. Korver makes 3-pt jump shot from 22 ft (assist by M. Scott),,27,16
108,2,11:18.0,,N. Mirotić misses 3-pt jump shot from 25 ft,27,16
109,2,11:16.0,Defensive rebound by T. Sefolosha,,27,16
110,2,11:04.0,M. Scott misses 2-pt jump shot from 6 ft,,27,16
111,2,11:03.0,,Defensive rebound by T. Gibson,27,16
112,2,10:57.0,,Personal foul by S. Mack (drawn by A. Brooks),27,16
113,2,10:44.0,,T. Gibson misses 2-pt layup from 2 ft,27,16
114,2,10:42.0,Defensive rebound by K. Korver,,27,16
115,2,10:23.0,A. Horford misses 2-pt jump shot from 12 ft,,27,16
116,2,10:22.0,,Defensive rebound by J. Butler,27,16
117,2,10:10.0,,Offensive foul by T. Gibson (drawn by K. Korver),27,16
118,2,10:10.0,,Turnover by T. Gibson (offensive foul),27,16
119,2,10:10.0,K. Bazemore enters the game for T. Sefolosha,,27,16
120,2,9:56.0,A. Horford makes 2-pt jump shot from 12 ft (assist by M. Scott),,29,16
121,2,9:46.0,Violation by A. Horford (kicked ball),,29,16
122,2,9:33.0,,J. Butler makes 2-pt dunk at rim,29,18
123,2,9:16.0,S. Mack makes 2-pt layup from 2 ft (assist by M. Scott),,31,18
124,2,9:02.0,,A. Brooks makes 2-pt jump shot from 8 ft,31,20
125,2,8:54.0,Atlanta full timeout,,31,20
126,2,8:54.0,J. Teague enters the game for S. Mack,,31,20
127,2,8:38.0,K. Korver makes 3-pt jump shot from 24 ft,,34,20
