,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,NEW YORK_ACTION,PHILADELPHIA_SCORE,NEW YORK_SCORE
0,1,11:41.0,N. Noel misses 2-pt hook shot from 4 ft (block by L. Amundson),,0,0
1,1,11:40.0,,Defensive rebound by L. Thomas,0,0
2,1,11:29.0,,A. Bargnani misses 2-pt jump shot from 20 ft,0,0
3,1,11:28.0,Defensive rebound by N. Noel,,0,0
4,1,11:19.0,R. Covington makes 3-pt jump shot from 26 ft (assist by I. Smith),,3,0
5,1,11:03.0,,Turnover by A. Bargnani (bad pass),3,0
6,1,10:51.0,F. Aldemir misses 3-pt jump shot from 26 ft,,3,0
7,1,10:50.0,,Defensive rebound by S. Larkin,3,0
8,1,10:41.0,,S. Larkin makes 2-pt jump shot from 15 ft,3,2
9,1,10:18.0,N. Noel makes 2-pt jump shot from 17 ft (assist by I. Smith),,5,2
10,1,10:00.0,,Shooting foul by F. Aldemir (drawn by L. Amundson),5,2
11,1,10:00.0,,L. Amundson misses free throw 1 of 2,5,2
12,1,10:00.0,,Offensive rebound by Team,5,2
13,1,10:00.0,,L. Amundson makes free throw 2 of 2,5,3
14,1,9:44.0,I. Smith makes 2-pt jump shot from 6 ft,,7,3
15,1,9:25.0,,A. Bargnani misses 2-pt jump shot from 19 ft,7,3
16,1,9:24.0,Defensive rebound by Team,,7,3
17,1,9:24.0,,Loose ball foul by L. Amundson (drawn by F. Aldemir),7,3
18,1,9:16.0,Personal foul by L. Thomas (drawn by J. Grant),,7,3
19,1,9:03.0,I. Smith makes 3-pt jump shot from 25 ft (assist by R. Covington),,10,3
20,1,8:48.0,,Shooting foul by F. Aldemir (drawn by S. Larkin),10,3
21,1,8:48.0,,S. Larkin makes free throw 1 of 2,10,4
22,1,8:48.0,,S. Larkin makes free throw 2 of 2,10,5
23,1,8:35.0,J. Grant misses 2-pt layup from 3 ft (block by L. Thomas),,10,5
24,1,8:34.0,,Defensive rebound by L. Amundson,10,5
25,1,8:22.0,,A. Bargnani makes 2-pt jump shot from 19 ft (assist by S. Larkin),10,7
26,1,8:02.0,J. Richardson enters the game for F. Aldemir,,10,7
27,1,7:56.0,I. Smith misses 2-pt jump shot from 21 ft,,10,7
28,1,7:55.0,,Defensive rebound by L. Galloway,10,7
