,QUARTER,TIME_REMAINING,UTAH_ACTION,MINNESOTA_ACTION,UTAH_SCORE,MINNESOTA_SCORE
0,1,11:37.0,R. Hood makes 2-pt jump shot from 15 ft,,2,0
1,1,11:17.0,,L. Brown makes 2-pt jump shot from 18 ft,2,2
2,1,10:50.0,R. Hood makes 2-pt jump shot from 17 ft,,4,2
3,1,10:32.0,,A. Payne misses 2-pt jump shot from 16 ft (block by T. Booker),4,2
4,1,10:30.0,,Offensive rebound by A. Payne,4,2
5,1,10:28.0,,Turnover by A. Payne (lost ball; steal by G. Hayward),4,2
6,1,10:18.0,Turnover by R. Gobert (bad pass; steal by Z. LaVine),,4,2
7,1,10:12.0,,Z. LaVine misses 2-pt jump shot from 3 ft,4,2
8,1,10:09.0,,Offensive rebound by L. Brown,4,2
9,1,9:55.0,,Shooting foul by R. Hood (drawn by J. Hamilton),4,2
10,1,9:55.0,,J. Hamilton makes free throw 1 of 2,4,3
11,1,9:55.0,,J. Hamilton makes free throw 2 of 2,4,4
12,1,9:43.0,Turnover by D. Exum (step out of bounds),,4,4
13,1,9:26.0,,J. Hamilton misses 2-pt layup from 2 ft,4,4
14,1,9:25.0,Defensive rebound by Team,,4,4
15,1,9:02.0,R. Hood misses 2-pt jump shot from 14 ft,,4,4
16,1,9:01.0,,Defensive rebound by J. Hamilton,4,4
17,1,8:48.0,,Shooting foul by R. Hood (drawn by A. Wiggins),4,4
18,1,8:48.0,,A. Wiggins makes 2-pt dunk at rim,4,6
19,1,8:48.0,,A. Wiggins makes free throw 1 of 1,4,7
20,1,8:34.0,R. Hood makes 3-pt jump shot from 23 ft (assist by G. Hayward),,7,7
21,1,8:15.0,,Turnover by A. Wiggins (bad pass; steal by G. Hayward),7,7
22,1,8:11.0,Turnover by D. Exum (lost ball; steal by L. Brown),,7,7
23,1,8:01.0,,Z. LaVine makes 3-pt jump shot from 25 ft (assist by L. Brown),7,10
24,1,7:41.0,T. Booker misses 2-pt jump shot from 17 ft,,7,10
25,1,7:40.0,,Defensive rebound by Z. LaVine,7,10
26,1,7:26.0,,A. Wiggins misses 2-pt jump shot from 18 ft,7,10
27,1,7:24.0,Defensive rebound by T. Booker,,7,10
28,1,7:16.0,G. Hayward makes 2-pt jump shot from 5 ft,,9,10
29,1,7:16.0,Shooting foul by A. Payne (drawn by G. Hayward),,9,10
30,1,7:16.0,G. Hayward makes free throw 1 of 1,,10,10
31,1,6:59.0,,Z. LaVine makes 2-pt jump shot from 19 ft,10,12
32,1,6:36.0,D. Exum misses 3-pt jump shot from 24 ft,,10,12
33,1,6:35.0,,Defensive rebound by A. Wiggins,10,12
34,1,6:23.0,,A. Wiggins makes 2-pt jump shot from 4 ft (assist by J. Hamilton),10,14
35,1,6:21.0,Utah full timeout,,10,14
36,1,6:21.0,,C. Budinger enters the game for A. Payne,10,14
37,1,6:00.0,R. Gobert misses 2-pt layup from 1 ft (block by J. Hamilton),,10,14
38,1,5:58.0,Offensive rebound by T. Booker,,10,14
39,1,5:56.0,T. Booker misses 2-pt jump shot from 9 ft,,10,14
40,1,5:55.0,,Defensive rebound by J. Hamilton,10,14
41,1,5:48.0,,Offensive foul by J. Hamilton (drawn by G. Hayward),10,14
42,1,5:48.0,,Turnover by J. Hamilton (offensive foul),10,14
43,1,5:38.0,G. Hayward misses 3-pt jump shot from 24 ft,,10,14
44,1,5:37.0,Offensive rebound by T. Booker,,10,14
45,1,5:36.0,Personal foul by C. Budinger (drawn by T. Booker),,10,14
46,1,5:23.0,T. Booker makes 3-pt jump shot from 22 ft (assist by G. Hayward),,13,14
47,1,5:07.0,,A. Wiggins misses 2-pt jump shot from 5 ft,13,14
48,1,5:06.0,Defensive rebound by G. Hayward,,13,14
49,1,4:58.0,R. Hood misses 3-pt jump shot from 25 ft,,13,14
50,1,4:56.0,Offensive rebound by T. Booker,,13,14
51,1,4:52.0,T. Booker makes 2-pt hook shot from 4 ft,,15,14
52,1,4:35.0,,J. Hamilton makes 2-pt jump shot from 13 ft (assist by L. Brown),15,16
53,1,4:07.0,G. Hayward misses 3-pt jump shot from 24 ft,,15,16
54,1,4:05.0,Offensive rebound by R. Gobert,,15,16
55,1,4:04.0,Shooting foul by J. Hamilton (drawn by R. Gobert),,15,16
56,1,4:04.0,R. Gobert makes 2-pt dunk at rim,,17,16
57,1,4:04.0,T. Burke enters the game for R. Hood,,17,16
